,Concept_ID,no,lbe
0,Auge::N,øye,я
1,Ohr::N,øre,вичӏи
2,Nase::N,nese,май
3,Mund::N,munn,кьацӏ
4,Zahn::N,tann,ккарччи
5,Zunge::N,tunge,маз
6,Lippe::N,leppe,мурччи
7,Wange::N,kinn,чӏав
8,Gesicht::N,fjes,лажин
9,Gesicht::N,ansikt,лажин
10,Stirn::N,panne,ненттабакӏ
11,Haar::N,hår,чӏара
12,Schnurrbart::N,bart,ссирссилтту
13,Bart::N,skjegg,чӏири
14,Kinn::N,hake,лунттубакӏ
15,Kiefer[Anatomie]::N,kjeve,ххинчулул
16,Kehle::N,strupe,кьакьари
17,Hals::N,hals,ссурссу
18,Genick::N,nakke,махъабакӏ
19,Kopf::N,hode,бакӏ
20,Rücken::N,rygg,ттиликӏ
21,Bauch::N,buk,лякьа
22,Bauch::N,mage,лякьа
23,Nabel::N,navle,цӏумуккутӏ
24,Busen::N,barm,ккукку
25,Brust::N,bryst,хъазам
26,Schulter::N,skulder,хъачӏ
27,Arm::N,arm,ка
28,Ellenbogen::N,albue,ссюрхъ
29,Hand::N,hånd,бартка
30,Handfläche::N,håndflate,хъат
31,Handfläche::N,håndflate,битӏянхъ
32,Finger::N,finger,кӏисса
33,Fingernagel::N,fingernegl,михь
34,Nagel[Anatomie]::N,negl,михь
35,Zeh::N,tå,кӏисса
36,Fuß::N,fot,чӏанччан
37,Ferse::N,hæl,никъа
38,Knie::N,kne,ник
39,Oberschenkel::N,lår,жира
40,Bein::N,bein,ччан
41,Körper::N,kropp,чурх
42,Körper::N,legeme,чурх
43,Haut::N,hud,бурчу
44,Haut::N,skinn,бурчу
45,Blut::N,blod,оь
46,Ader::N,åre,тунну
47,Sehne::N,sene,хьхьа
48,Knochen::N,bein,ттаркӏ
49,Knochen::N,knokkel,ттаркӏ
50,Gehirn::N,hjerne,ня
51,Herz::N,hjerte,дакӏ
52,Herz::N,hjerte,къюкӏ
53,Magen::N,mage,лякьа
54,Leber::N,lever,
55,Atem::N,pust,ссихӏ ласаву
56,Atem::N,pust,ссихӏ бигьаву
57,Hunger::N,sult,ккаши
58,Träne::N,tåre,макь
59,Geschmack::N,smak,тӏин
60,Geschmack::N,smak,тӏааьн
61,Geruch::N,lukt,кьанкь
62,Schlaf::N,søvn,шану
63,Traum::N,drøm,макӏру
64,Himmel::N,himmel,ссав
65,Sonne::N,sol,баргъ
66,Mond::N,måne,барз
67,Stern::N,stjerne,цӏуку
68,Luft::N,luft,гьава
69,Wind::N,vind,марч
70,Welle::N,bølge,щатӏи
71,Wasser::N,vann,щин
72,Stein::N,stein,чару
73,Boden::N,bakke,аьрщи
74,Erde::N,jord,аьрщи
75,Staub::N,støv,ххит
76,Rauch::N,røyk,пуркӏу
77,Funke::N,gnist,пиягь
78,Feuer::N,ild,цӏу
79,Licht::N,lys,чани
80,Schatten::N,skygge,ххют
81,Wetter::N,vær,гьава
82,Nebel::N,tåke,шархь ттурлу
83,Wolke::N,sky,ттурлу
84,Regen::N,regn,гъарал
85,Schnee::N,snø,марххала
86,Eis::N,is,микӏ
87,Frost::N,frost,дяркъу
88,Frost::N,frost,замгьар
89,Kälte::N,kulde,дяркъу
90,Hitze::N,hete,кӏиришиву
91,Raureif::N,rimfrost,сил
