,Concept_ID,sv,cs
0,Auge::N,öga,oko
1,Ohr::N,öra,ucho
2,Nase::N,näsa,nos
3,Mund::N,mun,pusa
4,Zahn::N,tand,zub
5,Zunge::N,tunga,jazyk
6,Lippe::N,läpp,ret
7,Wange::N,kind,tvář
8,Gesicht::N,syn,obličej
9,Gesicht::N,ansikte,obličej
10,Stirn::N,panna,čelo
11,Haar::N,hår,vlas
12,Haar::N,hår,vlasy
13,Schnurrbart::N,mustasch,kníry
14,Bart::N,skägg,vousy
15,Kinn::N,haka,brada
16,Kiefer[Anatomie]::N,käke,čelist
17,Kehle::N,strupe,hrdlo
18,Hals::N,hals,krk
19,Genick::N,nacke,týl
20,Kopf::N,huvud,hlava
21,Rücken::N,rygg,záda
22,Rücken::N,rygg,hřbet
23,Bauch::N,buk,břicho
24,Bauch::N,mage,břicho
25,Nabel::N,navel,pupek
26,Busen::N,barm,ňadra
27,Brust::N,bröst,prsa
28,Schulter::N,skuldra,plece
29,Schulter::N,skuldra,rameno
30,Arm::N,arm,ruka
31,Ellenbogen::N,armbåge,loket
32,Hand::N,hand,ruka
33,Handfläche::N,handflata,dlaň
34,Finger::N,finger,prst
35,Fingernagel::N,fingernagel,nehet
36,Nagel[Anatomie]::N,nagel,nehet
37,Zeh::N,tå,prst u nohy
38,Fuß::N,fot,noha
39,Ferse::N,häl,pata
40,Knie::N,knä,koleno
41,Oberschenkel::N,lår,stehno
42,Bein::N,ben,noha
43,Körper::N,kropp,tělo
44,Haut::N,hud,kůže
45,Haut::N,skinn,kůže
46,Blut::N,blod,krev
47,Ader::N,åder,céva
48,Sehne::N,sena,šlacha
49,Knochen::N,ben,kost
50,Gehirn::N,hjärna,mozek
51,Herz::N,hjärta,srdce
52,Magen::N,mage,žaludek
53,Leber::N,lever,játra
54,Atem::N,anda,dech
55,Atem::N,andedräkt,dech
56,Hunger::N,svält,hlad
57,Hunger::N,hunger,hlad
58,Träne::N,tår,slza
59,Geschmack::N,smak,vkus
60,Geruch::N,lukt,vůně
61,Geruch::N,lukt,zápach
62,Schlaf::N,sömn,spánek
63,Traum::N,dröm,sen
64,Himmel::N,himmel,nebe
65,Sonne::N,sol,slunce
66,Mond::N,måne,měsíc
67,Stern::N,stjärna,hvězda
68,Luft::N,luft,vzduch
69,Wind::N,vind,vítr
70,Welle::N,våg,vlna
71,Welle::N,bölja,vlna
72,Wasser::N,vatten,voda
73,Stein::N,sten,kámen
74,Boden::N,mark,půda
75,Erde::N,jord,země
76,Staub::N,damm,prach
77,Rauch::N,rök,dým
78,Rauch::N,rök,kouř
79,Funke::N,gnista,jiskra
80,Feuer::N,eld,oheň
81,Licht::N,ljus,světlo
82,Schatten::N,skugga,stín
83,Wetter::N,väder,počasí
84,Nebel::N,dimma,mlha
85,Nebel::N,töcken,mlha
86,Wolke::N,sky,mrak
87,Wolke::N,sky,oblak
88,Wolke::N,moln,mrak
89,Wolke::N,moln,oblak
90,Regen::N,regn,déšť
91,Schnee::N,snö,sníh
92,Eis::N,is,led
93,Frost::N,frost,mráz
94,Kälte::N,köld,chlad
95,Hitze::N,hetta,horko
96,Raureif::N,rimfrost,jinovatka
97,Regenbogen::N,regnbåge,duha
98,Donner::N,åska,hrom
99,Donner::N,dunder,hrom
100,Strömung::N,strömning,proudění
101,Tropfen::N,dropper,kapka
102,Schaum::N,skum,pěna
103,Schmutz::N,lort,špína
104,Schmutz::N,smuts,špína
105,See::N,sjö,jezero
106,Sumpf::N,träsk,močál
107,Sumpf::N,träsk,bažina
108,Moor::N,myr,bažina
109,Moor::N,myr,slatina
110,Moor::N,mosse,bažina
111,Moor::N,mosse,slatina
112,Wiese::N,äng,louka
113,Wald::N,skog,les
114,Hügel::N,höjd,kopec
115,Hügel::N,kulle,kopec
116,Anhöhe::N,höjd,pahorek
117,Anhöhe::N,backe,pahorek
118,Berg::N,berg,hora
119,Berg::N,fjäll,hora
120,Gipfel::N,topp,vrchol
121,Höhle::N,håla,jeskyně
122,Höhle::N,grotta,jeskyně
123,Abhang::N,slänt,svah
124,Abhang::N,slänt,stráň
125,Abhang::N,sluttning,svah
126,Abhang::N,sluttning,stráň
127,Quelle::N,källa,pramen
128,Bach::N,bäck,potok
129,Fluss::N,älv,řeka
130,Fluss::N,flod,řeka
131,Ufer::N,strand,břeh
132,Küste::N,kust,pobřeží
133,Festland::N,fastland,souš
134,Festland::N,fastland,pevnina
135,Meer::N,hav,moře
136,Bucht::N,vik,záliv
137,Bucht::N,vik,zátoka
138,Bucht::N,bukt,záliv
139,Bucht::N,bukt,zátoka
140,Insel::N,ö,ostrov
141,Blume::N,blomma,květina
142,Blume::N,blomster,květina
143,Gras::N,gräs,tráva
144,Wurzel::N,rot,kořen
145,Baum::N,träd,strom
146,Stamm::N,stam,kmen
147,Rinde::N,bark,kůra
148,Ast::N,gren,větev
149,Zweig::N,kvist,větev
150,Blatt::N,löv,lupen
151,Blatt::N,blad,lupen
152,Birke::N,björk,bříza
153,Kiefer[Baum]::N,tall,sosna
154,Kiefer[Baum]::N,tall,borovice
155,Weide[Baum]::N,pil,vrba
156,Weide[Baum]::N,vide,vrba
157,Tanne::N,gran,jedle
158,Horn::N,horn,roh
159,Feder::N,fjäder,pero
160,Fell::N,fäll,srst
161,Fell::N,skinn,srst
162,Flügel::N,vinge,křídlo
163,Klaue::N,klöv,dráp
164,Klaue::N,klöv,pazneht
165,Kralle::N,klo,dráp
166,Schwanz::N,svans,ocas
167,Schwanz::N,stjärt,ocas
168,Ei::N,ägg,vejce
169,Nest::N,rede,hnízdo
170,Nest::N,näste,hnízdo
171,Bau::N,bo,nora
172,Tier::N,djur,zvíře
173,Herde::N,flock,stádo
174,Kuh::N,ko,kráva
175,Bulle::N,tjur,býk
176,Pferd::N,häst,kůň
177,Schaf::N,får,ovce
178,Schwein::N,svin,vepř
179,Schwein::N,svin,prase
180,Hund::N,hund,pes
181,Katze::N,katt,kočka
182,Bär::N,björn,medvěd
183,Eichhörnchen::N,ekorre,veverka
184,Elch::N,älg,los
185,Fuchs::N,räv,liška
186,Hase::N,hare,zajíc
187,Maus::N,mus,myš
188,Wolf::N,varg,vlk
189,Vogel::N,fågel,pták
190,Schwarm::N,svärm,roj
191,Schwarm::N,svärm,hejno
192,Huhn::N,höns,kuře
193,Huhn::N,höns,slepice
194,Hahn::N,tupp,kohout
195,Gans::N,gås,husa
196,Adler::N,örn,orel
197,Ente::N,anka,kachna
198,Eule::N,uggla,sova
199,Kranich::N,trana,jeřáb
200,Krähe::N,kråka,vrána
201,Kuckuck::N,gök,kukačka
202,Schwan::N,svan,labuť
203,Fisch::N,fisk,ryba
204,Barsch::N,abborre,okoun
205,Hecht::N,gädda,štika
206,Schlange[Tier]::N,orm,had
207,Wurm::N,mask,červ
208,Spinne::N,spindel,pavouk
209,Ameise::N,myra,mravenec
210,Laus::N,lus,veš
211,Mücke::N,mygga,komár
212,Fliege::N,fluga,moucha
213,Schmetterling::N,fjäril,motýl
214,Beere::N,bär,bobule
215,Apfel::N,äpple,jablko
