,Concept_ID,ml,ca
0,Auge::N,കണ്ണ്,ull
1,Ohr::N,ചെവി,orella
2,Nase::N,മൂക്ക്,nas
3,Mund::N,വായ,boca
4,Zahn::N,പല്ല്,dent
5,Zunge::N,നാക്ക്,llēngua
6,Lippe::N,ചുണ്ട്,llavi
7,Wange::N,കവിൾത്തടം,galta
8,Gesicht::N,മുഖം,cara
9,Stirn::N,നെറ്റി,front
10,Haar::N,തലമുടി,cabēll
11,Schnurrbart::N,മീശ,bigoti
12,Bart::N,താടിരോമം,barba
13,Kinn::N,താടി,mentó
14,Kinn::N,താടി,barbeta
15,Kiefer[Anatomie]::N,താടിയെല്ല്,queix
16,Kiefer[Anatomie]::N,താടിയെല്ല്,mandíbula
17,Kehle::N,കണ്ഠനാളം,gola
18,Kehle::N,കണ്ഠനാളം,gorja
19,Hals::N,കഴുത്ത്,coll
20,Genick::N,പിടലി,nuca
21,Kopf::N,തല,cap
22,Rücken::N,മുതുക്,esquena
23,Bauch::N,നയറ്,panxa
24,Nabel::N,നാഭി,llombrígol
25,Busen::N,സ്തനം,pit
26,Busen::N,സ്തനം,mama
27,Brust::N,സ്തനം,pit
28,Schulter::N,തോൾ,espatlla
29,Arm::N,കൈ,braç
30,Ellenbogen::N,കൈമുട്ട്,colze
31,Hand::N,കൈ,mà
32,Handfläche::N,ഉള്ളം കൈ,palma
33,Finger::N,വിരൽ,dit
34,Fingernagel::N,നഖം,ungla
35,Nagel[Anatomie]::N,നഖം,ungla
36,Zeh::N,കാൽവിരൽ,dit del peu
37,Fuß::N,കാൽപ്പാദം,peu
38,Ferse::N,ഉപ്പൂറ്റി,taló
39,Knie::N,കാൽമുട്ട്,genoll
40,Oberschenkel::N,തുട,cuixa
41,Bein::N,കാൽ,cama
42,Körper::N,ശരീരം,cos
43,Haut::N,ചർമ്മം,pell
44,Blut::N,രക്തം,sang
45,Ader::N,ഞരമ്പ്,vena
46,Sehne::N,സ്നായു,tendó
47,Knochen::N,അസ്ഥി,os
48,Gehirn::N,തലച്ചോറ്,cervell
49,Herz::N,ഹൃദയം,cor
50,Magen::N,വയർ,estómac
51,Leber::N,കരൾ,fetge
52,Atem::N,ശ്വാസം,alè
53,Atem::N,ശ്വാസം,hàlit
54,Hunger::N,വിശപ്പ്,fam
55,Hunger::N,വിശപ്പ്,gana
56,Träne::N,കണ്ണീർ,llàgrima
57,Geschmack::N,രുചി,gust
58,Geschmack::N,രുചി,sabor
59,Geruch::N,ഗന്ധം,olor
60,Schlaf::N,ഉറകും,son
61,Traum::N,സ്വപ്നം,somni
62,Himmel::N,ആകാശം,celm
63,Sonne::N,സൂര്യൻ,sol
64,Mond::N,ചന്ദ്രൻ,lluna
65,Stern::N,നക്ഷത്രം,estel
66,Stern::N,നക്ഷത്രം,estrella
67,Luft::N,കാറ്റ്,aire
68,Wind::N,കാറ്റ്,vent
69,Welle::N,തിരമാല,ona
70,Wasser::N,വെള്ളം,āigua
71,Stein::N,ശില,pedra
72,Stein::N,കല്ല്,pedra
73,Boden::N,തറ,sòl
74,Boden::N,നിലം,sòl
75,Erde::N,മണ്ണ്,terra
76,Staub::N,പൊടി,pols
77,Rauch::N,പുക,fum
78,Funke::N,തീപ്പൊരി,guspira
79,Funke::N,തീപ്പൊരി,centella
80,Feuer::N,തീ,foc
81,Licht::N,വിളക്ക്,llum
82,Licht::N,സൂര്യപ്രകാശം,llum
83,Schatten::N,തണൽ,ombra
84,Wetter::N,കാലാവസ്ഥ,temps
85,Nebel::N,മൂടൽമഞ്ഞ്,boira
86,Wolke::N,മേഘം,núvol
87,Regen::N,മഴ,pluja
88,Schnee::N,മഞ്ഞ്,neu
89,Eis::N,ഐസ്,gel
90,Eis::N,ഐസ്,glaç
91,Frost::N,മൂടൽമഞ്ഞ്,glaçada
92,Kälte::N,തണുപ്പ്,fred
93,Hitze::N,ചൂട്,calor
94,Raureif::N,കോടമഞ്ഞ്,gebre
95,Regenbogen::N,മഴവില്ല്,arc iris
96,Donner::N,ഇടി,tro
97,Strömung::N,പ്രവാഹം,corrent
98,Tropfen::N,തുള്ളി,gota
99,Schaum::N,നുര,escuma
100,Schmutz::N,അഴുക്ക്,brutícia
101,See::N,തടാകം,llac
102,Sumpf::N,ചതുപ്പുനിലം,pantà
103,Moor::N,പാഴ്നിലം,pantà
104,Wiese::N,പുൽത്തകിടി,prat
105,Wiese::N,പുൽത്തകിടി,prada
106,Wald::N,വനം,bosc
107,Wald::N,കാട്,bosc
108,Hügel::N,കുന്ന്,puig
109,Hügel::N,കുന്ന്,pujol
110,Anhöhe::N,ഉയർന്ന ഭൂമി,turó
111,Berg::N,പർവ്വതം,muntanya
112,Gipfel::N,ഉച്ചകോടി,cim
113,Höhle::N,ഗുഹ,cova
114,Abhang::N,ചരിവ്,coster
115,Quelle::N,ഉറവിടം,font
116,Bach::N,അരുവി,riera
117,Fluss::N,നദി,riu
118,Ufer::N,തീരം,riba
119,Küste::N,കടൽത്തീരം,costa
120,Festland::N,കര,terra ferma
121,Meer::N,കടൽ,mar
122,Bucht::N,ഉൾക്കടല്,cala
123,Bucht::N,ഉൾക്കടല്,badia
124,Insel::N,ദ്വീപ്,illa
125,Blume::N,പൂവ്,flor
126,Gras::N,പുല്ല്,herba
127,Wurzel::N,വേര്,rel
128,Wurzel::N,വേര്,arrel
129,Baum::N,മരം,arbre
130,Stamm::N,തായ്ത്തടി,tronc
