,Concept_ID,ro,la
0,Auge::N,ochi,oculus
1,Ohr::N,ureche,auris
2,Nase::N,nas,nasus
3,Mund::N,gură,os
4,Zahn::N,dinte,dens
5,Zunge::N,limbă,lingua
6,Lippe::N,buză,labrum
7,Wange::N,bucă,gena
8,Wange::N,obraz,gena
9,Gesicht::N,față,vultus
10,Gesicht::N,figură,vultus
11,Stirn::N,frunte,frons
12,Haar::N,păr,capillus
13,Schnurrbart::N,mustață,barba labri superioris
14,Bart::N,barbă,barba
15,Kinn::N,bărbie,mentum
16,Kiefer[Anatomie]::N,falcă,mala
17,Kehle::N,beregată,iugulums
18,Hals::N,gât,collum
19,Genick::N,ceafă,cervices
20,Kopf::N,cap,caput
21,Rücken::N,dos,tergum
22,Rücken::N,spate,tergum
23,Rücken::N,spinare,tergum
24,Bauch::N,burtă,venter
25,Bauch::N,pântece,venter
26,Nabel::N,buric,umbilicus
27,Busen::N,sân,sinus
28,Brust::N,piept,pectus
29,Schulter::N,umăr,umerus
30,Schulter::N,spate,umerus
31,Arm::N,braț,bracchium
32,Ellenbogen::N,cot,cubitum
33,Hand::N,mână,manus
34,Handfläche::N,palmă,palma
35,Finger::N,deget,digitus
36,Fingernagel::N,unghie,unguiculus
37,Nagel[Anatomie]::N,unghie,unguis
38,Zeh::N,deget de la picior,digitus
39,Fuß::N,picior,pes
40,Ferse::N,călcâi,calx
41,Knie::N,genunchi,genu
42,Oberschenkel::N,coapsă,femur
43,Bein::N,picior,crus
44,Körper::N,corp,corpus
45,Haut::N,piele,cutis
46,Haut::N,piele,pellis
47,Blut::N,sânge,sanguis
48,Ader::N,vână,vena
49,Ader::N,arteră,vena
50,Sehne::N,tendon,nervus
51,Knochen::N,os,os
52,Gehirn::N,creier,cerebrum
53,Herz::N,inimă,cor
54,Herz::N,inimă,animus
55,Magen::N,stomac,stomachus
56,Leber::N,ficat,iecur
57,Atem::N,răsuflare,spiritus
58,Atem::N,respirație,spiritus
59,Hunger::N,foame,fames
60,Träne::N,lacrimă,lacrima
61,Geschmack::N,gust,sapor
62,Geschmack::N,gust,gustus
63,Geruch::N,miros,odor
64,Schlaf::N,somn,somnus
65,Traum::N,vis,somnium
66,Himmel::N,cer,caelum
67,Sonne::N,soare,sol
68,Mond::N,lună,luna
69,Stern::N,stea,sidus
70,Stern::N,stea,stella
71,Luft::N,aer,aer
72,Wind::N,vânt,ventus
73,Welle::N,val,unda
74,Welle::N,undă,unda
75,Wasser::N,apă,aqua
76,Stein::N,piatră,lapis
77,Boden::N,sol,solum
78,Boden::N,pământ,solum
79,Erde::N,pământ,terra
80,Staub::N,praf,pulvis
81,Rauch::N,fum,fumus
82,Funke::N,scânteie,scintilla
83,Feuer::N,foc,ignis
84,Licht::N,lumină,lux
85,Licht::N,lumină,lumen
86,Schatten::N,umbră,umbra
87,Wetter::N,timp,caelum
88,Wetter::N,timp,tempestas
89,Wetter::N,vreme,caelum
90,Wetter::N,vreme,tempestas
91,Nebel::N,ceață,nebula
92,Nebel::N,negură,nebula
93,Wolke::N,nor,nubes
94,Regen::N,ploaie,imber
95,Regen::N,ploaie,pluvia
96,Schnee::N,zăpadă,nix
97,Eis::N,gheață,glacies
98,Frost::N,ger,gelu
99,Kälte::N,frig,frigus
100,Hitze::N,arșiță,calor
101,Hitze::N,arșiță,aestus
102,Hitze::N,căldură,calor
103,Hitze::N,căldură,aestus
104,Raureif::N,chiciură,pruina
105,Regenbogen::N,curcubeu,arcus
106,Donner::N,tunet,tonitrus
107,Strömung::N,curent,fluctus
108,Tropfen::N,picătură,gutta
109,Schaum::N,spumă,spuma
110,Schmutz::N,murdărie,sordes
111,Schmutz::N,murdărie,squalor
112,See::N,lac,lacus
113,Sumpf::N,mlaștină,palus
114,Moor::N,bărăgan,palus
115,Wiese::N,fânaț,pratum
116,Wiese::N,livadă,pratum
117,Wald::N,codru,silva
118,Wald::N,pădure,silva
119,Hügel::N,deal,collis
120,Hügel::N,movilă,collis
121,Anhöhe::N,deal,specula
122,Anhöhe::N,ridicătură,specula
123,Berg::N,munte,mons
124,Gipfel::N,pisc,vertex
125,Höhle::N,peșteră,caverna
126,Höhle::N,peșteră,spelunca
127,Abhang::N,pantă,declivum
128,Abhang::N,versant,declivum
129,Quelle::N,izvor,fons
130,Bach::N,gârlă,rivus
131,Fluss::N,râu,flumen
132,Fluss::N,fluviu,flumen
133,Ufer::N,mal,ripa
134,Ufer::N,țărm,ripa
135,Küste::N,coastă,litus
136,Festland::N,uscat,continens
137,Meer::N,mare,mare
138,Bucht::N,golf,sinus
139,Insel::N,insulă,insula
140,Blume::N,floare,flos
141,Gras::N,iarbă,herba
142,Gras::N,iarbă,gramen
143,Wurzel::N,rădăcină,radix
144,Baum::N,copac,arbor
145,Baum::N,arbore,arbor
146,Stamm::N,tulpină,truncus
147,Rinde::N,scoarță,cortex
148,Ast::N,cracă,ramus
149,Ast::N,creangă,ramus
150,Zweig::N,ramură,ramus
151,Zweig::N,creangă,ramus
152,Blatt::N,frunză,folium
153,Birke::N,mesteacăn,betulla
154,Kiefer[Baum]::N,pin,pinus
155,Weide[Baum]::N,salcie,salix
156,Weide[Baum]::N,răchită,salix
157,Tanne::N,brad,abies
158,Horn::N,corn,cornu
159,Feder::N,pană,penna
160,Fell::N,piele,pellis
161,Flügel::N,aripă,ala
162,Klaue::N,gheară,unguis
163,Kralle::N,labă,unguis
164,Kralle::N,gheară,unguis
165,Schwanz::N,coadă,cauda
166,Ei::N,ou,ovum
167,Nest::N,cuib,nidus
168,Bau::N,bârlog,cavum
169,Bau::N,bârlog,latibulum
170,Bau::N,vizuină,cavum
171,Bau::N,vizuină,latibulum
172,Tier::N,animal,bestia
173,Herde::N,turmă,grex
174,Herde::N,cireadă,grex
175,Kuh::N,vacă,vacca
176,Bulle::N,taur,taurus
177,Pferd::N,cal,equus
178,Schaf::N,oaie,ovis
179,Schwein::N,porc,sus
180,Schwein::N,porc,porcus
181,Hund::N,câine,canis
182,Katze::N,pisică,felis
183,Bär::N,urs,ursus
184,Eichhörnchen::N,veveriță,sciurus
185,Elch::N,elan,alces
186,Fuchs::N,vulpe,vulpes
187,Hase::N,iepure,lepus
188,Maus::N,șoarece,mus
189,Wolf::N,lup,lupus
190,Vogel::N,pasăre,avis
191,Schwarm::N,cârd,examen
192,Huhn::N,găină,gallina
193,Hahn::N,cocoș,gallus
194,Gans::N,gâscă,anser
195,Adler::N,vultur,aquila
196,Ente::N,rață,anas
197,Eule::N,bufniță,ulula
198,Eule::N,bufniță,noctua
199,Kranich::N,cocor,grus
200,Krähe::N,cioară,cornix
201,Kuckuck::N,cuc,cuculus
202,Schwan::N,lebădă,olor
203,Schwan::N,lebădă,cycnus
204,Fisch::N,pește,piscis
205,Barsch::N,biban,perca
206,Hecht::N,știucă,esox
207,Schlange[Tier]::N,șarpe,serpens
208,Wurm::N,vierme,vermis
209,Spinne::N,păianjen,aranea
210,Ameise::N,furnică,formica
211,Laus::N,păduche,pediculus
212,Mücke::N,țânțar,culex
213,Fliege::N,muscă,musca
214,Schmetterling::N,fluture,papilio
215,Beere::N,boabă,baca
216,Apfel::N,măr,malum
217,Pilz::N,burete,fungus
218,Pilz::N,ciupercă,fungus
219,Zwiebel::N,ceapă,cepa
220,Saat::N,semănătură,seges
221,Korn::N,grâu,granum
222,Heu::N,fân,faenum
223,Schale::N,coajă,putamen
224,Grube::N,groapă,fovea
225,Falle::N,cursă,pedica
226,Falle::N,capcană,pedica
227,Schlinge::N,laț,laqueus
228,Spur::N,dâră,vestigium
229,Asche::N,cenușă,cinis
230,Dreck::N,noroi,lutum
231,Dreck::N,murdărie,lutum
232,Eisen::N,fier,ferrum
233,Gold::N,aur,aurum
234,Silber::N,argint,argentum
