,Concept_ID,ta,lv
0,Auge::N,கண்,син
1,Auge::N,கண்,acs
2,Ohr::N,காது,пель
3,Ohr::N,காது,auss
4,Nase::N,மூக்கு,ныр
5,Nase::N,மூக்கு,deguns
6,Mund::N,வாய்,вом
7,Mund::N,வாய்,mute
8,Zahn::N,பல்,пинь
9,Zahn::N,பல்,zobs
10,Zunge::N,நாக்கு,кыв
11,Zunge::N,நாக்கு,mēle
12,Lippe::N,உதடு,вом дор
13,Lippe::N,உதடு,lūpa
14,Wange::N,கன்னம்,бан
15,Wange::N,கன்னம்,vaigs
16,Gesicht::N,முகம்,чужӧм
17,Gesicht::N,முகம்,seja
18,Gesicht::N,முகம்,ģīmis
19,Stirn::N,முன்னெற்றி,плеш
20,Stirn::N,முன்னெற்றி,кымӧс
21,Stirn::N,முன்னெற்றி,piere
22,Haar::N,முடி,си
23,Haar::N,முடி,юрси
24,Haar::N,முடி,mats
25,Schnurrbart::N,மீசை,ус
26,Schnurrbart::N,மீசை,пыртсим
27,Schnurrbart::N,மீசை,ūsas
28,Bart::N,தாடி,тош
29,Bart::N,தாடி,bārda
30,Kinn::N,கீழதாடை,тшӧка
31,Kinn::N,கீழதாடை,zods
32,Kinn::N,கீழதாடை,smakrs
33,Kiefer[Anatomie]::N,தாடை,черлы
34,Kiefer[Anatomie]::N,தாடை,алака лы
35,Kiefer[Anatomie]::N,தாடை,вомкӧтш лы
36,Kiefer[Anatomie]::N,தாடை,žoklis
37,Kehle::N,தொண்டை,голя
38,Kehle::N,தொண்டை,rīkle
39,Hals::N,கழுத்து,сьылі
40,Hals::N,கழுத்து,kakls
41,Genick::N,கழுத்து,юрбӧр
42,Genick::N,கழுத்து,балябӧж
43,Genick::N,கழுத்து,sprands
44,Kopf::N,தலை,юр
45,Kopf::N,தலை,galva
46,Rücken::N,முதுகு,мыш
47,Rücken::N,முதுகு,mugura
48,Bauch::N,வயிறு,рушку
49,Bauch::N,வயிறு,vēders
50,Nabel::N,தொப்புள்,гӧг
51,Nabel::N,தொப்புள்,naba
52,Busen::N,மார்பகம்,морӧс
53,Busen::N,மார்பகம்,krūts
54,Brust::N, மார்பு,морӧс
55,Brust::N, மார்பு,krūts
56,Schulter::N,தோள்பட்டை,пельпом
57,Schulter::N,தோள்பட்டை,plecs
58,Arm::N,கரம்,ки
59,Arm::N,கரம்,roka
60,Arm::N,கரம்,delms
61,Ellenbogen::N,முழங்கை,гырддза
62,Ellenbogen::N,முழங்கை,elkonis
63,Hand::N,கை,ки
64,Hand::N,கை,roka
65,Hand::N,கை,plauksta
66,Handfläche::N,உள்ளங்கை,ки пыдӧс
67,Handfläche::N,உள்ளங்கை,delna
68,Handfläche::N,உள்ளங்கை,plauksta
69,Finger::N,விரல்,чунь
70,Finger::N,விரல்,pirksts
71,Fingernagel::N,விரல் நகம்,гыж
72,Fingernagel::N,விரல் நகம்,nags
73,Nagel[Anatomie]::N,நகம்,гыж
74,Nagel[Anatomie]::N,நகம்,nags
75,Zeh::N,கால்விரல்,кок чунь
76,Zeh::N,கால்விரல்,pirksts
77,Fuß::N,கால்,кок
78,Fuß::N,கால்,kāja
79,Ferse::N,குதிகால்,кокбӧр
80,Ferse::N,குதிகால்,papēdis
81,Knie::N,முழங்கால்,пидзӧс
82,Knie::N,முழங்கால்,celis
83,Oberschenkel::N,தொடை,лядьвей
84,Oberschenkel::N,தொடை,бек
85,Oberschenkel::N,தொடை,ciska
86,Oberschenkel::N,தொடை,augšstilbs
87,Bein::N,கால்,кок
88,Bein::N,கால்,kāja
89,Körper::N,உடல்,туша
90,Körper::N,உடல்,вывтыр
91,Körper::N,உடல்,miesa
92,Körper::N,உடல்,ķermenis
93,Haut::N,சருமம்,ку
94,Haut::N,சருமம்,āda
95,Blut::N,இரத்தம்,вир
96,Blut::N,இரத்தம்,asins
97,Ader::N,நாளம்,сӧн
98,Ader::N,நாளம்,asinsvads
99,Sehne::N,தசைநார்,вез
100,Sehne::N,தசைநார்,dzīsla
101,Knochen::N,எலுமபு,лы
102,Knochen::N,எலுமபு,kauls
103,Gehirn::N,மூனை,вем
104,Gehirn::N,மூனை,smadzenes
105,Herz::N,இதயம,сьӧлӧм
106,Herz::N,இதயம,sirds
107,Magen::N,வயிறு,кынӧм
108,Magen::N,வயிறு,kuņģis
109,Leber::N,கல்லீரல்,мус
110,Leber::N,கல்லீரல்,aknas
111,Atem::N,மூச்சு,лов
112,Atem::N,மூச்சு,elpa
113,Hunger::N,பசி,тшыг
114,Hunger::N,பசி,bads
115,Hunger::N,பசி,izsalkums
116,Träne::N,கண்ணீர்,синва
117,Träne::N,கண்ணீர்,asara
118,Geschmack::N,நறுமணம்,кӧр
119,Geschmack::N,நறுமணம்,чӧсмӧс
120,Geschmack::N,நறுமணம்,garša
121,Geruch::N,துர்நாற்றம்,зын
122,Geruch::N,துர்நாற்றம்,дук
123,Geruch::N,துர்நாற்றம்,smaka
124,Schlaf::N,தூக்கம்,узьӧм
125,Schlaf::N,தூக்கம்,miegs
126,Traum::N,கனவு,вӧт
127,Traum::N,கனவு,вӧтасьӧм
128,Traum::N,கனவு,sapnis
129,Himmel::N,வானம்,енэж
130,Himmel::N,வானம்,debess
131,Sonne::N,சூரியன்,шонді
132,Sonne::N,சூரியன்,saule
133,Mond::N,சந்திரன்,тӧлысь
134,Mond::N,சந்திரன்,mēness
135,Stern::N,நட்சத்திரம்,кодзув
136,Stern::N,நட்சத்திரம்,zvaigzne
137,Luft::N,காறறு,сынӧд
138,Luft::N,காறறு,gaiss
139,Wind::N,காற்று,тӧв
140,Wind::N,காற்று,vējš
141,Welle::N,அலை,гы
142,Welle::N,அலை,vilnis
143,Wasser::N,நீர்,ва
144,Wasser::N,நீர்,ūdens
145,Stein::N,கல்,из
146,Stein::N,கல்,akmens
147,Boden::N,தரை,му
148,Boden::N,தரை,augsne
149,Erde::N,மண்,му
150,Erde::N,மண்,му-ва
151,Erde::N,மண்,zeme
152,Staub::N,தூசி,бус
153,Staub::N,தூசி,putekļi
154,Rauch::N,புகை,тшын
155,Rauch::N,புகை,dūmi
156,Funke::N,தீப்பொறி,кинь
157,Funke::N,தீப்பொறி,би кинь
158,Funke::N,தீப்பொறி,dzirkstele
159,Feuer::N,தீ,би
160,Feuer::N,தீ,uguns
161,Licht::N,வெளிச்சம்,югӧр
162,Licht::N,வெளிச்சம்,gaisma
163,Schatten::N,நிழல்,вуджӧр
164,Schatten::N,நிழல்,ēna
165,Wetter::N,வானிலை,поводдя
166,Wetter::N,வானிலை,laiks
167,Nebel::N,பனிமூட்டம்,ру
168,Nebel::N,பனிமூட்டம்,онь
169,Nebel::N,பனிமூட்டம்,migla
170,Wolke::N,மேகம்,кымӧр
171,Wolke::N,மேகம்,mākonis
172,Regen::N,மழை,зэр
173,Regen::N,மழை,lietus
174,Schnee::N,உறைபனி,лым
175,Schnee::N,உறைபனி,sniegs
176,Eis::N,பனிக்கட்டி,йи
177,Eis::N,பனிக்கட்டி,ledus
178,Frost::N,உறைபனி,кӧдзыд
179,Frost::N,உறைபனி,sals
180,Kälte::N,குளிர்ந்த,кӧдзыд
181,Kälte::N,குளிர்ந்த,saltums
182,Kälte::N,குளிர்ந்த,aukstums
183,Hitze::N,சூடு,пӧсь
184,Hitze::N,சூடு,гожӧд
185,Hitze::N,சூடு,karstums
186,Raureif::N,உறைபனி வெண்திரை,пуж
187,Raureif::N,உறைபனி வெண்திரை,гыӧр
