,Concept_ID,fa,el
0,Auge::N,چشم,μάτι
1,Auge::N,چشم,οφθαλμός
2,Ohr::N,گوش,αυτί
3,Nase::N,بینی,μύτη
4,Mund::N,دهان,στόμα
5,Zahn::N,دندان,δόντι
6,Zunge::N,زبان,γλώσσα
7,Lippe::N,لب,χείλος
8,Wange::N,لپ,παρειά
9,Wange::N,لپ,μάγουλο
10,Gesicht::N,رو,πρόσωπο
11,Gesicht::N,چهره,πρόσωπο
12,Stirn::N,پیشانی,μέτωπο
13,Haar::N,مو,μαλλιά
14,Schnurrbart::N,سبیل,μουστάκι
15,Bart::N,ریش,γένια
16,Kinn::N,چانه,πιγούνι
17,Kiefer[Anatomie]::N,فک,σαγόνι
18,Kiefer[Anatomie]::N,آرواره,σαγόνι
19,Kehle::N,حلق,λαρύγγι
20,Hals::N,گردن,λαιμός
21,Genick::N,پشت گردن,σβέρκος
22,Kopf::N,سر,κεφάλι
23,Kopf::N,کله,κεφάλι
24,Rücken::N,پشت,ράχη
25,Bauch::N,شکم,κοιλιά
26,Nabel::N,ناف,αφαλός
27,Busen::N,پستان,στήθος
28,Brust::N,سینه,στήθος
29,Schulter::N,دوش,ώμος
30,Schulter::N,شانه,ώμος
31,Arm::N,بازو,χέρι
32,Arm::N,بازو,μπράτςο
33,Ellenbogen::N,آرنج,αγκώνας
34,Hand::N,دست,χέρι
35,Handfläche::N,کف دست,παλάμη
36,Finger::N,انگشت,δάχτυλο
37,Fingernagel::N,ناخن دست,νύχι
38,Nagel[Anatomie]::N,ناخن,νύχι
39,Zeh::N,انگشت پا,δάχτυλο του ποδιού
40,Fuß::N,پا,πόδι
41,Ferse::N,پاشنه,φτέρνα
42,Knie::N,زانو,γόνατο
43,Oberschenkel::N,ران,μηρός
44,Bein::N,پا,πόδι
45,Bein::N,لنگ,πόδι
46,Körper::N,تن,σώμα
47,Körper::N,تن,κορμί
48,Körper::N,بدن,σώμα
49,Körper::N,بدن,κορμί
50,Haut::N,پوست,πετσί
51,Blut::N,خون,αίμα
52,Ader::N,رگ,φλέβα
53,Sehne::N,زردپی,νεύρο
54,Sehne::N,زردپی,τένοντας
55,Knochen::N,استخوان,οστό
56,Knochen::N,استخوان,κόκκαλο
57,Gehirn::N,مخ,μυαλό
58,Gehirn::N,مخ,εγκέφαλος
59,Gehirn::N,مغز,μυαλό
60,Gehirn::N,مغز,εγκέφαλος
61,Herz::N,دل,καρδιά
62,Herz::N,قلب,καρδιά
63,Magen::N,معده,στομάχι
64,Leber::N,کبد,ήπαρ
65,Leber::N,کبد,συκωτί
66,Atem::N,نفس,αναπνοή
67,Hunger::N,گرسنگی,πείνα
68,Träne::N,اشک,δάκρυ
69,Geschmack::N,مزه,γεύση
70,Geruch::N,بو,οσμή
71,Geruch::N,بو,μυρωδία
72,Schlaf::N,خواب,ύπνος
73,Traum::N,رؤیا,όνειρο
74,Himmel::N,فلک,ουρανός
75,Himmel::N,آسمان,ουρανός
76,Sonne::N,آفتاب,ήλιος
77,Sonne::N,خورشید,ήλιος
78,Mond::N,ماه,σελήνη
79,Mond::N,ماه,φεγγάρι
80,Stern::N,ستاره,άστρο
81,Stern::N,ستاره,αστέρι
82,Luft::N,هوا,αέρας
83,Wind::N,باد,αέρας
84,Wind::N,باد,άνεμος
85,Welle::N,موج,κύμα
86,Wasser::N,آب,νερό
87,Stein::N,سنگ,πέτρα
88,Boden::N,زمین,χώμα
89,Erde::N,خاک,γη
90,Erde::N,زمین,γη
91,Staub::N,گرد,σκόνη
92,Staub::N,غبار,σκόνη
93,Rauch::N,دود,καπνός
94,Funke::N,جرقه,σπίθα
95,Funke::N,جرقه,σπινθήρας
96,Feuer::N,آتش,φωτιά
97,Licht::N,نور,φως
98,Licht::N,روشنی,φως
99,Schatten::N,سایه,σκιά
100,Schatten::N,سایه,ίσκιος
101,Wetter::N,هوا,καιρός
102,Nebel::N,مه,ομίχλη
103,Wolke::N,ابر,σύννεφο
104,Regen::N,باران,βροχή
105,Schnee::N,برف,χιόνι
106,Eis::N,یخ,πάγος
107,Frost::N,یخبندان,παγωνία
108,Kälte::N,سرما,κρύο
109,Kälte::N,سرما,ψύχος
110,Hitze::N,گرما,ζέστη
111,Hitze::N,حرارت,ζέστη
112,Raureif::N,برف ریزه,πάχνη
113,Regenbogen::N,رنگین‌کمان,ουράνιο τόξο
114,Donner::N,رعد,βροντή
115,Strömung::N,جریان,ρεύμα
116,Tropfen::N,قطره,στάλα
117,Schaum::N,کف,αφρός
118,Schmutz::N,گل,βρωμιά
119,Schmutz::N,کثافت,βρωμιά
120,See::N,دریاچه,λίμνη
121,Sumpf::N,مرداب,βάλτος
122,Sumpf::N,باتلاق,βάλτος
123,Moor::N,باتلاق,έλος
124,Wiese::N,چمن,λιβάδι
125,Wald::N,جنگل,δάσος
126,Hügel::N,تل,λόφος
127,Hügel::N,تپه,λόφος
128,Anhöhe::N,بلندی,ύψωμα
129,Berg::N,کوه,όρος
130,Berg::N,کوه,βουνό
131,Gipfel::N,قله,κορυφή
132,Höhle::N,غار,σπηλιά
133,Abhang::N,سرازیری,πλαγιά
134,Quelle::N,چشمه,πηγή
135,Quelle::N,چشمه,βρύση
136,Bach::N,نهر,ρυάκι
137,Fluss::N,رود,ποτάμι
138,Fluss::N,رود,ποταμός
139,Ufer::N,ساحل,όχθη
140,Ufer::N,کرانه,όχθη
141,Küste::N,ساحل,ακτή
142,Küste::N,ساحل,ακρογιαλιά
143,Festland::N,خشکی,στεριά
144,Meer::N,دریا,θάλασσα
145,Bucht::N,خلیج,κόλπος
146,Insel::N,جزیره,νησί
147,Insel::N,جزیره,νήσος
148,Blume::N,گل,άνθος
149,Blume::N,گل,λουλούδι
150,Gras::N,علف,χόρτο
151,Gras::N,علف,χορτάρι
152,Wurzel::N,ریشه,ρίζα
153,Baum::N,درخت,δέντρο
154,Stamm::N,تنه,κορμός
155,Rinde::N,توژ,φλούδα
156,Rinde::N,پوست,φλούδα
157,Ast::N,شاخه,κλαδί
158,Zweig::N,شاخه,κλαδί
159,Zweig::N,شاخه,κλάδος
160,Blatt::N,برگ,φύλλο
161,Birke::N,غان,σημύδα
162,Kiefer[Baum]::N,کاج,πεύκο
163,Weide[Baum]::N,بید,ιτιά
164,Tanne::N,صنوبر,έλατο
165,Horn::N,شاخ,κέρας
166,Horn::N,شاخ,κέρατο
167,Feder::N,پر,φτερό
168,Fell::N,خز,δέρμα
169,Fell::N,خز,τομάρι
170,Flügel::N,پر,πτερύγιο
171,Flügel::N,بال,πτερύγιο
172,Klaue::N,چنگ,κουλό
173,Klaue::N,پنجه,κουλό
174,Kralle::N,پنجه,νύχι
175,Schwanz::N,دم,ουρά
176,Ei::N,تخم,αβγό
177,Nest::N,لانه,φωλιά
178,Bau::N,بنا,φωλιά
179,Bau::N,ساختمان,φωλιά
180,Tier::N,هیوان,ζώο
181,Herde::N,رمه,κοπάδι
182,Kuh::N,گاو,αγελάδα
183,Bulle::N,گاو نر,ταύρος
184,Pferd::N,اسب,άλογο
185,Schaf::N,گوسفند,πρόβατο
186,Schwein::N,خوک,γουρούνι
187,Hund::N,سگ,σκυλί
188,Hund::N,سگ,σκύλος
189,Katze::N,گربه,γάτα
190,Bär::N,خرس,άρκτος
191,Bär::N,خرس,αρκούδα
192,Eichhörnchen::N,سنجاب,βερβερίτσα
193,Elch::N,گوزن شمالی,άλκη
194,Fuchs::N,روباه,αλεπού
195,Hase::N,خرگوش,λαγός
196,Maus::N,موش,ποντικός
197,Wolf::N,گرگ,λύκος
198,Vogel::N,پرنده,πουλί
199,Schwarm::N,دسته,σμήνος
200,Huhn::N,مرغ,κότα
201,Huhn::N,مرغ,όρνιθα
202,Hahn::N,خروس,πετεινός
203,Gans::N,غاز,χήνα
204,Adler::N,عقاب,αετός
205,Ente::N,اردک,πάπια
206,Ente::N,مرغابی,πάπια
207,Eule::N,جغد,κουκουβάγια
208,Kranich::N,درنا,γερανός
209,Krähe::N,زاغ,καρακάξα
210,Krähe::N,کلاغ,καρακάξα
211,Kuckuck::N,فاخته,κούκος
212,Schwan::N,قو,κύκνος
213,Fisch::N,ماهی,ψάρι
214,Barsch::N,ماهی خاردار,πέρκα
215,Hecht::N,اردک ماهی,λούτσος
216,Schlange[Tier]::N,مار,φίδι
217,Wurm::N,کرم,σκουλήκι
218,Spinne::N,عنکبوت,αράχνη
219,Ameise::N,مورچه,μυρμήγκι
220,Laus::N,شپش,ψείρα
221,Mücke::N,پشه,κουνούπι
222,Fliege::N,مگس,μύγα
223,Schmetterling::N,پروانه,πεταλούδα
224,Beere::N,گیله,ρόγα
225,Apfel::N,سیب,μήλο
226,Pilz::N,قارچ,μανιτάρι
227,Zwiebel::N,پیاز,κρεμμύδι
228,Saat::N,بذر,σπόρος
229,Korn::N,تخم,σπυρί
230,Korn::N,دانه,σπυρί
231,Heu::N,علف خشک,σανός
232,Schale::N,پوست,τσόφλι
233,Grube::N,گودال,λάκκος
234,Falle::N,دام,παγίδα
235,Schlinge::N,حلقه,θηλειά
236,Spur::N,رد,ίχνος
237,Asche::N,خاکستر,στάχτη
238,Dreck::N,کثافت,βρωμιά
239,Eisen::N,آهن,σίδερο
240,Gold::N,زر,μάλαμα
241,Gold::N,زر,χρυσάφι
242,Gold::N,طلا,μάλαμα
243,Gold::N,طلا,χρυσάφι
244,Silber::N,نقره,ασήμι
245,Silber::N,نقره,άργυρος
246,Kohle::N,زغال,κάρβουνο
247,Glas::N,شیشه,γυαλί
248,Lehm::N,گل,πηλός
249,Sand::N,شن,άμμος
250,Sand::N,ماسه,άμμος
251,Mensch::N,آدم,άνθρωπος
252,Mensch::N,انسان,άνθρωπος
253,Mann::N,مرد,άνδρας
254,Frau::N,زن,γυναίκα
255,Kind::N,بچه,παιδί
256,Kind::N,کودک,παιδί
257,Junge::N,پسر,αγόρι
258,Mädchen::N,دختر,κοπέλα
259,Mädchen::N,دختر,κορίτσι
260,Familie::N,فامیل,οικογένεια
261,Familie::N,خانواده,οικογένεια
262,Großvater::N,پدربزرگ,παππούς
263,Großmutter::N,مادر‌بزرگ,γιαγιά
264,Eltern::N,والدین,γονείς
265,Eltern::N,پدر‌و‌مادر,γονείς
266,Vater::N,پدر,πατέρας
267,Mutter::N,مادر,μητέρα
268,Sohn::N,پسر,γιος
