,Concept_ID,fr,mdf
0,Auge::N,œil,сельме
1,Ohr::N,oreille,пиле
2,Nase::N,nez,шалхка
3,Mund::N,bouche,курга
4,Zahn::N,dent,пей
5,Zunge::N,langue,кяль
6,Lippe::N,lèvre,търва́
7,Wange::N,joue,щёка
8,Gesicht::N,face,шама
9,Gesicht::N,visage,шама
10,Stirn::N,front,коня
11,Haar::N,cheveu,шя́ярь
12,Schnurrbart::N,moustache,уса́
13,Bart::N,barbe,сакал
14,Kinn::N,menton,ула
15,Kiefer[Anatomie]::N,mâchoire,саласка
16,Kehle::N,gorge,кълдома
17,Kehle::N,gorge,кърга́парь
18,Hals::N,cou,сялдаз
19,Genick::N,nuque,шовонь
20,Kopf::N,tête,пря
21,Rücken::N,dos,копорь
22,Bauch::N,ventre,пеке
23,Nabel::N,nombril,по́кон
24,Busen::N,sein,потя
25,Brust::N,poitrine,мяште
26,Schulter::N,épaule,лафту
27,Arm::N,bras,кядь
28,Ellenbogen::N,coude,кенерьба́карь
29,Hand::N,main,кядь
30,Handfläche::N,paume,кядьлапш
31,Finger::N,doigt,сур
32,Fingernagel::N,ongle,кенже
33,Nagel[Anatomie]::N,ongle,кенже
34,Zeh::N,orteil,пильгосу́р
35,Zeh::N,doigt de pied,пильгосу́р
36,Fuß::N,pied,пильге
37,Fuß::N,pied,пильгелапа
38,Ferse::N,talon,кочкяря
39,Knie::N,genou,эль
40,Knie::N,genou,пълма́нжа
41,Oberschenkel::N,cuisse,пильгепукша
42,Bein::N,jambe,пильге
43,Körper::N,corps,ро́нга
44,Körper::N,corps,по́нда
45,Haut::N,peau,киське
46,Blut::N,sang,вер
47,Ader::N,veine,сан
48,Ader::N,veine,верза́н
49,Sehne::N,tendon,коське сан
50,Knochen::N,os,пакарь
51,Gehirn::N,cerveau,уй
52,Herz::N,cœur,седи
53,Magen::N,estomac,коткърдазь
54,Leber::N,foie,макса
55,Atem::N,haleine,лекома
56,Atem::N,haleine,ваймонь тарксема
57,Hunger::N,faim,вачеши
58,Träne::N,larme,сельмове́дь
59,Geschmack::N,goût,таньф
60,Geschmack::N,saveur,таньф
61,Geruch::N,odeur,шине
62,Schlaf::N,sommeil,удома́
63,Traum::N,songe,он
64,Himmel::N,ciel,менель
65,Sonne::N,soleil,ши
66,Mond::N,lune,ков
67,Stern::N,étoile,тяште
68,Luft::N,air,кожф
69,Wind::N,vent,варма
70,Welle::N,vague,тавла
71,Wasser::N,eau,ведь
72,Stein::N,pierre,кев
73,Boden::N,sol,мода
74,Boden::N,sol,потмакс
75,Boden::N,terrain,мода
76,Boden::N,terrain,потмакс
77,Erde::N,terre,мода
78,Erde::N,terre,мастор
79,Staub::N,poussière,пуль
80,Rauch::N,fumée,качам
81,Funke::N,étincelle,ця́тка
82,Feuer::N,feu,тол
83,Licht::N,lumière,ва́лда
84,Schatten::N,ombre,цильф
85,Wetter::N,temps,уша
86,Nebel::N,brume,тума́н
87,Nebel::N,brouillard,тума́н
88,Wolke::N,nuage,ковол
89,Regen::N,pluie,пизем
90,Schnee::N,neige,лов
91,Eis::N,glace,эй
92,Frost::N,gel,ке́льме
93,Frost::N,gelée,ке́льме
94,Kälte::N,froid,якшама
95,Hitze::N,chaleur,пси
96,Raureif::N,givre,леш
97,Regenbogen::N,arc-en-ciel,а́тямъёнга
98,Donner::N,tonnerre,атям
99,Strömung::N,courant,шудема́
100,Tropfen::N,goutte,путькс
101,Tropfen::N,goutte,пътняфкс
102,Schaum::N,écume,шов
103,Schaum::N,mousse,шов
104,Schmutz::N,boue,ърда́з
105,Schmutz::N,saleté,ърда́з
106,See::N,lac,эрьхке
107,Sumpf::N,marais,шяй
108,Sumpf::N,marécage,шяй
109,Moor::N,tourbière,шяй
110,Wiese::N,pré,луга
111,Wald::N,bois,вирь
112,Wald::N,forêt,вирь
113,Hügel::N,coteau,губо́р
114,Hügel::N,coteau,пандоня
115,Hügel::N,colline,губо́р
116,Hügel::N,colline,пандоня
117,Anhöhe::N,éminence,губо́р
118,Anhöhe::N,élévation,губо́р
119,Berg::N,mont,панда
120,Berg::N,montagne,панда
121,Gipfel::N,cime,пря
122,Gipfel::N,sommet,пря
123,Höhle::N,caverne,у́нда
124,Abhang::N,pente,па́нда ша́ма
125,Abhang::N,versant,па́нда ша́ма
126,Quelle::N,source,эшиня
127,Quelle::N,fontaine,эшиня
128,Bach::N,ruisseau,шудерькс
129,Fluss::N,fleuve,ляй
130,Fluss::N,rivière,ляй
131,Ufer::N,bord,търва́
132,Ufer::N,rivage,търва́
133,Küste::N,côte,ляйтърва́
134,Festland::N,terre ferme,мода
135,Meer::N,mer,моря
136,Bucht::N,baie,ведьуське
137,Insel::N,île,цёнга
138,Blume::N,fleur,панчф
139,Gras::N,herbe,тише
140,Wurzel::N,racine,юр
141,Wurzel::N,racine,ункс
142,Baum::N,arbre,шуфта
143,Stamm::N,tronc,ро́нга
144,Rinde::N,écorce,кер
145,Ast::N,branche,морга
146,Zweig::N,rameau,тарад
147,Blatt::N,feuille,лопа
148,Birke::N,bouleau,ке́лу
149,Kiefer[Baum]::N,pin,пиче
150,Weide[Baum]::N,saule,каль
151,Tanne::N,sapin,куз
152,Horn::N,corne,сюра
153,Feder::N,plume,толга
154,Fell::N,peau,кедь
155,Flügel::N,aile,паця
156,Klaue::N,serre,кенже
157,Kralle::N,ongle,кенже
158,Kralle::N,griffe,кенже
159,Schwanz::N,queue,пула
160,Ei::N,œuf,ал
161,Nest::N,nid,пиза
162,Bau::N,terrier,пиза
163,Tier::N,animal,жува́та
164,Herde::N,troupeau,нал
165,Herde::N,troupeau,стада
166,Kuh::N,vache,скал
167,Kuh::N,vache,тракс
168,Bulle::N,taureau,бука
169,Pferd::N,cheval,лишме
170,Schaf::N,mouton,уча́
171,Schwein::N,porc,тува
172,Schwein::N,cochon,тува
173,Hund::N,chien,пине
174,Katze::N,chat,катоня
175,Katze::N,chat,аваката
176,Bär::N,ours,офта
177,Eichhörnchen::N,écureuil,ур
178,Elch::N,élan,ся́рда
179,Fuchs::N,renard,келазь
180,Hase::N,lièvre,ну́мол
181,Maus::N,souris,шеер
182,Wolf::N,loup,върьгаз
183,Vogel::N,oiseau,нармонь
184,Schwarm::N,nuée,ко́вол
185,Schwarm::N,nuée,ме́швеле
186,Schwarm::N,volée,ко́вол
187,Schwarm::N,volée,ме́швеле
188,Huhn::N,poule,сараз
189,Hahn::N,coq,а́тякш
190,Gans::N,oie,маци
191,Adler::N,aigle,куцькан
192,Ente::N,canard,яксярга
193,Eule::N,hibou,ко́рож
194,Kranich::N,grue,ка́рга
195,Krähe::N,corneille,ва́рси
196,Kuckuck::N,coucou,ку́ку
197,Schwan::N,cygne,ло́ксти
198,Fisch::N,poisson,кал
199,Barsch::N,perche,о́кунь
200,Hecht::N,brochet,щу́ка
201,Schlange[Tier]::N,serpent,куй
202,Wurm::N,ver,сукс
203,Spinne::N,araignée,унжа́
204,Ameise::N,fourmi,панжам
205,Laus::N,pou,си
206,Mücke::N,moucheron,ся́ське
207,Fliege::N,mouche,кару
208,Schmetterling::N,papillon,ме́лав
209,Beere::N,baie,и́мож
210,Apfel::N,pomme,марь
211,Pilz::N,champignon,панга
212,Zwiebel::N,oignon,шурьхкя́
213,Saat::N,semence,видьмот
214,Korn::N,grain,сёра
215,Heu::N,foin,тише
216,Schale::N,pelure,кедь
217,Grube::N,fosse,лотка
218,Falle::N,piège,туфкс
219,Falle::N,piège,кунда́ма
220,Schlinge::N,lacs,килькш
221,Spur::N,trace,пильгоки́
222,Asche::N,cendre,кулу
223,Dreck::N,crotte,ърда́з
224,Eisen::N,fer,кшни
225,Gold::N,or,ока
226,Gold::N,or,золота
227,Silber::N,argent,сия́
228,Kohle::N,charbon,седь
229,Kohle::N,charbon,седьвальмя
230,Glas::N,verre,кля́нцек
231,Lehm::N,glaise,сёвонь
232,Sand::N,sable,шува́р
233,Mensch::N,homme,ломань
234,Mann::N,homme,аля
235,Mann::N,homme,цёраломань
236,Frau::N,femme,ава
237,Kind::N,enfant,идь
238,Kind::N,enfant,шаба
239,Junge::N,garçon,цёраня
240,Mädchen::N,fille,стирня́
241,Mädchen::N,jeune fille,стирня́
242,Familie::N,famille,тнал
243,Familie::N,famille,семья
244,Großvater::N,grand-père,атя
245,Großvater::N,grand-père,щя́тя
246,Großmutter::N,grand-mère,баба
247,Eltern::N,parents,тя́дят-а́лят
248,Vater::N,père,аля
249,Mutter::N,mère,ава
250,Mutter::N,mère,тядя
251,Sohn::N,fils,цёра
252,Tochter::N,fille,стирь
253,Bruder::N,frère,дуган
254,Bruder::N,frère,пяльне
255,Schwester::N,sœur,ака
256,Schwester::N,sœur,сазор
257,Onkel::N,oncle,оця
258,Onkel::N,oncle,патя
259,Onkel::N,oncle,щеня́
260,Tante::N,tante,ака
261,Tante::N,tante,щака
262,Ehemann::N,mari,мирде
263,Ehemann::N,époux,мирде
264,Ehefrau::N,femme,ърьвя́
265,Ehefrau::N,épouse,ърьвя́
266,Freude::N,joie,ке́нярдема
267,Freude::N,plaisir,ке́нярдема
268,Gelächter::N,rires,рахсема
269,Glück::N,bonheur,паваз
270,Kummer::N,peine,ризф
271,Kummer::N,peine,пичефкс
272,Kummer::N,chagrin,ризф
273,Kummer::N,chagrin,пичефкс
274,Wunsch::N,désir,мяль
275,Wunsch::N,désir,таколдома
276,Lust::N,envie,таколдома
277,Geist::N,esprit,вайме
278,Gedanke::N,idée,мяль
279,Gedanke::N,pensée,мяль
280,Gedächtnis::N,mémoire,прявий
281,Verstand::N,raison,прявий
282,Sinn::N,sens,ён
283,Grund::N,cause,туфта́л
284,Grund::N,raison,туфта́л
285,Wahrheit::N,vérité,ви́де
286,Wahrheit::N,vérité,видеши́
287,Gespräch::N,conversation,корхтама
288,Märchen::N,conte,ёфкс
289,Märchen::N,conte de fées,ёфкс
290,Erzählung::N,conte,азкс
291,Erzählung::N,narration,азкс
