,Concept_ID,he,sah
0,Auge::N,עין,харах
1,Ohr::N,אזן,кулгаах
2,Nase::N,אף,мурун
3,Nase::N,חטם,мурун
4,Mund::N,פה,айах
5,Zahn::N,שן,тиис
6,Zunge::N,לשון,тыл
7,Lippe::N,שפה,уос
8,Wange::N,לחי,иэдэс
9,Gesicht::N,פנים,сирэй
10,Stirn::N,מצח,сүүс
11,Haar::N,שערה,баттах
12,Schnurrbart::N,שפם,уос бытыга
13,Bart::N,זקן,сэҥийэ бытыга
14,Kinn::N,סנטר,сэҥийэ
15,Kiefer[Anatomie]::N,לסת,сыҥаах
16,Kehle::N,גרון,тамах
17,Kehle::N,גרון,күөмэй
18,Hals::N,צואר,моой
19,Genick::N,ערף,кэтэх
20,Kopf::N,ראש,бас
21,Rücken::N,גב,көҕүс
22,Bauch::N,בטן,ис
23,Nabel::N,טבור,киин
24,Busen::N,שד,эмиий
25,Brust::N,חזה,түөс
26,Schulter::N,כתף,сарын
27,Arm::N,זרוע,илии
28,Ellenbogen::N,מרפק,тоҕонох
29,Hand::N,יד,илии
30,Handfläche::N,כף יד,ытыс
31,Finger::N,אצבע,тарбах
32,Fingernagel::N,צפרן,тыҥырах
33,Nagel[Anatomie]::N,צפרן,тыҥырах
34,Zeh::N,אצבע,тарбах
35,Fuß::N,רגל,уллуҥах
36,Ferse::N,עקב,тилэх
37,Knie::N,ברך,тобук
38,Knie::N,ברך,дьилбэк
39,Oberschenkel::N,ירך,уллук
40,Oberschenkel::N,ירך,өттүк
41,Bein::N,רגל,атах
42,Körper::N,גוף,бэйэ
43,Haut::N,עור,тирии
44,Blut::N,דם,хаан
45,Ader::N,וריד,вена
46,Ader::N,וריד,күөх_тымыр
47,Sehne::N,גיד,иҥиир
48,Knochen::N,עצם,уҥуох
49,Knochen::N,עצם,уҥгуох
50,Gehirn::N,מוח,мэйии
51,Herz::N,לב,сүрэх
52,Magen::N,קבה,куртах
53,Leber::N,כבד,быар
54,Atem::N,נשימה,тыын
55,Hunger::N,רעב,аас
56,Träne::N,דמעה,харах уута
57,Geschmack::N,טעם,амтан
58,Geruch::N,ריח,сыт
59,Schlaf::N,שנה,утуйуу
60,Traum::N,חלום,түүл
61,Himmel::N,שמים,халлаан
62,Sonne::N,שמש,күн
63,Mond::N,ירח,ый
64,Stern::N,כוכב,сулус
65,Luft::N,אויר,салгын
66,Wind::N,רוח,тыал
67,Welle::N,גל,долгун
68,Welle::N,גל,балхаан
69,Wasser::N,מים,уу
70,Stein::N,אבן,таас
71,Boden::N,קרקע,сир
72,Erde::N,אדמה,буор
73,Staub::N,אבק,быыл
74,Rauch::N,עשן,буруо
75,Funke::N,ניצוץ,кыым
76,Feuer::N,אש,уот
77,Licht::N,אור,уот
78,Schatten::N,צל,күлүк
79,Wetter::N,מזג אויר,күн-дьыл
80,Nebel::N,ערפל,туман
81,Wolke::N,ענן,былыт
82,Regen::N,גשם,самыыр
83,Schnee::N,שלג,хаар
84,Eis::N,קרח,муус
85,Frost::N,צנה,тымныы
86,Kälte::N,קר,тымныы
87,Hitze::N,חם,куйаас
88,Raureif::N,כפור,кырыа
89,Regenbogen::N,קשת,кустук
90,Donner::N,רעם,этиҥ
91,Strömung::N,זרימה,сүүрүк
92,Tropfen::N,טפה,таммах
93,Tropfen::N,טפה,хааппыла
94,Schaum::N,קצף,күүгэн
95,Schmutz::N,לכלוך,кир
96,See::N,אגם,күөл
97,Sumpf::N,בצה,бадараан
98,Moor::N,בצה,дьэбэрэ
99,Wiese::N,מרעה,ходуһа
100,Wald::N,יער,ойуур
101,Hügel::N,תל,булгунньах
102,Anhöhe::N,מעלה,үрдэл
103,Berg::N,הר,хайа
104,Gipfel::N,פסגה,чыпчаал
105,Höhle::N,מערה,хайа_хаспаҕа
106,Höhle::N,מערה,көҥүс
107,Abhang::N,מדרון,эниэ
108,Abhang::N,שפוע,эниэ
109,Quelle::N,מעין,дьүүктэ
110,Bach::N,נחל,үрүйэ
111,Fluss::N,נהר,өрүс
112,Ufer::N,גדה,биэрэк
113,Küste::N,חוף,кытыл
114,Festland::N,יבשה,кураанах сир
115,Meer::N,ים,муора
116,Bucht::N,מפרץ,хомо
117,Bucht::N,מפרץ,бухта
118,Insel::N,אי,арыы
119,Blume::N,פרח,сибэкки
120,Gras::N,דשא,от
121,Wurzel::N,שרש,силис
122,Baum::N,עץ,мас
123,Stamm::N,גזע,умнас
124,Rinde::N,קלפת עץ,хатырык
125,Ast::N,ענף,мутук
126,Zweig::N,ענף,лабаа
127,Blatt::N,עלה,сэбирдэх
128,Birke::N,שדר,хатыҥ
129,Kiefer[Baum]::N,ארן,бэс
130,Weide[Baum]::N,ערבה,үөт
131,Weide[Baum]::N,ערבה,талах
132,Tanne::N,אשוח,харыйа
133,Horn::N,קרן,муос
134,Feder::N,נוצה,куорсун
135,Fell::N,פרוה,тирии
136,Flügel::N,כנף,кынат
137,Klaue::N,טלף,тыҥырах
138,Kralle::N,טפר,баппаҕай
139,Schwanz::N,זנב,кутурук
140,Ei::N,ביצה,сымыыт
141,Nest::N,קן,уйа
142,Bau::N,מחלה,хороон
143,Tier::N,חיה,кыыл
144,Tier::N,חיה,харамай
