,Concept_ID,ady,el
0,Auge::N,нэ,μάτι
1,Auge::N,нэ,οφθαλμός
2,Ohr::N,тхьакӏу́м,αυτί
3,Nase::N,пэ,μύτη
4,Mund::N,жэ,στόμα
5,Zahn::N,цэ,δόντι
6,Zunge::N,бзэгу,γλώσσα
7,Lippe::N,ӏупшӏэ́,χείλος
8,Wange::N,нэкӏу́шъу,παρειά
9,Wange::N,нэкӏу́шъу,μάγουλο
10,Gesicht::N,нэ́гу,πρόσωπο
11,Stirn::N,натӏэ́,μέτωπο
12,Haar::N,шъхьацы́,μαλλιά
13,Bart::N,жакӏэ́,γένια
14,Kinn::N,жэкӏэпэпкъ,πιγούνι
15,Kiefer[Anatomie]::N,жэпкъы́,σαγόνι
16,Kehle::N,чый,λαρύγγι
17,Hals::N,пшъэ,λαιμός
18,Genick::N,шъхьэпхэтыку,σβέρκος
19,Kopf::N,шъхьэ́,κεφάλι
20,Rücken::N,кӏыбы́,ράχη
21,Bauch::N,ныбэ́,κοιλιά
22,Busen::N,бгъэ́,στήθος
23,Brust::N,бгъэ́,στήθος
24,Schulter::N,блыпкъ,ώμος
25,Arm::N,ӏэ,χέρι
26,Arm::N,ӏэ,μπράτςο
27,Ellenbogen::N,ӏэнтэ́гъу,αγκώνας
28,Hand::N,ӏэтхьэцу,χέρι
29,Handfläche::N,ӏэ́гу,παλάμη
30,Finger::N,ӏэхъуа́мб,δάχτυλο
31,Fingernagel::N,ӏэбжъа́н,νύχι
32,Nagel[Anatomie]::N,ӏэбжъа́н,νύχι
33,Zeh::N,ӏэхъуа́мб,δάχτυλο του ποδιού
34,Fuß::N,лъэгу,πόδι
35,Ferse::N,лъэдакъэ,φτέρνα
36,Knie::N,лъагуа́ндж,γόνατο
37,Oberschenkel::N,ко,μηρός
38,Bein::N,лъакъо́,πόδι
39,Körper::N,пкъышъол,σώμα
40,Körper::N,пкъышъол,κορμί
41,Haut::N,кӏы́шъу,πετσί
42,Blut::N,лъы,αίμα
43,Ader::N,льытф,φλέβα
44,Sehne::N,фэ,νεύρο
45,Sehne::N,фэ,τένοντας
46,Knochen::N,къупшъхьэ́,οστό
47,Knochen::N,къупшъхьэ́,κόκκαλο
48,Gehirn::N,куцӏы,μυαλό
49,Gehirn::N,куцӏы,εγκέφαλος
50,Herz::N,гу,καρδιά
51,Magen::N,мышкӏу,στομάχι
52,Leber::N,шӏу,ήπαρ
53,Leber::N,шӏу,συκωτί
54,Atem::N,къэщэныр,αναπνοή
55,Hunger::N,гъаблэ́,πείνα
