,Concept_ID,ro,ps
0,Auge::N,ochi,سترګه
1,Ohr::N,ureche,غوږ
2,Nase::N,nas,پوزه
3,Mund::N,gură,خوله
4,Zahn::N,dinte,غاښ
5,Zunge::N,limbă,جبه
6,Lippe::N,buză,شونډه
7,Wange::N,bucă,باړخو
8,Wange::N,obraz,باړخو
9,Gesicht::N,față,مخ
10,Gesicht::N,figură,مخ
11,Stirn::N,frunte,تندی
12,Stirn::N,frunte,وچولی
13,Haar::N,păr,وېښته
14,Schnurrbart::N,mustață,برېت
15,Bart::N,barbă,ږیره
16,Kinn::N,bărbie,زنه
17,Kiefer[Anatomie]::N,falcă,جامه
18,Kehle::N,beregată,غاړه
19,Hals::N,gât,غاړه
20,Genick::N,ceafă,ورمېږ
21,Kopf::N,cap,سر
22,Rücken::N,dos,شا
23,Rücken::N,spate,شا
24,Rücken::N,spinare,شا
25,Bauch::N,burtă,نس
26,Bauch::N,burtă,ګېډه
27,Bauch::N,pântece,نس
28,Bauch::N,pântece,ګېډه
29,Nabel::N,buric,نوم
30,Busen::N,sân,تی
31,Brust::N,piept,سینه
32,Schulter::N,umăr,اوږه
33,Schulter::N,spate,اوږه
34,Arm::N,braț,لاس
35,Ellenbogen::N,cot,څنګل
36,Hand::N,mână,لاس
37,Handfläche::N,palmă,ورغوی
38,Finger::N,deget,ګوته
39,Fingernagel::N,unghie,نوک
40,Nagel[Anatomie]::N,unghie,نوک
41,Zeh::N,deget de la picior,ګوته
42,Fuß::N,picior,پښه
43,Ferse::N,călcâi,پونده
44,Knie::N,genunchi,زنګون
45,Oberschenkel::N,coapsă,پتون
46,Bein::N,picior,پښه
47,Körper::N,corp,ځان
48,Haut::N,piele,پوټکی
49,Blut::N,sânge,وینه
50,Ader::N,vână,رګ
51,Ader::N,arteră,رګ
52,Sehne::N,tendon,پله
53,Knochen::N,os,هډوکی
54,Gehirn::N,creier,ماغزه
55,Herz::N,inimă,زړه
56,Magen::N,stomac,معده
57,Leber::N,ficat,ينه
58,Leber::N,ficat,ځیګر
59,Atem::N,răsuflare,نفس
60,Atem::N,respirație,نفس
61,Hunger::N,foame,ولږه
62,Träne::N,lacrimă,اوښکه
63,Geschmack::N,gust,مزه
64,Geschmack::N,gust,خوند
65,Geruch::N,miros,بوی
66,Schlaf::N,somn,خوب
67,Traum::N,vis,خوب
68,Himmel::N,cer,اسمان
69,Sonne::N,soare,لمر
70,Mond::N,lună,سپوږمۍ
71,Stern::N,stea,ستوری
72,Luft::N,aer,هوا
73,Wind::N,vânt,ورښ
74,Welle::N,val,موج
75,Welle::N,undă,موج
76,Wasser::N,apă,اوبه
77,Stein::N,piatră,ډبره
78,Boden::N,sol,مځکه
79,Boden::N,pământ,مځکه
80,Erde::N,pământ,خاوره
81,Staub::N,praf,ګرد
82,Staub::N,praf,خاوره
83,Rauch::N,fum,دود
84,Rauch::N,fum,لوګی
85,Funke::N,scânteie,سپرغۍ
86,Feuer::N,foc,اور
87,Licht::N,lumină,رڼا
88,Schatten::N,umbră,سیوری
89,Wetter::N,timp,هوا
90,Wetter::N,vreme,هوا
91,Nebel::N,ceață,لړه
92,Nebel::N,negură,لړه
93,Wolke::N,nor,ورېځ
94,Regen::N,ploaie,وریا
95,Regen::N,ploaie,باران
96,Schnee::N,zăpadă,واوره
97,Eis::N,gheață,یخ
98,Eis::N,gheață,کنګل
99,Frost::N,ger,یخ
100,Kälte::N,frig,ساړه
101,Hitze::N,arșiță,تودوخي
102,Hitze::N,căldură,تودوخي
103,Raureif::N,chiciură,سپینه پرخه
104,Regenbogen::N,curcubeu,بوډۍ ټال
105,Regenbogen::N,curcubeu,سره زرغونه
106,Donner::N,tunet,تالنده
107,Strömung::N,curent,بهېدنه
108,Tropfen::N,picătură,قطره
109,Tropfen::N,picătură,څاڅکی
110,Schaum::N,spumă,ځګ
111,Schmutz::N,murdărie,ناپاکي
112,See::N,lac,جهیل
113,Sumpf::N,mlaștină,جبه
114,Moor::N,bărăgan,جبه
115,Wiese::N,fânaț,چمن
116,Wiese::N,fânaț,شنېلی
117,Wiese::N,livadă,چمن
118,Wiese::N,livadă,شنېلی
119,Wald::N,codru,ځنګل
120,Wald::N,pădure,ځنګل
121,Hügel::N,deal,تپه
122,Hügel::N,movilă,تپه
123,Anhöhe::N,deal,غونډۍ
124,Anhöhe::N,ridicătură,غونډۍ
125,Berg::N,munte,غ‍‍‍‍‍ر
126,Gipfel::N,pisc,څوکه
127,Höhle::N,peșteră,کاز
128,Abhang::N,pantă,لمن
129,Abhang::N,versant,لمن
130,Quelle::N,izvor,چینه
131,Bach::N,gârlă,واله
132,Fluss::N,râu,سیند
133,Fluss::N,fluviu,سیند
134,Ufer::N,mal,غاړه
135,Ufer::N,țărm,غاړه
136,Küste::N,coastă,ساحل
137,Festland::N,uscat,وچه
138,Meer::N,mare,بحر
139,Meer::N,mare,سمندر
140,Bucht::N,golf,کارۍ
141,Insel::N,insulă,ټاپو
142,Insel::N,insulă,جزيره
143,Blume::N,floare,ګل
144,Gras::N,iarbă,واښه
145,Wurzel::N,rădăcină,ریښه
146,Baum::N,copac,ونه
147,Baum::N,arbore,ونه
148,Stamm::N,tulpină,ډډ
149,Rinde::N,scoarță,پوستکی
150,Ast::N,cracă,ښاخ
151,Ast::N,creangă,ښاخ
152,Zweig::N,ramură,څانګه
153,Zweig::N,creangă,څانګه
154,Blatt::N,frunză,پاڼه
155,Birke::N,mesteacăn,توس
156,Kiefer[Baum]::N,pin,نښتر
157,Weide[Baum]::N,salcie,وله
158,Weide[Baum]::N,răchită,وله
159,Tanne::N,brad,ناجو
160,Horn::N,corn,ښکر
161,Feder::N,pană,بڼکه
162,Fell::N,piele,پوستکی
163,Flügel::N,aripă,وزر
164,Klaue::N,gheară,پنجه
165,Klaue::N,gheară,منګول
166,Kralle::N,labă,پنجه
167,Kralle::N,labă,منګول
168,Kralle::N,gheară,پنجه
169,Kralle::N,gheară,منګول
170,Schwanz::N,coadă,لکۍ
171,Ei::N,ou,وۍ
172,Ei::N,ou,هګۍ
173,Nest::N,cuib,جاله
174,Bau::N,bârlog,کاز
175,Bau::N,vizuină,کاز
176,Tier::N,animal,ژوی
177,Tier::N,animal,حیوان
178,Herde::N,turmă,رمه
179,Herde::N,turmă,غېله
180,Herde::N,cireadă,رمه
181,Herde::N,cireadă,غېله
182,Kuh::N,vacă,غوا
183,Bulle::N,taur,غوئی
184,Pferd::N,cal,آس
185,Schaf::N,oaie,پسه
186,Schwein::N,porc,سرکوزی
187,Hund::N,câine,سپی
188,Katze::N,pisică,پشه
189,Bär::N,urs,خرس
190,Eichhörnchen::N,veveriță,خړ لمی
191,Elch::N,elan,ګوزن
192,Fuchs::N,vulpe,سپلم
193,Hase::N,iepure,سوی
194,Maus::N,șoarece,مږک
195,Wolf::N,lup,لېوه
196,Vogel::N,pasăre,مرغه
197,Schwarm::N,cârd,سېل
198,Huhn::N,găină,چرګه
199,Hahn::N,cocoș,چرګ
200,Gans::N,gâscă,بته
201,Adler::N,vultur,عقاب
202,Ente::N,rață,ایلۍ
203,Eule::N,bufniță,ګونګی
204,Kranich::N,cocor,کلنګ
205,Krähe::N,cioară,کارغه
206,Kuckuck::N,cuc,فاخته
207,Schwan::N,lebădă,قو
208,Fisch::N,pește,کب
209,Fisch::N,pește,ماهی
210,Barsch::N,biban,
211,Hecht::N,știucă,
212,Schlange[Tier]::N,șarpe,مار
213,Wurm::N,vierme,چینجی
214,Spinne::N,păianjen,غڼه
215,Spinne::N,păianjen,تارکښ
216,Ameise::N,furnică,مېږی
217,Laus::N,păduche,سپږه
218,Mücke::N,țânțar,ماشی
219,Fliege::N,muscă,مچ
220,Schmetterling::N,fluture,پتنګ
221,Beere::N,boabă,مېوۍ
222,Apfel::N,măr,مڼه
223,Pilz::N,burete,خرېړی
224,Pilz::N,ciupercă,خرېړی
225,Zwiebel::N,ceapă,پیاز
226,Saat::N,semănătură,تخم
227,Korn::N,grâu,تخم
228,Korn::N,grâu,دانه
229,Heu::N,fân,بوس
230,Heu::N,fân,پروړه
231,Schale::N,coajă,پوستکی
232,Grube::N,groapă,کنده
233,Falle::N,cursă,دام
234,Falle::N,cursă,لومه
235,Falle::N,capcană,دام
236,Falle::N,capcană,لومه
237,Schlinge::N,laț,کړۍ
238,Spur::N,dâră,نښه
239,Asche::N,cenușă,آس
240,Asche::N,cenușă,ایره
241,Dreck::N,noroi,ناپاکي
242,Dreck::N,murdărie,ناپاکي
243,Eisen::N,fier,اوسپنه
244,Gold::N,aur,سره زر
245,Silber::N,argint,نقره
246,Silber::N,argint,سپین زر
247,Kohle::N,cărbune,سکور
248,Kohle::N,cărbune,سکاره
249,Glas::N,sticlă,ښيښه
250,Lehm::N,lut,خټه
251,Lehm::N,humă,خټه
252,Sand::N,nisip,شګه
253,Mensch::N,om,انسان
254,Mensch::N,persoană,انسان
255,Mann::N,om,سړی
256,Mann::N,om,نارینه
257,Mann::N,bărbat,سړی
258,Mann::N,bărbat,نارینه
259,Frau::N,femeie,ښځه
260,Kind::N,copil,بچی
261,Kind::N,copil,ماشوم
262,Junge::N,băiat,هلک
263,Junge::N,flăcău,هلک
264,Mädchen::N,fată,نجلۍ
265,Familie::N,familie,کورنۍ
266,Großvater::N,bunic,بابا
267,Großvater::N,tată mare,بابا
268,Großmutter::N,bunică,انا
269,Großmutter::N,mamă mare,انا
270,Eltern::N,părinți,مور او پلار
271,Vater::N,tată,پلار
272,Vater::N,părinte,پلار
