,Concept_ID,pt,pl
0,Auge::N,olho,oko
1,Ohr::N,orelha,ucho
2,Nase::N,nariz,nos
3,Mund::N,boca,usta
4,Zahn::N,dente,ząb
5,Zunge::N,língua,język
6,Lippe::N,lábio,warga
7,Wange::N,face,policzek
8,Gesicht::N,cara,twarz
9,Gesicht::N,rosto,twarz
10,Stirn::N,testa,czoło
11,Haar::N,cabelo,włos
12,Haar::N,cabelo,włosy
13,Schnurrbart::N,bigode,wąsy
14,Bart::N,barba,broda
15,Kinn::N,queixo,podbródek
16,Kiefer[Anatomie]::N,maxila,czeluść
17,Kiefer[Anatomie]::N,mandíbula,czeluść
18,Kehle::N,garganta,gardło
19,Hals::N,colo,szyja
20,Hals::N,pescoço,szyja
21,Genick::N,nuca,kark
22,Kopf::N,cabeça,głowa
23,Rücken::N,dorso,plecy
24,Rücken::N,dorso,grzbiet
25,Rücken::N,costas,plecy
26,Rücken::N,costas,grzbiet
27,Bauch::N,ventre,brzuch
28,Bauch::N,barriga,brzuch
29,Nabel::N,umbigo,pępek
30,Busen::N,seio,biust
31,Brust::N,peito,pierś
32,Schulter::N,ombro,bark
33,Schulter::N,ombro,ramię
34,Arm::N,braço,ręka
35,Arm::N,braço,ramię
36,Ellenbogen::N,cotovelo,łokieć
37,Hand::N,mão,dłoń
38,Handfläche::N,palma,dłoń
39,Handfläche::N,palma da mão,dłoń
40,Finger::N,dedo,palec
41,Fingernagel::N,unha,paznokieć
42,Nagel[Anatomie]::N,unha,paznokieć
43,Zeh::N,dedo do pé,palec
44,Fuß::N,pé,stopa
45,Ferse::N,calcanhar,pięta
46,Knie::N,joelho,kolano
47,Oberschenkel::N,coxa,udo
48,Bein::N,perna,noga
49,Körper::N,corpo,ciało
50,Haut::N,pele,skóra
51,Blut::N,sangue,krew
52,Ader::N,veia,żyła
53,Sehne::N,tendão,ścięgno
54,Knochen::N,osso,kość
55,Gehirn::N,cérebro,mózg
56,Herz::N,coração,serce
57,Magen::N,estômago,żołądek
58,Leber::N,fígado,wątroba
59,Atem::N,fôlego,dech
60,Atem::N,fôlego,oddech
61,Hunger::N,fome,głód
62,Träne::N,lágrima,łza
63,Geschmack::N,gosto,smak
64,Geruch::N,odor,woń
65,Geruch::N,odor,zapach
66,Geruch::N,cheiro,woń
67,Geruch::N,cheiro,zapach
68,Schlaf::N,sono,sen
69,Traum::N,sonho,sen
70,Himmel::N,céu,niebo
71,Sonne::N,sol,słońce
72,Mond::N,lua,księżyc
73,Stern::N,estrela,gwiazda
74,Luft::N,ar,powietrze
75,Wind::N,vento,wiatr
76,Welle::N,onda,fala
77,Wasser::N,água,woda
78,Stein::N,pedra,kamień
79,Boden::N,solo,grunt
80,Erde::N,terra,ziemia
81,Staub::N,pó,pył
82,Staub::N,pó,kurz
83,Rauch::N,fumo,dym
84,Funke::N,faísca,iskra
85,Funke::N,centelha,iskra
86,Feuer::N,fogo,ogień
87,Licht::N,luz,światło
88,Schatten::N,sombra,cień
89,Wetter::N,tempo,pogoda
90,Nebel::N,nevoeiro,mgła
91,Wolke::N,nuvem,obłok
92,Wolke::N,nuvem,chmura
93,Regen::N,chuva,deszcz
94,Schnee::N,neve,śnieg
95,Eis::N,gelo,lód
96,Frost::N,gelo,mróz
97,Frost::N,geada,mróz
98,Kälte::N,frio,chłód
99,Hitze::N,ardor,gorąco
100,Raureif::N,geada,szron
101,Regenbogen::N,arco-iris,tęcza
102,Donner::N,trovão,grzmot
103,Strömung::N,corrente,nurt
104,Tropfen::N,gota,kropla
105,Schaum::N,espuma,piana
106,Schmutz::N,sujidade,brud
107,Schmutz::N,imundície,brud
108,See::N,lago,jezioro
109,Sumpf::N,charco,bagno
110,Sumpf::N,pântano,bagno
111,Moor::N,pântano,bagno
112,Wiese::N,prado,łąka
113,Wald::N,bosque,las
114,Wald::N,floresta,las
115,Hügel::N,colina,pagórek
116,Anhöhe::N,alto,wzgórze
117,Anhöhe::N,outeiro,wzgórze
118,Berg::N,monte,góra
119,Berg::N,montanha,góra
120,Gipfel::N,pico,szczyt
121,Gipfel::N,pico,wierzchołek
122,Höhle::N,caverna,pieczara
123,Abhang::N,encosta,stok
124,Abhang::N,encosta,zbocze
125,Quelle::N,fonte,zdrój
126,Quelle::N,fonte,źródło
127,Bach::N,regato,potok
128,Bach::N,regato,strumień
129,Bach::N,ribeiro,potok
130,Bach::N,ribeiro,strumień
131,Fluss::N,rio,rzeka
132,Ufer::N,beira,brzeg
133,Küste::N,costa,wybrzeże
134,Festland::N,terra firme,ląd
135,Meer::N,mar,morze
136,Bucht::N,baía,zatoka
137,Insel::N,ilha,wyspa
138,Blume::N,flor,kwiat
139,Gras::N,erva,trawa
140,Wurzel::N,raiz,korzeń
141,Baum::N,árvore,drzewo
142,Stamm::N,tronco,pień
143,Rinde::N,casca,kora
144,Ast::N,ramo,gałąź
145,Zweig::N,galho,gałąź
146,Blatt::N,folha,liść
147,Birke::N,bétula,brzoza
148,Kiefer[Baum]::N,pinheiro,sosna
149,Weide[Baum]::N,salgueiro,wierzba
150,Tanne::N,abeto,jodła
151,Horn::N,corno,róg
152,Horn::N,chifre,róg
153,Feder::N,pena,pióro
154,Fell::N,pele,futro
155,Flügel::N,asa,skrzydło
156,Klaue::N,pata,szpon
157,Kralle::N,unha,pazur
158,Kralle::N,garra,pazur
159,Schwanz::N,rabo,ogon
160,Schwanz::N,cauda,ogon
161,Ei::N,ovo,jajko
162,Nest::N,ninho,gniazdo
163,Bau::N,toca,nora
164,Bau::N,covil,nora
165,Tier::N,animal,zwierzę
166,Herde::N,rebanho,stado
167,Herde::N,rebanho,trzoda
168,Kuh::N,vaca,krowa
169,Bulle::N,touro,byk
170,Pferd::N,cavalo,koń
171,Schaf::N,ovelha,owca
172,Schwein::N,porco,świnia
173,Hund::N,cão,pies
174,Katze::N,gata,kot
175,Katze::N,gata,kotka
176,Bär::N,urso,niedźwiedż
177,Eichhörnchen::N,esquilo,wiewiórka
178,Elch::N,alce,łóś
179,Fuchs::N,raposa,lis
180,Hase::N,lebre,zając
181,Maus::N,rato,mysz
182,Wolf::N,lobo,wilk
183,Vogel::N,ave,ptak
184,Vogel::N,pássaro,ptak
185,Schwarm::N,bando,stado
186,Schwarm::N,enxame,stado
187,Huhn::N,galinha,kura
188,Hahn::N,galo,kogut
189,Gans::N,ganso,gęś
190,Adler::N,águia,orzeł
191,Ente::N,pata,kaczka
192,Eule::N,mocho,sowa
193,Eule::N,coruja,sowa
194,Kranich::N,grou,żuraw
195,Krähe::N,gralha,wrona
196,Kuckuck::N,cuco,kukułka
197,Schwan::N,cisne,łabędż
198,Fisch::N,peixe,ryba
199,Barsch::N,perca,okoń
200,Hecht::N,lúcio,szczupak
201,Schlange[Tier]::N,serpente,wąż
202,Schlange[Tier]::N,serpente,żmija
203,Wurm::N,verme,robak
204,Spinne::N,aranha,pająk
205,Ameise::N,formiga,mrówka
206,Laus::N,piolho,wesz
207,Mücke::N,mosquito,komar
208,Fliege::N,mosca,mucha
209,Schmetterling::N,borboleta,motyl
210,Beere::N,bago,jagoda
211,Apfel::N,maçã,jabłko
212,Pilz::N,fungo,grzyb
213,Pilz::N,cogumelo,grzyb
214,Zwiebel::N,cebola,cebula
215,Saat::N,sementeira,siew
216,Korn::N,grão,ziarno
217,Heu::N,feno,siano
218,Schale::N,casca,łupina
219,Grube::N,cova,dół
220,Grube::N,cova,jama
221,Grube::N,fossa,dół
222,Grube::N,fossa,jama
223,Falle::N,armadilha,pułapka
224,Schlinge::N,laço,sidła
