,Concept_ID,tt,uz
182,Mücke::N,озынборын,chivin
183,Fliege::N,чебен,pashsha
184,Schmetterling::N,күбәләк,kapalak
185,Beere::N,җиләк,meva
186,Apfel::N,алма,olma
187,Pilz::N,гөмбә,qo'ziqorin
188,Zwiebel::N,суган,piyoz
189,Zwiebel::N,суганбаш,piyoz
190,Saat::N,орлык,äkin
191,Korn::N,иген,zarra
192,Korn::N,орлык,zarra
193,Heu::N,печән,xashak
194,Schale::N,кабык,po'choq
195,Grube::N,баз,co'ra
196,Grube::N,чокыр,co'ra
197,Falle::N,тозак,qopqon
198,Falle::N,капкын,qopqon
199,Schlinge::N,элмәк,sirtmoq
200,Spur::N,эз,iz
201,Asche::N,көл,kul
202,Dreck::N,пычрак,kir
203,Eisen::N,тимер,temir
204,Gold::N,алтын,tilla
205,Silber::N,көмеш,kumush
206,Kohle::N,күмер,ko'mir
207,Glas::N,пыяла,oyna
208,Lehm::N,балчык,loy
209,Sand::N,ком,qum
210,Mensch::N,адәм,odam
211,Mensch::N,инсан,odam
212,Mann::N,ир,ärkak
213,Frau::N,хатын,ayol
214,Kind::N,бала,bola
215,Kind::N,бала,kichkintoy
216,Junge::N,малай,bola
217,Mädchen::N,кыз,qiz
218,Familie::N,гаилә,oila
219,Großvater::N,бабай,buva
220,Großvater::N,бабай,katta ota
221,Großmutter::N,әби,buvi
222,Großmutter::N,әби,katta oyi
223,Eltern::N,ата-ана,ota-ona
224,Vater::N,ата,ota
225,Mutter::N,ана,ona
226,Sohn::N,ул,o'g'il
227,Tochter::N,кыз,qiz
228,Bruder::N,кардәш,og'a
229,Bruder::N,кардәш,uka
230,Schwester::N,апа,opa
231,Schwester::N,апа,singil
232,Schwester::N,сеңел,opa
233,Schwester::N,сеңел,singil
234,Onkel::N,дәдә,amaki
235,Onkel::N,дәдәй,amaki
236,Tante::N,түти,amma
237,Tante::N,түти,xola
238,Tante::N,тәтәй,amma
239,Tante::N,тәтәй,xola
240,Ehemann::N,ир,är
241,Ehefrau::N,хатын,rafiqa
242,Freude::N,сөенеч,ayish
243,Gelächter::N,көлү,kulgi
244,Gelächter::N,көлеш,kulgi
245,Glück::N,бәхет,saodat
246,Kummer::N,хәсрәт,g'am
247,Wunsch::N,теләк,orzu
248,Lust::N,теләк,rag'bat
249,Lust::N,теләү,rag'bat
250,Geist::N,рух,ruh
251,Gedanke::N,уй,fikr
252,Gedanke::N,фикер,fikr
253,Gedächtnis::N,хәтер,äs
254,Verstand::N,акыл,aql
255,Sinn::N,мәгънә,ma'ni
256,Grund::N,сәбәп,sabab
257,Wahrheit::N,хак,haq
258,Gespräch::N,әңгәмә,gap
259,Märchen::N,әкият,ärtak
260,Erzählung::N,хикәя,rivoyat
261,Nachricht::N,хәбәр,xabar
262,Neuigkeit::N,яңалык,yangilik
263,Name::N,исем,ot
264,Rätsel::N,табышмак,topishmoq
265,Rede::N,нотык,nutq
266,Sprache::N,тел,til
267,Stimme::N,тавыш,ovoz
268,Wort::N,сүз,so'z
269,Zeichen::N,ишарә,alomat
270,Ruf::N,дәшү,chaqiriq
271,Lärm::N,шау,taraq
272,Laut::N,аваз,tovush
273,Ton::N,шалтырату,un
274,Lied::N,җыр,ashula
275,Ruhe::N,тынлык,tinchlik
276,Leute::N,халык,xaloyiq
277,Volk::N,халык,xalq
278,Arbeit::N,эш,ish
279,Arbeit::N,хезмәт,ish
280,Gast::N,кунак,mehmon
281,Geschenk::N,бүләк,hadya
282,Spiel::N,уен,o'yin
283,Gesellschaft::N,җәмгыять,jamiyat
284,Hilfe::N,ярдәм,yordam
285,Hilfe::N,булышлык,yordam
286,Freund::N,дус,do'st
287,Kamerad::N,иптәш,yo'ldosh
288,Angelegenheit::N,эш,daxl
289,Anzahl::N,микъдар,son
290,Art::N,төр,tur
291,Stück::N,кисәк,parcha
292,Teil::N,өлеш,bo'lak
293,Hälfte::N,ярым,yarim
294,Kreis::N,түгәрәк,aylana
295,Kreuz::N,хач,xoch
296,Kreuz::N,тәре,xoch
297,Linie::N,сызык,liniya
298,Strich::N,сызык,chiziq
299,Abstand::N,ара,oralik
300,Entfernung::N,ераклык,uzoqlik
301,Gegend::N,урын,yer
302,Platz::N,бушлык,oralig
303,Ort::N,урын,joy
304,Seite::N,як,yon
305,Mitte::N,урта,o'rta
306,Gegenstand::N,нәрсә,ashyo
307,Sache::N,нәрсә,buyum
308,Rand::N,чит,chek
309,Kante::N,кырый,tig'
310,Ecke::N,почмак,burchak
311,Spitze::N,оч,uch
312,Ende::N,азак,oxir
313,Loch::N,тишек,teshik
314,Winkel::N,почмак,go'sha
315,Muster::N,парча,nusha
316,Größe::N,зурлык,kattalik
317,Länge::N,озынлык,uzunlik
318,Höhe::N,биеклек,yuksaklik
319,Gewicht::N,авырлык,solmoq
320,Menge::N,микъдар,miqdor
321,Haufen::N,өем,uyum
322,Reihe::N,рәт,saf
323,Boot::N,каек,qayiq
324,Boot::N,көймә,qayiq
325,Ruder::N,ишкәк,äshkak
326,Schlitten::N,чана,chana
327,Ski::N,чаңгы,chang'i
328,Lagerfeuer::N,костёр,gulxan
329,Last::N,йөк,yuk
330,Gang::N,йөреш,yurish
331,Schritt::N,адым,qadam
332,Norden::N,төньяк,shimol
333,Süden::N,көньяк,janub
334,Westen::N,көнбатыш,g'arb
335,Osten::N,шәрык,sharq
336,Osten::N,көнчыгыш,sharq
337,Holz::N,агач,yog'och
338,Brett::N,такта,taxta
339,Platte::N,плитә,tabaqa
340,Stütze::N,таяу,tayanchi
341,Stange::N,колга,qo'noq
342,Stock::N,таяк,tayoq
343,Stab::N,таяк,gavron
344,Rohr::N,торба,tarnov
345,Haus::N,өй,uy
346,Haus::N,йорт,uy
347,Heim::N,гаилә,makon
348,Heim::N,нәсел,makon
349,Ofen::N,мич,pechka
350,Fußboden::N,идән,pol
351,Tisch::N,өстәл,mosa
352,Stuhl::N,утыргыч,o'rindiq
353,Wiege::N,бишек,beshik
354,Bett::N,ятак,yotoq
355,Bett::N,урын-җир,yotoq
356,Regal::N,киштә,tokcha
357,Regal::N,шүрлек,tokcha
358,Kiste::N,әрҗә,sandiq
359,Fenster::N,тәрәзә,deraza
360,Tür::N,ишек,äshik
361,Tor::N,капка,darvoza
362,Zaun::N,койма,panjara
363,Dach::N,түбә,tom
364,Leiter::N,баскыч,narvon
365,Besen::N,себерке,supurgi
366,Spaten::N,көрәк,bel
