,Concept_ID,mrj,av
0,Auge::N,сӹнзӓ,
1,Ohr::N,пӹлӹш,гӏин
2,Nase::N,нер,мегӏер
3,Mund::N,ышма,кӏал
4,Zahn::N,пӱ,гӏус
5,Zunge::N,йӹлмӹ,мацӏ
6,Lippe::N,тӹрвӹ,кӏветӏ
7,Wange::N,шӹргӹ,гӏоно
8,Gesicht::N,лицӓ,гьумер
9,Stirn::N,лепкӓ,нодо
10,Haar::N,ӱп,рас
11,Schnurrbart::N,öрш,михъ
12,Bart::N,пандаш,мегеж
13,Kinn::N,онгылаш,нилъу
14,Kiefer[Anatomie]::N,пӱ арата,чанагъ
15,Kehle::N,логер,щекъер
16,Hals::N,шӱ,габур
17,Genick::N,ланга,гъванща
18,Kopf::N,вуй,бетӏер
19,Rücken::N,туп,мугъ
20,Bauch::N,мӹшкӹр,чехь
21,Nabel::N,кӹлӹмдӹ,цӏину
22,Busen::N,цӹзӹ,керен
23,Brust::N,мел,керен
24,Schulter::N,ӹнгӹжӓ,гъажазубетӏер
25,Arm::N,кид,гъеж
26,Ellenbogen::N,кӹнервуй,гӏункӏрукь
27,Hand::N,лапа,квер
28,Handfläche::N,кид лапа,огъохъат
29,Handfläche::N,кид лапа,жанисахъат
30,Finger::N,парня,килищ
31,Fingernagel::N,кӹч,малъ
32,Nagel[Anatomie]::N,кӹч,малъ
33,Zeh::N,парня,килищ
34,Fuß::N,ял лапа,хӏетӏ
35,Fuß::N,ял лапа,хӏетӏе
36,Ferse::N,ялгавал,эгъе
37,Ferse::N,ял кавал,эгъе
38,Knie::N,пылвуй,наку
39,Oberschenkel::N,ӓрдӹ,мачӏ
40,Bein::N,ял,бох
41,Körper::N,монгыр,къаркъала
42,Haut::N,кавашты,тӏом
43,Blut::N,вӹр,би
44,Ader::N,вӹршӓр,бидурихь
45,Sehne::N,кукшышӱн,
46,Knochen::N,лу,ракьа
47,Gehirn::N,вим,гӏадалнах
48,Herz::N,шӱм,ракӏ
49,Magen::N,шӱм,кванирукъ
50,Leber::N,мокш,тӏул
51,Atem::N,шӱлӹш,хӏухь
52,Hunger::N,шужымаш,ракъи
53,Träne::N,сӹнзӓвӹд,магӏу
54,Geschmack::N,тот,тату
55,Geruch::N,пыш,махӏ
