,Concept_ID,vep,ko
0,Auge::N,sil'm,눈
1,Ohr::N,korv,귀
2,Nase::N,nena,코
3,Mund::N,su,입
4,Zahn::N,pi,이
5,Zahn::N,hambaz,이
6,Zunge::N,kel',혀
7,Lippe::N,hul',입술
8,Wange::N,modpolišk,뺨
9,Gesicht::N,mod,얼굴
10,Stirn::N,oc,이마
11,Haar::N,tuk,털
12,Haar::N,hibuz,털
13,Schnurrbart::N,habinod,윗수몀
14,Schnurrbart::N,habinod,코밑수염
15,Bart::N,bard,수엄
16,Kinn::N,löug,아래턱
17,Kiefer[Anatomie]::N,hambazlu,턱
18,Kehle::N,kurk,인후
19,Hals::N,kagl,목
20,Genick::N,tagarai,먹덜이
21,Kopf::N,pä,머리
22,Rücken::N,sel'g,든
23,Bauch::N,vac,배
24,Bauch::N,koht,배
25,Nabel::N,naba,배꼽
26,Busen::N,niža,가슴속
27,Brust::N,rind,가슴
28,Schulter::N,oug,어깨
29,Arm::N,käzi,팔
30,Ellenbogen::N,künambruz,팔쿰치
31,Hand::N,käzi,손
32,Hand::N,käzitera,손
33,Handfläche::N,kämen,손바닥
34,Finger::N,sor'm,속가락
35,Fingernagel::N,künz',손톱
36,Nagel[Anatomie]::N,künz',손톱
37,Zeh::N,barbaz,발가락
38,Fuß::N,jaug,발
39,Ferse::N,kand,발꿈치
40,Knie::N,komb,무릎
41,Knie::N,pol'v,무릎
42,Oberschenkel::N,riiže,허벅다리
43,Bein::N,jaug,다리
44,Körper::N,hibj,구간
45,Haut::N,nahk,살갗
46,Blut::N,čak,피
47,Blut::N,veri,피
48,Ader::N,son',정맥
49,Sehne::N,jände,현
50,Knochen::N,lu,뼈
51,Gehirn::N,aivod,뇌
52,Gehirn::N,aivod,뇌수
53,Herz::N,südäin,염통
54,Magen::N,südäikoht,위
55,Leber::N,maks,간
56,Atem::N,hengaiduz,기식
57,Hunger::N,näl'g,공복
58,Träne::N,kündal',눈물
59,Geschmack::N,magu,기호
60,Geruch::N,haju,냄새
61,Schlaf::N,uni,수면
62,Traum::N,unikuva,쿰
63,Himmel::N,taivaz,하늘
