,Concept_ID,kk,mn
0,Auge::N,көз,нүд
1,Ohr::N,құлақ,чих
2,Nase::N,мұрын,хамар
3,Mund::N,ауыз,ам
4,Zahn::N,тіс,шүд
5,Zunge::N,тіл,хэл
6,Lippe::N,ерін,уруул
7,Wange::N,ұрт,хацар
8,Gesicht::N,бет-аузы,царай
9,Gesicht::N,бет-аузы,нүүр
10,Stirn::N,маңдай,дух
11,Haar::N,қыл,үс
12,Schnurrbart::N,мұрт,дээд сахал
13,Schnurrbart::N,мұрт,живэр сахал
14,Bart::N,сақал,сахал
15,Kinn::N,иек,эрүү
16,Kiefer[Anatomie]::N,жақ,эрүү
17,Kehle::N,алқым,хоолой
18,Hals::N,мойын,хүзүү
19,Genick::N,желке,шил
20,Genick::N,желке,хүзүү
21,Kopf::N,кәллә,толгой
22,Rücken::N,арқа,ар
23,Rücken::N,арқа,нуруу
24,Bauch::N,қарын,хэвлий
25,Bauch::N,қарын,гэдэс
26,Nabel::N,кіндік,хүйс
27,Busen::N,омырау,хөх
28,Brust::N,кеуде,цээж
29,Schulter::N,иық,мөр
30,Schulter::N,иық,бугалга
31,Arm::N,қол,гар
32,Ellenbogen::N,шынтақ,тохой
33,Hand::N,қол,гар
34,Hand::N,қол,алга
35,Handfläche::N,алақан,алга
36,Finger::N,саусақ,хуруу
37,Fingernagel::N,тырнақ,хурууны хумс
38,Nagel[Anatomie]::N,тырнақ,хумс
39,Zeh::N,тырнақ,хуруу
40,Zeh::N,тұяқ,хуруу
41,Fuß::N,аяқ-басы,хөл
42,Ferse::N,өкше,өсгий
43,Ferse::N,өкшелік,өсгий
44,Knie::N,тізе,өвдөг
45,Oberschenkel::N,жамбас,гуя
46,Bein::N,аяқ,хөл
47,Körper::N,дене,бие
48,Haut::N,тері,арьс
49,Blut::N,қан,цус
50,Ader::N,көктамыр,судас
51,Ader::N,күретамыр,судас
52,Sehne::N,сіңір,бүлх
53,Sehne::N,сіңір,шандас
54,Knochen::N,жілік,яс
55,Gehirn::N,ми,тархи
56,Herz::N,жүрек,зүрх
57,Magen::N,асқазан,ходоод
58,Leber::N,бауыр,элэг
59,Atem::N,леп,амьсгаа
60,Hunger::N,ашаршылық,өлсгөлөн
61,Träne::N,жас,нулимс
62,Geschmack::N,дәм,амт
63,Geschmack::N,татым,амт
64,Geschmack::N,талғам,амт
65,Geruch::N,иіс,үнэр
66,Schlaf::N,ұйқы,нойр
67,Schlaf::N,ұйықтау,нойр
68,Traum::N,түс,зүүд
69,Himmel::N,аспан,тэнгэр
70,Himmel::N,аспан,огторгуй
71,Himmel::N,көқ,тэнгэр
72,Himmel::N,көқ,огторгуй
73,Himmel::N,таңдай,тэнгэр
74,Himmel::N,таңдай,огторгуй
75,Sonne::N,күн,нар
76,Mond::N,ай,сар
77,Stern::N,жұлдыз,од
78,Luft::N,әуе,агаар
79,Wind::N,жел,салхи
80,Welle::N,толқын,долгио
81,Welle::N,толқын,давалгаа
82,Wasser::N,су,ус
83,Stein::N,тас,чулуу
84,Boden::N,қыртыс,хөрс
85,Erde::N,топырақ,газар
86,Erde::N,топырақ,шороо
87,Staub::N,шаң,тоос
88,Rauch::N,түтін,утаа
89,Funke::N,ұшқын,оч
90,Feuer::N,алау,гал
91,Licht::N,шұғыла,гэрэл
92,Licht::N,шұғыла,гэгээ
93,Schatten::N,көлеңке,сүүдэр
94,Wetter::N,ауа райы,тэнгэр
95,Wetter::N,ауа райы,цаг уур
96,Nebel::N,тұман,будан
97,Wolke::N,бұлт,үүл
98,Regen::N,жаңбыр,бороо
99,Schnee::N,қар,цас
100,Eis::N,мұз,мөс
101,Frost::N,суық,хүйт
102,Kälte::N,ызғар,хүйт
103,Kälte::N,суықтық,хүйт
104,Hitze::N,аптап,халуун
105,Raureif::N,қырау,цан
106,Raureif::N,қырау,хяруу
107,Regenbogen::N,кемпірқосақ,солонго
108,Donner::N,күн күркіреу,тэнгэрийн дуу
109,Strömung::N,ағын,урсгал
110,Tropfen::N,тамшы,дусал
111,Schaum::N,көбік,хөөс
112,Schmutz::N,кір,хир
113,Schmutz::N,кір,шавхай
114,See::N,көл,нуур
115,Sumpf::N,саз,намаг
116,Sumpf::N,саз,балчиг
117,Moor::N,саз,хүлрийн намаг
118,Wiese::N,шалғын,нуга
119,Wald::N,орман,ой
120,Hügel::N,төбе,болдог
121,Hügel::N,белес,болдог
122,Hügel::N,белес-белес,болдог
123,Anhöhe::N,дөң,гүвээ
124,Anhöhe::N,адыр,гүвээ
125,Anhöhe::N,қырат,гүвээ
126,Berg::N,тау,уул
127,Gipfel::N,төбе,орой
128,Gipfel::N,төбе,оргил
129,Höhle::N,үңгір,агуй
130,Abhang::N,бауыр,хүр
131,Quelle::N,қайнар,булаг
132,Bach::N,жылға,горхи
133,Fluss::N,өзен,гол
134,Fluss::N,өзен,мөрөн
135,Ufer::N,жиек,эрэг
136,Küste::N,жиегі,эрэг
137,Küste::N,жағалау,эрэг
138,Festland::N,құрылық,хуурай газар
139,Meer::N,теңіз,далай
140,Meer::N,теңіз,тэнгис
141,Bucht::N,шығанақ,булан
142,Bucht::N,шығанақ,далайн тохой
143,Insel::N,арал,арал
144,Blume::N,гүл,цэцэг
145,Gras::N,от,өвс
146,Gras::N,от,ногоо
147,Wurzel::N,түбір,үндэс
148,Baum::N,ағаш,мод
149,Baum::N,дарақ,мод
150,Stamm::N,сояу,иш
151,Stamm::N,сояу,гуалин
152,Stamm::N,оқпан,иш
153,Stamm::N,оқпан,гуалин
154,Rinde::N,қабық,холтос
155,Ast::N,бұтақ,гишүү
156,Zweig::N,шыбық,салаа
157,Blatt::N,жапырақ,навч
158,Birke::N,қайың,хус
159,Kiefer[Baum]::N,қарағай,нарс
160,Weide[Baum]::N,тал,уд
161,Weide[Baum]::N,тал,бургас
162,Tanne::N,шырша,гачуур
163,Horn::N,мүйіз,эвэр
164,Feder::N,қаламұш,өд
165,Fell::N,тері,арьс
166,Flügel::N,қанат,жигүүр
167,Flügel::N,қанат,далавч
168,Klaue::N,тырнақ,савар
169,Klaue::N,тырнақ,хумс
170,Kralle::N,аяқ,савар
171,Schwanz::N,құйрық,сүүл
172,Ei::N,жұмыртқа,өндөг
173,Nest::N,ұя,үүр
174,Bau::N,жатақ,нүх
175,Bau::N,жатақ,элүү
176,Tier::N,айуан,амьтан
177,Tier::N,айуан,адгуус
178,Tier::N,жануар,амьтан
179,Tier::N,жануар,адгуус
180,Herde::N,пада,сүрэг
181,Kuh::N,сиыр,үнээ
182,Bulle::N,өгіз,бух
183,Pferd::N,жылқы,морь
184,Pferd::N,жылқы,адуу
185,Schaf::N,қой,хонь
186,Schwein::N,шошқа,гахай
187,Hund::N,ит,нохой
188,Katze::N,мысық,муур
189,Katze::N,мысық,мигуй
190,Bär::N,аю,баавгай
191,Eichhörnchen::N,тиін,хэрэм
192,Elch::N,бұғы,хандгай
193,Fuchs::N,түлкі,үнэг
194,Hase::N,қоян,туулай
195,Maus::N,қаптесер,хулгана
196,Wolf::N,бөрі,чоно
197,Wolf::N,қасқыр,чоно
198,Vogel::N,құс,шувуу
199,Schwarm::N,топ,сүрэг
200,Schwarm::N,үйір,сүрэг
201,Huhn::N,тауық,тахиа
202,Huhn::N,мекиен,тахиа
203,Hahn::N,әтеш,эр тахиа
204,Hahn::N,қораз,эр тахиа
205,Gans::N,қаз,галуу
206,Adler::N,бүркіт,бүргэд
207,Ente::N,үйрек,нугас
208,Eule::N,жапалақ,ууль
209,Kranich::N,тырна,тогоруу
210,Krähe::N,қарға,хэрээ
211,Kuckuck::N,көкек,хөхөө
212,Schwan::N,аққу,хун
213,Fisch::N,балық,загас
214,Barsch::N,алабұға,алгана
215,Hecht::N,шортан,цурхай
216,Schlange[Tier]::N,жылан,могой
217,Wurm::N,шұбалшаң,өт
218,Wurm::N,шұбалшаң,хорхой
219,Spinne::N,өрмекші,аалз
220,Ameise::N,қүмырска,шоргоолж
221,Laus::N,бит,бөөс
222,Mücke::N,маса,шумуул
223,Fliege::N,шыбын,ялаа
224,Schmetterling::N,көбелек,эрвээхэй
225,Beere::N,жидек,жимсгэнэ
226,Apfel::N,алма,алим
227,Pilz::N,қозықұйрық,мөөг
228,Pilz::N,саңыраукулақ,мөөг
229,Zwiebel::N,жуа,сонгино
230,Saat::N,тұқым,тариа
231,Korn::N,дән,үр
232,Korn::N,дән,мөхлөг
233,Heu::N,шөп,өвс
234,Schale::N,қабық,хальс
235,Schale::N,қабығы,хальс
236,Grube::N,ор,алам
237,Grube::N,ор,нүх
238,Falle::N,дұзақ,хавх
239,Falle::N,дұзақ,занга
240,Falle::N,қақпан,хавх
241,Falle::N,қақпан,занга
242,Schlinge::N,ілмек,урхи
243,Spur::N,із,мөр
244,Asche::N,күл,үнс
245,Dreck::N,былғаныш,хир
246,Eisen::N,темір,төмөр
247,Gold::N,алтын,алт
248,Silber::N,күміс,мөнгө
249,Kohle::N,көмір,нүүрс
250,Glas::N,шыны,шил
251,Lehm::N,балшық,шавар
252,Sand::N,құм,элс
253,Mensch::N,адам,хүн
254,Mann::N,еркек,эр
255,Mann::N,еркек,эрэгтэй
256,Mann::N,ер адам,эр
257,Mann::N,ер адам,эрэгтэй
258,Frau::N,бике,эмэгтэй
259,Frau::N,бике,хатагтай
260,Frau::N,қатын,эмэгтэй
261,Frau::N,қатын,хатагтай
262,Kind::N,бала,хүүхэд
