,Concept_ID,tr,uk
0,Auge::N,göz,око
1,Ohr::N,kulak,вухо
2,Nase::N,burun,ніс
3,Mund::N,ağız,рот
4,Zahn::N,diş,зуб
5,Zunge::N,dil,язик
6,Lippe::N,dudak,губа
7,Wange::N,yanak,щока
8,Gesicht::N,yüz,обличчя
9,Stirn::N,alın,лоб
10,Haar::N,saç,волосся
11,Schnurrbart::N,bıyık,вуса
12,Bart::N,sakal,борода
13,Kinn::N,çene,підборіддя
14,Kiefer[Anatomie]::N,çene,щелепа
15,Kehle::N,boğaz,горло
16,Hals::N,boyun,шия
17,Hals::N,gerdan,шия
18,Genick::N,ense,потилиця
19,Kopf::N,baş,голова
20,Kopf::N,kafa,голова
21,Rücken::N,arka,спина
22,Bauch::N,karın,живіт
23,Nabel::N,göbek,пупок
24,Busen::N,koyun,груди
25,Brust::N,göğüs,груди
26,Schulter::N,omuz,плече
27,Arm::N,kol,рука
28,Ellenbogen::N,dirsek,лікоть
29,Hand::N,el,рука
30,Handfläche::N,avuç,долоня
31,Handfläche::N,el ayası,долоня
32,Finger::N,parmak,палець
33,Fingernagel::N,el tırnağı,ніготь
34,Nagel[Anatomie]::N,tırnak,ніготь
35,Zeh::N,ayak parmağı,палець на нозі
36,Fuß::N,ayak,нога
37,Ferse::N,topuk,п’ятка
38,Knie::N,diz,коліно
39,Oberschenkel::N,uyluk,стегно
40,Bein::N,bacak,нога
41,Körper::N,vücut,тіло
42,Haut::N,cilt,шкіра
43,Blut::N,kan,кров
44,Ader::N,damar,вена
45,Sehne::N,kiriş,сухожилля
46,Knochen::N,kemik,кістка
47,Gehirn::N,beyin,мозок
48,Herz::N,kalp,серце
49,Herz::N,yürek,серце
50,Magen::N,mide,шлунок
51,Leber::N,karaciğer,печінка
52,Atem::N,nefes,дихання
53,Hunger::N,açlık,голод
54,Träne::N,gözyaşı,сльоза
55,Geschmack::N,tat,смак
56,Geschmack::N,lezzet,смак
57,Geruch::N,koku,запах
58,Schlaf::N,uyku,сон
59,Schlaf::N,uyku,сплячка
60,Traum::N,düş,сон
61,Traum::N,rüya,сон
62,Himmel::N,gök,небо
63,Sonne::N,güneş,сонце
64,Mond::N,ay,місяць
65,Stern::N,yıldız,зірка
66,Luft::N,hava,повітря
67,Wind::N,yel,вітер
68,Wind::N,rüzgâr,вітер
69,Welle::N,dalga,хвиля
70,Wasser::N,su,вода
71,Stein::N,taş,камінь
72,Boden::N,yer,ґрунт
73,Boden::N,zemin,ґрунт
74,Erde::N,toprak,земля
75,Staub::N,toz,пил
76,Rauch::N,duman,дим
