,Concept_ID,os,et
0,Auge::N,цӕст,silm
1,Ohr::N,хъус,kõrv
2,Nase::N,фындз,nina
3,Mund::N,дзых,suu
4,Zahn::N,дӕндаг,hammas
5,Zunge::N,ӕвзаг,keel
6,Lippe::N,был,huul
7,Wange::N,рус,põsk
8,Wange::N,уадул,põsk
9,Wange::N,ӕхсӕрфарс,põsk
10,Gesicht::N,цӕсгом,nägu
11,Stirn::N,ных,otsmik
12,Haar::N,хил,juus
13,Schnurrbart::N,рихи,vurrud
14,Schnurrbart::N,рихи,vuntsid
15,Bart::N,зачъе,habe
16,Kinn::N,роцъо,lõug
17,Kiefer[Anatomie]::N,ӕфсӕр,lõualuu
18,Kehle::N,хъуыр,kõri
19,Hals::N,къубал,kael
20,Genick::N,къӕбут,kukal
21,Kopf::N,сӕр,pea
22,Rücken::N,фӕсонтӕ,selg
23,Bauch::N,гуыбын,kõht
24,Nabel::N,бикъ,naba
25,Busen::N,дзидзи,rind
26,Brust::N,риу,rind
27,Schulter::N,уӕхск,õlg
28,Arm::N,цонг,käsivars
29,Ellenbogen::N,рæмбын,küünarnukk
30,Hand::N,къух,käsi
31,Handfläche::N,армытъӕпӕн,pihk
32,Finger::N,ӕнруылдз,sõrm
33,Fingernagel::N,ных,küüs
34,Nagel[Anatomie]::N,ных,küüs
35,Zeh::N,къух,varvas
36,Fuß::N,фад,jalg
37,Ferse::N,зӕвӕт,kand
38,Knie::N,уӕраг,põlv
39,Oberschenkel::N,агъд,reis
40,Bein::N,зӕнг,jalg
41,Körper::N,буар,ihu
42,Körper::N,буар,keha
43,Haut::N,царм,nahk
44,Blut::N,туг,veri
45,Ader::N,дадзин,veen
46,Ader::N,тугдадзин,veen
47,Sehne::N,хъиутæ,kõõlus
48,Sehne::N,нуар,kõõlus
49,Knochen::N,стӕг,luu
50,Gehirn::N,магъз,aju
51,Herz::N,зӕрдӕ,süda
52,Magen::N,ахсӕн,magu
53,Leber::N,игæр,maks
54,Atem::N,улӕфт,hingeõhk
55,Atem::N,улӕфт,hingamine
56,Hunger::N,стонг,nälg
57,Träne::N,цæссыг,pisar
58,Geschmack::N,ад,maitse
59,Geruch::N,смаг,lõhn
60,Schlaf::N,хуыссӕг,uni
61,Traum::N,фын,unenägu
62,Himmel::N,арв,taevas
63,Himmel::N,уӕларв,taevas
64,Sonne::N,хур,päike
65,Mond::N,мӕй,kuu
66,Stern::N,стъалы,täht
67,Luft::N,уӕлдӕф,õhk
68,Wind::N,дымгӕ,tuul
69,Welle::N,уылӕн,laine
70,Wasser::N,дон,vesi
71,Stein::N,дур,kivi
72,Boden::N,зӕхх,maa
73,Boden::N,зӕхх,pinnas
74,Erde::N,сыджыт,maa
75,Staub::N,рыг,põrm
76,Rauch::N,фӕздӕг,suits
77,Funke::N,цӕхӕр,säde
78,Feuer::N,зынг,tuli
79,Licht::N,рухс,valgus
80,Schatten::N,аууон,vari
81,Wetter::N,боныхъӕд,ilm
82,Nebel::N,мигъ,udu
83,Wolke::N,ӕврагъ,pilv
84,Regen::N,уарын,sadu
85,Schnee::N,мит,lumi
86,Eis::N,их,jää
87,Frost::N,ихæн,pakane
88,Kälte::N,уазал,külm
89,Kälte::N,уазал,külmus
90,Hitze::N,ӕнтӕф,kuumus
91,Hitze::N,ӕнтӕф,palavus
92,Raureif::N,халас,härmatis
93,Regenbogen::N,арвырон,vikerkaar
94,Regenbogen::N,арвырдын,vikerkaar
95,Donner::N,æрвнæрын,kõu
96,Donner::N,æрвнæрын,müristamine
97,Strömung::N,цыд,voolus
98,Strömung::N,цыд,jõevool
99,Tropfen::N,æртах,tilk
100,Schaum::N,фынк,vaht
101,Schmutz::N,цъыф,pori
102,Schmutz::N,цъыф,mustus
103,See::N,цад,järv
104,Sumpf::N,цъыфдзаст,soo
105,Moor::N,цъыфдзаст,raba
106,Wiese::N,уыгӕрдӕн,aas
107,Wiese::N,уыгӕрдӕн,nurm
108,Wald::N,хъӕд,mets
109,Hügel::N,обау,küngas
110,Hügel::N,къуыбыр,küngas
111,Anhöhe::N,уæлвæз,küngas
112,Anhöhe::N,уæлхох,küngas
113,Berg::N,хох,mägi
114,Gipfel::N,цъупп,mäetipp
115,Höhle::N,лӕгӕт,koobas
116,Abhang::N,къул,nõlvak
117,Quelle::N,суадон,allikas
118,Bach::N,мӕсчъыдон,oja
119,Fluss::N,дон,jõgi
120,Fluss::N,цӕугӕдон,jõgi
121,Ufer::N,был,kallas
122,Küste::N,донбыл,rannik
123,Festland::N,сурзæхх,mander
124,Festland::N,сурзæхх,maismaa
125,Meer::N,денджыз,meri
126,Bucht::N,донбакæлæн,laht
127,Insel::N,сакъадах,saar
128,Blume::N,дидинӕг,lill
129,Gras::N,кӕрдӕг,rohi
130,Wurzel::N,уидаг,juur
131,Baum::N,бӕлас,puu
132,Stamm::N,хӕтӕл,tüvi
133,Rinde::N,цъар,koor
134,Ast::N,арх,oks
135,Zweig::N,къалиу,oks
136,Blatt::N,сыф,leht
137,Birke::N,бæрз,kask
138,Kiefer[Baum]::N,нӕзы,mänd
139,Weide[Baum]::N,хӕрис,paju
140,Tanne::N,наз,nulg
141,Horn::N,сыкъа,sarv
142,Feder::N,сис,sulg
143,Fell::N,царм,karvkate
144,Fell::N,царм,karusnahk
145,Flügel::N,базыр,tiib
146,Flügel::N,базыр,tiivik
147,Klaue::N,ных,küüs
