,Concept_ID,pt,tr
0,Auge::N,olho,göz
1,Ohr::N,orelha,kulak
2,Nase::N,nariz,burun
3,Mund::N,boca,ağız
4,Zahn::N,dente,diş
5,Zunge::N,língua,dil
6,Lippe::N,lábio,dudak
7,Wange::N,face,yanak
8,Gesicht::N,cara,yüz
9,Gesicht::N,rosto,yüz
10,Stirn::N,testa,alın
11,Haar::N,cabelo,saç
12,Schnurrbart::N,bigode,bıyık
13,Bart::N,barba,sakal
14,Kinn::N,queixo,çene
15,Kiefer[Anatomie]::N,maxila,çene
16,Kiefer[Anatomie]::N,mandíbula,çene
17,Kehle::N,garganta,boğaz
18,Hals::N,colo,boyun
19,Hals::N,colo,gerdan
20,Hals::N,pescoço,boyun
21,Hals::N,pescoço,gerdan
22,Genick::N,nuca,ense
23,Kopf::N,cabeça,baş
24,Kopf::N,cabeça,kafa
25,Rücken::N,dorso,arka
26,Rücken::N,costas,arka
27,Bauch::N,ventre,karın
28,Bauch::N,barriga,karın
29,Nabel::N,umbigo,göbek
30,Busen::N,seio,koyun
31,Brust::N,peito,göğüs
32,Schulter::N,ombro,omuz
33,Arm::N,braço,kol
34,Ellenbogen::N,cotovelo,dirsek
35,Hand::N,mão,el
36,Handfläche::N,palma,avuç
37,Handfläche::N,palma,el ayası
38,Handfläche::N,palma da mão,avuç
39,Handfläche::N,palma da mão,el ayası
40,Finger::N,dedo,parmak
41,Fingernagel::N,unha,el tırnağı
42,Nagel[Anatomie]::N,unha,tırnak
43,Zeh::N,dedo do pé,ayak parmağı
44,Fuß::N,pé,ayak
45,Ferse::N,calcanhar,topuk
46,Knie::N,joelho,diz
47,Oberschenkel::N,coxa,uyluk
48,Bein::N,perna,bacak
49,Körper::N,corpo,vücut
50,Haut::N,pele,cilt
51,Blut::N,sangue,kan
52,Ader::N,veia,damar
53,Sehne::N,tendão,kiriş
54,Knochen::N,osso,kemik
55,Gehirn::N,cérebro,beyin
56,Herz::N,coração,kalp
57,Herz::N,coração,yürek
58,Magen::N,estômago,mide
59,Leber::N,fígado,karaciğer
60,Atem::N,fôlego,nefes
61,Hunger::N,fome,açlık
62,Träne::N,lágrima,gözyaşı
63,Geschmack::N,gosto,tat
64,Geschmack::N,gosto,lezzet
65,Geruch::N,odor,koku
66,Geruch::N,cheiro,koku
67,Schlaf::N,sono,uyku
68,Traum::N,sonho,düş
69,Traum::N,sonho,rüya
70,Himmel::N,céu,gök
71,Sonne::N,sol,güneş
72,Mond::N,lua,ay
73,Stern::N,estrela,yıldız
74,Luft::N,ar,hava
75,Wind::N,vento,yel
76,Wind::N,vento,rüzgâr
77,Welle::N,onda,dalga
78,Wasser::N,água,su
79,Stein::N,pedra,taş
80,Boden::N,solo,yer
81,Boden::N,solo,zemin
82,Erde::N,terra,toprak
83,Staub::N,pó,toz
84,Rauch::N,fumo,duman
85,Funke::N,faísca,kıvılcım
86,Funke::N,centelha,kıvılcım
87,Feuer::N,fogo,ateş
88,Licht::N,luz,ışık
89,Schatten::N,sombra,gölge
90,Wetter::N,tempo,hava
91,Nebel::N,nevoeiro,pus
92,Wolke::N,nuvem,bulut
93,Regen::N,chuva,yağmur
94,Schnee::N,neve,kar
95,Eis::N,gelo,buz
96,Frost::N,gelo,don
97,Frost::N,geada,don
98,Kälte::N,frio,soğukluk
99,Hitze::N,ardor,sıcaklık
100,Raureif::N,geada,kırç
101,Regenbogen::N,arco-iris,gökkuşağı
102,Donner::N,trovão,gök gürlemesi
103,Strömung::N,corrente,akıntı
104,Strömung::N,corrente,cereyan
105,Tropfen::N,gota,damla
106,Schaum::N,espuma,köpük
107,Schmutz::N,sujidade,çamur
108,Schmutz::N,sujidade,pislik
109,Schmutz::N,imundície,çamur
110,Schmutz::N,imundície,pislik
111,See::N,lago,göl
112,Sumpf::N,charco,batak
113,Sumpf::N,pântano,batak
114,Moor::N,pântano,cılgıt
115,Wiese::N,prado,çimen
116,Wald::N,bosque,koru
117,Wald::N,bosque,orman
118,Wald::N,floresta,koru
119,Wald::N,floresta,orman
120,Hügel::N,colina,tepe
121,Anhöhe::N,alto,tümsek
122,Anhöhe::N,alto,yükseklik
123,Anhöhe::N,outeiro,tümsek
124,Anhöhe::N,outeiro,yükseklik
125,Berg::N,monte,dağ
126,Berg::N,montanha,dağ
127,Gipfel::N,pico,zirve
128,Höhle::N,caverna,in
129,Höhle::N,caverna,mağara
130,Abhang::N,encosta,bayır
131,Quelle::N,fonte,pınar
132,Quelle::N,fonte,kaynak
133,Bach::N,regato,çay
134,Bach::N,regato,dere
135,Bach::N,ribeiro,çay
136,Bach::N,ribeiro,dere
137,Fluss::N,rio,nehir
138,Ufer::N,beira,kıyı
139,Ufer::N,beira,sahil
140,Küste::N,costa,kıyı
141,Küste::N,costa,sahil
142,Festland::N,terra firme,kara
143,Meer::N,mar,deniz
144,Bucht::N,baía,koy
145,Bucht::N,baía,körfez
146,Insel::N,ilha,ada
147,Blume::N,flor,çiçek
148,Gras::N,erva,ot
149,Gras::N,erva,çim
150,Wurzel::N,raiz,kök
151,Baum::N,árvore,ağaç
152,Stamm::N,tronco,gövde
153,Rinde::N,casca,kabuk
154,Ast::N,ramo,dal
155,Ast::N,ramo,budak
156,Zweig::N,galho,dal
157,Blatt::N,folha,yaprak
158,Birke::N,bétula,huş
159,Kiefer[Baum]::N,pinheiro,çam
160,Weide[Baum]::N,salgueiro,söğüt
161,Tanne::N,abeto,çam
162,Tanne::N,abeto,köknar
163,Horn::N,corno,boynuz
164,Horn::N,chifre,boynuz
165,Feder::N,pena,tüy
166,Fell::N,pele,post
167,Flügel::N,asa,kanat
168,Klaue::N,pata,pençe
169,Kralle::N,unha,tırnak
170,Kralle::N,garra,tırnak
171,Schwanz::N,rabo,kuyruk
172,Schwanz::N,cauda,kuyruk
173,Ei::N,ovo,yumurta
174,Nest::N,ninho,yuva
175,Bau::N,toca,in
176,Bau::N,covil,in
177,Tier::N,animal,hayvan
178,Herde::N,rebanho,sürü
179,Kuh::N,vaca,inek
180,Bulle::N,touro,boğa
181,Pferd::N,cavalo,at
182,Pferd::N,cavalo,beygir
183,Schaf::N,ovelha,koyun
184,Schwein::N,porco,domuz
185,Hund::N,cão,it
186,Hund::N,cão,köpek
187,Katze::N,gata,kedi
188,Bär::N,urso,ayı
189,Eichhörnchen::N,esquilo,sincap
190,Elch::N,alce,büyük kuzey geyiği
191,Fuchs::N,raposa,tilki
192,Hase::N,lebre,tavşan
193,Maus::N,rato,fare
194,Maus::N,rato,sıçan
195,Wolf::N,lobo,kurt
196,Vogel::N,ave,kuş
197,Vogel::N,pássaro,kuş
198,Schwarm::N,bando,sürü
199,Schwarm::N,enxame,sürü
200,Huhn::N,galinha,tavuk
201,Hahn::N,galo,horoz
202,Gans::N,ganso,kaz
203,Adler::N,águia,kartal
204,Adler::N,águia,karakuş
205,Ente::N,pata,ördek
206,Eule::N,mocho,baykuş
207,Eule::N,coruja,baykuş
208,Kranich::N,grou,turna
209,Krähe::N,gralha,karga
210,Kuckuck::N,cuco,guguk
211,Schwan::N,cisne,kuğu
212,Fisch::N,peixe,balık
213,Barsch::N,perca,hani
214,Barsch::N,perca,levrek
215,Hecht::N,lúcio,turnabalığı
216,Schlange[Tier]::N,serpente,yılan
217,Wurm::N,verme,kurt
218,Wurm::N,verme,solucan
219,Spinne::N,aranha,örümcek
220,Ameise::N,formiga,karınca
221,Laus::N,piolho,bit
222,Mücke::N,mosquito,sivrisinek
223,Fliege::N,mosca,sinek
224,Schmetterling::N,borboleta,kelebek
225,Beere::N,bago,tane
226,Apfel::N,maçã,elma
227,Pilz::N,fungo,mantar
228,Pilz::N,cogumelo,mantar
229,Zwiebel::N,cebola,soğan
230,Saat::N,sementeira,ekin
231,Korn::N,grão,tane
232,Heu::N,feno,kuru ot
233,Schale::N,casca,kabuk
234,Grube::N,cova,çukur
235,Grube::N,fossa,çukur
236,Falle::N,armadilha,tuzak
237,Schlinge::N,laço,ilmik
238,Spur::N,pista,iz
239,Spur::N,vestígio,iz
240,Asche::N,cinza,kül
241,Dreck::N,sujidade,pislik
242,Eisen::N,ferro,demir
243,Gold::N,ouro,altın
244,Silber::N,prata,gümüş
245,Kohle::N,carvão,kömür
246,Glas::N,vidro,cam
247,Lehm::N,barro,balçık
248,Lehm::N,argila,balçık
249,Sand::N,areia,kum
250,Mensch::N,homem,insan
251,Mensch::N,pessoa,insan
252,Mann::N,homem,adam
253,Mann::N,homem,erkek
254,Frau::N,mulher,bayan
255,Kind::N,filho,çocuk
256,Kind::N,criança,çocuk
257,Junge::N,rapaz,erkek çocuk
258,Junge::N,menino,erkek çocuk
259,Mädchen::N,menina,kız
260,Mädchen::N,rapariga,kız
261,Familie::N,família,aile
262,Großvater::N,avô,dede
263,Großvater::N,avô,büyükbaba
264,Großmutter::N,avó,nine
265,Großmutter::N,avó,büyükanne
266,Eltern::N,pais,ebeveyn
267,Eltern::N,pais,ana baba
268,Vater::N,pai,ata
269,Vater::N,pai,baba
270,Mutter::N,mãe,ana
271,Mutter::N,mãe,anne
272,Sohn::N,filho,oğul
273,Tochter::N,filha,kız
274,Tochter::N,filha,kız evlât
275,Bruder::N,irmão,abi
276,Bruder::N,irmão,erkek kardeş
277,Schwester::N,irmã,abla
278,Schwester::N,irmã,kız kardeş
279,Onkel::N,tio,dayı
280,Tante::N,tia,hala
281,Tante::N,tia,teyze
282,Ehemann::N,esposo,koca
283,Ehefrau::N,esposa,karı
284,Freude::N,prazer,neşe
285,Freude::N,prazer,sevinç
286,Freude::N,alegria,neşe
287,Freude::N,alegria,sevinç
288,Gelächter::N,risada,gülme
289,Gelächter::N,risada,kahkaha
290,Gelächter::N,gargalhada,gülme
291,Gelächter::N,gargalhada,kahkaha
292,Glück::N,felicidade,mutluluk
293,Kummer::N,aflição,dert
294,Kummer::N,aflição,keder
295,Kummer::N,desgosto,dert
296,Kummer::N,desgosto,keder
297,Wunsch::N,desejo,arzu
298,Wunsch::N,desejo,istek
299,Lust::N,vontade,arzu
300,Lust::N,vontade,heves
301,Geist::N,mente,tin
302,Geist::N,espírito,tin
303,Gedanke::N,ideia,fikir
304,Gedanke::N,ideia,düşünce
305,Gedanke::N,pensamento,fikir
306,Gedanke::N,pensamento,düşünce
307,Gedächtnis::N,memória,bellek
308,Verstand::N,razão,zekâ
309,Verstand::N,inteligência,zekâ
310,Sinn::N,sentido,anlam
311,Sinn::N,significado,anlam
312,Grund::N,causa,sebep
313,Grund::N,motivo,sebep
314,Wahrheit::N,verdade,doğruluk
315,Wahrheit::N,verdade,gerçeklik
316,Gespräch::N,conversa,görüşme
317,Gespräch::N,conversação,görüşme
318,Märchen::N,conto,masal
319,Erzählung::N,conto,öykü
320,Erzählung::N,conto,hikâye
321,Erzählung::N,narrativa,öykü
322,Erzählung::N,narrativa,hikâye
323,Nachricht::N,mensagem,haber
324,Neuigkeit::N,notícia,haber
325,Neuigkeit::N,novidade,haber
326,Name::N,nome,ad
327,Name::N,nome,isim
328,Rätsel::N,adivinha,bilmece
329,Rede::N,oração,söylev
330,Rede::N,oração,konuşma
331,Rede::N,discurso,söylev
332,Rede::N,discurso,konuşma
333,Sprache::N,língua,dil
334,Sprache::N,língua,lisan
335,Stimme::N,voz,ses
336,Wort::N,palavra,kelime
337,Zeichen::N,marca,işaret
338,Ruf::N,grito,çağırma
339,Ruf::N,chamada,çağırma
