,Concept_ID,fi,cs
0,Auge::N,silmä,oko
1,Ohr::N,korva,ucho
2,Nase::N,nenä,nos
3,Mund::N,suu,pusa
4,Zahn::N,hammas,zub
5,Zunge::N,kieli,jazyk
6,Lippe::N,huuli,ret
7,Wange::N,poski,tvář
8,Gesicht::N,naama,obličej
9,Gesicht::N,kasvot,obličej
10,Stirn::N,otsa,čelo
11,Haar::N,hius,vlas
12,Haar::N,hius,vlasy
13,Haar::N,tukka,vlas
14,Haar::N,tukka,vlasy
15,Schnurrbart::N,viikset,kníry
16,Bart::N,parta,vousy
17,Kinn::N,leuka,brada
18,Kiefer[Anatomie]::N,leukaluu,čelist
19,Kehle::N,kurkku,hrdlo
20,Hals::N,kaula,krk
21,Genick::N,niska,týl
22,Kopf::N,pää,hlava
23,Rücken::N,selkä,záda
24,Rücken::N,selkä,hřbet
25,Bauch::N,maha,břicho
26,Bauch::N,vatsa,břicho
27,Nabel::N,napa,pupek
28,Busen::N,rinta,ňadra
29,Brust::N,rinta,prsa
30,Schulter::N,olka,plece
31,Schulter::N,olka,rameno
32,Schulter::N,hartia,plece
33,Schulter::N,hartia,rameno
34,Schulter::N,olkapää,plece
35,Schulter::N,olkapää,rameno
36,Arm::N,käsivarsi,ruka
37,Ellenbogen::N,kyynärpää,loket
38,Hand::N,käsi,ruka
39,Handfläche::N,kämmen,dlaň
40,Finger::N,sormi,prst
41,Fingernagel::N,kynsi,nehet
42,Nagel[Anatomie]::N,kynsi,nehet
43,Zeh::N,varvas,prst u nohy
44,Fuß::N,jalka,noha
45,Ferse::N,kantapää,pata
46,Knie::N,polvi,koleno
47,Oberschenkel::N,reisi,stehno
48,Bein::N,jalka,noha
49,Körper::N,keho,tělo
50,Körper::N,ruumis,tělo
51,Haut::N,iho,kůže
52,Blut::N,veri,krev
53,Ader::N,suoni,céva
54,Sehne::N,jänne,šlacha
55,Knochen::N,luu,kost
56,Gehirn::N,aivot,mozek
57,Herz::N,sydän,srdce
58,Magen::N,maha,žaludek
59,Magen::N,vatsa,žaludek
60,Leber::N,maksa,játra
61,Atem::N,henki,dech
62,Atem::N,hengitys,dech
63,Hunger::N,nälkä,hlad
64,Träne::N,kyynel,slza
65,Geschmack::N,maku,vkus
66,Geruch::N,haju,vůně
67,Geruch::N,haju,zápach
68,Schlaf::N,uni,spánek
69,Traum::N,uni,sen
70,Himmel::N,taivas,nebe
71,Sonne::N,aurinko,slunce
72,Mond::N,kuu,měsíc
73,Stern::N,tähti,hvězda
74,Luft::N,ilma,vzduch
75,Wind::N,tuuli,vítr
76,Welle::N,aalto,vlna
77,Wasser::N,vesi,voda
78,Stein::N,kivi,kámen
79,Boden::N,maa,půda
80,Boden::N,maaperä,půda
81,Erde::N,maa,země
82,Staub::N,pöly,prach
83,Rauch::N,savu,dým
84,Rauch::N,savu,kouř
85,Funke::N,kipinä,jiskra
86,Feuer::N,tuli,oheň
87,Licht::N,valo,světlo
88,Schatten::N,varjo,stín
89,Wetter::N,sää,počasí
90,Nebel::N,sumu,mlha
91,Wolke::N,pilvi,mrak
92,Wolke::N,pilvi,oblak
93,Regen::N,sade,déšť
94,Schnee::N,lumi,sníh
95,Eis::N,jää,led
96,Frost::N,halla,mráz
97,Frost::N,pakkanen,mráz
98,Kälte::N,vilu,chlad
99,Kälte::N,kylmyys,chlad
100,Hitze::N,helle,horko
101,Hitze::N,kuumuus,horko
102,Raureif::N,huurre,jinovatka
103,Regenbogen::N,sateenkaari,duha
104,Donner::N,jyrinä,hrom
105,Strömung::N,virtaus,proudění
106,Tropfen::N,tippa,kapka
107,Tropfen::N,pisara,kapka
108,Schaum::N,vaahto,pěna
109,Schmutz::N,loka,špína
110,See::N,järvi,jezero
111,Sumpf::N,suo,močál
112,Sumpf::N,suo,bažina
113,Moor::N,räme,bažina
114,Moor::N,räme,slatina
115,Wiese::N,niitty,louka
116,Wald::N,metsä,les
117,Hügel::N,mäki,kopec
118,Hügel::N,kumpu,kopec
119,Hügel::N,kukkula,kopec
120,Anhöhe::N,mäki,pahorek
121,Anhöhe::N,kumpare,pahorek
122,Berg::N,mäki,hora
123,Berg::N,vuori,hora
124,Gipfel::N,laki,vrchol
125,Gipfel::N,huippu,vrchol
126,Höhle::N,luola,jeskyně
127,Abhang::N,rinne,svah
128,Abhang::N,rinne,stráň
129,Quelle::N,lähde,pramen
130,Bach::N,puro,potok
131,Fluss::N,joki,řeka
132,Ufer::N,ranta,břeh
133,Küste::N,rannikko,pobřeží
134,Festland::N,manner,souš
135,Festland::N,manner,pevnina
136,Meer::N,meri,moře
137,Bucht::N,lahti,záliv
138,Bucht::N,lahti,zátoka
139,Insel::N,saari,ostrov
140,Blume::N,kukka,květina
141,Gras::N,ruoho,tráva
142,Wurzel::N,juuri,kořen
143,Baum::N,puu,strom
144,Stamm::N,runko,kmen
145,Rinde::N,kuori,kůra
146,Rinde::N,parkki,kůra
147,Ast::N,oksa,větev
148,Zweig::N,haara,větev
149,Blatt::N,lehti,lupen
150,Birke::N,koivu,bříza
151,Kiefer[Baum]::N,mänty,sosna
152,Kiefer[Baum]::N,mänty,borovice
153,Kiefer[Baum]::N,petäjä,sosna
154,Kiefer[Baum]::N,petäjä,borovice
155,Weide[Baum]::N,paju,vrba
156,Tanne::N,kuusi,jedle
157,Horn::N,sarvi,roh
158,Feder::N,sulka,pero
159,Feder::N,höyhen,pero
160,Fell::N,talja,srst
161,Flügel::N,siipi,křídlo
162,Klaue::N,kynsi,dráp
163,Klaue::N,kynsi,pazneht
164,Kralle::N,kynsi,dráp
165,Schwanz::N,häntä,ocas
166,Schwanz::N,pyrstö,ocas
167,Ei::N,muna,vejce
168,Nest::N,pesä,hnízdo
169,Bau::N,pesä,nora
170,Tier::N,eläin,zvíře
171,Herde::N,lauma,stádo
172,Kuh::N,lehmä,kráva
173,Bulle::N,sonni,býk
174,Pferd::N,hevonen,kůň
175,Schaf::N,lammas,ovce
176,Schwein::N,sika,vepř
177,Schwein::N,sika,prase
178,Hund::N,koira,pes
179,Katze::N,kissa,kočka
180,Bär::N,karhu,medvěd
181,Eichhörnchen::N,orava,veverka
182,Elch::N,hirvi,los
183,Fuchs::N,kettu,liška
184,Hase::N,jänis,zajíc
185,Maus::N,hiiri,myš
186,Wolf::N,susi,vlk
187,Vogel::N,lintu,pták
188,Schwarm::N,parvi,roj
189,Schwarm::N,parvi,hejno
190,Huhn::N,kana,kuře
191,Huhn::N,kana,slepice
192,Hahn::N,kukko,kohout
193,Gans::N,hanhi,husa
194,Adler::N,kotka,orel
195,Ente::N,ankka,kachna
196,Eule::N,pöllö,sova
197,Kranich::N,kurki,jeřáb
198,Krähe::N,varis,vrána
199,Kuckuck::N,käki,kukačka
200,Schwan::N,joutsen,labuť
201,Fisch::N,kala,ryba
202,Barsch::N,ahven,okoun
203,Hecht::N,hauki,štika
204,Schlange[Tier]::N,käärme,had
205,Wurm::N,mato,červ
206,Spinne::N,hämähäkki,pavouk
207,Ameise::N,muurahainen,mravenec
208,Laus::N,täi,veš
209,Mücke::N,sääski,komár
210,Mücke::N,hyttynen,komár
211,Fliege::N,kärpänen,moucha
