,Concept_ID,lez,fa
0,Auge::N,вил,چشم
1,Ohr::N,яб,گوش
2,Nase::N,нер,بینی
3,Mund::N,сив,دهان
4,Zahn::N,сас,دندان
5,Zahn::N,свах,دندان
6,Zunge::N,мез,زبان
7,Lippe::N,пӏуз,لب
8,Wange::N,хъвехъ,لپ
9,Gesicht::N,ччин,رو
10,Gesicht::N,ччин,چهره
11,Stirn::N,пел,پیشانی
12,Haar::N,чӏар,مو
13,Schnurrbart::N,спел,سبیل
14,Schnurrbart::N,спелар,سبیل
15,Bart::N,ччуру,ریش
16,Kinn::N,чене,چانه
17,Kiefer[Anatomie]::N,чене,فک
18,Kiefer[Anatomie]::N,чене,آرواره
19,Kehle::N,туьд,حلق
20,Hals::N,гардан,گردن
21,Genick::N,кьам,پشت گردن
22,Kopf::N,кьил,سر
23,Kopf::N,кьил,کله
24,Rücken::N,далу,پشت
25,Bauch::N,руфун,شکم
26,Nabel::N,пицӏ,ناف
27,Busen::N,мам,پستان
28,Brust::N,хур,سینه
29,Schulter::N,къуьн,دوش
30,Schulter::N,къуьн,شانه
31,Arm::N,гъил,بازو
32,Ellenbogen::N,кьуьнт,آرنج
33,Hand::N,капаш,دست
34,Handfläche::N,капан юкь,کف دست
35,Finger::N,тӏуб,انگشت
36,Fingernagel::N,кек,ناخن دست
37,Nagel[Anatomie]::N,кек,ناخن
38,Zeh::N,кул,انگشت پا
39,Fuß::N,кӏвач,پا
40,Ferse::N,дабан,پاشنه
41,Knie::N,мет,زانو
42,Bein::N,кӏвач,پا
43,Bein::N,кӏвач,لنگ
44,Körper::N,беден,تن
45,Körper::N,беден,بدن
46,Haut::N,хам,پوست
47,Blut::N,иви,خون
48,Ader::N,дамар,رگ
49,Sehne::N,кьуру дамар,زردپی
50,Knochen::N,кӏараб,استخوان
51,Gehirn::N,мефт,مخ
52,Gehirn::N,мефт,مغز
53,Herz::N,рикӏ,دل
54,Herz::N,рикӏ,قلب
55,Magen::N,хук,معده
56,Leber::N,лекь,کبد
57,Atem::N,ял,نفس
58,Atem::N,нефес,نفس
59,Hunger::N,каш,گرسنگی
60,Träne::N,вилин нагъв,اشک
61,Geschmack::N,дад,مزه
62,Geschmack::N,тӏям,مزه
63,Geruch::N,ни,بو
64,Schlaf::N,ахвар,خواب
65,Traum::N,ахвар,رؤیا
66,Himmel::N,цав,فلک
67,Himmel::N,цав,آسمان
68,Sonne::N,рагъ,آفتاب
69,Sonne::N,рагъ,خورشید
70,Mond::N,варз,ماه
71,Stern::N,гъед,ستاره
72,Luft::N,гьава,هوا
73,Wind::N,гар,باد
74,Welle::N,лепе,موج
75,Wasser::N,яд,آب
76,Stein::N,къван,سنگ
77,Boden::N,накьв,زمین
78,Erde::N,ччил,خاک
79,Erde::N,ччил,زمین
80,Staub::N,руг,گرد
81,Staub::N,руг,غبار
82,Rauch::N,гум,دود
83,Funke::N,цӏелхем,جرقه
84,Feuer::N,цӏай,آتش
85,Licht::N,экв,نور
86,Licht::N,экв,روشنی
87,Schatten::N,серин,سایه
88,Wetter::N,гьава,هوا
89,Nebel::N,ччилин циф,مه
90,Wolke::N,циф,ابر
91,Regen::N,марф,باران
92,Schnee::N,жив,برف
93,Eis::N,мурк,یخ
94,Frost::N,аяз,یخبندان
95,Kälte::N,мекь,سرما
96,Kälte::N,мекьивал,سرما
97,Hitze::N,зегьем,گرما
98,Hitze::N,зегьем,حرارت
99,Raureif::N,къирав,برف ریزه
100,Regenbogen::N,яргъируш,رنگین‌کمان
101,Donner::N,цавун ван,رعد
102,Tropfen::N,стӏал,قطره
103,Schaum::N,каф,کف
104,Schmutz::N,чирк,گل
105,Schmutz::N,чирк,کثافت
106,Schmutz::N,кьуруш,گل
107,Schmutz::N,кьуруш,کثافت
108,See::N,вир,دریاچه
109,Sumpf::N,уьлен,مرداب
110,Sumpf::N,уьлен,باتلاق
111,Wiese::N,векь,چمن
112,Wald::N,там,جنگل
113,Hügel::N,кӏунтӏ,تل
114,Hügel::N,кӏунтӏ,تپه
115,Anhöhe::N,тепе,بلندی
116,Anhöhe::N,гьуьндуьрвал,بلندی
117,Berg::N,дагъ,کوه
118,Gipfel::N,кӏукӏ,قله
119,Höhle::N,кьветӏ,غار
120,Abhang::N,гуьне,سرازیری
121,Quelle::N,чешме,چشمه
122,Bach::N,булах,نهر
123,Fluss::N,вацӏ,رود
124,Ufer::N,къерех,ساحل
125,Ufer::N,къерех,کرانه
126,Küste::N,къерех,ساحل
127,Festland::N,кьурамат,خشکی
128,Meer::N,гьуьл,دریا
129,Bucht::N,бухта,خلیج
130,Insel::N,остров,جزیره
131,Blume::N,цуьк,گل
132,Gras::N,хъач,علف
133,Wurzel::N,дувул,ریشه
134,Baum::N,ттар,درخت
135,Stamm::N,тан,تنه
136,Rinde::N,чкал,توژ
137,Rinde::N,чкал,پوست
138,Ast::N,тӏур,شاخه
139,Zweig::N,хел,شاخه
140,Blatt::N,пеш,برگ
141,Birke::N,верх,غان
142,Kiefer[Baum]::N,шамагъаж,کاج
143,Weide[Baum]::N,цӏвелин ттар,بید
144,Tanne::N,ель,صنوبر
145,Horn::N,карч,شاخ
146,Feder::N,цӏакул,پر
147,Fell::N,хам,خز
148,Flügel::N,лув,پر
149,Flügel::N,лув,بال
150,Klaue::N,къармах,چنگ
151,Klaue::N,къармах,پنجه
152,Kralle::N,пац,پنجه
153,Kralle::N,тапас,پنجه
154,Schwanz::N,ттум,دم
155,Ei::N,кака,تخم
156,Nest::N,муг,لانه
157,Bau::N,тӏеквен,بنا
158,Bau::N,тӏеквен,ساختمان
159,Tier::N,гьайван,هیوان
160,Herde::N,суьруь,رمه
161,Kuh::N,ккал,گاو
162,Bulle::N,яц,گاو نر
163,Bulle::N,бугъа,گاو نر
164,Pferd::N,балкӏан,اسب
165,Schaf::N,хеб,گوسفند
166,Schwein::N,вак,خوک
167,Hund::N,кицӏ,سگ
168,Katze::N,кац,گربه
169,Bär::N,сев,خرس
170,Eichhörnchen::N,белка,سنجاب
171,Elch::N,лось,گوزن شمالی
172,Fuchs::N,сикӏ,روباه
173,Hase::N,къуьр,خرگوش
174,Maus::N,кьиф,موش
175,Wolf::N,жанавур,گرگ
176,Vogel::N,луван ничхир,پرنده
177,Schwarm::N,луж,دسته
178,Huhn::N,верч,مرغ
179,Hahn::N,кӏек,خروس
180,Gans::N,къаз,غاز
181,Adler::N,лекь,عقاب
182,Ente::N,пӏатӏ,اردک
183,Ente::N,пӏатӏ,مرغابی
184,Eule::N,тӏиб,جغد
185,Kranich::N,дурна,درنا
186,Krähe::N,къаргъа,زاغ
187,Krähe::N,къаргъа,کلاغ
188,Kuckuck::N,кукупӏ,فاخته
189,Schwan::N,къугь,قو
190,Fisch::N,гъед,ماهی
191,Barsch::N,окунь,ماهی خاردار
192,Hecht::N,щука,اردک ماهی
193,Schlange[Tier]::N,илан,مار
194,Schlange[Tier]::N,гъуьлягъ,مار
195,Wurm::N,квак,کرم
196,Spinne::N,хуьшрекан,عنکبوت
197,Ameise::N,цегв,مورچه
198,Laus::N,нет,شپش
199,Mücke::N,ветӏ,پشه
200,Fliege::N,тӏветӏ,مگس
201,Schmetterling::N,чепелукь,پروانه
202,Beere::N,куьлуь емиш,گیله
203,Apfel::N,ич,سیب
204,Pilz::N,къарникъуз,قارچ
205,Zwiebel::N,чичӏек,پیاز
206,Saat::N,тумар,بذر
207,Korn::N,твар,تخم
208,Korn::N,твар,دانه
209,Heu::N,векь,علف خشک
210,Heu::N,векьер,علف خشک
211,Schale::N,пириш,پوست
212,Schale::N,хъуьруьш,پوست
213,Grube::N,фур,گودال
214,Falle::N,ракьар,دام
215,Schlinge::N,гьалкъа,حلقه
216,Spur::N,гел,رد
217,Asche::N,руьхъ,خاکستر
218,Dreck::N,чирк,کثافت
219,Dreck::N,кьуруш,کثافت
220,Eisen::N,ракь,آهن
221,Gold::N,алтун,زر
222,Gold::N,алтун,طلا
223,Silber::N,гимиш,نقره
224,Kohle::N,цӏивин,زغال
225,Glas::N,шуьше,شیشه
226,Lehm::N,ччеб,گل
227,Sand::N,къум,شن
228,Sand::N,къум,ماسه
229,Mensch::N,инсан,آدم
230,Mensch::N,инсан,انسان
231,Mann::N,итим,مرد
232,Frau::N,паб,زن
233,Frau::N,дишегьли,زن
234,Kind::N,аял,بچه
235,Kind::N,аял,کودک
236,Junge::N,гада,پسر
237,Mädchen::N,руш,دختر
238,Familie::N,хзан,فامیل
239,Familie::N,хзан,خانواده
240,Familie::N,килфет,فامیل
241,Familie::N,килфет,خانواده
242,Großvater::N,чӏехи буба,پدربزرگ
243,Großmutter::N,чӏехи диде,مادر‌بزرگ
244,Eltern::N,диде-буба,والدین
245,Eltern::N,диде-буба,پدر‌و‌مادر
246,Vater::N,буба,پدر
247,Mutter::N,диде,مادر
248,Sohn::N,хва,پسر
249,Tochter::N,руш,دختر
250,Bruder::N,стха,برادر
251,Schwester::N,вах,خواهر
252,Onkel::N,ими,عمو
253,Onkel::N,ими,دایی
254,Onkel::N,халу,عمو
255,Onkel::N,халу,دایی
256,Tante::N,эме,عمه
257,Tante::N,эме,خاله
258,Tante::N,хала,عمه
259,Tante::N,хала,خاله
260,Ehemann::N,гъуьл,همسر
261,Ehefrau::N,паб,همسر
262,Freude::N,шадвал,شادی
263,Gelächter::N,хъвер,خنده
264,Gelächter::N,хъвер,قاه‌قاه
265,Glück::N,бахт,اقبال
266,Kummer::N,дерт,غم
267,Kummer::N,дерт,غصه
268,Kummer::N,хажалат,غم
269,Kummer::N,хажалат,غصه
270,Wunsch::N,мурад,آرزو
271,Lust::N,гьевес,هوس
272,Geist::N,руьгь,روح
273,Gedanke::N,фикир,فکر
274,Verstand::N,акьул,هوش
275,Sinn::N,мана,معنا
276,Sinn::N,мана,مفهوم
277,Grund::N,себеб,سبب
278,Grund::N,себеб,دلیل
279,Wahrheit::N,керчек,حقیقت
280,Wahrheit::N,гьакъикъат,حقیقت
281,Gespräch::N,ихтилат,صحبت
282,Gespräch::N,ихтилат,گفتگو
283,Märchen::N,мах,قصه
284,Märchen::N,мах,افسانه
285,Erzählung::N,кьиса,داستان
286,Nachricht::N,хабар,خبر
287,Neuigkeit::N,цӏийи хабар,خبر تازه
288,Name::N,тӏвар,اسم
289,Rätsel::N,мискӏал,معما
290,Rede::N,рахун,سخن
291,Sprache::N,чӏал,زبان
292,Stimme::N,ван,صدا
293,Wort::N,гаф,کلمه
294,Zeichen::N,ишара,نشان
295,Zeichen::N,ишара,علامت
296,Ruf::N,эвер,صدا
297,Lärm::N,ван-сес,هیاهو
298,Laut::N,ван,صدا
299,Laut::N,сес,صدا
300,Ton::N,ван-сес,آهنگ
301,Lied::N,мани,آواز
302,Lied::N,мани,ترانه
303,Ruhe::N,ласвал,آرامش
304,Ruhe::N,фаракъат,آرامش
305,Ruhe::N,асайиш,آرامش
306,Leute::N,инсанар,مردم
307,Volk::N,халкь,خلق
308,Arbeit::N,кӏвалах,کار
309,Gast::N,мугьман,مهمان
310,Geschenk::N,савкьат,هدیه
311,Spiel::N,къугъун,بازی
312,Gesellschaft::N,жемят,جمعیت
313,Gesellschaft::N,общество,جمعیت
314,Hilfe::N,куьмек,کمک
315,Freund::N,дуст,دوست
316,Kamerad::N,яр-дуст,رفیق
317,Angelegenheit::N,кар,امر
318,Angelegenheit::N,кар,قضیه
319,Anzahl::N,сан,عده
320,Anzahl::N,сан,شمار
321,Anzahl::N,кьадар,عده
322,Anzahl::N,кьадар,شمار
323,Art::N,жуьре,نوع
324,Stück::N,кӏус,تکه
325,Stück::N,кӏус,قطعه
326,Teil::N,пай,بخش
327,Teil::N,пай,قسمت
328,Hälfte::N,зур,نیم
329,Hälfte::N,зур пай,نیم
330,Kreis::N,круг,حلقه
331,Kreis::N,круг,دایره
332,Kreis::N,чкаяр,حلقه
333,Kreis::N,чкаяр,دایره
334,Kreis::N,элкъвей цӏар,حلقه
335,Kreis::N,элкъвей цӏар,دایره
336,Kreuz::N,хаш,صلیب
337,Linie::N,цӏар,خط
338,Linie::N,цӏар,سطر
339,Strich::N,цӏар,خط
340,Abstand::N,ара,فاصله
341,Entfernung::N,мензил,مسافت
342,Gegend::N,чка,منطقه
343,Platz::N,ара,گنجایش
344,Ort::N,чка,جا
345,Ort::N,чка,محل
346,Ort::N,чка,مکان
347,Seite::N,пад,طرف
348,Mitte::N,юкь,وسط
349,Mitte::N,юкь,میان
350,Gegenstand::N,затӏ,چیز
351,Sache::N,шей,چیز
352,Sache::N,затӏ,چیز
353,Rand::N,къерех,کنار
354,Rand::N,къерех,حاشیه
355,Kante::N,син,لبه
356,Ecke::N,пӏипӏ,گوشه
357,Spitze::N,кӏвенкӏв,سر
358,Spitze::N,кӏвенкӏв,نوک
359,Ende::N,кьил,ته
360,Ende::N,кьил,آخر
361,Loch::N,тӏеквен,سوراخ
362,Winkel::N,пӏипӏ,کنج
363,Muster::N,гишир,نقش
