,Concept_ID,es,kv
0,Auge::N,ojo,син
1,Ohr::N,oreja,пель
2,Nase::N,nariz,ныр
3,Mund::N,boca,ӧм
4,Zahn::N,diente,пинь
5,Zunge::N,lengua,кыв
6,Lippe::N,labio,тырп
7,Wange::N,mejilla,рожабан
8,Gesicht::N,cara,бан
9,Stirn::N,frente,кымӧс
10,Haar::N,cabello,юрси
11,Schnurrbart::N,bigote,уссэз
12,Bart::N,barba,тош
13,Kinn::N,barbilla,тшӧка
14,Kiefer[Anatomie]::N,mandíbula,ан
15,Kehle::N,garganta,юан
16,Hals::N,cuello,юан
17,Genick::N,nuca,юр бӧр
18,Genick::N,cerviz,юр бӧр
19,Kopf::N,cabeza,юр
20,Rücken::N,espalda,мышк
21,Bauch::N,vientre,кынӧм
22,Nabel::N,ombligo,гӧг
23,Busen::N,pecho,морос
24,Brust::N,pecho,морос
25,Schulter::N,hombro,пельпон
26,Arm::N,brazo,ки
27,Ellenbogen::N,codo,гырдзза
28,Hand::N,mano,кикар
29,Handfläche::N,palma,ки пыдӧс
30,Finger::N,dedo,чунь
31,Fingernagel::N,uña,гыж
32,Nagel[Anatomie]::N,uña,гыж
33,Zeh::N,dedo del pie,чунь
34,Fuß::N,pie,кокпыдӧс
35,Ferse::N,talón,кокдзир
36,Knie::N,rodilla,пидзӧс
37,Oberschenkel::N,muslo,лядьбей
38,Bein::N,pierna,кок
39,Körper::N,cuerpo,вывтыр
40,Haut::N,piel,кучик
41,Blut::N,sangre,вир
42,Ader::N,vena,сӧн
43,Sehne::N,tendón,жила
44,Knochen::N,hueso,коска
45,Gehirn::N,cerebro,вем
46,Gehirn::N,encéfalo,вем
47,Herz::N,corazón,сьӧлӧм
48,Magen::N,estómago,жӧвдӧк
49,Leber::N,hígado,мус
50,Atem::N,aliento,лолалӧм
51,Hunger::N,hambre,тшыг
52,Träne::N,lágrima,синва
53,Geschmack::N,gusto,кӧр
54,Geruch::N,olor,дук
55,Schlaf::N,sueño,он
56,Traum::N,sueño,вӧт
57,Traum::N,ensueño,вӧт
58,Himmel::N,cielo,небо
59,Sonne::N,sol,шондi
60,Mond::N,luna,тӧлiсь
61,Stern::N,estrella,кӧдзыв
62,Luft::N,aire,ру
63,Wind::N,viento,тӧв
64,Welle::N,ola,гы
65,Welle::N,onda,гы
66,Wasser::N,agua,ва
67,Stein::N,piedra,из
68,Boden::N,suelo,му
69,Erde::N,tierra,му
70,Staub::N,polvo,бус
71,Rauch::N,humo,тшын
72,Funke::N,chispa,бичир
73,Feuer::N,fuego,би
74,Licht::N,luz,би
75,Schatten::N,sombra,вуджӧр
76,Wetter::N,tiempo,погоддя
77,Nebel::N,niebla,туман
78,Wolke::N,nube,кымӧр
79,Regen::N,lluvia,зэр
80,Schnee::N,nieve,лым
81,Eis::N,hielo,йы
82,Frost::N,helada,мороз
83,Kälte::N,frío,кӧдзыт
84,Hitze::N,calor,ӧд
85,Raureif::N,escarcha,кижа
86,Regenbogen::N,arco iris,енӧшка
87,Donner::N,trueno,гым
88,Strömung::N,corriente,визывтӧм
89,Tropfen::N,gota,тёп
90,Schaum::N,espuma,быг
91,Schmutz::N,suciedad,нять
92,See::N,lago,ты
93,Sumpf::N,pantano,арай
94,Moor::N,turbera,нюр
95,Wiese::N,prado,видз
