,Concept_ID,cs,sv
0,Auge::N,oko,öga
1,Ohr::N,ucho,öra
2,Nase::N,nos,näsa
3,Mund::N,pusa,mun
4,Zahn::N,zub,tand
5,Zunge::N,jazyk,tunga
6,Lippe::N,ret,läpp
7,Wange::N,tvář,kind
8,Gesicht::N,obličej,syn
9,Gesicht::N,obličej,ansikte
10,Stirn::N,čelo,panna
11,Haar::N,vlas,hår
12,Haar::N,vlasy,hår
13,Schnurrbart::N,kníry,mustasch
14,Bart::N,vousy,skägg
15,Kinn::N,brada,haka
16,Kiefer[Anatomie]::N,čelist,käke
17,Kehle::N,hrdlo,strupe
18,Hals::N,krk,hals
19,Genick::N,týl,nacke
20,Kopf::N,hlava,huvud
21,Rücken::N,záda,rygg
22,Rücken::N,hřbet,rygg
23,Bauch::N,břicho,buk
24,Bauch::N,břicho,mage
25,Nabel::N,pupek,navel
26,Busen::N,ňadra,barm
27,Brust::N,prsa,bröst
28,Schulter::N,plece,skuldra
29,Schulter::N,rameno,skuldra
30,Arm::N,ruka,arm
31,Ellenbogen::N,loket,armbåge
32,Hand::N,ruka,hand
33,Handfläche::N,dlaň,handflata
34,Finger::N,prst,finger
35,Fingernagel::N,nehet,fingernagel
36,Nagel[Anatomie]::N,nehet,nagel
37,Zeh::N,prst u nohy,tå
38,Fuß::N,noha,fot
39,Ferse::N,pata,häl
40,Knie::N,koleno,knä
41,Oberschenkel::N,stehno,lår
42,Bein::N,noha,ben
43,Körper::N,tělo,kropp
44,Haut::N,kůže,hud
45,Haut::N,kůže,skinn
46,Blut::N,krev,blod
47,Ader::N,céva,åder
48,Sehne::N,šlacha,sena
49,Knochen::N,kost,ben
50,Gehirn::N,mozek,hjärna
51,Herz::N,srdce,hjärta
52,Magen::N,žaludek,mage
53,Leber::N,játra,lever
54,Atem::N,dech,anda
55,Atem::N,dech,andedräkt
56,Hunger::N,hlad,svält
57,Hunger::N,hlad,hunger
58,Träne::N,slza,tår
59,Geschmack::N,vkus,smak
60,Geruch::N,vůně,lukt
61,Geruch::N,zápach,lukt
62,Schlaf::N,spánek,sömn
63,Traum::N,sen,dröm
64,Himmel::N,nebe,himmel
65,Sonne::N,slunce,sol
66,Mond::N,měsíc,måne
67,Stern::N,hvězda,stjärna
68,Luft::N,vzduch,luft
69,Wind::N,vítr,vind
70,Welle::N,vlna,våg
71,Welle::N,vlna,bölja
72,Wasser::N,voda,vatten
73,Stein::N,kámen,sten
74,Boden::N,půda,mark
75,Erde::N,země,jord
76,Staub::N,prach,damm
77,Rauch::N,dým,rök
78,Rauch::N,kouř,rök
79,Funke::N,jiskra,gnista
80,Feuer::N,oheň,eld
81,Licht::N,světlo,ljus
82,Schatten::N,stín,skugga
83,Wetter::N,počasí,väder
84,Nebel::N,mlha,dimma
85,Nebel::N,mlha,töcken
86,Wolke::N,mrak,sky
87,Wolke::N,mrak,moln
88,Wolke::N,oblak,sky
89,Wolke::N,oblak,moln
90,Regen::N,déšť,regn
91,Schnee::N,sníh,snö
92,Eis::N,led,is
93,Frost::N,mráz,frost
94,Kälte::N,chlad,köld
95,Hitze::N,horko,hetta
96,Raureif::N,jinovatka,rimfrost
97,Regenbogen::N,duha,regnbåge
98,Donner::N,hrom,åska
99,Donner::N,hrom,dunder
100,Strömung::N,proudění,strömning
101,Tropfen::N,kapka,dropper
102,Schaum::N,pěna,skum
103,Schmutz::N,špína,lort
104,Schmutz::N,špína,smuts
105,See::N,jezero,sjö
106,Sumpf::N,močál,träsk
107,Sumpf::N,bažina,träsk
108,Moor::N,bažina,myr
109,Moor::N,bažina,mosse
110,Moor::N,slatina,myr
111,Moor::N,slatina,mosse
112,Wiese::N,louka,äng
