,Concept_ID,bn,el
0,Auge::N,চক্ষু,μάτι
1,Auge::N,চক্ষু,οφθαλμός
2,Ohr::N,কর্ণ,αυτί
3,Nase::N,নাক,μύτη
4,Mund::N,মুখ,στόμα
5,Zahn::N,দাঁত,δόντι
6,Zunge::N,জিহবা,γλώσσα
7,Lippe::N,অধর,χείλος
8,Wange::N,গণ্ড,παρειά
9,Wange::N,গণ্ড,μάγουλο
10,Gesicht::N,মুখমণ্ডল,πρόσωπο
11,Stirn::N,কপাল,μέτωπο
12,Haar::N,চুল,μαλλιά
13,Schnurrbart::N,গোঁফ,μουστάκι
14,Bart::N,শ্মশ্রু,γένια
15,Kinn::N,চিবুক,πιγούνι
16,Kiefer[Anatomie]::N,চোয়াল,σαγόνι
17,Kehle::N,কণ্ঠ,λαρύγγι
18,Hals::N,গল,λαιμός
19,Genick::N,ঘাড়,σβέρκος
20,Kopf::N,মাথা,κεφάλι
21,Rücken::N,পৃষ্ঠ,ράχη
22,Bauch::N,উদর,κοιλιά
23,Nabel::N,নাভি,αφαλός
24,Busen::N,স্তন,στήθος
25,Brust::N,বুক,στήθος
26,Schulter::N,স্কন্ধ,ώμος
27,Arm::N,বাহু,χέρι
28,Arm::N,বাহু,μπράτςο
29,Ellenbogen::N,কনুই,αγκώνας
30,Hand::N,হাত,χέρι
31,Handfläche::N,করতল,παλάμη
32,Finger::N,আঙ্গুল,δάχτυλο
33,Fingernagel::N,হাতের নখ,νύχι
34,Nagel[Anatomie]::N,নখ,νύχι
35,Zeh::N,আঙ্গুল,δάχτυλο του ποδιού
36,Fuß::N,পা,πόδι
37,Ferse::N,গোড়ালি,φτέρνα
38,Knie::N,হাঁটু,γόνατο
39,Oberschenkel::N,ঊরু,μηρός
40,Bein::N,পা,πόδι
41,Körper::N,দেহ,σώμα
42,Körper::N,দেহ,κορμί
43,Haut::N,ত্বক,πετσί
44,Blut::N,রক্ত,αίμα
45,Ader::N,শিরা,φλέβα
46,Sehne::N,কণ্ডরা,νεύρο
47,Sehne::N,কণ্ডরা,τένοντας
48,Knochen::N,অস্থি,οστό
49,Knochen::N,অস্থি,κόκκαλο
50,Gehirn::N,মস্তিষ্ক,μυαλό
51,Gehirn::N,মস্তিষ্ক,εγκέφαλος
52,Herz::N,হৃৎপিণ্ড,καρδιά
53,Magen::N,পাকস্থলী,στομάχι
54,Leber::N,যকৃৎ,ήπαρ
55,Leber::N,যকৃৎ,συκωτί
56,Atem::N,শ্বাস,αναπνοή
57,Hunger::N,ক্ষুধা,πείνα
58,Träne::N,অশ্রু,δάκρυ
59,Geschmack::N,স্বাদ,γεύση
60,Geruch::N,গন্ধ,οσμή
61,Geruch::N,গন্ধ,μυρωδία
62,Schlaf::N,ঘুম,ύπνος
63,Traum::N,স্বপ্ন,όνειρο
64,Himmel::N,আকাশ,ουρανός
65,Sonne::N,সূর্য,ήλιος
66,Mond::N,চন্দ্র,σελήνη
67,Mond::N,চন্দ্র,φεγγάρι
68,Stern::N,নক্ষত্র,άστρο
69,Stern::N,নক্ষত্র,αστέρι
70,Luft::N,বায়ু,αέρας
71,Wind::N,বাতাস,αέρας
72,Wind::N,বাতাস,άνεμος
73,Welle::N,ঢেউ,κύμα
74,Welle::N,তরঙ্গ,κύμα
75,Wasser::N,জল,νερό
76,Stein::N,ঢিল,πέτρα
77,Stein::N,প্রস্তর,πέτρα
78,Boden::N,ভূতল,χώμα
79,Erde::N,ভূমি,γη
80,Staub::N,ধুলা,σκόνη
81,Rauch::N,ধোঁয়া,καπνός
82,Funke::N,স্ফুলিঙ্গ,σπίθα
83,Funke::N,স্ফুলিঙ্গ,σπινθήρας
84,Feuer::N,অগ্নি,φωτιά
85,Licht::N,আলো,φως
86,Schatten::N,ছায়া,σκιά
87,Schatten::N,ছায়া,ίσκιος
88,Wetter::N,আবহাওয়া,καιρός
89,Nebel::N,কুহেলিকা,ομίχλη
90,Wolke::N,মেঘ,σύννεφο
91,Regen::N,বৃষ্টি,βροχή
92,Schnee::N,তুষার,χιόνι
93,Eis::N,বরফ,πάγος
94,Frost::N,তুষার,παγωνία
95,Kälte::N,শৈত্য,κρύο
96,Kälte::N,শৈত্য,ψύχος
97,Hitze::N,তাপ,ζέστη
98,Raureif::N,তুহিন,πάχνη
99,Regenbogen::N,রামধনু,ουράνιο τόξο
100,Donner::N,বজ্রধ্বনি,βροντή
101,Strömung::N,স্রোত,ρεύμα
102,Tropfen::N,ফোঁটা,στάλα
103,Schaum::N,ফেনা,αφρός
104,Schmutz::N,ধুলা,βρωμιά
105,See::N,হ্রদ,λίμνη
106,Sumpf::N,জলা,βάλτος
107,Moor::N,মাঠ,έλος
108,Wiese::N,তৃণভূমি,λιβάδι
109,Wald::N,বন,δάσος
110,Hügel::N,পাহাড়,λόφος
111,Anhöhe::N,টিলা,ύψωμα
112,Berg::N,পর্বত,όρος
113,Berg::N,পর্বত,βουνό
114,Gipfel::N,শীর্ষ,κορυφή
115,Höhle::N,গুহা,σπηλιά
116,Abhang::N,ঢাল,πλαγιά
117,Quelle::N,উৎস,πηγή
118,Quelle::N,উৎস,βρύση
119,Bach::N,ক্ষুদ্র নদী,ρυάκι
120,Fluss::N,নদী,ποτάμι
121,Fluss::N,নদী,ποταμός
122,Ufer::N,উপকূল,όχθη
123,Küste::N,তীর,ακτή
124,Küste::N,তীর,ακρογιαλιά
125,Festland::N,ভূমি,στεριά
126,Meer::N,সমুদ্র,θάλασσα
127,Bucht::N,উপসাগর,κόλπος
128,Insel::N,দ্বীপ,νησί
129,Insel::N,দ্বীপ,νήσος
130,Blume::N,ফুল,άνθος
131,Blume::N,ফুল,λουλούδι
132,Gras::N,ঘাস,χόρτο
133,Gras::N,ঘাস,χορτάρι
134,Wurzel::N,শিকড়,ρίζα
135,Baum::N,গাছ,δέντρο
136,Stamm::N,স্কন্ধ,κορμός
137,Rinde::N,বল্কল,φλούδα
138,Ast::N,শাখা,κλαδί
139,Zweig::N,ডাল,κλαδί
140,Zweig::N,ডাল,κλάδος
141,Blatt::N,পর্ণ,φύλλο
142,Birke::N,ভুর্জ,σημύδα
143,Kiefer[Baum]::N,পাইন গাছ,πεύκο
144,Weide[Baum]::N,উইলো,ιτιά
145,Tanne::N,দেবদারূ গাছ,έλατο
146,Horn::N,শিং,κέρας
147,Horn::N,শিং,κέρατο
148,Feder::N,পালক,φτερό
149,Fell::N,রোম,δέρμα
150,Fell::N,রোম,τομάρι
151,Flügel::N,ডানা,πτερύγιο
152,Klaue::N,নখর,κουλό
153,Kralle::N,নখর,νύχι
154,Schwanz::N,লেজ,ουρά
155,Ei::N,ডিম,αβγό
156,Nest::N,কুলায়,φωλιά
157,Bau::N,ডেরা,φωλιά
158,Tier::N,জন্তু,ζώο
159,Herde::N,ঝাঁক,κοπάδι
160,Kuh::N,গোরু,αγελάδα
161,Bulle::N,বৃষ,ταύρος
162,Pferd::N,ঘোড়া,άλογο
163,Schaf::N,ভেড়া,πρόβατο
164,Schwein::N,শূকর,γουρούνι
165,Hund::N,কুকুর,σκυλί
166,Hund::N,কুকুর,σκύλος
167,Katze::N,বেড়াল,γάτα
168,Bär::N,ভল্লুক,άρκτος
169,Bär::N,ভল্লুক,αρκούδα
170,Eichhörnchen::N,কাঠবিড়াল,βερβερίτσα
171,Elch::N,হরিণবিশেষ,άλκη
172,Fuchs::N,পাঁতিশিয়াল,αλεπού
173,Hase::N,শশক,λαγός
174,Maus::N,নেংটি ইঁদুর,ποντικός
175,Wolf::N,নেকড়ে,λύκος
176,Vogel::N,পক্ষী,πουλί
177,Schwarm::N,ঝাঁক,σμήνος
178,Huhn::N,মোরগ,κότα
179,Huhn::N,মোরগ,όρνιθα
180,Hahn::N,কুক্কুট,πετεινός
181,Gans::N,হংসী,χήνα
182,Adler::N,ইগল,αετός
183,Ente::N,হংসী,πάπια
184,Eule::N,পেচক,κουκουβάγια
185,Kranich::N,সারস,γερανός
186,Krähe::N,কাক,καρακάξα
187,Kuckuck::N,কোকিল,κούκος
188,Schwan::N,মরাল,κύκνος
189,Fisch::N,মাছ,ψάρι
190,Barsch::N,মৎন্যবিশেষ,πέρκα
191,Hecht::N,বানমাছ,λούτσος
192,Schlange[Tier]::N,সর্প,φίδι
193,Wurm::N,কীট,σκουλήκι
194,Spinne::N,মাকড়সা,αράχνη
195,Ameise::N,পিপীলিকা,μυρμήγκι
196,Laus::N,উকুন,ψείρα
197,Mücke::N,মশা,κουνούπι
198,Fliege::N,মাছি,μύγα
199,Schmetterling::N,প্রজাপতি,πεταλούδα
200,Beere::N,বেরি,ρόγα
201,Apfel::N,আপেল,μήλο
202,Pilz::N,ছত্রক,μανιτάρι
203,Zwiebel::N,পিয়াজ,κρεμμύδι
204,Saat::N,বীজ,σπόρος
205,Korn::N,শস্য,σπυρί
206,Heu::N,খড়,σανός
207,Schale::N,খোসা,τσόφλι
208,Grube::N,গর্ত,λάκκος
209,Falle::N,ফাঁদ,παγίδα
210,Schlinge::N,পাশ,θηλειά
211,Spur::N,চিহ্ন,ίχνος
212,Asche::N,ভস্ম,στάχτη
213,Dreck::N,ময়লা,βρωμιά
214,Eisen::N,লোহা,σίδερο
215,Gold::N,স্বর্ণ,μάλαμα
216,Gold::N,স্বর্ণ,χρυσάφι
217,Silber::N,রৌপ্য,ασήμι
218,Silber::N,রৌপ্য,άργυρος
219,Kohle::N,অঙ্গার,κάρβουνο
220,Glas::N,কাচ,γυαλί
221,Lehm::N,মৃত্তিকা,πηλός
222,Sand::N,বালি,άμμος
223,Mensch::N,নর,άνθρωπος
224,Mensch::N,মানুষ,άνθρωπος
225,Mann::N,মানুষ,άνδρας
226,Frau::N,নারী,γυναίκα
227,Kind::N,বাচ্চা,παιδί
228,Junge::N,ছেলে,αγόρι
229,Mädchen::N,মেয়ে,κοπέλα
230,Mädchen::N,মেয়ে,κορίτσι
231,Familie::N,পরিবার,οικογένεια
232,Großvater::N,মাতামহ,παππούς
233,Großmutter::N,মাতামহী,γιαγιά
234,Eltern::N,মাতাপিতা,γονείς
235,Vater::N,পিতা,πατέρας
236,Mutter::N,মাতা,μητέρα
237,Sohn::N,ছেলে,γιος
238,Tochter::N,মেয়ে,κόρη
