,Concept_ID,mhr,he
0,Auge::N,шинча́,עין
1,Ohr::N,пы́лыш,אזן
2,Nase::N,нер,אף
3,Nase::N,нер,חטם
4,Mund::N,умша́,פה
5,Zahn::N,пӱй,שן
6,Zunge::N,йы́лме,לשון
7,Lippe::N,тӱ́рвӧ,שפה
8,Wange::N,шӱ́ргӧ,לחי
9,Gesicht::N,чури́й,פנים
10,Stirn::N,саҥга́,מצח
11,Haar::N,ӱп,שערה
12,Schnurrbart::N,ӧ́рыш,שפם
13,Bart::N,понда́ш,זקן
14,Kinn::N,оҥыла́ш,סנטר
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,לסת
16,Kiefer[Anatomie]::N,пӱйората́,לסת
17,Kehle::N,лога́р,גרון
18,Hals::N,шӱй,צואר
19,Genick::N,шӱйло́дыш,ערף
20,Kopf::N,вуй,ראש
21,Rücken::N,туп,גב
22,Bauch::N,мӱ́шкыр,בטן
23,Nabel::N,кы́лымде,טבור
24,Busen::N,чы́зе,שד
25,Brust::N,оҥ,חזה
26,Schulter::N,ва́че,כתף
27,Arm::N,кид,זרוע
28,Ellenbogen::N,кынерву́й,מרפק
29,Hand::N,кид,יד
30,Hand::N,копа́,יד
31,Handfläche::N,со́во,כף יד
32,Finger::N,парня́,אצבע
33,Fingernagel::N,кидкӱ́ч,צפרן
34,Fingernagel::N,парнягӱ́ч,צפרן
35,Nagel[Anatomie]::N,кӱч,צפרן
36,Zeh::N,йолварня́,אצבע
37,Fuß::N,йол,רגל
38,Fuß::N,йолкопа́,רגל
39,Ferse::N,тага́н,עקב
40,Knie::N,пулву́й,ברך
41,Oberschenkel::N,э́рде,ירך
42,Bein::N,йол,רגל
43,Körper::N,кап,גוף
44,Haut::N,кова́ште,עור
45,Blut::N,вӱр,דם
46,Ader::N,шӧн,וריד
47,Sehne::N,шӧн,גיד
48,Sehne::N,кӱсе́н,גיד
49,Knochen::N,лу,עצם
50,Gehirn::N,вем,מוח
51,Gehirn::N,вуйве́м,מוח
52,Herz::N,шӱм,לב
53,Magen::N,пага́р,קבה
54,Leber::N,мокш,כבד
55,Atem::N,шӱ́лыш,נשימה
56,Hunger::N,шужыма́ш,רעב
57,Träne::N,шинчавӱ́д,דמעה
58,Geschmack::N,там,טעם
59,Geruch::N,пуш,ריח
60,Schlaf::N,о́мо,שנה
61,Traum::N,йӱдо́мо,חלום
62,Himmel::N,кава́,שמים
63,Sonne::N,ке́че,שמש
64,Mond::N,ты́лзе,ירח
65,Stern::N,шӱ́дыр,כוכב
66,Luft::N,юж,אויר
67,Wind::N,марде́ж,רוח
68,Welle::N,то́лкын,גל
69,Wasser::N,вӱд,מים
70,Stein::N,кӱ,אבן
71,Boden::N,рок,קרקע
72,Erde::N,мла́нде,אדמה
73,Staub::N,пура́к,אבק
74,Rauch::N,шикш,עשן
75,Funke::N,сеске́м,ניצוץ
76,Funke::N,тулйы́п,ניצוץ
77,Feuer::N,тул,אש
78,Licht::N,со́то,אור
79,Schatten::N,ӱ́мыл,צל
80,Wetter::N,иге́че,מזג אויר
81,Nebel::N,тӱтыра́,ערפל
82,Wolke::N,пыл,ענן
83,Regen::N,йӱр,גשם
84,Schnee::N,лум,שלג
85,Eis::N,ий,קרח
86,Frost::N,чатлама́,צנה
87,Kälte::N,йӱ́штӧ,קר
88,Hitze::N,шо́кшо,חם
89,Raureif::N,пӧрш,כפור
90,Raureif::N,по́кшым,כפור
91,Regenbogen::N,шонанпы́л,קשת
92,Donner::N,кӱ́дырчӧ,רעם
93,Strömung::N,йо́гын,זרימה
94,Tropfen::N,чӱча́лтыш,טפה
95,Schaum::N,шоҥ,קצף
96,Schmutz::N,лавыра́,לכלוך
97,See::N,ер,אגם
98,Sumpf::N,лӱ́кӧ,בצה
99,Moor::N,куп,בצה
100,Wiese::N,о́лык,מרעה
101,Wald::N,чодыра́,יער
102,Hügel::N,арка́,תל
103,Anhöhe::N,тӧва́,מעלה
104,Anhöhe::N,кӱкшака́,מעלה
105,Berg::N,ку́рык,הר
106,Gipfel::N,чаҥга́,פסגה
107,Gipfel::N,курыкву́й,פסגה
108,Höhle::N,пеще́р,מערה
109,Höhle::N,курыкпо́мыш,מערה
