,Concept_ID,ce,el
0,Auge::N,бӏаьрг,μάτι
1,Auge::N,бӏаьрг,οφθαλμός
2,Ohr::N,лерг,αυτί
3,Nase::N,мара,μύτη
4,Mund::N,бага,στόμα
5,Zahn::N,церг,δόντι
6,Zunge::N,мотт,γλώσσα
7,Lippe::N,балда,χείλος
8,Wange::N,бесни,παρειά
9,Wange::N,бесни,μάγουλο
10,Gesicht::N,юьхь,πρόσωπο
11,Stirn::N,хьаж,μέτωπο
12,Haar::N,мас,μαλλιά
13,Schnurrbart::N,мекх,μουστάκι
14,Bart::N,маж,γένια
15,Kinn::N,чӏениг,πιγούνι
16,Kiefer[Anatomie]::N,мочхал,σαγόνι
17,Kehle::N,къамкъарг,λαρύγγι
18,Hals::N,ворта,λαιμός
19,Genick::N,кӏесаркӏаг,σβέρκος
20,Kopf::N,корта,κεφάλι
21,Rücken::N,букъ,ράχη
22,Bauch::N,кийра,κοιλιά
23,Nabel::N,цӏонга,αφαλός
24,Busen::N,зударийн накха,στήθος
25,Brust::N,накха,στήθος
26,Schulter::N,белш,ώμος
27,Arm::N,пхьарс,χέρι
28,Arm::N,пхьарс,μπράτςο
29,Ellenbogen::N,пхьаьрсан гола,αγκώνας
30,Hand::N,куьг,χέρι
31,Handfläche::N,кераюкъ,παλάμη
32,Finger::N,пӏелг,δάχτυλο
33,Fingernagel::N,мӏара,νύχι
34,Nagel[Anatomie]::N,мӏара,νύχι
35,Zeh::N,кога пӏелг,δάχτυλο του ποδιού
36,Fuß::N,ког,πόδι
37,Ferse::N,кӏажа,φτέρνα
38,Knie::N,гола,γόνατο
39,Oberschenkel::N,варе,μηρός
40,Bein::N,ког,πόδι
41,Körper::N,хӏума,σώμα
42,Körper::N,хӏума,κορμί
43,Haut::N,чкъор,πετσί
44,Blut::N,цӏий,αίμα
45,Ader::N,пха,φλέβα
46,Sehne::N,хьорзам,νεύρο
47,Sehne::N,хьорзам,τένοντας
48,Knochen::N,даьӏахк,οστό
49,Knochen::N,даьӏахк,κόκκαλο
50,Gehirn::N,хье,μυαλό
51,Gehirn::N,хье,εγκέφαλος
52,Herz::N,дог,καρδιά
53,Magen::N,зорх,στομάχι
54,Leber::N,доӏах,ήπαρ
