,Concept_ID,hy,fr
0,Auge::N,աչք,œil
1,Ohr::N,ականջ,oreille
2,Nase::N,քիթ,nez
3,Mund::N,բերան,bouche
4,Zahn::N,ատամ,dent
5,Zunge::N,լեզու,langue
6,Lippe::N,շրթունք,lèvre
7,Wange::N,այտ,joue
8,Wange::N,թուշ,joue
9,Gesicht::N,դեմք,face
10,Gesicht::N,դեմք,visage
11,Stirn::N,ճակատ,front
12,Haar::N,մազ,cheveu
13,Schnurrbart::N,բեղ,moustache
14,Bart::N,մորուք,barbe
15,Kinn::N,կզակ,menton
16,Kiefer[Anatomie]::N,ծնոտ,mâchoire
17,Kehle::N,կոկորդ,gorge
18,Hals::N,վիզ,cou
19,Hals::N,պարանոց,cou
20,Genick::N,ծոծրակ,nuque
21,Kopf::N,գլուխ,tête
22,Rücken::N,մեջք,dos
23,Bauch::N,փոր,ventre
24,Bauch::N,որովայն,ventre
25,Nabel::N,պորտ,nombril
26,Busen::N,ծոց,sein
27,Brust::N,կուրծք,poitrine
28,Schulter::N,ուս,épaule
29,Arm::N,թեւ,bras
30,Arm::N,բազուկ,bras
31,Ellenbogen::N,արմունկ,coude
32,Hand::N,ձեռք,main
33,Handfläche::N,ափ,paume
34,Finger::N,մատ,doigt
35,Fingernagel::N,եղունգ,ongle
36,Nagel[Anatomie]::N,եղունգ,ongle
37,Zeh::N,ոտքի մատ,orteil
38,Zeh::N,ոտքի մատ,doigt de pied
39,Fuß::N,ոտք,pied
40,Ferse::N,գարշապար,talon
41,Knie::N,ծունկ,genou
42,Oberschenkel::N,ազդր,cuisse
43,Bein::N,ոտք,jambe
44,Körper::N,մարմին,corps
45,Haut::N,մաշկ,peau
46,Blut::N,արյուն,sang
47,Ader::N,երակ,veine
48,Sehne::N,ջիղ,tendon
49,Sehne::N,ձգտան,tendon
50,Knochen::N,ոսկոր,os
51,Gehirn::N,խելք,cerveau
52,Herz::N,սիրտ,cœur
53,Magen::N,ստամոքս,estomac
54,Leber::N,լյարդ,foie
55,Atem::N,շունչ,haleine
56,Hunger::N,քաղց,faim
57,Träne::N,արտասուք,larme
58,Geschmack::N,համ,goût
59,Geschmack::N,համ,saveur
60,Geschmack::N,բուրմունք,goût
61,Geschmack::N,բուրմունք,saveur
62,Geruch::N,հոտ,odeur
63,Geruch::N,բուրում,odeur
64,Schlaf::N,քուն,sommeil
65,Traum::N,երազ,songe
66,Himmel::N,երկինք,ciel
67,Sonne::N,արեւ,soleil
68,Mond::N,լուսին,lune
69,Stern::N,աստղ,étoile
70,Luft::N,օդ,air
71,Wind::N,քամի,vent
72,Welle::N,ալիք,vague
73,Wasser::N,ջուր,eau
74,Stein::N,քար,pierre
75,Boden::N,գետին,sol
76,Boden::N,գետին,terrain
77,Erde::N,հող,terre
78,Staub::N,փոշի,poussière
79,Rauch::N,ծուխ,fumée
80,Funke::N,կայծ,étincelle
81,Feuer::N,կրակ,feu
82,Feuer::N,հրդեհ,feu
83,Licht::N,լույս,lumière
84,Schatten::N,ստվեր,ombre
85,Wetter::N,եղանակ,temps
86,Nebel::N,մեգ,brume
87,Nebel::N,մեգ,brouillard
88,Nebel::N,մառախուղ,brume
89,Nebel::N,մառախուղ,brouillard
90,Wolke::N,ամպ,nuage
91,Regen::N,անձրև,pluie
92,Schnee::N,ձյուն,neige
93,Eis::N,սառույց,glace
94,Frost::N,սառնամանիք,gel
95,Frost::N,սառնամանիք,gelée
96,Kälte::N,դող,froid
97,Hitze::N,շոգ,chaleur
98,Raureif::N,ցօղեղեամ,givre
99,Regenbogen::N,ծիածան,arc-en-ciel
100,Donner::N,որոտ,tonnerre
101,Strömung::N,հոսանք,courant
102,Tropfen::N,կաթիլ,goutte
103,Schaum::N,փրփուր,écume
104,Schaum::N,փրփուր,mousse
105,Schmutz::N,կեղտ,boue
106,Schmutz::N,կեղտ,saleté
107,See::N,լիճ,lac
108,Sumpf::N,ճահիճ,marais
109,Sumpf::N,ճահիճ,marécage
110,Moor::N,ճահիճ,tourbière
111,Wiese::N,մարգագետին,pré
112,Wald::N,անտառ,bois
113,Wald::N,անտառ,forêt
114,Hügel::N,բլուր,coteau
115,Hügel::N,բլուր,colline
116,Anhöhe::N,բարձունք,éminence
117,Anhöhe::N,բարձունք,élévation
118,Berg::N,լեռ,mont
119,Berg::N,լեռ,montagne
120,Gipfel::N,գագաթ,cime
121,Gipfel::N,գագաթ,sommet
122,Gipfel::N,կատար,cime
123,Gipfel::N,կատար,sommet
124,Höhle::N,քարայր,caverne
125,Abhang::N,լանջ,pente
126,Abhang::N,լանջ,versant
127,Abhang::N,զառիվայր,pente
128,Abhang::N,զառիվայր,versant
129,Quelle::N,աղբյուր,source
130,Quelle::N,աղբյուր,fontaine
131,Bach::N,վտակ,ruisseau
132,Fluss::N,գետ,fleuve
133,Fluss::N,գետ,rivière
134,Ufer::N,ծովափ,bord
135,Ufer::N,ծովափ,rivage
136,Küste::N,ափ,côte
137,Küste::N,ծովափ,côte
138,Festland::N,ցամաք,terre ferme
139,Meer::N,ծով,mer
140,Bucht::N,հաչիւն,baie
141,Insel::N,վղզի,île
142,Blume::N,ծաղիկ,fleur
143,Gras::N,խոտ,herbe
144,Wurzel::N,արմատ,racine
145,Baum::N,ծառ,arbre
146,Stamm::N,իրան,tronc
147,Rinde::N,կեղեւ,écorce
148,Rinde::N,հաչոց,écorce
149,Ast::N,ճյուղ,branche
150,Zweig::N,ճյուղ,rameau
151,Blatt::N,տերեւ,feuille
152,Birke::N,ցարասի,bouleau
153,Kiefer[Baum]::N,սոճի,pin
154,Weide[Baum]::N,ուռենի,saule
155,Tanne::N,եղեւին,sapin
156,Feder::N,փետուր,plume
157,Fell::N,մորթի,peau
158,Flügel::N,թեւ,aile
159,Klaue::N,չանչ,serre
160,Kralle::N,ճանկ,ongle
161,Kralle::N,ճանկ,griffe
162,Schwanz::N,պոչ,queue
163,Ei::N,ձու,œuf
164,Nest::N,բույն,nid
165,Bau::N,որջ,terrier
166,Bau::N,բայոց,terrier
167,Tier::N,կենդանի,animal
168,Herde::N,հոտ,troupeau
169,Kuh::N,կով,vache
170,Bulle::N,ցուլ,taureau
171,Pferd::N,ձի,cheval
172,Schaf::N,ոչխար,mouton
173,Schwein::N,խոզ,porc
174,Schwein::N,խոզ,cochon
175,Hund::N,շուն,chien
176,Katze::N,կատու,chat
177,Bär::N,արջ,ours
178,Eichhörnchen::N,սկյուռ,écureuil
179,Elch::N,հիւսիսային եղջերու,élan
180,Fuchs::N,աղվես,renard
181,Hase::N,նապաստակ,lièvre
182,Maus::N,մուկ,souris
183,Wolf::N,գայլ,loup
184,Vogel::N,թռչուն,oiseau
185,Schwarm::N,երամ,nuée
186,Schwarm::N,երամ,volée
187,Huhn::N,հավ,poule
188,Hahn::N,աքաղաղ,coq
189,Gans::N,սագ,oie
190,Adler::N,արծիվ,aigle
191,Ente::N,բադ,canard
192,Eule::N,բու,hibou
193,Kranich::N,կռունկ,grue
194,Krähe::N,ագռավ,corneille
195,Kuckuck::N,կուկու,coucou
196,Schwan::N,կարապ,cygne
197,Fisch::N,ձուկ,poisson
198,Barsch::N,պերկես,perche
199,Hecht::N,գայլաձուկ,brochet
200,Schlange[Tier]::N,օձ,serpent
201,Wurm::N,որդ,ver
202,Wurm::N,ճիճու,ver
203,Spinne::N,սարդ,araignée
204,Ameise::N,միջյուն,fourmi
205,Laus::N,ոջիլ,pou
206,Mücke::N,մժղուկ,moucheron
207,Fliege::N,ճանճ,mouche
208,Schmetterling::N,թիթեռ,papillon
209,Beere::N,հատապտուղ,baie
210,Apfel::N,խնձոր,pomme
211,Pilz::N,սունկ,champignon
212,Zwiebel::N,սոխ,oignon
213,Saat::N,սերմ,semence
214,Korn::N,հատիկ,grain
215,Heu::N,խոտ,foin
216,Schale::N,կեղեւ,pelure
217,Grube::N,փոս,fosse
218,Falle::N,ծուղակ,piège
219,Schlinge::N,խեղդան,lacs
220,Spur::N,հետք,trace
221,Asche::N,մոխիր,cendre
222,Dreck::N,աղտ,crotte
223,Eisen::N,երկաթ,fer
224,Gold::N,ոսկի,or
225,Silber::N,արծաթ,argent
226,Kohle::N,քարածուխ,charbon
227,Glas::N,ապակի,verre
228,Lehm::N,կավ,glaise
229,Sand::N,ավազ,sable
230,Mensch::N,մարդ,homme
231,Mann::N,մարդ,homme
232,Mann::N,տղամարդ,homme
233,Frau::N,կին,femme
234,Kind::N,զավակ,enfant
235,Junge::N,տղա,garçon
236,Mädchen::N,աղջիկ,fille
237,Mädchen::N,աղջիկ,jeune fille
238,Familie::N,ընտանիք,famille
239,Großvater::N,պապ,grand-père
240,Großmutter::N,տատ,grand-mère
241,Eltern::N,ծնողներ,parents
242,Vater::N,հայր,père
243,Mutter::N,մայր,mère
244,Sohn::N,որդի,fils
245,Tochter::N,աղջիկ,fille
246,Tochter::N,դուստր,fille
247,Bruder::N,եղբայր,frère
248,Schwester::N,քույր,sœur
249,Onkel::N,քեռի,oncle
250,Onkel::N,հորեղբայր,oncle
251,Tante::N,մորաքույր,tante
252,Ehemann::N,մարդ,mari
253,Ehemann::N,մարդ,époux
254,Ehemann::N,ամուսին,mari
255,Ehemann::N,ամուսին,époux
256,Ehefrau::N,կին ամուսին,femme
257,Ehefrau::N,կին ամուսին,épouse
258,Freude::N,ուրախություն,joie
259,Freude::N,ուրախություն,plaisir
260,Gelächter::N,ծիծաղ,rires
261,Glück::N,երջանկություն,bonheur
262,Kummer::N,վիշտ,peine
263,Kummer::N,վիշտ,chagrin
264,Wunsch::N,ցանկություն,désir
265,Lust::N,փափագ,envie
266,Lust::N,իղձ,envie
267,Geist::N,ոգի,esprit
268,Gedanke::N,միտք,idée
269,Gedanke::N,միտք,pensée
270,Gedächtnis::N,հիշողություն,mémoire
271,Verstand::N,խելք,raison
272,Sinn::N,իմաստ,sens
273,Grund::N,պատճառ,cause
274,Grund::N,պատճառ,raison
275,Wahrheit::N,ճշմարտություն,vérité
276,Gespräch::N,զրույց,conversation
277,Märchen::N,պայիկի պատմություն,conte
278,Märchen::N,պայիկի պատմություն,conte de fées
279,Erzählung::N,պատմվածք,conte
280,Erzählung::N,պատմվածք,narration
281,Erzählung::N,պատմություն,conte
282,Erzählung::N,պատմություն,narration
283,Nachricht::N,հաղորդագրություն,message
284,Neuigkeit::N,լուր,nouvelle
285,Neuigkeit::N,նորություն,nouvelle
286,Name::N,անուն,nom
287,Rätsel::N,բարդ խնդիր,énigme
288,Rätsel::N,բարդ խնդիր,devinette
289,Rede::N,ճառ,parole
290,Rede::N,ճառ,discours
291,Rede::N,ելույթ,parole
292,Rede::N,ելույթ,discours
293,Sprache::N,լեզու,langue
294,Sprache::N,լեզու,langage
295,Stimme::N,ձայն,voix
296,Wort::N,բառ,mot
297,Zeichen::N,նշան,signe
298,Ruf::N,կոչ,cri
299,Ruf::N,կոչ,appel
300,Ruf::N,կանչ,cri
301,Ruf::N,կանչ,appel
302,Lärm::N,աղմուկ,bruit
303,Laut::N,հնչյուն,son
304,Laut::N,ձայն,son
305,Ton::N,տոն,ton
306,Lied::N,երգ,chant
307,Lied::N,երգ,chanson
308,Ruhe::N,անդորրություն,calme
309,Ruhe::N,անդորրություն,tranquillité
310,Leute::N,մարդիկ,gens
311,Volk::N,ազգ,peuple
312,Arbeit::N,գործ,travail
313,Arbeit::N,աշխատանք,travail
314,Gast::N,հյուր,hôte
315,Gast::N,հյուր,invité
316,Geschenk::N,նվեր,cadeau
317,Geschenk::N,նվեր,présent
318,Spiel::N,խաղ,jeu
319,Gesellschaft::N,ընկերություն,compagnie
320,Hilfe::N,օգնությթուն,aide
321,Hilfe::N,օգնությթուն,secours
322,Freund::N,ընկեր,ami
323,Freund::N,բարեկամ,ami
324,Kamerad::N,ուղեկից,copain
325,Kamerad::N,ուղեկից,camarade
326,Angelegenheit::N,բան,affaire
327,Angelegenheit::N,գործ,affaire
328,Anzahl::N,քանակ,nombre
329,Anzahl::N,գումար,nombre
330,Art::N,տեսակ,sorte
331,Art::N,տեսակ,espèce
332,Stück::N,կտոր,morceau
333,Teil::N,մաս,part
334,Teil::N,մաս,partie
335,Hälfte::N,կես,moitié
336,Kreis::N,շիջանակ,cercle
337,Kreuz::N,խաչ,croix
338,Linie::N,գիծ,ligne
339,Strich::N,գիծ,trait
340,Abstand::N,անջրպետ,écart
341,Entfernung::N,հեռավորություն,distance
342,Gegend::N,շրջան,région
343,Gegend::N,շրջան,contrée
344,Platz::N,տարածություն,place
345,Ort::N,տեղ,lieu
346,Ort::N,տեղ,endroit
347,Ort::N,վայր,lieu
348,Ort::N,վայր,endroit
349,Seite::N,կողմ,côté
350,Mitte::N,մեջտեղ,milieu
351,Gegenstand::N,առարկա,objet
352,Sache::N,բան,chose
353,Rand::N,վերջք,bord
354,Kante::N,եզր,arête
355,Ecke::N,անկյուն,coin
356,Ecke::N,անկյուն,tournant
357,Spitze::N,ծայր,cime
358,Spitze::N,ծայր,pointe
359,Ende::N,ծայր,bout
360,Loch::N,անցք,trou
361,Winkel::N,անկյուն,coin
362,Winkel::N,անկյուն,réduit
363,Muster::N,օրինակ,dessin
364,Größe::N,մեծություն,grandeur
365,Länge::N,երկարություն,longueur
366,Höhe::N,բարձրություն,hauteur
367,Höhe::N,բարձրություն,altitude
368,Gewicht::N,կշիռ,poids
369,Menge::N,քանակ,quantité
370,Haufen::N,դեզ,tas
371,Haufen::N,կույտ,tas
372,Reihe::N,շարք,file
373,Reihe::N,շարք,rangée
374,Reihe::N,կարգ,file
375,Reihe::N,կարգ,rangée
376,Boot::N,նավակ,canot
377,Boot::N,նավակ,bateau
378,Ruder::N,թի,rame
379,Ruder::N,թի,aviron
380,Ruder::N,թիակ,rame
381,Ruder::N,թիակ,aviron
382,Schlitten::N,բալխիր,traîneau
383,Ski::N,դահուկ,ski
384,Lagerfeuer::N,բացօդեայ կրակ,feu de camp
385,Last::N,բեռ,charge
386,Last::N,բեռ,fardeau
387,Gang::N,զբոսանք,tour
388,Gang::N,զբոսանք,marche
389,Schritt::N,քայլ,pas
390,Norden::N,հյուսիս,nord
391,Süden::N,հարավ,sud
392,Westen::N,արեւմուտք,ouest
393,Westen::N,արեւմուտք,occident
394,Osten::N,արեւելք,est
395,Osten::N,արեւելք,orient
396,Holz::N,փայտ,bois
397,Brett::N,տախտակ,planche
398,Platte::N,թիթեղ,plaque
399,Stütze::N,նեցուկ,appui
400,Stütze::N,նեցուկ,soutien
401,Stange::N,ձող,barre
402,Stange::N,ձող,perche
403,Stock::N,փայտ,canne
404,Stab::N,ցուպ,bâton
405,Stab::N,գավազան,bâton
406,Rohr::N,խողովակ,tube
407,Rohr::N,խողովակ,tuyau
408,Haus::N,տուն,maison
409,Heim::N,տուն,maison
410,Ofen::N,վառարան,poêle
411,Fußboden::N,հատակ,plancher
412,Tisch::N,սեղան,table
413,Stuhl::N,աթոռ,chaise
414,Wiege::N,օրորոց,berceau
415,Bett::N,անկողին,lit
416,Regal::N,դարակ,étagère
417,Kiste::N,տուփ,caisse
418,Fenster::N,պատուհան,fenêtre
419,Tür::N,դուռ,porte
420,Tor::N,դարպաս,porte
421,Tor::N,դարպաս,portail
422,Zaun::N,ցանկապատ,clôture
423,Dach::N,տանիք,toit
424,Dach::N,կտուր,toit
