,Concept_ID,sq,tr
0,Auge::N,sy,göz
1,Ohr::N,vesh,kulak
2,Nase::N,hundë,burun
3,Mund::N,gojë,ağız
4,Zahn::N,dhëmb,diş
5,Zunge::N,gjuhë,dil
6,Lippe::N,buzë,dudak
7,Wange::N,faqe,yanak
8,Wange::N,mollëz,yanak
9,Gesicht::N,fytyrë,yüz
10,Stirn::N,ballë,alın
11,Haar::N,flokë,saç
12,Schnurrbart::N,mustaqe,bıyık
13,Bart::N,mjekër,sakal
14,Kinn::N,mjekër,çene
15,Kiefer[Anatomie]::N,nofull,çene
16,Kehle::N,fyt,boğaz
17,Kehle::N,grykë,boğaz
18,Hals::N,qafë,boyun
19,Hals::N,qafë,gerdan
20,Genick::N,arrëz,ense
21,Kopf::N,kokë,baş
22,Kopf::N,kokë,kafa
23,Rücken::N,kurriz,arka
24,Bauch::N,bark,karın
25,Nabel::N,kërthizë,göbek
26,Busen::N,gji,koyun
27,Brust::N,gjoks,göğüs
28,Brust::N,kraharor,göğüs
29,Schulter::N,sup,omuz
30,Schulter::N,krah,omuz
31,Arm::N,krah,kol
32,Ellenbogen::N,bërryl,dirsek
33,Hand::N,dorë,el
34,Handfläche::N,pëllëmbë,avuç
35,Handfläche::N,pëllëmbë,el ayası
36,Finger::N,gisht,parmak
37,Fingernagel::N,thua,el tırnağı
38,Nagel[Anatomie]::N,thua,tırnak
39,Zeh::N,gisht i këmbës,ayak parmağı
40,Fuß::N,këmbë,ayak
41,Ferse::N,thembër,topuk
42,Knie::N,gju,diz
43,Oberschenkel::N,kofshë,uyluk
44,Bein::N,këmbë,bacak
45,Körper::N,trup,vücut
46,Haut::N,lëkurë,cilt
47,Blut::N,gjak,kan
48,Ader::N,venë,damar
49,Sehne::N,dell,kiriş
50,Knochen::N,asht,kemik
51,Knochen::N,kockë,kemik
52,Gehirn::N,tru,beyin
53,Herz::N,zemër,kalp
54,Herz::N,zemër,yürek
55,Magen::N,stomak,mide
56,Leber::N,mëlçi,karaciğer
57,Atem::N,frymë,nefes
58,Hunger::N,uri,açlık
59,Träne::N,lot,gözyaşı
60,Geschmack::N,shije,tat
61,Geschmack::N,shije,lezzet
62,Geruch::N,erë,koku
63,Schlaf::N,gjumë,uyku
64,Traum::N,ëndërr,düş
65,Traum::N,ëndërr,rüya
66,Himmel::N,qiell,gök
67,Sonne::N,diell,güneş
68,Mond::N,hënë,ay
69,Stern::N,yll,yıldız
70,Luft::N,ajër,hava
71,Wind::N,erë,yel
72,Wind::N,erë,rüzgâr
73,Welle::N,valë,dalga
74,Welle::N,dallgë,dalga
75,Wasser::N,ujë,su
76,Stein::N,gur,taş
77,Boden::N,tokë,yer
78,Boden::N,tokë,zemin
79,Boden::N,truall,yer
80,Boden::N,truall,zemin
81,Erde::N,dhe,toprak
82,Erde::N,baltë,toprak
83,Staub::N,pluhur,toz
84,Rauch::N,tym,duman
85,Funke::N,xixë,kıvılcım
86,Funke::N,shkëndijë,kıvılcım
87,Feuer::N,zjarr,ateş
88,Licht::N,dritë,ışık
89,Schatten::N,hije,gölge
90,Wetter::N,mot,hava
91,Nebel::N,mjegull,pus
92,Wolke::N,re,bulut
93,Regen::N,shi,yağmur
94,Schnee::N,borë,kar
95,Eis::N,akull,buz
96,Frost::N,ngricë,don
97,Kälte::N,të ftohtë,soğukluk
98,Hitze::N,vapë,sıcaklık
99,Hitze::N,nxehtësi,sıcaklık
100,Raureif::N,cikmë,kırç
101,Regenbogen::N,ylber,gökkuşağı
102,Donner::N,gjëmim,gök gürlemesi
103,Donner::N,bubullimë,gök gürlemesi
104,Strömung::N,rrymë,akıntı
105,Strömung::N,rrymë,cereyan
106,Tropfen::N,pikë,damla
107,Schaum::N,shkumë,köpük
108,Schmutz::N,baltë,çamur
109,Schmutz::N,baltë,pislik
110,See::N,liqen,göl
111,Sumpf::N,batak,batak
112,Moor::N,kënetë,cılgıt
113,Wiese::N,livadh,çimen
114,Wald::N,pyll,koru
115,Wald::N,pyll,orman
116,Hügel::N,kodër,tepe
117,Anhöhe::N,bregore,tümsek
118,Anhöhe::N,bregore,yükseklik
119,Berg::N,mal,dağ
120,Gipfel::N,kulm,zirve
121,Höhle::N,shpellë,in
122,Höhle::N,shpellë,mağara
123,Höhle::N,zgafelle,in
124,Höhle::N,zgafelle,mağara
125,Abhang::N,shpat,bayır
126,Abhang::N,tatëpjetë,bayır
127,Quelle::N,krua,pınar
128,Quelle::N,krua,kaynak
129,Quelle::N,burim,pınar
130,Quelle::N,burim,kaynak
131,Bach::N,virua,çay
132,Bach::N,virua,dere
133,Fluss::N,lumë,nehir
134,Ufer::N,breg,kıyı
135,Ufer::N,breg,sahil
136,Küste::N,anëdet,kıyı
137,Küste::N,anëdet,sahil
138,Küste::N,bregdet,kıyı
139,Küste::N,bregdet,sahil
140,Festland::N,kontinent,kara
141,Meer::N,det,deniz
142,Bucht::N,gji deti,koy
143,Bucht::N,gji deti,körfez
144,Insel::N,ishull,ada
145,Insel::N,ujdhesë,ada
146,Blume::N,lule,çiçek
147,Gras::N,bar,ot
148,Gras::N,bar,çim
149,Wurzel::N,rrënjë,kök
150,Baum::N,pemë,ağaç
151,Stamm::N,trung,gövde
152,Rinde::N,lëvore,kabuk
153,Ast::N,degë,dal
154,Ast::N,degë,budak
155,Zweig::N,bisk,dal
156,Blatt::N,fletë,yaprak
157,Blatt::N,gjethe,yaprak
158,Birke::N,mështekën,huş
159,Kiefer[Baum]::N,pishë,çam
160,Weide[Baum]::N,shelg,söğüt
161,Tanne::N,bredh,çam
162,Tanne::N,bredh,köknar
163,Horn::N,bri,boynuz
164,Feder::N,pupël,tüy
165,Fell::N,lëkurë,post
166,Flügel::N,krah,kanat
167,Flügel::N,fletë,kanat
168,Klaue::N,kthetër,pençe
169,Kralle::N,thua,tırnak
170,Kralle::N,kthetër,tırnak
171,Schwanz::N,bisht,kuyruk
172,Ei::N,vezë,yumurta
173,Nest::N,fole,yuva
174,Bau::N,strofkë,in
175,Tier::N,kafshë,hayvan
176,Herde::N,kope,sürü
177,Herde::N,grigjë,sürü
178,Kuh::N,lopë,inek
179,Bulle::N,dem,boğa
180,Pferd::N,kalë,at
181,Pferd::N,kalë,beygir
182,Schaf::N,dele,koyun
183,Schwein::N,derr,domuz
184,Hund::N,qen,it
185,Hund::N,qen,köpek
186,Katze::N,mace,kedi
187,Bär::N,ari,ayı
188,Eichhörnchen::N,ketër,sincap
189,Elch::N,dre brilopatë,büyük kuzey geyiği
190,Fuchs::N,dhelpër,tilki
191,Hase::N,lepur,tavşan
192,Maus::N,mi,fare
193,Maus::N,mi,sıçan
194,Wolf::N,ujk,kurt
195,Vogel::N,zog,kuş
196,Vogel::N,shpend,kuş
197,Schwarm::N,luzmë,sürü
198,Huhn::N,pulë,tavuk
199,Hahn::N,gjel,horoz
200,Hahn::N,këndes,horoz
201,Gans::N,patë,kaz
202,Adler::N,shqiponjë,kartal
203,Adler::N,shqiponjë,karakuş
204,Ente::N,rosë,ördek
205,Eule::N,buf,baykuş
206,Kranich::N,lejlek,turna
207,Kranich::N,kurrillë,turna
208,Krähe::N,sorrë,karga
209,Kuckuck::N,qyqe,guguk
210,Schwan::N,mjellmë,kuğu
211,Fisch::N,peshk,balık
212,Barsch::N,purtekë,hani
213,Barsch::N,purtekë,levrek
214,Hecht::N,mlysh,turnabalığı
215,Schlange[Tier]::N,gjarpër,yılan
216,Wurm::N,krimb,kurt
217,Wurm::N,krimb,solucan
218,Spinne::N,marimangë,örümcek
219,Ameise::N,thnegël,karınca
220,Ameise::N,milingonë,karınca
221,Laus::N,morr,bit
222,Mücke::N,kunup,sivrisinek
223,Mücke::N,mushkonjë,sivrisinek
224,Fliege::N,mizë,sinek
225,Schmetterling::N,flutur,kelebek
226,Beere::N,frutë,tane
227,Beere::N,manaferrë,tane
228,Apfel::N,mollë,elma
229,Pilz::N,kërpudhë,mantar
230,Zwiebel::N,qepë,soğan
231,Saat::N,farë,ekin
232,Korn::N,grurë,tane
233,Korn::N,kokërr,tane
234,Heu::N,sanë,kuru ot
235,Schale::N,lëkurë,kabuk
236,Grube::N,gropë,çukur
237,Falle::N,kurth,tuzak
238,Falle::N,grackë,tuzak
239,Schlinge::N,nyjë,ilmik
240,Spur::N,gjurmë,iz
241,Asche::N,hi,kül
242,Dreck::N,baltë,pislik
243,Eisen::N,hekur,demir
244,Gold::N,ar,altın
245,Gold::N,flori,altın
246,Silber::N,argjend,gümüş
247,Kohle::N,qymyr,kömür
248,Glas::N,qelq,cam
249,Lehm::N,argjilë,balçık
250,Sand::N,rërë,kum
251,Mensch::N,njeri,insan
252,Mann::N,burrë,adam
253,Mann::N,burrë,erkek
254,Mann::N,mashkull,adam
255,Mann::N,mashkull,erkek
256,Frau::N,grua,bayan
257,Frau::N,femër,bayan
258,Kind::N,kalama,çocuk
259,Junge::N,djalë,erkek çocuk
260,Mädchen::N,gocë,kız
261,Mädchen::N,vajzë,kız
262,Familie::N,familje,aile
263,Großvater::N,gjysh,dede
264,Großvater::N,gjysh,büyükbaba
265,Großmutter::N,gjyshe,nine
266,Großmutter::N,gjyshe,büyükanne
267,Eltern::N,prindër,ebeveyn
268,Eltern::N,prindër,ana baba
269,Vater::N,atë,ata
270,Vater::N,atë,baba
271,Mutter::N,nënë,ana
272,Mutter::N,nënë,anne
273,Sohn::N,bir,oğul
274,Tochter::N,bijë,kız
275,Tochter::N,bijë,kız evlât
276,Bruder::N,vëlla,abi
277,Bruder::N,vëlla,erkek kardeş
278,Schwester::N,motër,abla
279,Schwester::N,motër,kız kardeş
280,Onkel::N,dajë,dayı
281,Onkel::N,xhaxha,dayı
282,Tante::N,teze,hala
283,Tante::N,teze,teyze
284,Tante::N,hallë,hala
285,Tante::N,hallë,teyze
286,Ehemann::N,burrë,koca
287,Ehemann::N,bashkëshort,koca
288,Ehefrau::N,grua,karı
289,Ehefrau::N,bashkëshorte,karı
290,Freude::N,gaz,neşe
291,Freude::N,gaz,sevinç
292,Freude::N,gëzim,neşe
293,Freude::N,gëzim,sevinç
294,Gelächter::N,qeshje,gülme
295,Gelächter::N,qeshje,kahkaha
296,Glück::N,lumturi,mutluluk
297,Kummer::N,brengë,dert
298,Kummer::N,brengë,keder
299,Kummer::N,pikëllim,dert
300,Kummer::N,pikëllim,keder
301,Wunsch::N,dëshirë,arzu
302,Wunsch::N,dëshirë,istek
303,Lust::N,epsh,arzu
304,Lust::N,epsh,heves
305,Lust::N,dashuri,arzu
306,Lust::N,dashuri,heves
307,Geist::N,frymë,tin
308,Geist::N,shpirt,tin
309,Gedanke::N,ide,fikir
310,Gedanke::N,ide,düşünce
311,Gedanke::N,mendim,fikir
312,Gedanke::N,mendim,düşünce
313,Gedächtnis::N,kujtesë,bellek
314,Verstand::N,mend,zekâ
315,Sinn::N,kuptim,anlam
316,Grund::N,arsye,sebep
317,Wahrheit::N,vërtetë,doğruluk
318,Wahrheit::N,vërtetë,gerçeklik
319,Gespräch::N,bisedim,görüşme
320,Märchen::N,përrallë,masal
321,Erzählung::N,tregim,öykü
322,Erzählung::N,tregim,hikâye
323,Nachricht::N,lajm,haber
324,Neuigkeit::N,risi,haber
325,Name::N,emër,ad
326,Name::N,emër,isim
327,Rätsel::N,gjëzë,bilmece
328,Rätsel::N,gjëegjëzë,bilmece
329,Rede::N,fjalim,söylev
330,Rede::N,fjalim,konuşma
331,Sprache::N,gjuhë,dil
332,Sprache::N,gjuhë,lisan
333,Stimme::N,zë,ses
334,Wort::N,fjalë,kelime
335,Zeichen::N,shenjë,işaret
336,Ruf::N,thirrmë,çağırma
