,Concept_ID,se,kn
0,Auge::N,tjelmie,ಕಣ್ಣು
1,Auge::N,tjalmme,ಕಣ್ಣು
2,Auge::N,čalbmi,ಕಣ್ಣು
3,Auge::N,čalme,ಕಣ್ಣು
4,Auge::N,čâ´lmm,ಕಣ್ಣು
5,Auge::N,ча̄лльм,ಕಣ್ಣು
6,Ohr::N,bieljie,ಕಿವಿ
7,Ohr::N,biellje,ಕಿವಿ
8,Ohr::N,beallji,ಕಿವಿ
9,Ohr::N,pelji,ಕಿವಿ
10,Ohr::N,pe´llj,ಕಿವಿ
11,Ohr::N,пе̄лльй,ಕಿವಿ
12,Nase::N,njuenie,ಮೂಗು
13,Nase::N,njunnje,ಮೂಗು
14,Nase::N,njunni,ಮೂಗು
15,Nase::N,njuṇe,ಮೂಗು
16,Nase::N,njuu´nn,ಮೂಗು
17,Nase::N,нюннҍ,ಮೂಗು
18,Mund::N,njaelmie,ಬಾಯಿ
19,Mund::N,njálmme,ಬಾಯಿ
20,Mund::N,njálbmi,ಬಾಯಿ
21,Mund::N,njälmi,ಬಾಯಿ
22,Mund::N,njä´lmm,ಬಾಯಿ
23,Mund::N,ня̄лльм,ಬಾಯಿ
24,Zahn::N,baenie,ಹಲ್ಲು
25,Zahn::N,bádne,ಹಲ್ಲು
26,Zahn::N,bátni,ಹಲ್ಲು
27,Zahn::N,pääṇi,ಹಲ್ಲು
28,Zahn::N,pää´nn,ಹಲ್ಲು
29,Zahn::N,па̄ннҍ,ಹಲ್ಲು
30,Zunge::N,njoektjeme,ನಾಲಿಗೆ
31,Zunge::N,njuovtjav,ನಾಲಿಗೆ
32,Zunge::N,njuovčča,ನಾಲಿಗೆ
33,Zunge::N,njuovčâ,ನಾಲಿಗೆ
34,Zunge::N,njuhččâm,ನಾಲಿಗೆ
35,Zunge::N,нюхчем,ನಾಲಿಗೆ
36,Lippe::N,bangseme,ತುಟಿ
37,Lippe::N,njálmmerabdda,ತುಟಿ
38,Lippe::N,bavssa,ತುಟಿ
39,Lippe::N,poovsâ,ತುಟಿ
40,Lippe::N,põõus,ತುಟಿ
41,Lippe::N,пэ̄кс,ತುಟಿ
42,Wange::N,skiehrie,ಗಲ್ಲ
43,Wange::N,nierra,ಗಲ್ಲ
44,Wange::N,muohtu,ಗಲ್ಲ
45,Wange::N,nieṛâ,ಗಲ್ಲ
46,Wange::N,njiõrr,ಗಲ್ಲ
47,Wange::N,нӣрр,ಗಲ್ಲ
48,Gesicht::N,ååredæjja,ಮುಖ
49,Gesicht::N,muohto,ಮುಖ
50,Gesicht::N,muođut,ಮುಖ
51,Gesicht::N,ámadadju,ಮುಖ
52,Gesicht::N,muáđuh,ಮುಖ
53,Gesicht::N,muâđ,ಮುಖ
54,Gesicht::N,ка̄ссв,ಮುಖ
55,Stirn::N,gaalloe,ಹಣೆ
56,Stirn::N,gállo,ಹಣೆ
57,Stirn::N,gállu,ಹಣೆ
58,Stirn::N,kállu,ಹಣೆ
59,Stirn::N,käll,ಹಣೆ
60,Stirn::N,вуэххьц,ಹಣೆ
61,Haar::N,voepte,ಕೂದಲು
62,Haar::N,vuoppta,ಕೂದಲು
63,Haar::N,vuokta,ಕೂದಲು
64,Haar::N,vuop'tâ,ಕೂದಲು
65,Haar::N,vuõpt,ಕೂದಲು
66,Haar::N,вӯппт,ಕೂದಲು
67,Schnurrbart::N,bijjie-skaavtjoe,ಮೀಸೆ
68,Schnurrbart::N,njunjevuolskávttjá,ಮೀಸೆ
69,Schnurrbart::N,seamu,ಮೀಸೆ
70,Schnurrbart::N,siämu,ಮೀಸೆ
71,Schnurrbart::N,ää´bben,ಮೀಸೆ
72,Schnurrbart::N,о̄а̄бпан,ಮೀಸೆ
73,Bart::N,skaavtja,ಗಡ್ಡ
74,Bart::N,skaavtjoe,ಗಡ್ಡ
75,Bart::N,skávttjá,ಗಡ್ಡ
76,Bart::N,seamu,ಗಡ್ಡ
77,Bart::N,siämu,ಗಡ್ಡ
78,Bart::N,seäm,ಗಡ್ಡ
79,Bart::N,ся̄м,ಗಡ್ಡ
80,Kinn::N,gaejpie,ಗದ್ದ
81,Kinn::N,gájbbe,ಗದ್ದ
82,Kinn::N,gáibi,ಗದ್ದ
83,Kinn::N,käibi,ಗದ್ದ
84,Kinn::N,käi´bb,ಗದ್ದ
85,Kinn::N,ка̄ййп,ಗದ್ದ
86,Kiefer[Anatomie]::N,gaejpie,ದವಡೆ
87,Kiefer[Anatomie]::N,oalol,ದವಡೆ
88,Kiefer[Anatomie]::N,oaloldákte,ದವಡೆ
89,Kiefer[Anatomie]::N,gáibi,ದವಡೆ
90,Kiefer[Anatomie]::N,uá'lultähti,ದವಡೆ
91,Kiefer[Anatomie]::N,vuâl'lõš,ದವಡೆ
92,Kiefer[Anatomie]::N,вуаллнешш,ದವಡೆ
93,Kehle::N,gealoe,ಗಂಟಲು
94,Kehle::N,tjåttå,ಗಂಟಲು
95,Kehle::N,njiello,ಗಂಟಲು
96,Kehle::N,čotta,ಗಂಟಲು
97,Kehle::N,čuudâ,ಗಂಟಲು
98,Kehle::N,čoodd,ಗಂಟಲು
99,Kehle::N,чонт,ಗಂಟಲು
100,Kehle::N,кэ̄ҏс,ಗಂಟಲು
101,Hals::N,tjeapohke,ಕೊರಳು
102,Hals::N,tjiebet,ಕೊರಳು
103,Hals::N,čeabet,ಕೊರಳು
104,Hals::N,čiäppát,ಕೊರಳು
105,Hals::N,čeäppat,ಕೊರಳು
106,Hals::N,ча̄пэх,ಕೊರಳು
107,Genick::N,tjovrese,ಹಿಂಗತ್ತು
108,Genick::N,nisske,ಹಿಂಗತ್ತು
109,Genick::N,niehkki,ಹಿಂಗತ್ತು
110,Genick::N,niski,ಹಿಂಗತ್ತು
111,Genick::N,niek'ki,ಹಿಂಗತ್ತು
112,Genick::N,nji´šǩǩmaadd,ಹಿಂಗತ್ತು
113,Genick::N,нышшькмоант,ಹಿಂಗತ್ತು
114,Kopf::N,åejjie,ತಲೆ
115,Kopf::N,oajvve,ತಲೆ
116,Kopf::N,oaivi,ತಲೆ
117,Kopf::N,uái'vi,ತಲೆ
118,Kopf::N,vuei´vv,ತಲೆ
119,Kopf::N,вуэййв,ತಲೆ
120,Rücken::N,rudtje,ಬೆನ್ನು
121,Rücken::N,hárddo,ಬೆನ್ನು
122,Rücken::N,tjavelk,ಬೆನ್ನು
123,Rücken::N,sealgi,ಬೆನ್ನು
124,Rücken::N,selgi,ಬೆನ್ನು
125,Rücken::N,čielgi,ಬೆನ್ನು
