,Concept_ID,mdf,ko
0,Auge::N,сельме,눈
1,Ohr::N,пиле,귀
2,Nase::N,шалхка,코
3,Mund::N,курга,입
4,Zahn::N,пей,이
5,Zunge::N,кяль,혀
6,Lippe::N,търва́,입술
7,Wange::N,щёка,뺨
8,Gesicht::N,шама,얼굴
9,Stirn::N,коня,이마
10,Haar::N,шя́ярь,털
11,Schnurrbart::N,уса́,윗수몀
12,Schnurrbart::N,уса́,코밑수염
13,Bart::N,сакал,수엄
14,Kinn::N,ула,아래턱
15,Kiefer[Anatomie]::N,саласка,턱
16,Kehle::N,кълдома,인후
17,Kehle::N,кърга́парь,인후
18,Hals::N,сялдаз,목
19,Genick::N,шовонь,먹덜이
20,Kopf::N,пря,머리
21,Rücken::N,копорь,든
22,Bauch::N,пеке,배
23,Nabel::N,по́кон,배꼽
24,Busen::N,потя,가슴속
25,Brust::N,мяште,가슴
26,Schulter::N,лафту,어깨
27,Arm::N,кядь,팔
28,Ellenbogen::N,кенерьба́карь,팔쿰치
29,Hand::N,кядь,손
30,Handfläche::N,кядьлапш,손바닥
31,Finger::N,сур,속가락
32,Fingernagel::N,кенже,손톱
33,Nagel[Anatomie]::N,кенже,손톱
34,Zeh::N,пильгосу́р,발가락
35,Fuß::N,пильге,발
36,Fuß::N,пильгелапа,발
37,Ferse::N,кочкяря,발꿈치
38,Knie::N,эль,무릎
39,Knie::N,пълма́нжа,무릎
40,Oberschenkel::N,пильгепукша,허벅다리
41,Bein::N,пильге,다리
42,Körper::N,ро́нга,구간
43,Körper::N,по́нда,구간
44,Haut::N,киське,살갗
45,Blut::N,вер,피
46,Ader::N,сан,정맥
47,Ader::N,верза́н,정맥
48,Sehne::N,коське сан,현
49,Knochen::N,пакарь,뼈
50,Gehirn::N,уй,뇌
51,Gehirn::N,уй,뇌수
52,Herz::N,седи,염통
53,Magen::N,коткърдазь,위
54,Leber::N,макса,간
55,Atem::N,лекома,기식
56,Atem::N,ваймонь тарксема,기식
57,Hunger::N,вачеши,공복
58,Träne::N,сельмове́дь,눈물
59,Geschmack::N,таньф,기호
60,Geruch::N,шине,냄새
61,Schlaf::N,удома́,수면
62,Traum::N,он,쿰
63,Himmel::N,менель,하늘
64,Sonne::N,ши,해
65,Mond::N,ков,달
66,Stern::N,тяште,별
67,Luft::N,кожф,동준
68,Luft::N,кожф,가스채
69,Wind::N,варма,바람
70,Welle::N,тавла,물결
71,Wasser::N,ведь,물
72,Stein::N,кев,돌
73,Boden::N,мода,바닥
74,Boden::N,потмакс,바닥
75,Erde::N,мода,흙
76,Erde::N,мастор,흙
77,Staub::N,пуль,먼지
78,Rauch::N,качам,연기
79,Funke::N,ця́тка,불티
80,Feuer::N,тол,불
81,Licht::N,ва́лда,불
82,Schatten::N,цильф,어스레함
83,Wetter::N,уша,기상
84,Nebel::N,тума́н,안개
85,Wolke::N,ковол,구름
86,Regen::N,пизем,비
87,Schnee::N,лов,눈
88,Eis::N,эй,얼음
89,Frost::N,ке́льме,혹한
90,Kälte::N,якшама,추위
91,Kälte::N,якшама,차가움
92,Hitze::N,пси,고온
93,Hitze::N,пси,더위
94,Raureif::N,леш,
95,Regenbogen::N,а́тямъёнга,무지개
96,Donner::N,атям,뇌명
97,Strömung::N,шудема́,유동
98,Tropfen::N,путькс,물방울
99,Tropfen::N,пътняфкс,물방울
100,Schaum::N,шов,포말
101,Schmutz::N,ърда́з,때
102,See::N,эрьхке,호수
103,Sumpf::N,шяй,습지
104,Moor::N,шяй,저습지
105,Wiese::N,луга,목초지
106,Wald::N,вирь,숲
107,Hügel::N,губо́р,언덕
108,Hügel::N,пандоня,언덕
109,Anhöhe::N,губо́р,언덕
110,Berg::N,панда,산
111,Gipfel::N,пря,졀졍
112,Höhle::N,у́нда,공동
113,Abhang::N,па́нда ша́ма,몰매
114,Quelle::N,эшиня,근원
115,Bach::N,шудерькс,내
116,Fluss::N,ляй,강
117,Ufer::N,търва́,강변
118,Ufer::N,търва́,바닷가
119,Küste::N,ляйтърва́,해변
120,Küste::N,ляйтърва́,해변가
121,Festland::N,мода,본토
122,Meer::N,моря,바다
123,Bucht::N,ведьуське,협만
124,Insel::N,цёнга,섬
125,Blume::N,панчф,꽃
126,Gras::N,тише,풀
127,Wurzel::N,юр,뿌리
128,Wurzel::N,ункс,뿌리
129,Baum::N,шуфта,나무
130,Stamm::N,ро́нга,대
131,Rinde::N,кер,나무껍질
132,Ast::N,морга,가지
133,Zweig::N,тарад,가지
134,Blatt::N,лопа,잎
135,Birke::N,ке́лу,자작나무
136,Kiefer[Baum]::N,пиче,소나무
137,Weide[Baum]::N,каль,쉬양버들
138,Tanne::N,куз,전나무
139,Horn::N,сюра,뿔
140,Feder::N,толга,깃털
141,Fell::N,кедь,피혁모피
142,Flügel::N,паця,날개
143,Klaue::N,кенже,갈고리 발톺
144,Kralle::N,кенже,발툭
145,Schwanz::N,пула,꼬리
146,Ei::N,ал,알
147,Nest::N,пиза,보금자리
148,Bau::N,пиза,굴
149,Tier::N,жува́та,짐승
150,Herde::N,нал,가축의떼
151,Herde::N,стада,가축의떼
152,Kuh::N,скал,암소
153,Kuh::N,тракс,암소
154,Bulle::N,бука,황소
155,Pferd::N,лишме,말
156,Schaf::N,уча́,양
157,Schwein::N,тува,돼지
158,Hund::N,пине,개
159,Katze::N,катоня,고양이
160,Katze::N,аваката,고양이
161,Bär::N,офта,콤
162,Eichhörnchen::N,ур,다람쥐
163,Elch::N,ся́рда,고라니
164,Fuchs::N,келазь,여우
165,Hase::N,ну́мол,토끼
166,Maus::N,шеер,쥐
167,Wolf::N,върьгаз,늑대
168,Vogel::N,нармонь,새
169,Schwarm::N,ко́вол,뗴
170,Schwarm::N,ме́швеле,뗴
171,Huhn::N,сараз,암탉
172,Hahn::N,а́тякш,수탉
173,Gans::N,маци,거위
174,Adler::N,куцькан,수리
175,Ente::N,яксярга,오리
176,Eule::N,ко́рож,부엉이
177,Kranich::N,ка́рга,두루미
178,Krähe::N,ва́рси,까마귀
179,Kuckuck::N,ку́ку,뻐꾸기
180,Schwan::N,ло́ксти,배조
181,Fisch::N,кал,물고기
182,Barsch::N,о́кунь,농어
183,Hecht::N,щу́ка,에속스
184,Schlange[Tier]::N,куй,뱀
185,Wurm::N,сукс,벌레
186,Spinne::N,унжа́,거미
187,Ameise::N,панжам,개미
188,Laus::N,си,이
189,Mücke::N,ся́ське,모기
190,Fliege::N,кару,날기
191,Schmetterling::N,ме́лав,나비
192,Beere::N,и́мож,장과
193,Apfel::N,марь,사과
194,Pilz::N,панга,고방이
195,Zwiebel::N,шурьхкя́,양파
196,Saat::N,видьмот,씨
197,Korn::N,сёра,알맹이
198,Heu::N,тише,건초
199,Schale::N,кедь,피상
200,Grube::N,лотка,
201,Falle::N,туфкс,함정
202,Falle::N,кунда́ма,함정
203,Schlinge::N,килькш,올가미
204,Schlinge::N,килькш,멜빵붕대
205,Spur::N,пильгоки́,발지국
206,Asche::N,кулу,재
207,Dreck::N,ърда́з,똥
208,Dreck::N,ърда́з,오물
209,Eisen::N,кшни,쇠
210,Eisen::N,кшни,철
211,Gold::N,ока,항금
212,Gold::N,золота,항금
213,Silber::N,сия́,은
214,Kohle::N,седь,슻
215,Kohle::N,седьвальмя,슻
216,Glas::N,кля́нцек,유리
217,Lehm::N,сёвонь,찰흙
218,Sand::N,шува́р,모래
219,Mensch::N,ломань,사람
220,Mann::N,аля,남자
221,Mann::N,цёраломань,남자
222,Frau::N,ава,여자
223,Kind::N,идь,아이
224,Kind::N,шаба,아이
225,Junge::N,цёраня,소녁
226,Mädchen::N,стирня́,소녀
227,Familie::N,тнал,가족
228,Familie::N,семья,가족
229,Großvater::N,атя,할아버지
230,Großvater::N,щя́тя,할아버지
231,Großmutter::N,баба,할머니
232,Eltern::N,тя́дят-а́лят,어버오
233,Vater::N,аля,아버지
234,Mutter::N,ава,어머니
235,Mutter::N,тядя,어머니
236,Sohn::N,цёра,아들
237,Tochter::N,стирь,딸기
238,Bruder::N,дуган,형제
239,Bruder::N,пяльне,형제
240,Schwester::N,ака,누이
241,Schwester::N,сазор,누이
242,Onkel::N,оця,백부
243,Onkel::N,патя,백부
244,Onkel::N,щеня́,백부
245,Tante::N,ака,아주머니
246,Tante::N,щака,아주머니
247,Ehemann::N,мирде,남편
248,Ehefrau::N,ърьвя́,아내
249,Freude::N,ке́нярдема,기쁨
250,Gelächter::N,рахсема,웃음
251,Glück::N,паваз,즐거움
252,Kummer::N,ризф,슬픔
253,Kummer::N,пичефкс,슬픔
254,Wunsch::N,мяль,소망
255,Wunsch::N,таколдома,소망
256,Lust::N,таколдома,
257,Geist::N,вайме,할기
258,Gedanke::N,мяль,상념
259,Gedächtnis::N,прявий,기억
