,Concept_ID,it,he
0,Auge::N,occhio,עין
1,Ohr::N,orecchio,אזן
2,Nase::N,naso,אף
3,Nase::N,naso,חטם
4,Mund::N,bocca,פה
5,Zahn::N,dente,שן
6,Zunge::N,lingua,לשון
7,Lippe::N,labbro,שפה
8,Wange::N,guancia,לחי
9,Gesicht::N,viso,פנים
10,Gesicht::N,faccia,פנים
11,Stirn::N,fronte,מצח
12,Haar::N,capello,שערה
13,Schnurrbart::N,baffi,שפם
14,Schnurrbart::N,mustacchi,שפם
15,Bart::N,barba,זקן
16,Kinn::N,mento,סנטר
17,Kiefer[Anatomie]::N,mascella,לסת
18,Kehle::N,gola,גרון
19,Hals::N,collo,צואר
20,Genick::N,nuca,ערף
21,Kopf::N,capo,ראש
22,Kopf::N,testa,ראש
23,Rücken::N,dorso,גב
24,Rücken::N,schiena,גב
25,Bauch::N,ventre,בטן
26,Nabel::N,ombelico,טבור
27,Busen::N,seno,שד
28,Brust::N,petto,חזה
29,Schulter::N,spalla,כתף
30,Arm::N,braccio,זרוע
31,Ellenbogen::N,gomito,מרפק
32,Hand::N,mano,יד
33,Handfläche::N,palma,כף יד
34,Finger::N,dito,אצבע
35,Fingernagel::N,unghia,צפרן
36,Nagel[Anatomie]::N,unghia,צפרן
37,Zeh::N,dito del piede,אצבע
38,Fuß::N,piede,רגל
39,Ferse::N,tallone,עקב
40,Ferse::N,calcagno,עקב
41,Knie::N,ginocchio,ברך
42,Oberschenkel::N,fèmore,ירך
43,Bein::N,gamba,רגל
44,Körper::N,corpo,גוף
45,Haut::N,pelle,עור
46,Blut::N,sangue,דם
47,Ader::N,vena,וריד
48,Sehne::N,tèndine,גיד
49,Knochen::N,osso,עצם
50,Gehirn::N,cervello,מוח
51,Herz::N,cuore,לב
52,Magen::N,stòmaco,קבה
53,Leber::N,fegato,כבד
54,Atem::N,fiato,נשימה
55,Atem::N,respiro,נשימה
56,Hunger::N,fame,רעב
57,Träne::N,làcrima,דמעה
58,Geschmack::N,gusto,טעם
59,Geschmack::N,sapore,טעם
60,Geruch::N,odore,ריח
61,Schlaf::N,sonno,שנה
62,Traum::N,sogno,חלום
63,Himmel::N,cielo,שמים
64,Sonne::N,sole,שמש
65,Mond::N,luna,ירח
66,Stern::N,stella,כוכב
67,Luft::N,aria,אויר
68,Wind::N,vento,רוח
69,Welle::N,onda,גל
70,Wasser::N,acqua,מים
71,Stein::N,sasso,אבן
72,Stein::N,pietra,אבן
73,Boden::N,suolo,קרקע
74,Boden::N,terreno,קרקע
75,Erde::N,terra,אדמה
76,Staub::N,polvere,אבק
77,Rauch::N,fumo,עשן
78,Funke::N,scintilla,ניצוץ
79,Feuer::N,fuoco,אש
80,Licht::N,luce,אור
81,Schatten::N,ombra,צל
82,Wetter::N,tempo,מזג אויר
83,Nebel::N,nebbia,ערפל
84,Wolke::N,nube,ענן
85,Wolke::N,nùvola,ענן
86,Regen::N,pioggia,גשם
87,Schnee::N,neve,שלג
88,Eis::N,ghiaccio,קרח
89,Frost::N,gelo,צנה
90,Kälte::N,freddo,קר
91,Hitze::N,caldo,חם
92,Hitze::N,calura,חם
93,Raureif::N,brina,כפור
94,Regenbogen::N,arcobaleno,קשת
95,Donner::N,tuono,רעם
96,Strömung::N,corrente,זרימה
97,Tropfen::N,goccia,טפה
98,Schaum::N,spuma,קצף
99,Schaum::N,schiuma,קצף
100,Schmutz::N,sudiciume,לכלוך
101,See::N,lago,אגם
102,Sumpf::N,palude,בצה
103,Moor::N,torbiera,בצה
104,Wiese::N,prato,מרעה
105,Wald::N,bosco,יער
106,Wald::N,foresta,יער
107,Hügel::N,colle,תל
108,Hügel::N,collina,תל
109,Anhöhe::N,altura,מעלה
110,Berg::N,monte,הר
111,Berg::N,montagna,הר
112,Gipfel::N,cima,פסגה
113,Höhle::N,grotta,מערה
114,Höhle::N,caverna,מערה
115,Abhang::N,pendìo,מדרון
116,Abhang::N,pendìo,שפוע
117,Quelle::N,sorgente,מעין
118,Bach::N,ruscello,נחל
119,Fluss::N,fiume,נהר
120,Ufer::N,riva,גדה
121,Küste::N,costa,חוף
122,Festland::N,terraferma,יבשה
123,Meer::N,mare,ים
124,Bucht::N,cala,מפרץ
125,Insel::N,ìsola,אי
126,Blume::N,fiore,פרח
127,Gras::N,erba,דשא
128,Wurzel::N,radice,שרש
129,Baum::N,àlbero,עץ
130,Stamm::N,tronco,גזע
131,Rinde::N,corteccia,קלפת עץ
132,Ast::N,ramo,ענף
133,Zweig::N,ramo,ענף
134,Blatt::N,foglia,עלה
135,Birke::N,betulla,שדר
136,Kiefer[Baum]::N,pino,ארן
137,Weide[Baum]::N,sàlice,ערבה
138,Tanne::N,abete,אשוח
139,Horn::N,corno,קרן
140,Feder::N,penna,נוצה
141,Fell::N,manto,פרוה
142,Fell::N,pelame,פרוה
143,Flügel::N,ala,כנף
144,Klaue::N,grinfia,טלף
145,Kralle::N,unghia,טפר
146,Kralle::N,artiglio,טפר
147,Schwanz::N,coda,זנב
148,Ei::N,uovo,ביצה
149,Nest::N,nido,קן
150,Bau::N,covo,מחלה
151,Tier::N,bestia,חיה
152,Tier::N,animale,חיה
153,Herde::N,gregge,עדר
154,Kuh::N,vacca,פרה
155,Bulle::N,toro,פר
156,Pferd::N,cavallo,סוס
157,Schaf::N,pècora,כבשה
158,Schwein::N,porco,חזיר
159,Schwein::N,maiale,חזיר
160,Hund::N,cane,כלב
161,Katze::N,gatta,חתול
162,Bär::N,orso,דב
163,Eichhörnchen::N,scoiàttolo,סנאי
164,Elch::N,alce,דישון
165,Fuchs::N,volpe,שועל
166,Hase::N,lepre,ארנב
167,Maus::N,topo,עכבר
168,Maus::N,sorcio,עכבר
169,Wolf::N,lupo,זאב
170,Vogel::N,uccello,צפור
171,Schwarm::N,stormo,נחיל
172,Schwarm::N,stormo,להקה
173,Huhn::N,gallina,תרנגלת
174,Hahn::N,gallo,תרנגול
175,Gans::N,oca,אוז
176,Adler::N,àquila,עיט
177,Ente::N,ànatra,ברוז
178,Eule::N,gufo,ינשוף
179,Eule::N,civetta,ינשוף
180,Kranich::N,gru,עגור
181,Kranich::N,gru,כרוכיה
182,Krähe::N,cornacchia,עורב
183,Kuckuck::N,cuccù,קוקיה
184,Kuckuck::N,cùculo,קוקיה
185,Schwan::N,cigno,ברבור
186,Fisch::N,pesce,דג
187,Barsch::N,pèrsico,אוקונוס
188,Hecht::N,luccio,זאב הים
189,Schlange[Tier]::N,serpente,נחש
190,Wurm::N,baco,תולעת
191,Wurm::N,verme,תולעת
192,Spinne::N,ragno,עכביש
193,Ameise::N,formica,נמלה
194,Laus::N,pidocchio,כנה
195,Mücke::N,zanzara,יתוש
196,Fliege::N,mosca,זבוב
197,Schmetterling::N,farfalla,פרפר
198,Beere::N,bacca,ענבה
199,Apfel::N,mela,תפוח
200,Pilz::N,fungo,פטריה
201,Zwiebel::N,cipolla,בצל
202,Saat::N,semente,זרעים
203,Korn::N,grano,גרעין
204,Heu::N,fieno,חציר
205,Schale::N,buccia,קלפה
206,Grube::N,cava,בור
207,Grube::N,cava,שוחה
208,Grube::N,fossa,בור
209,Grube::N,fossa,שוחה
210,Falle::N,tràppola,מלכדת
211,Schlinge::N,laccio,לולאה
212,Spur::N,traccia,עקבה
213,Asche::N,cenere,אפר
214,Dreck::N,fango,זהמה
215,Eisen::N,ferro,ברזל
216,Gold::N,oro,זהב
217,Silber::N,argento,כסף
218,Kohle::N,carbone,פחם
219,Glas::N,vetro,זכוכית
220,Lehm::N,argilla,חרסית
221,Sand::N,arena,חול
222,Sand::N,sabbia,חול
223,Mensch::N,uomo,אדם
224,Mensch::N,èssere umano,אדם
225,Mann::N,uomo,איש
226,Mann::N,uomo,גבר
227,Frau::N,donna,אשה
228,Frau::N,donna,גברת
229,Kind::N,bambino,ילד
230,Junge::N,ragazzo,ילד
231,Mädchen::N,ragazza,נערה
232,Familie::N,famiglia,משפחה
233,Großvater::N,nonno,סבא
234,Großmutter::N,nonna,סבתא
235,Eltern::N,genitori,הורים
