,Concept_ID,sk,de
0,Auge::N,oko,Auge
1,Ohr::N,ucho,Ohr
2,Nase::N,nos,Nase
3,Mund::N,ústa,Mund
4,Zahn::N,zub,Zahn
5,Zunge::N,jazyk,Zunge
6,Lippe::N,pera,Lippe
7,Wange::N,líce,Wange
8,Gesicht::N,tvár,Gesicht
9,Gesicht::N,obličaj,Gesicht
10,Stirn::N,čelo,Stirn
11,Haar::N,vlas,Haar
12,Schnurrbart::N,fúzy,Schnurrbart
13,Bart::N,brada,Bart
14,Kinn::N,brada,Kinn
15,Kiefer[Anatomie]::N,čeľusť,Kiefer
16,Kehle::N,hrdlo,Kehle
17,Hals::N,krk,Hals
18,Genick::N,väzy,Genick
19,Kopf::N,hlava,Kopf
20,Rücken::N,chrbát,Rücken
21,Bauch::N,brucho,Bauch
22,Nabel::N,pupok,Nabel
23,Busen::N,prsia,Busen
24,Brust::N,hruď,Brust
25,Schulter::N,plece,Schulter
26,Arm::N,rameno,Arm
27,Ellenbogen::N,lakeť,Ellenbogen
28,Hand::N,ruka,Hand
29,Handfläche::N,dlaň,Handfläche
30,Finger::N,prst,Finger
31,Fingernagel::N,necht,Fingernagel
32,Nagel[Anatomie]::N,necht,Nagel
33,Zeh::N,prst na nohe,Zeh
34,Fuß::N,noha,Fuß
35,Ferse::N,päta,Ferse
36,Knie::N,koleno,Knie
37,Oberschenkel::N,stehno,Oberschenkel
38,Bein::N,noha,Bein
39,Körper::N,telo,Körper
40,Haut::N,koža,Haut
41,Blut::N,krv,Blut
42,Ader::N,žila,Ader
43,Sehne::N,šľacha,Sehne
44,Knochen::N,kosť,Knochen
45,Gehirn::N,mozog,Gehirn
46,Herz::N,srdce,Herz
47,Magen::N,žalúdok,Magen
48,Leber::N,pečeň,Leber
49,Atem::N,dych,Atem
50,Hunger::N,hlad,Hunger
51,Träne::N,slza,Träne
52,Geschmack::N,chuť,Geschmack
53,Geruch::N,pach,Geruch
54,Schlaf::N,spánok,Schlaf
55,Traum::N,sen,Traum
56,Himmel::N,nebo,Himmel
57,Sonne::N,slnko,Sonne
58,Mond::N,mesiac,Mond
59,Stern::N,hviezda,Stern
60,Luft::N,vzduch,Luft
61,Wind::N,vietor,Wind
62,Welle::N,vlna,Welle
63,Wasser::N,voda,Wasser
64,Stein::N,kameň,Stein
65,Boden::N,zem,Boden
66,Boden::N,pôda,Boden
67,Erde::N,zem,Erde
68,Staub::N,prach,Staub
69,Rauch::N,dym,Rauch
70,Funke::N,iskra,Funke
71,Feuer::N,oheň,Feuer
72,Licht::N,svetlo,Licht
73,Schatten::N,tieň,Schatten
74,Wetter::N,počasie,Wetter
75,Nebel::N,hmla,Nebel
76,Wolke::N,oblak,Wolke
77,Wolke::N,mračno,Wolke
78,Regen::N,dážď,Regen
79,Schnee::N,sneh,Schnee
80,Eis::N,ľad,Eis
81,Frost::N,mráz,Frost
82,Kälte::N,zima,Kälte
83,Kälte::N,chlad,Kälte
84,Hitze::N,horúčava,Hitze
85,Raureif::N,srieň,Raureif
86,Raureif::N,inovať,Raureif
87,Regenbogen::N,dúha,Regenbogen
88,Donner::N,hrom,Donner
89,Strömung::N,prúdenie,Strömung
90,Tropfen::N,kvapka,Tropfen
91,Schaum::N,pena,Schaum
92,Schmutz::N,špina,Schmutz
93,Schmutz::N,nečistota,Schmutz
94,See::N,jazero,See
95,Sumpf::N,bahno,Sumpf
96,Moor::N,močiar,Moor
97,Wiese::N,lúka,Wiese
98,Wald::N,les,Wald
99,Wald::N,hora,Wald
100,Hügel::N,vŕšok,Hügel
101,Anhöhe::N,výšina,Anhöhe
102,Anhöhe::N,vyvýšenina,Anhöhe
103,Berg::N,hora,Berg
104,Gipfel::N,vrchol,Gipfel
105,Höhle::N,jaskyňa,Höhle
106,Abhang::N,úbočie,Abhang
107,Quelle::N,prameň,Quelle
108,Bach::N,potok,Bach
109,Fluss::N,rieka,Fluss
110,Ufer::N,breh,Ufer
111,Küste::N,pobrežie,Küste
112,Festland::N,pevnina,Festland
113,Meer::N,more,Meer
114,Bucht::N,záliv,Bucht
115,Bucht::N,zátoka,Bucht
116,Insel::N,ostrov,Insel
117,Blume::N,kvet,Blume
118,Blume::N,kvetina,Blume
119,Gras::N,tráva,Gras
120,Wurzel::N,koreň,Wurzel
121,Baum::N,strom,Baum
122,Stamm::N,kmeň,Stamm
123,Rinde::N,kôra,Rinde
124,Ast::N,konár,Ast
125,Zweig::N,vetva,Zweig
126,Blatt::N,list,Blatt
127,Birke::N,breza,Birke
128,Kiefer[Baum]::N,sosna,Kiefer
129,Kiefer[Baum]::N,borovica,Kiefer
130,Weide[Baum]::N,vŕba,Weide
131,Tanne::N,jedľa,Tanne
132,Horn::N,roh,Horn
133,Feder::N,pero,Feder
134,Fell::N,koža,Fell
135,Fell::N,kožušina,Fell
136,Flügel::N,krídlo,Flügel
137,Klaue::N,paznecht,Klaue
138,Kralle::N,pazúr,Kralle
139,Schwanz::N,chvost,Schwanz
140,Ei::N,vajce,Ei
141,Ei::N,vajíčko,Ei
142,Nest::N,hniezdo,Nest
143,Bau::N,nora,Bau
144,Tier::N,zviera,Tier
145,Herde::N,stádo,Herde
146,Kuh::N,krava,Kuh
147,Bulle::N,býk,Bulle
148,Pferd::N,kôň,Pferd
149,Schaf::N,ovca,Schaf
150,Schwein::N,sviňa,Schwein
151,Hund::N,pes,Hund
152,Katze::N,mačka,Katze
153,Bär::N,medveď,Bär
154,Eichhörnchen::N,veverička,Eichhörnchen
155,Elch::N,los,Elch
156,Fuchs::N,líška,Fuchs
157,Hase::N,zajac,Hase
158,Maus::N,myš,Maus
159,Wolf::N,vlk,Wolf
160,Vogel::N,vták,Vogel
161,Schwarm::N,roj,Schwarm
162,Huhn::N,kurča,Huhn
163,Huhn::N,sliepka,Huhn
164,Hahn::N,kohút,Hahn
165,Gans::N,hus,Gans
166,Adler::N,orol,Adler
167,Ente::N,kačka,Ente
168,Ente::N,kačica,Ente
169,Eule::N,sova,Eule
170,Kranich::N,žeriav,Kranich
171,Krähe::N,vrana,Krähe
172,Kuckuck::N,kukučka,Kuckuck
173,Schwan::N,labuť,Schwan
174,Fisch::N,ryba,Fisch
175,Barsch::N,ostriež,Barsch
176,Hecht::N,šťuka,Hecht
177,Schlange[Tier]::N,had,Schlange
178,Wurm::N,červ,Wurm
179,Spinne::N,pavúk,Spinne
180,Ameise::N,mravec,Ameise
181,Laus::N,voš,Laus
182,Mücke::N,komár,Mücke
183,Fliege::N,mucha,Fliege
184,Schmetterling::N,motýľ,Schmetterling
185,Beere::N,bobuľa,Beere
186,Apfel::N,jablko,Apfel
187,Pilz::N,hríb,Pilz
188,Zwiebel::N,cibuľa,Zwiebel
189,Saat::N,osivo,Saat
190,Korn::N,zrno,Korn
191,Heu::N,seno,Heu
192,Schale::N,šupa,Schale
193,Schale::N,škrupina,Schale
194,Grube::N,jama,Grube
195,Falle::N,pasca,Falle
196,Falle::N,klepec,Falle
197,Schlinge::N,slučka,Schlinge
198,Spur::N,stopa,Spur
199,Asche::N,popol,Asche
200,Dreck::N,kal,Dreck
201,Dreck::N,blato,Dreck
202,Eisen::N,železo,Eisen
203,Gold::N,zlato,Gold
204,Silber::N,striebro,Silber
205,Kohle::N,uhlie,Kohle
206,Glas::N,sklo,Glas
207,Lehm::N,íl,Lehm
208,Lehm::N,hlina,Lehm
209,Sand::N,piesok,Sand
210,Mensch::N,človek,Mensch
211,Mann::N,muž,Mann
212,Mann::N,chlap,Mann
213,Frau::N,žena,Frau
214,Kind::N,dieťa,Kind
215,Junge::N,chlapec,Junge
216,Mädchen::N,dievka,Mädchen
217,Familie::N,rodina,Familie
218,Großvater::N,dedo,Großvater
219,Großvater::N,starý otec,Großvater
220,Großmutter::N,babička,Großmutter
221,Großmutter::N,stará mať,Großmutter
222,Eltern::N,rodičia,Eltern
223,Vater::N,otec,Vater
224,Mutter::N,mať,Mutter
225,Mutter::N,matka,Mutter
226,Sohn::N,syn,Sohn
227,Tochter::N,dcéra,Tochter
228,Bruder::N,brat,Bruder
229,Schwester::N,sestra,Schwester
230,Onkel::N,ujo,Onkel
231,Onkel::N,strýko,Onkel
232,Tante::N,teta,Tante
233,Tante::N,tetka,Tante
234,Ehemann::N,muž,Ehemann
235,Ehemann::N,manžel,Ehemann
236,Ehefrau::N,žena,Ehefrau
237,Ehefrau::N,manželka,Ehefrau
238,Freude::N,radosť,Freude
239,Gelächter::N,smiech,Gelächter
240,Glück::N,šťastie,Glück
241,Kummer::N,žiaľ,Kummer
242,Kummer::N,zármutok,Kummer
243,Wunsch::N,prianie,Wunsch
244,Lust::N,chuť,Lust
245,Geist::N,duch,Geist
246,Gedanke::N,myšlienka,Gedanke
247,Gedächtnis::N,pamäť,Gedächtnis
248,Verstand::N,rozum,Verstand
249,Sinn::N,zmysel,Sinn
250,Grund::N,dôvod,Grund
251,Grund::N,príčina,Grund
252,Wahrheit::N,pravda,Wahrheit
253,Gespräch::N,reč,Gespräch
254,Gespräch::N,rozhovor,Gespräch
255,Märchen::N,rozprávka,Märchen
256,Erzählung::N,poviedka,Erzählung
257,Nachricht::N,správa,Nachricht
258,Neuigkeit::N,novinka,Neuigkeit
259,Name::N,meno,Name
260,Rätsel::N,záhada,Rätsel
261,Rätsel::N,hádanka,Rätsel
262,Rede::N,reč,Rede
263,Sprache::N,reč,Sprache
264,Sprache::N,jazyk,Sprache
265,Stimme::N,hlas,Stimme
266,Wort::N,slovo,Wort
267,Zeichen::N,znak,Zeichen
268,Ruf::N,volanie,Ruf
269,Ruf::N,zavolanie,Ruf
270,Lärm::N,hluk,Lärm
271,Lärm::N,hurhaj,Lärm
272,Laut::N,zvuk,Laut
273,Ton::N,tón,Ton
274,Ton::N,zvuk,Ton
275,Lied::N,pieseň,Lied
276,Ruhe::N,pokoj,Ruhe
277,Leute::N,ľudia,Leute
278,Volk::N,ľud,Volk
279,Volk::N,národ,Volk
280,Arbeit::N,práca,Arbeit
281,Arbeit::N,robota,Arbeit
282,Gast::N,hosť,Gast
283,Geschenk::N,dar,Geschenk
284,Spiel::N,hra,Spiel
285,Gesellschaft::N,spoločnosť,Gesellschaft
286,Hilfe::N,pomoc,Hilfe
287,Freund::N,priateľ,Freund
288,Kamerad::N,kamarát,Kamerad
289,Angelegenheit::N,vec,Angelegenheit
290,Angelegenheit::N,záležitosť,Angelegenheit
291,Anzahl::N,počet,Anzahl
292,Anzahl::N,množstvo,Anzahl
293,Art::N,druh,Art
294,Stück::N,kus,Stück
295,Stück::N,kúsok,Stück
296,Teil::N,časť,Teil
297,Hälfte::N,polka,Hälfte
298,Hälfte::N,polovica,Hälfte
299,Kreis::N,kruh,Kreis
300,Kreuz::N,kríž,Kreuz
301,Linie::N,línia,Linie
302,Strich::N,čiara,Strich
303,Abstand::N,vzdialenosť,Abstand
304,Entfernung::N,vzdialenosť,Entfernung
305,Gegend::N,kraj,Gegend
306,Gegend::N,krajina,Gegend
307,Platz::N,miesto,Platz
308,Ort::N,miesto,Ort
309,Seite::N,bok,Seite
310,Seite::N,strana,Seite
311,Mitte::N,stred,Mitte
312,Gegenstand::N,predmet,Gegenstand
313,Sache::N,vec,Sache
314,Rand::N,kraj,Rand
315,Rand::N,okraj,Rand
316,Kante::N,hrana,Kante
317,Ecke::N,roh,Ecke
318,Spitze::N,hrot,Spitze
319,Spitze::N,špička,Spitze
320,Ende::N,koniec,Ende
321,Loch::N,diera,Loch
322,Winkel::N,kút,Winkel
323,Muster::N,vzor,Muster
324,Muster::N,vzorka,Muster
325,Größe::N,veľkosť,Größe
326,Länge::N,dĺžka,Länge
327,Höhe::N,výška,Höhe
328,Gewicht::N,váha,Gewicht
329,Menge::N,množstvo,Menge
330,Haufen::N,hŕba,Haufen
331,Reihe::N,rad,Reihe
332,Boot::N,čln,Boot
333,Ruder::N,veslo,Ruder
334,Schlitten::N,sane,Schlitten
335,Ski::N,lyža,Ski
336,Lagerfeuer::N,táborák,Lagerfeuer
337,Last::N,ťarcha,Last
338,Last::N,bremeno,Last
339,Gang::N,chôdza,Gang
340,Schritt::N,krok,Schritt
341,Norden::N,sever,Norden
342,Süden::N,juh,Süden
343,Westen::N,západ,Westen
344,Osten::N,východ,Osten
345,Holz::N,drevo,Holz
346,Brett::N,doska,Brett
347,Platte::N,doska,Platte
348,Platte::N,platňa,Platte
349,Stütze::N,opora,Stütze
350,Stange::N,tyč,Stange
351,Stock::N,palica,Stock
352,Stab::N,palica,Stab
353,Rohr::N,rúra,Rohr
354,Haus::N,dom,Haus
355,Heim::N,domov,Heim
356,Ofen::N,pec,Ofen
357,Ofen::N,kachle,Ofen
358,Fußboden::N,dlážka,Fußboden
359,Fußboden::N,podlaha,Fußboden
360,Tisch::N,stôl,Tisch
361,Stuhl::N,stolička,Stuhl
362,Wiege::N,kolíska,Wiege
363,Bett::N,lôžko,Bett
364,Bett::N,posteľ,Bett
365,Regal::N,regál,Regal
366,Regal::N,polica,Regal
367,Kiste::N,debna,Kiste
368,Fenster::N,okno,Fenster
369,Fenster::N,oblok,Fenster
370,Tür::N,dvere,Tür
371,Tor::N,vráta,Tor
372,Zaun::N,plot,Zaun
373,Zaun::N,ohrada,Zaun
374,Dach::N,krov,Dach
375,Dach::N,strecha,Dach
376,Leiter::N,rebrík,Leiter
377,Leiter::N,rebrina,Leiter
378,Besen::N,metla,Besen
379,Spaten::N,rýľ,Spaten
380,Schaufel::N,lopata,Schaufel
381,Gabel::N,vidlička,Gabel
382,Löffel::N,lyžica,Löffel
383,Messer::N,nôž,Messer
384,Nagel::N,klinec,Nagel
385,Netz::N,sieť,Netz
386,Haken::N,hák,Haken
387,Haken::N,háčik,Haken
388,Griff::N,rukoväť,Griff
389,Schloss::N,zámka,Schloss
390,Bild::N,obraz,Bild
391,Figur::N,figúra,Figur
392,Puppe::N,bábka,Puppe
393,Puppe::N,bábika,Puppe
394,Beutel::N,vrece,Beutel
395,Beutel::N,vrecko,Beutel
396,Bündel::N,uzlík,Bündel
397,Bündel::N,zväzok,Bündel
398,Tasche::N,taška,Tasche
399,Tasche::N,kabelka,Tasche
400,Eimer::N,vedro,Eimer
401,Deckel::N,vrchnák,Deckel
402,Deckel::N,pokrývka,Deckel
403,Geschirr::N,nádoba,Geschirr
404,Sack::N,mech,Sack
405,Sack::N,vrece,Sack
406,Tasse::N,šálka,Tasse
407,Topf::N,hrniec,Topf
408,Kessel::N,kotol,Kessel
409,Essen::N,jedlo,Essen
410,Nahrung::N,strava,Nahrung
411,Nahrung::N,potrava,Nahrung
412,Speise::N,jedlo,Speise
413,Fleisch::N,mäso,Fleisch
414,Getreide::N,obilie,Getreide
415,Brei::N,kaša,Brei
416,Brot::N,chlieb,Brot
417,Scheibe::N,kotúč,Scheibe
418,Scheibe::N,krajec,Scheibe
419,Fett::N,tuk,Fett
420,Fett::N,masť,Fett
421,Butter::N,maslo,Butter
422,Öl::N,olej,Öl
423,Salz::N,soľ,Salz
424,Suppe::N,polievka,Suppe
425,Honig::N,med,Honig
426,Milch::N,mlieko,Milch
427,Tee::N,čaj,Tee
428,Leder::N,koža,Leder
429,Wolle::N,vlna,Wolle
430,Stoff::N,súkno,Stoff
431,Nadel::N,ihla,Nadel
432,Faden::N,niť,Faden
433,Faden::N,vlákno,Faden
434,Knopf::N,gombík,Knopf
435,Knoten::N,uzol,Knoten
436,Farbe::N,farba,Farbe
437,Kleidung::N,šaty,Kleidung
438,Kleidung::N,šatstvo,Kleidung
439,Hemd::N,košeľa,Hemd
440,Kragen::N,golier,Kragen
441,Ärmel::N,rukáv,Ärmel
442,Hose::N,nohavice,Hose
443,Gürtel::N,pás,Gürtel
444,Gürtel::N,opasok,Gürtel
445,Mütze::N,čiapka,Mütze
446,Schuh::N,obuv,Schuh
447,Schuh::N,topánka,Schuh
448,Stiefel::N,čižma,Stiefel
449,Ring::N,prsteň,Ring
450,Band::N,stuha,Band
451,Kamm::N,hrebeň,Kamm
452,Spiegel::N,zrkadlo,Spiegel
453,Riemen::N,remeň,Riemen
454,Schnur::N,šnúra,Schnur
455,Leine::N,vodidlo,Leine
456,Decke::N,deka,Decke
457,Decke::N,prikrývka,Decke
458,Kissen::N,poduška,Kissen
459,Tuch::N,šatka,Tuch
460,Handtuch::N,uterák,Handtuch
461,Kraft::N,moc,Kraft
462,Stärke::N,sila,Stärke
463,Gesundheit::N,zdravie,Gesundheit
464,Krankheit::N,nemoc,Krankheit
465,Krankheit::N,choroba,Krankheit
466,Schmerz::N,bolesť,Schmerz
467,Wunde::N,rana,Wunde
468,Fieber::N,horúčka,Fieber
469,Arznei::N,liek,Arznei
470,Brücke::N,most,Brücke
471,Brunnen::N,studňa,Brunnen
472,Weide::N,pastva,Weide
473,Pfad::N,chodník,Pfad
474,Weg::N,cesta,Weg
475,Straße::N,hradská,Straße
476,Dorf::N,dedina,Dorf
477,Stadt::N,mesto,Stadt
478,Brief::N,list,Brief
479,Buch::N,kniha,Buch
480,Buchstabe::N,litera,Buchstabe
481,Buchstabe::N,písmeno,Buchstabe
482,Zeitung::N,noviny,Zeitung
483,Leben::N,život,Leben
484,Tod::N,smrť,Tod
485,Grab::N,hrob,Grab
486,Kirche::N,kostol,Kirche
487,Sünde::N,hriech,Sünde
488,Gott::N,boh,Gott
489,Arbeiter::N,robotník,Arbeiter
490,Arbeiter::N,pracnovík,Arbeiter
491,Chef::N,šéf,Chef
492,Chef::N,riaditeľ,Chef
493,Meister::N,majster,Meister
494,Arzt::N,lekár,Arzt
495,Lehrer::N,učiteľ,Lehrer
496,Geld::N,peniaze,Geld
497,Geschäft::N,obchod,Geschäft
498,Laden::N,obchod,Laden
499,Preis::N,cena,Preis
500,Ware::N,tovar,Ware
501,Nutzen::N,osoh,Nutzen
502,Nutzen::N,úžitok,Nutzen
503,Reichtum::N,bohatstvo,Reichtum
504,Welt::N,svet,Welt
505,Land::N,územie,Land
506,Land::N,krajina,Land
507,Staat::N,štát,Staat
508,König::N,kráľ,König
509,Macht::N,moc,Macht
510,Macht::N,mocnosť,Macht
511,Grenze::N,hranica,Grenze
512,Krieg::N,vojna,Krieg
513,Feind::N,nepriateľ,Feind
514,Gewalt::N,násilie,Gewalt
515,Kampf::N,boj,Kampf
516,Bogen[Waffe]::N,luk,Bogen
517,Pfeil::N,šíp,Pfeil
518,Pfeil::N,strela,Pfeil
519,Gewehr::N,puška,Gewehr
520,Fehler::N,omyl,Fehler
521,Fehler::N,chyba,Fehler
522,Lüge::N,lož,Lüge
523,Schaden::N,ujma,Schaden
524,Schaden::N,škoda,Schaden
525,Unglück::N,nešťastie,Unglück
526,Schuld::N,vina,Schuld
527,Schuld::N,previnenie,Schuld
528,Alter::N,vek,Alter
529,Schluss::N,záver,Schluss
530,Schluss::N,koniec,Schluss
531,Zeit::N,čas,Zeit
532,Tag::N,deň,Tag
533,Morgen::N,ráno,Morgen
534,Mittag::N,poludnie,Mittag
535,Abend::N,večer,Abend
536,Nacht::N,noc,Nacht
537,Woche::N,týždeň,Woche
538,Monat::N,mesiac,Monat
539,Jahr::N,rok,Jahr
540,Frühling::N,jar,Frühling
541,Sommer::N,leto,Sommer
542,Herbst::N,jeseň,Herbst
543,Winter::N,zima,Winter
544,Januar::N,január,Januar
545,Februar::N,február,Februar
546,März::N,marec,März
547,April::N,apríl,April
548,Mai::N,máj,Mai
549,Juni::N,jún,Juni
550,Juli::N,júl,Juli
551,August::N,august,August
552,September::N,september,September
553,Oktober::N,október,Oktober
554,November::N,november,November
555,Dezember::N,december,Dezember
556,Montag::N,pondelok,Montag
557,Dienstag::N,utorok,Dienstag
558,Mittwoch::N,streda,Mittwoch
559,Donnerstag::N,štvrtok,Donnerstag
560,Freitag::N,piatok,Freitag
561,Samstag::N,sobota,Samstag
562,Sonntag::N,nedeľa,Sonntag
563,groß::A,veľký,groß
564,klein::A,malý,klein
565,lang::A,dlhý,lang
566,kurz::A,krátky,kurz
567,breit::A,široký,breit
568,schmal::A,úzky,schmal
569,dicht::A,hustý,dicht
570,dick[Gegenstand]::A,tlstý,dick
571,dünn::A,tenký,dünn
572,fein::A,jemný,fein
573,fest::A,pevný,fest
574,flach::A,rovný,flach
575,flach::A,plochý,flach
576,glatt::A,hladký,glatt
577,hart::A,tvrdý,hart
578,weich::A,mäkký,weich
579,rund::A,guľatý,rund
580,rund::A,okrúhly,rund
581,spitz::A,končitý,spitz
582,scharf::A,ostrý,scharf
583,stumpf::A,tupý,stumpf
584,schwer::A,ťažký,schwer
585,schön::A,pekný,schön
586,schön::A,krásny,schön
587,heiß::A,horúci,heiß
588,warm::A,teplý,warm
589,kalt::A,studený,kalt
590,kühl::A,chladný,kühl
591,frisch::A,svieži,frisch
592,feucht::A,vlhký,feucht
593,feucht::A,zvlhnutý,feucht
594,nass::A,mokrý,nass
595,trocken::A,suchý,trocken
596,voll::A,plný,voll
597,leer::A,prázdny,leer
598,offen::A,otvorený,offen
599,geschlossen::A,zavretý,geschlossen
600,sauber::A,čistý,sauber
601,schmutzig::A,špinavý,schmutzig
602,roh::A,surový,roh
603,reif::A,zrelý,reif
604,lecker::A,chutný,lecker
605,süß::A,sladký,süß
606,bitter::A,horký,bitter
607,sauer::A,kyslý,sauer
608,hell::A,jasný,hell
609,hell::A,svetlý,hell
610,dunkel::A,temný,dunkel
611,schwarz::A,čierny,schwarz
612,weiß::A,biely,weiß
613,rot::A,červený,rot
614,gelb::A,žltý,gelb
615,blau::A,modrý,blau
616,blau::A,belasý,blau
617,grün::A,zelený,grün
618,grau::A,šedý,grau
619,bunt::A,pestrý,bunt
620,billig::A,lacný,billig
621,teuer::A,drahý,teuer
622,wertvoll::A,cenný,wertvoll
623,blind::A,slepý,blind
624,taub::A,hluchý,taub
625,kräftig::A,silný,kräftig
626,stark::A,silný,stark
627,schwach::A,slabý,schwach
628,schwach::A,bezvládny,schwach
629,fett::A,tučný,fett
630,schlank::A,štíhly,schlank
631,hübsch::A,šumný,hübsch
632,hübsch::A,švárny,hübsch
633,böse::A,zlý,böse
634,dumm::A,hlúpy,dumm
635,faul::A,lenivý,faul
636,fleißig::A,snaživý,fleißig
637,fleißig::A,usilovný,fleißig
638,geizig::A,skupý,geizig
639,geizig::A,lakomý,geizig
640,klug::A,múdry,klug
641,klug::A,bystrý,klug
642,geschickt::A,zručný,geschickt
643,geschickt::A,šikovný,geschickt
644,lieb::A,milý,lieb
645,lustig::A,veselý,lustig
646,sanft::A,nežný,sanft
647,hungrig::A,lačný,hungrig
648,hungrig::A,hladný,hungrig
649,krank::A,chorý,krank
650,krank::A,nemocný,krank
651,nackt::A,nahý,nackt
652,traurig::A,smutný,traurig
653,lebendig::A,živý,lebendig
654,gut::A,dobrý,gut
655,schlecht::A,zlý,schlecht
656,richtig::A,správny,richtig
657,schlimm::A,zlý,schlimm
658,schlimm::A,nepríjemný,schlimm
659,wahr::A,pravý,wahr
660,wahr::A,pravdivý,wahr
661,alt::A,starý,alt
662,neu::A,nový,neu
663,ehemalig::A,bývalý,ehemalig
