,Concept_ID,zh,av
0,Auge::N,眼睛,
1,Ohr::N,耳朵,гӏин
2,Nase::N,鼻子,мегӏер
3,Mund::N,嘴,кӏал
4,Zahn::N,牙齿,гӏус
5,Zunge::N,舌头,мацӏ
6,Lippe::N,嘴唇,кӏветӏ
7,Wange::N,面颊,гӏоно
8,Gesicht::N,脸,гьумер
9,Stirn::N,额,нодо
10,Haar::N,头发,рас
11,Schnurrbart::N,髭须,михъ
12,Bart::N,胡子,мегеж
13,Kinn::N,下巴,нилъу
14,Kiefer[Anatomie]::N,颌,чанагъ
15,Kehle::N,嗓子,щекъер
16,Hals::N,颈,габур
17,Genick::N,后颈,гъванща
18,Kopf::N,头,бетӏер
19,Rücken::N,背,мугъ
20,Bauch::N,肚子,чехь
21,Nabel::N,肚脐,цӏину
22,Busen::N,胸脯,керен
23,Brust::N,胸,керен
24,Schulter::N,肩膀,гъажазубетӏер
25,Arm::N,臂膀,гъеж
26,Ellenbogen::N,肘,гӏункӏрукь
27,Hand::N,手,квер
28,Handfläche::N,手掌,огъохъат
29,Handfläche::N,手掌,жанисахъат
30,Finger::N,手指,килищ
31,Fingernagel::N,指甲,малъ
32,Nagel[Anatomie]::N,指甲,малъ
33,Zeh::N,脚趾,килищ
34,Fuß::N,脚,хӏетӏ
35,Fuß::N,脚,хӏетӏе
36,Ferse::N,后跟,эгъе
37,Knie::N,膝,наку
38,Oberschenkel::N,大腿,мачӏ
39,Bein::N,腿,бох
40,Körper::N,身体,къаркъала
41,Haut::N,皮肤,тӏом
42,Blut::N,血,би
43,Ader::N,血管,бидурихь
44,Sehne::N,腱,
45,Knochen::N,骨,ракьа
46,Gehirn::N,脑,гӏадалнах
47,Herz::N,心,ракӏ
48,Magen::N,胃,кванирукъ
49,Leber::N,肝,тӏул
50,Atem::N,呼吸,хӏухь
51,Hunger::N,饿,ракъи
52,Träne::N,眼泪,магӏу
53,Geschmack::N,味道,тату
54,Geruch::N,气味,махӏ
55,Schlaf::N,睡眠,макьу
56,Traum::N,梦,макьу
57,Himmel::N,天空,зоб
58,Sonne::N,太阳,бакъ
59,Mond::N,月亮,моцӏ
60,Stern::N,星,цӏва
61,Luft::N,空气,гьава
62,Wind::N,风,гьури
63,Welle::N,波,карачел
64,Wasser::N,水,лъим
65,Stein::N,石头,гьецӏо
66,Boden::N,地面,ракь
