,Concept_ID,sah,pl
0,Auge::N,харах,oko
1,Ohr::N,кулгаах,ucho
2,Nase::N,мурун,nos
3,Mund::N,айах,usta
4,Zahn::N,тиис,ząb
5,Zunge::N,тыл,język
6,Lippe::N,уос,warga
7,Wange::N,иэдэс,policzek
8,Gesicht::N,сирэй,twarz
9,Stirn::N,сүүс,czoło
10,Haar::N,баттах,włos
11,Haar::N,баттах,włosy
12,Schnurrbart::N,уос бытыга,wąsy
13,Bart::N,сэҥийэ бытыга,broda
14,Kinn::N,сэҥийэ,podbródek
15,Kiefer[Anatomie]::N,сыҥаах,czeluść
16,Kehle::N,тамах,gardło
17,Kehle::N,күөмэй,gardło
18,Hals::N,моой,szyja
19,Genick::N,кэтэх,kark
20,Kopf::N,бас,głowa
21,Rücken::N,көҕүс,plecy
22,Rücken::N,көҕүс,grzbiet
23,Bauch::N,ис,brzuch
24,Nabel::N,киин,pępek
25,Busen::N,эмиий,biust
26,Brust::N,түөс,pierś
27,Schulter::N,сарын,bark
28,Schulter::N,сарын,ramię
29,Arm::N,илии,ręka
30,Arm::N,илии,ramię
31,Ellenbogen::N,тоҕонох,łokieć
32,Hand::N,илии,dłoń
33,Handfläche::N,ытыс,dłoń
34,Finger::N,тарбах,palec
35,Fingernagel::N,тыҥырах,paznokieć
36,Nagel[Anatomie]::N,тыҥырах,paznokieć
37,Zeh::N,тарбах,palec
38,Fuß::N,уллуҥах,stopa
39,Ferse::N,тилэх,pięta
40,Knie::N,тобук,kolano
41,Knie::N,дьилбэк,kolano
42,Oberschenkel::N,уллук,udo
43,Oberschenkel::N,өттүк,udo
44,Bein::N,атах,noga
45,Körper::N,бэйэ,ciało
46,Haut::N,тирии,skóra
47,Blut::N,хаан,krew
48,Ader::N,вена,żyła
49,Ader::N,күөх_тымыр,żyła
50,Sehne::N,иҥиир,ścięgno
51,Knochen::N,уҥуох,kość
52,Knochen::N,уҥгуох,kość
53,Gehirn::N,мэйии,mózg
54,Herz::N,сүрэх,serce
55,Magen::N,куртах,żołądek
56,Leber::N,быар,wątroba
57,Atem::N,тыын,dech
58,Atem::N,тыын,oddech
59,Hunger::N,аас,głód
60,Träne::N,харах уута,łza
61,Geschmack::N,амтан,smak
62,Geruch::N,сыт,woń
63,Geruch::N,сыт,zapach
64,Schlaf::N,утуйуу,sen
65,Traum::N,түүл,sen
66,Himmel::N,халлаан,niebo
67,Sonne::N,күн,słońce
68,Mond::N,ый,księżyc
69,Stern::N,сулус,gwiazda
70,Luft::N,салгын,powietrze
71,Wind::N,тыал,wiatr
72,Welle::N,долгун,fala
73,Welle::N,балхаан,fala
74,Wasser::N,уу,woda
75,Stein::N,таас,kamień
76,Boden::N,сир,grunt
77,Erde::N,буор,ziemia
78,Staub::N,быыл,pył
79,Staub::N,быыл,kurz
80,Rauch::N,буруо,dym
81,Funke::N,кыым,iskra
82,Feuer::N,уот,ogień
83,Licht::N,уот,światło
84,Schatten::N,күлүк,cień
85,Wetter::N,күн-дьыл,pogoda
86,Nebel::N,туман,mgła
87,Wolke::N,былыт,obłok
88,Wolke::N,былыт,chmura
89,Regen::N,самыыр,deszcz
90,Schnee::N,хаар,śnieg
91,Eis::N,муус,lód
92,Frost::N,тымныы,mróz
93,Kälte::N,тымныы,chłód
94,Hitze::N,куйаас,gorąco
95,Raureif::N,кырыа,szron
96,Regenbogen::N,кустук,tęcza
97,Donner::N,этиҥ,grzmot
98,Strömung::N,сүүрүк,nurt
99,Tropfen::N,таммах,kropla
100,Tropfen::N,хааппыла,kropla
101,Schaum::N,күүгэн,piana
102,Schmutz::N,кир,brud
103,See::N,күөл,jezioro
104,Sumpf::N,бадараан,bagno
105,Moor::N,дьэбэрэ,bagno
