,Concept_ID,av,mhr
0,Ohr::N,гӏин,пы́лыш
1,Nase::N,мегӏер,нер
2,Mund::N,кӏал,умша́
3,Zahn::N,гӏус,пӱй
4,Zunge::N,мацӏ,йы́лме
5,Lippe::N,кӏветӏ,тӱ́рвӧ
6,Wange::N,гӏоно,шӱ́ргӧ
7,Gesicht::N,гьумер,чури́й
8,Stirn::N,нодо,саҥга́
9,Haar::N,рас,ӱп
10,Schnurrbart::N,михъ,ӧ́рыш
11,Bart::N,мегеж,понда́ш
12,Kinn::N,нилъу,оҥыла́ш
13,Kiefer[Anatomie]::N,чанагъ,пӱйдӱ́ҥ
14,Kiefer[Anatomie]::N,чанагъ,пӱйората́
15,Kehle::N,щекъер,лога́р
16,Hals::N,габур,шӱй
17,Genick::N,гъванща,шӱйло́дыш
18,Kopf::N,бетӏер,вуй
19,Rücken::N,мугъ,туп
20,Bauch::N,чехь,мӱ́шкыр
21,Nabel::N,цӏину,кы́лымде
22,Busen::N,керен,чы́зе
23,Brust::N,керен,оҥ
24,Schulter::N,гъажазубетӏер,ва́че
25,Arm::N,гъеж,кид
26,Ellenbogen::N,гӏункӏрукь,кынерву́й
27,Hand::N,квер,кид
28,Hand::N,квер,копа́
29,Handfläche::N,огъохъат,со́во
30,Handfläche::N,жанисахъат,со́во
31,Finger::N,килищ,парня́
32,Fingernagel::N,малъ,кидкӱ́ч
33,Fingernagel::N,малъ,парнягӱ́ч
34,Nagel[Anatomie]::N,малъ,кӱч
35,Zeh::N,килищ,йолварня́
36,Fuß::N,хӏетӏ,йол
37,Fuß::N,хӏетӏ,йолкопа́
38,Fuß::N,хӏетӏе,йол
39,Fuß::N,хӏетӏе,йолкопа́
40,Ferse::N,эгъе,тага́н
41,Knie::N,наку,пулву́й
42,Oberschenkel::N,мачӏ,э́рде
43,Bein::N,бох,йол
44,Körper::N,къаркъала,кап
45,Haut::N,тӏом,кова́ште
46,Blut::N,би,вӱр
47,Ader::N,бидурихь,шӧн
48,Knochen::N,ракьа,лу
49,Gehirn::N,гӏадалнах,вем
50,Gehirn::N,гӏадалнах,вуйве́м
51,Herz::N,ракӏ,шӱм
52,Magen::N,кванирукъ,пага́р
53,Leber::N,тӏул,мокш
54,Atem::N,хӏухь,шӱ́лыш
55,Hunger::N,ракъи,шужыма́ш
56,Träne::N,магӏу,шинчавӱ́д
57,Geschmack::N,тату,там
58,Geruch::N,махӏ,пуш
59,Schlaf::N,макьу,о́мо
60,Traum::N,макьу,йӱдо́мо
61,Himmel::N,зоб,кава́
62,Sonne::N,бакъ,ке́че
63,Mond::N,моцӏ,ты́лзе
64,Stern::N,цӏва,шӱ́дыр
65,Luft::N,гьава,юж
66,Wind::N,гьури,марде́ж
67,Welle::N,карачел,то́лкын
68,Wasser::N,лъим,вӱд
69,Stein::N,гьецӏо,кӱ
70,Boden::N,ракь,рок
71,Erde::N,ракь,мла́нде
72,Erde::N,дуниял,мла́нде
73,Staub::N,хӏур,пура́к
74,Rauch::N,кӏкӏуй,шикш
75,Feuer::N,цӏа,тул
76,Licht::N,канлъи,со́то
77,Schatten::N,рагӏад,ӱ́мыл
78,Wetter::N,гьава-бакъ,иге́че
79,Nebel::N,гӏодобнакӏкӏ,тӱтыра́
80,Wolke::N,накӏкӏ,пыл
81,Regen::N,цӏад,йӱр
82,Schnee::N,гӏазу,лум
83,Eis::N,цӏер,ий
84,Frost::N,замгьари,чатлама́
85,Kälte::N,квач,йӱ́штӧ
86,Hitze::N,багӏари,шо́кшо
87,Raureif::N,мартӏ,пӧрш
88,Raureif::N,мартӏ,по́кшым
89,Regenbogen::N,нур,шонанпы́л
90,Regenbogen::N,чамбара,шонанпы́л
91,Donner::N,гъугъай,кӱ́дырчӧ
92,Donner::N,гъугъади,кӱ́дырчӧ
93,Strömung::N,чвахи,йо́гын
94,Tropfen::N,резел,чӱча́лтыш
95,Tropfen::N,тӏинкӏ,чӱча́лтыш
96,Tropfen::N,къатӏра,чӱча́лтыш
97,Tropfen::N,тӏенкӏел,чӱча́лтыш
98,Schaum::N,полоп,шоҥ
99,Schmutz::N,чороклъи,лавыра́
100,See::N,хӏор,ер
101,Sumpf::N,хьуцӏ,лӱ́кӧ
102,Wiese::N,мегъ,о́лык
103,Wiese::N,гӏурдаллъи,о́лык
104,Wald::N,рохь,чодыра́
105,Hügel::N,гохӏ,арка́
106,Anhöhe::N,сийитма,тӧва́
107,Anhöhe::N,сийитма,кӱкшака́
108,Berg::N,мегӏер,ку́рык
109,Gipfel::N,тӏогь,чаҥга́
110,Gipfel::N,тӏогь,курыкву́й
111,Höhle::N,нохъо,пеще́р
112,Höhle::N,нохъо,курыкпо́мыш
113,Abhang::N,лабаллъи,та́йыл
114,Quelle::N,ицц,важ
115,Quelle::N,ицц,вӱдшинча́
116,Bach::N,лъар,изэҥе́р
117,Fluss::N,гӏор,эҥе́р
118,Ufer::N,рагӏал,сер
119,Küste::N,рагӏал,вӱдтӱ́р
120,Festland::N,ракь,мла́нде
121,Festland::N,ракъдаллъи,мла́нде
122,Meer::N,ралъад,те́ҥыз
123,Bucht::N,кӏветӏ,икса́
124,Insel::N,чӏинкӏиллъи,отро́
125,Blume::N,тӏегь,пеле́дыш
126,Gras::N,хер,шу́до
127,Wurzel::N,кьибил,вож
128,Baum::N,гъветӏ,пуше́ҥге
129,Stamm::N,рохти,йы́тыр
130,Rinde::N,макъар,шӱм
131,Ast::N,ноцӏ,укш
132,Zweig::N,гӏаркьел,торма́к
133,Blatt::N,тӏамах,лышта́ш
134,Birke::N,мах,куэ́
135,Birke::N,махигъветӏ,куэ́
136,Kiefer[Baum]::N,накӏкӏигъветӏ,пӱ́нчӧ
137,Weide[Baum]::N,рицӏцӏ,уа́
138,Weide[Baum]::N,рицӏцӏигъветӏ,уа́
139,Tanne::N,ёлка,кож
140,Horn::N,лълъар,шур
141,Feder::N,хӏули,пы́стыл
142,Fell::N,тӏом,кова́ште
143,Fell::N,цӏоко,кова́ште
