,Concept_ID,no,zh
0,Auge::N,øye,眼睛
1,Ohr::N,øre,耳朵
2,Nase::N,nese,鼻子
3,Mund::N,munn,嘴
4,Zahn::N,tann,牙齿
5,Zunge::N,tunge,舌头
6,Lippe::N,leppe,嘴唇
7,Wange::N,kinn,面颊
8,Gesicht::N,fjes,脸
9,Gesicht::N,ansikt,脸
10,Stirn::N,panne,额
11,Haar::N,hår,头发
12,Schnurrbart::N,bart,髭须
13,Bart::N,skjegg,胡子
14,Kinn::N,hake,下巴
15,Kiefer[Anatomie]::N,kjeve,颌
16,Kehle::N,strupe,嗓子
17,Hals::N,hals,颈
18,Genick::N,nakke,后颈
19,Kopf::N,hode,头
20,Rücken::N,rygg,背
21,Bauch::N,buk,肚子
22,Bauch::N,mage,肚子
23,Nabel::N,navle,肚脐
24,Busen::N,barm,胸脯
25,Brust::N,bryst,胸
26,Schulter::N,skulder,肩膀
27,Arm::N,arm,臂膀
28,Ellenbogen::N,albue,肘
29,Hand::N,hånd,手
30,Handfläche::N,håndflate,手掌
31,Finger::N,finger,手指
32,Fingernagel::N,fingernegl,指甲
33,Nagel[Anatomie]::N,negl,指甲
34,Zeh::N,tå,脚趾
35,Fuß::N,fot,脚
36,Ferse::N,hæl,后跟
37,Knie::N,kne,膝
38,Oberschenkel::N,lår,大腿
39,Bein::N,bein,腿
40,Körper::N,kropp,身体
41,Körper::N,legeme,身体
42,Haut::N,hud,皮肤
43,Haut::N,skinn,皮肤
44,Blut::N,blod,血
45,Ader::N,åre,血管
46,Sehne::N,sene,腱
47,Knochen::N,bein,骨
48,Knochen::N,knokkel,骨
49,Gehirn::N,hjerne,脑
50,Herz::N,hjerte,心
51,Magen::N,mage,胃
52,Leber::N,lever,肝
53,Atem::N,pust,呼吸
54,Hunger::N,sult,饿
55,Träne::N,tåre,眼泪
56,Geschmack::N,smak,味道
57,Geruch::N,lukt,气味
58,Schlaf::N,søvn,睡眠
59,Traum::N,drøm,梦
60,Himmel::N,himmel,天空
61,Sonne::N,sol,太阳
62,Mond::N,måne,月亮
63,Stern::N,stjerne,星
64,Luft::N,luft,空气
65,Wind::N,vind,风
66,Welle::N,bølge,波
67,Wasser::N,vann,水
68,Stein::N,stein,石头
69,Boden::N,bakke,地面
70,Erde::N,jord,地
71,Staub::N,støv,灰尘
72,Rauch::N,røyk,烟
73,Funke::N,gnist,火花
74,Feuer::N,ild,火
75,Licht::N,lys,光
76,Schatten::N,skygge,影子
77,Wetter::N,vær,天气
78,Nebel::N,tåke,雾
79,Wolke::N,sky,云
80,Regen::N,regn,雨
81,Schnee::N,snø,雪
82,Eis::N,is,冰
83,Frost::N,frost,霜冻
84,Kälte::N,kulde,寒冷
85,Hitze::N,hete,炎热
86,Raureif::N,rimfrost,霜
87,Regenbogen::N,regnbue,虹
88,Donner::N,torden,雷
89,Strömung::N,strømning,水流
90,Tropfen::N,dråpe,滴
91,Schaum::N,skum,泡沫
92,Schmutz::N,søl,赃物
93,Schmutz::N,skitt,赃物
94,See::N,sjø,湖
95,Sumpf::N,sump,沼泽
96,Sumpf::N,myrlende,沼泽
97,Moor::N,myr,沼泽
98,Moor::N,myrhei,沼泽
99,Wiese::N,eng,草地
100,Wald::N,skog,森林
101,Hügel::N,haug,丘陵
102,Hügel::N,bakke,丘陵
103,Anhöhe::N,haug,山丘
104,Anhöhe::N,bakke,山丘
105,Berg::N,berg,山
106,Berg::N,fjell,山
107,Gipfel::N,topp,峰
108,Höhle::N,hule,洞穴
109,Abhang::N,li,斜坡
110,Abhang::N,skråning,斜坡
111,Quelle::N,kilde,泉
112,Bach::N,bekk,溪
113,Fluss::N,elv,河流
114,Ufer::N,bredd,岸
115,Küste::N,kyst,海岸
116,Festland::N,fastland,大陆
117,Meer::N,hav,海
118,Bucht::N,bukt,海湾
119,Insel::N,øy,岛
120,Blume::N,blomst,花
121,Gras::N,gress,草
122,Wurzel::N,rot,根
123,Baum::N,tre,树
124,Stamm::N,stamme,树干
125,Rinde::N,bark,树皮
126,Ast::N,gren,树枝
127,Zweig::N,kvist,树枝
128,Blatt::N,blad,叶子
129,Birke::N,bjørk,桦木
130,Kiefer[Baum]::N,furu,松树
131,Weide[Baum]::N,selje,柳树
132,Weide[Baum]::N,piletre,柳树
133,Tanne::N,gran,冷杉
134,Horn::N,horn,角
135,Feder::N,fjær,羽毛
136,Fell::N,skinn,皮毛
137,Flügel::N,vinge,翅膀
138,Klaue::N,klauv,爪子
139,Kralle::N,klo,爪子
140,Schwanz::N,hale,尾巴
141,Ei::N,egg,蛋
142,Nest::N,rede,巢
143,Bau::N,hi,穴
144,Tier::N,dyr,动物
145,Herde::N,flokk,群
146,Kuh::N,ku,母牛
147,Bulle::N,tyr,公牛
148,Pferd::N,hest,马
149,Schaf::N,får,羊
150,Schwein::N,gris,猪
151,Hund::N,hund,狗
152,Katze::N,katt,猫
153,Bär::N,bjørn,熊
154,Eichhörnchen::N,ekorn,松鼠
155,Elch::N,elg,麋鹿
156,Fuchs::N,rev,狐狸
157,Hase::N,hare,兔子
158,Maus::N,mus,老鼠
159,Wolf::N,ulv,狼
160,Wolf::N,varg,狼
161,Vogel::N,fugl,鸟
162,Schwarm::N,sverm,群
163,Huhn::N,høne,鸡
164,Hahn::N,hane,公鸡
165,Gans::N,gås,鹅
166,Adler::N,ørn,鹰
167,Ente::N,and,鸭
168,Eule::N,ugle,猫头鹰
169,Kranich::N,trane,鹤
170,Krähe::N,kråke,乌鸦
171,Kuckuck::N,gjøk,布谷鸟
172,Schwan::N,svane,天鹅
173,Fisch::N,fisk,鱼
174,Barsch::N,abbor,鲈鱼
175,Hecht::N,gjedde,狗鱼
176,Schlange[Tier]::N,orm,蛇
177,Schlange[Tier]::N,slange,蛇
178,Wurm::N,orm,蠕虫
179,Wurm::N,mark,蠕虫
180,Spinne::N,edderkopp,蜘蛛
181,Ameise::N,maur,蚂蚁
182,Laus::N,lus,虱子
183,Mücke::N,mygg,蚊子
184,Fliege::N,flue,苍蝇
185,Schmetterling::N,sommerfugl,蝴蝶
186,Beere::N,bær,将果
187,Apfel::N,eple,苹果
188,Pilz::N,sopp,蘑菇
189,Zwiebel::N,løk,洋葱
190,Saat::N,sæd,种子
191,Korn::N,korn,谷粒
192,Heu::N,høy,干草
193,Schale::N,skall,壳
194,Grube::N,grop,坑
195,Falle::N,felle,圈套
196,Schlinge::N,snare,活扣
197,Spur::N,spor,踪迹
198,Asche::N,aske,灰烬
199,Dreck::N,møkk,污垢
200,Dreck::N,skitt,污垢
201,Eisen::N,jern,铁
202,Gold::N,gull,金子
203,Silber::N,sølv,银
204,Kohle::N,kol,煤
205,Kohle::N,kull,煤
206,Glas::N,glass,玻璃
207,Lehm::N,leire,粘土
208,Sand::N,sand,沙
209,Mensch::N,menneske,人
210,Mann::N,mann,男子
211,Frau::N,kvinne,妇女
212,Kind::N,barn,小孩
213,Junge::N,gutt,男孩
214,Mädchen::N,pike,女孩
215,Mädchen::N,jente,女孩
216,Familie::N,familie,家庭
217,Großvater::N,bestefar,祖父
218,Großmutter::N,bestemor,祖母
219,Eltern::N,foreldre,父母
220,Vater::N,far,父亲
221,Mutter::N,mor,母亲
222,Sohn::N,sønn,儿子
223,Tochter::N,datter,女儿
224,Bruder::N,bror,兄弟
225,Schwester::N,søster,姐妹
226,Onkel::N,onkel,伯父
227,Tante::N,tante,阿姨
228,Ehemann::N,ektemann,丈夫
229,Ehefrau::N,hustru,妻子
230,Freude::N,glede,愉快
231,Gelächter::N,latter,大笑
232,Glück::N,lykke,运气
233,Kummer::N,sorg,苦恼
234,Wunsch::N,ønske,愿望
235,Lust::N,lyst,乐趣
236,Geist::N,ånd,精神
237,Gedanke::N,tanke,思想
238,Gedächtnis::N,minne,记性
239,Gedächtnis::N,hukommelse,记性
240,Verstand::N,forstand,理智
241,Sinn::N,mening,感觉
242,Sinn::N,betydning,感觉
243,Grund::N,grunn,理由
244,Wahrheit::N,sannhet,真理
245,Gespräch::N,samtale,谈话
246,Märchen::N,eventyr,童话
247,Erzählung::N,fortelling,故事
248,Nachricht::N,melding,消息
249,Neuigkeit::N,nyhet,新闻
250,Name::N,navn,名字
251,Rätsel::N,gåte,谜语
252,Rede::N,tale,讲话
253,Sprache::N,språk,语言
254,Stimme::N,stemme,声音
255,Wort::N,ord,词
256,Zeichen::N,tegn,标记
257,Ruf::N,rop,呼喊
258,Lärm::N,bråk,噪音
259,Laut::N,lyd,响声
260,Ton::N,tone,声音
261,Lied::N,vise,歌曲
262,Ruhe::N,ro,安静
263,Leute::N,folk,人们
264,Volk::N,folk,人民
265,Arbeit::N,arbeid,劳动
266,Gast::N,gjest,客人
267,Geschenk::N,gave,礼物
268,Spiel::N,lek,游戏
269,Spiel::N,spill,游戏
270,Gesellschaft::N,selskap,陪同
271,Hilfe::N,hjelp,帮助
272,Freund::N,venn,朋友
273,Kamerad::N,kamerat,同志
274,Angelegenheit::N,sak,事情
275,Angelegenheit::N,anliggende,事情
276,Anzahl::N,antall,数目
277,Art::N,art,种类
278,Art::N,slag,种类
279,Stück::N,stykke,块
280,Teil::N,del,部分
281,Hälfte::N,halvdel,一半
282,Kreis::N,ring,圆
283,Kreis::N,sirkel,圆
284,Kreuz::N,kors,十字架
285,Kreuz::N,kryss,十字架
286,Linie::N,linje,线条
287,Strich::N,strek,划
288,Abstand::N,avstand,距离
289,Entfernung::N,avstand,距离
290,Gegend::N,strøk,地区
291,Platz::N,plass,场所
292,Ort::N,sted,地点
293,Seite::N,side,面
294,Mitte::N,midte,中间
295,Gegenstand::N,gjenstand,物品
296,Sache::N,sak,物
297,Rand::N,rand,边
298,Kante::N,kant,棱
299,Ecke::N,hjørne,角
300,Spitze::N,spiss,尖
301,Ende::N,ende,结尾
302,Loch::N,hull,洞
303,Winkel::N,vinkel,角度
304,Muster::N,mønster,模型
305,Größe::N,størrelse,大小
306,Länge::N,lengde,长度
