,Concept_ID,hr,ml
0,Auge::N,oko,കണ്ണ്
1,Ohr::N,uho,ചെവി
2,Nase::N,nos,മൂക്ക്
3,Mund::N,usta,വായ
4,Zahn::N,zub,പല്ല്
5,Zunge::N,jezik,നാക്ക്
6,Lippe::N,usna,ചുണ്ട്
7,Wange::N,obraz,കവിൾത്തടം
8,Gesicht::N,lice,മുഖം
9,Stirn::N,čelo,നെറ്റി
10,Haar::N,kosa,തലമുടി
11,Schnurrbart::N,brkovi,മീശ
12,Bart::N,brada,താടിരോമം
13,Kinn::N,brada,താടി
14,Kinn::N,podbradak,താടി
15,Kiefer[Anatomie]::N,čeljust,താടിയെല്ല്
16,Kehle::N,grlo,കണ്ഠനാളം
17,Hals::N,vrat,കഴുത്ത്
18,Genick::N,zatiljak,പിടലി
19,Kopf::N,glava,തല
20,Rücken::N,leđa,മുതുക്
21,Rücken::N,hrbat,മുതുക്
22,Bauch::N,trbuh,നയറ്
23,Nabel::N,pupak,നാഭി
24,Busen::N,sisa,സ്തനം
25,Busen::N,njedra,സ്തനം
26,Brust::N,prsa,സ്തനം
27,Schulter::N,rame,തോൾ
28,Schulter::N,pleći,തോൾ
29,Arm::N,ruka,കൈ
30,Ellenbogen::N,lakat,കൈമുട്ട്
31,Hand::N,ruka,കൈ
32,Handfläche::N,dlan,ഉള്ളം കൈ
33,Finger::N,prst,വിരൽ
34,Fingernagel::N,nokat,നഖം
35,Nagel[Anatomie]::N,nokat,നഖം
36,Zeh::N,nozni prst,കാൽവിരൽ
37,Fuß::N,noga,കാൽപ്പാദം
38,Fuß::N,stopalo,കാൽപ്പാദം
39,Ferse::N,peta,ഉപ്പൂറ്റി
40,Knie::N,koljeno,കാൽമുട്ട്
41,Oberschenkel::N,bedro,തുട
42,Bein::N,noga,കാൽ
43,Körper::N,tijelo,ശരീരം
44,Haut::N,put,ചർമ്മം
45,Haut::N,koža,ചർമ്മം
46,Blut::N,krv,രക്തം
47,Ader::N,žila,ഞരമ്പ്
48,Sehne::N,tetiva,സ്നായു
49,Knochen::N,kost,അസ്ഥി
50,Herz::N,srce,ഹൃദയം
51,Magen::N,stomak,വയർ
52,Magen::N,želudac,വയർ
53,Leber::N,jetra,കരൾ
54,Atem::N,dah,ശ്വാസം
55,Hunger::N,glad,വിശപ്പ്
56,Träne::N,suza,കണ്ണീർ
57,Geschmack::N,ukus,രുചി
58,Geruch::N,njuh,ഗന്ധം
59,Geruch::N,miris,ഗന്ധം
60,Schlaf::N,san,ഉറകും
61,Traum::N,san,സ്വപ്നം
62,Himmel::N,nebo,ആകാശം
63,Sonne::N,sunce,സൂര്യൻ
64,Mond::N,mjesec,ചന്ദ്രൻ
65,Stern::N,zvijezda,നക്ഷത്രം
66,Luft::N,zrak,കാറ്റ്
