,Concept_ID,fi,ga
0,Auge::N,silmä,súil
1,Ohr::N,korva,cluas
2,Nase::N,nenä,soc
3,Mund::N,suu,béal
4,Zahn::N,hammas,fiacail
5,Zunge::N,kieli,teanga
6,Lippe::N,huuli,liopa
7,Wange::N,poski,grua
8,Wange::N,poski,leiceann
9,Gesicht::N,naama,éadan
10,Gesicht::N,naama,aghaidh
11,Gesicht::N,kasvot,éadan
12,Gesicht::N,kasvot,aghaidh
13,Stirn::N,otsa,baithis
14,Stirn::N,otsa,clár éadain
15,Haar::N,hius,gruaig
16,Haar::N,tukka,gruaig
17,Schnurrbart::N,viikset,croiméal
18,Bart::N,parta,féasóg
19,Kinn::N,leuka,smig
20,Kiefer[Anatomie]::N,leukaluu,giall
21,Kehle::N,kurkku,scornach
22,Hals::N,kaula,muinéal
23,Genick::N,niska,baic
24,Kopf::N,pää,ceann
25,Rücken::N,selkä,droim
26,Bauch::N,maha,bolg
27,Bauch::N,vatsa,bolg
28,Nabel::N,napa,imleacán
29,Busen::N,rinta,cíoch
30,Brust::N,rinta,brollach
31,Schulter::N,olka,gualainn
32,Schulter::N,hartia,gualainn
33,Schulter::N,olkapää,gualainn
34,Arm::N,käsivarsi,lámh
35,Ellenbogen::N,kyynärpää,uillinn
36,Hand::N,käsi,lámh
37,Handfläche::N,kämmen,bos
38,Finger::N,sormi,méar
39,Fingernagel::N,kynsi,ionga
40,Nagel[Anatomie]::N,kynsi,ionga
41,Zeh::N,varvas,ladhar
42,Fuß::N,jalka,cos
43,Fuß::N,jalka,troigh
44,Ferse::N,kantapää,sáil
45,Knie::N,polvi,glúin
46,Oberschenkel::N,reisi,ceathrú
47,Bein::N,jalka,cos
48,Körper::N,keho,corp
49,Körper::N,keho,colainn
50,Körper::N,ruumis,corp
51,Körper::N,ruumis,colainn
52,Haut::N,iho,cneas
53,Haut::N,iho,craiceann
54,Blut::N,veri,fuil
55,Ader::N,suoni,
56,Sehne::N,jänne,teannán
57,Sehne::N,jänne,féitheog
58,Knochen::N,luu,cnámh
59,Gehirn::N,aivot,inchinn
60,Herz::N,sydän,croí
61,Magen::N,maha,bolg
62,Magen::N,maha,goile
63,Magen::N,vatsa,bolg
64,Magen::N,vatsa,goile
65,Leber::N,maksa,ae
66,Atem::N,henki,anáil
67,Atem::N,hengitys,anáil
68,Hunger::N,nälkä,ocras
69,Träne::N,kyynel,deoir
70,Geschmack::N,maku,blas
71,Geruch::N,haju,boladh
72,Schlaf::N,uni,suan
73,Schlaf::N,uni,codladh
74,Traum::N,uni,taibhreamh
75,Himmel::N,taivas,spéir
76,Sonne::N,aurinko,grian
77,Mond::N,kuu,ré
78,Mond::N,kuu,gealach
79,Stern::N,tähti,rinn
80,Stern::N,tähti,réalta
81,Luft::N,ilma,aer
82,Wind::N,tuuli,gaoth
83,Welle::N,aalto,tonn
84,Wasser::N,vesi,uisce
85,Stein::N,kivi,cloch
86,Boden::N,maa,talamh
87,Boden::N,maaperä,talamh
88,Erde::N,maa,cré
89,Erde::N,maa,ithir
90,Staub::N,pöly,dusta
91,Staub::N,pöly,deannach
92,Rauch::N,savu,toit
93,Rauch::N,savu,deatach
94,Funke::N,kipinä,drithle
95,Feuer::N,tuli,tine
96,Licht::N,valo,solas
97,Schatten::N,varjo,scáth
98,Wetter::N,sää,aimsir
99,Nebel::N,sumu,ceo
100,Wolke::N,pilvi,néal
101,Wolke::N,pilvi,scamall
102,Regen::N,sade,báisteach
103,Regen::N,sade,fearthainn
