,Concept_ID,av,ga
0,Ohr::N,гӏин,cluas
1,Nase::N,мегӏер,soc
2,Mund::N,кӏал,béal
3,Zahn::N,гӏус,fiacail
4,Zunge::N,мацӏ,teanga
5,Lippe::N,кӏветӏ,liopa
6,Wange::N,гӏоно,grua
7,Wange::N,гӏоно,leiceann
8,Gesicht::N,гьумер,éadan
9,Gesicht::N,гьумер,aghaidh
10,Stirn::N,нодо,baithis
11,Stirn::N,нодо,clár éadain
12,Haar::N,рас,gruaig
13,Schnurrbart::N,михъ,croiméal
14,Bart::N,мегеж,féasóg
15,Kinn::N,нилъу,smig
16,Kiefer[Anatomie]::N,чанагъ,giall
17,Kehle::N,щекъер,scornach
18,Hals::N,габур,muinéal
19,Genick::N,гъванща,baic
20,Kopf::N,бетӏер,ceann
21,Rücken::N,мугъ,droim
22,Bauch::N,чехь,bolg
23,Nabel::N,цӏину,imleacán
24,Busen::N,керен,cíoch
25,Brust::N,керен,brollach
26,Schulter::N,гъажазубетӏер,gualainn
27,Arm::N,гъеж,lámh
28,Ellenbogen::N,гӏункӏрукь,uillinn
29,Hand::N,квер,lámh
30,Handfläche::N,огъохъат,bos
31,Handfläche::N,жанисахъат,bos
32,Finger::N,килищ,méar
33,Fingernagel::N,малъ,ionga
34,Nagel[Anatomie]::N,малъ,ionga
35,Zeh::N,килищ,ladhar
36,Fuß::N,хӏетӏ,cos
37,Fuß::N,хӏетӏ,troigh
38,Fuß::N,хӏетӏе,cos
39,Fuß::N,хӏетӏе,troigh
40,Ferse::N,эгъе,sáil
41,Knie::N,наку,glúin
42,Oberschenkel::N,мачӏ,ceathrú
43,Bein::N,бох,cos
44,Körper::N,къаркъала,corp
45,Körper::N,къаркъала,colainn
46,Haut::N,тӏом,cneas
47,Haut::N,тӏом,craiceann
48,Blut::N,би,fuil
49,Ader::N,бидурихь,
50,Knochen::N,ракьа,cnámh
51,Gehirn::N,гӏадалнах,inchinn
52,Herz::N,ракӏ,croí
53,Magen::N,кванирукъ,bolg
54,Magen::N,кванирукъ,goile
55,Leber::N,тӏул,ae
56,Atem::N,хӏухь,anáil
57,Hunger::N,ракъи,ocras
58,Träne::N,магӏу,deoir
59,Geschmack::N,тату,blas
60,Geruch::N,махӏ,boladh
61,Schlaf::N,макьу,suan
62,Schlaf::N,макьу,codladh
63,Traum::N,макьу,taibhreamh
64,Himmel::N,зоб,spéir
65,Sonne::N,бакъ,grian
66,Mond::N,моцӏ,ré
67,Mond::N,моцӏ,gealach
68,Stern::N,цӏва,rinn
69,Stern::N,цӏва,réalta
70,Luft::N,гьава,aer
71,Wind::N,гьури,gaoth
72,Welle::N,карачел,tonn
73,Wasser::N,лъим,uisce
74,Stein::N,гьецӏо,cloch
75,Boden::N,ракь,talamh
76,Erde::N,ракь,cré
77,Erde::N,ракь,ithir
78,Erde::N,дуниял,cré
79,Erde::N,дуниял,ithir
80,Staub::N,хӏур,dusta
81,Staub::N,хӏур,deannach
82,Rauch::N,кӏкӏуй,toit
83,Rauch::N,кӏкӏуй,deatach
84,Feuer::N,цӏа,tine
85,Licht::N,канлъи,solas
86,Schatten::N,рагӏад,scáth
87,Wetter::N,гьава-бакъ,aimsir
88,Nebel::N,гӏодобнакӏкӏ,ceo
89,Wolke::N,накӏкӏ,néal
90,Wolke::N,накӏкӏ,scamall
91,Regen::N,цӏад,báisteach
92,Regen::N,цӏад,fearthainn
93,Schnee::N,гӏазу,sneachta
94,Eis::N,цӏер,oighear
95,Frost::N,замгьари,sioc
96,Kälte::N,квач,fuacht
97,Hitze::N,багӏари,teas
98,Hitze::N,багӏари,teocht
99,Raureif::N,мартӏ,sioc bán
100,Regenbogen::N,нур,stua ceatha
101,Regenbogen::N,нур,bogha báistí
102,Regenbogen::N,чамбара,stua ceatha
103,Regenbogen::N,чамбара,bogha báistí
104,Donner::N,гъугъай,toirneach
105,Donner::N,гъугъади,toirneach
106,Strömung::N,чвахи,sruth
107,Tropfen::N,резел,deoir
108,Tropfen::N,тӏинкӏ,deoir
109,Tropfen::N,къатӏра,deoir
110,Tropfen::N,тӏенкӏел,deoir
111,Schaum::N,полоп,cúr
112,Schmutz::N,чороклъи,salachar
113,See::N,хӏор,loch
114,Sumpf::N,хьуцӏ,portach
115,Wiese::N,мегъ,cluain
116,Wiese::N,мегъ,móinéar
117,Wiese::N,гӏурдаллъи,cluain
118,Wiese::N,гӏурдаллъи,móinéar
119,Wald::N,рохь,coill
120,Wald::N,рохь,foraois
121,Hügel::N,гохӏ,ard
122,Anhöhe::N,сийитма,ard
123,Anhöhe::N,сийитма,ardán
124,Berg::N,мегӏер,sliabh
125,Gipfel::N,тӏогь,barr
126,Gipfel::N,тӏогь,mullach
127,Höhle::N,нохъо,uaimh
128,Höhle::N,нохъо,pluais
129,Abhang::N,лабаллъи,fána
130,Quelle::N,ицц,foinse
131,Bach::N,лъар,sruthán
132,Fluss::N,гӏор,abhainn
133,Ufer::N,рагӏал,bruach
134,Küste::N,рагӏал,cósta
135,Küste::N,рагӏал,cladach
136,Festland::N,ракь,míntír
137,Festland::N,ракъдаллъи,míntír
138,Meer::N,ралъад,muir
139,Meer::N,ралъад,farraige
140,Bucht::N,кӏветӏ,bá
141,Bucht::N,кӏветӏ,cuan
142,Insel::N,чӏинкӏиллъи,inis
143,Insel::N,чӏинкӏиллъи,oileán
144,Blume::N,тӏегь,bláth
145,Gras::N,хер,féar
146,Wurzel::N,кьибил,rúta
147,Wurzel::N,кьибил,fréamh
148,Baum::N,гъветӏ,crann
149,Stamm::N,рохти,stoc
150,Stamm::N,рохти,tamhan
151,Rinde::N,макъар,coirt
152,Rinde::N,макъар,craiceann
153,Ast::N,ноцӏ,géag
