,Concept_ID,os,ja
0,Auge::N,цӕст,目
1,Ohr::N,хъус,耳
2,Nase::N,фындз,鼻
3,Mund::N,дзых,口
4,Zahn::N,дӕндаг,歯
5,Zunge::N,ӕвзаг,舌
6,Lippe::N,был,唇
7,Wange::N,рус,頬
8,Wange::N,уадул,頬
9,Wange::N,ӕхсӕрфарс,頬
10,Gesicht::N,цӕсгом,顔
11,Stirn::N,ных,額
12,Haar::N,хил,髪
13,Schnurrbart::N,рихи,口髭
14,Bart::N,зачъе,髭
15,Kinn::N,роцъо,顎
16,Kiefer[Anatomie]::N,ӕфсӕр,顎
17,Kehle::N,хъуыр,喉
18,Hals::N,къубал,首
19,Genick::N,къӕбут,首
20,Kopf::N,сӕр,頭
21,Rücken::N,фӕсонтӕ,背中
22,Bauch::N,гуыбын,腹
23,Bauch::N,гуыбын,お腹
24,Nabel::N,бикъ,へそ
25,Busen::N,дзидзи,乳房
26,Brust::N,риу,胸
27,Schulter::N,уӕхск,肩
28,Arm::N,цонг,腕
29,Ellenbogen::N,рæмбын,肘
30,Hand::N,къух,手
31,Handfläche::N,армытъӕпӕн,手のひら
32,Finger::N,ӕнруылдз,指
33,Fingernagel::N,ных,爪
34,Nagel[Anatomie]::N,ных,爪
35,Zeh::N,къух,足の指
36,Fuß::N,фад,足
37,Ferse::N,зӕвӕт,かかと
38,Knie::N,уӕраг,膝
39,Oberschenkel::N,агъд,上腿
40,Bein::N,зӕнг,足
41,Körper::N,буар,体
42,Haut::N,царм,皮膚
43,Blut::N,туг,血
44,Ader::N,дадзин,血管
45,Ader::N,тугдадзин,血管
46,Sehne::N,хъиутæ,腱
47,Sehne::N,нуар,腱
48,Knochen::N,стӕг,骨
49,Gehirn::N,магъз,脳
50,Herz::N,зӕрдӕ,心
51,Herz::N,зӕрдӕ,心臓
52,Magen::N,ахсӕн,胃
53,Leber::N,игæр,肝臓
54,Atem::N,улӕфт,息
55,Atem::N,улӕфт,呼吸
56,Hunger::N,стонг,空腹
57,Träne::N,цæссыг,涙
58,Geschmack::N,ад,味
59,Geruch::N,смаг,匂い
60,Schlaf::N,хуыссӕг,睡眠
61,Traum::N,фын,夢
62,Himmel::N,арв,空
63,Himmel::N,уӕларв,空
64,Sonne::N,хур,太陽
65,Mond::N,мӕй,月
66,Stern::N,стъалы,星
67,Luft::N,уӕлдӕф,空気
68,Wind::N,дымгӕ,風
69,Welle::N,уылӕн,波
70,Wasser::N,дон,水
71,Stein::N,дур,石
72,Boden::N,зӕхх,土地
73,Erde::N,сыджыт,土
74,Staub::N,рыг,埃
75,Rauch::N,фӕздӕг,煙
76,Funke::N,цӕхӕр,火花
77,Feuer::N,зынг,火
78,Licht::N,рухс,光
79,Schatten::N,аууон,陰
80,Wetter::N,боныхъӕд,天気
81,Nebel::N,мигъ,霧
82,Wolke::N,ӕврагъ,雲
