,Concept_ID,fa,ca
0,Auge::N,چشم,ull
1,Ohr::N,گوش,orella
2,Nase::N,بینی,nas
3,Mund::N,دهان,boca
4,Zahn::N,دندان,dent
5,Zunge::N,زبان,llēngua
6,Lippe::N,لب,llavi
7,Wange::N,لپ,galta
8,Gesicht::N,رو,cara
9,Gesicht::N,چهره,cara
10,Stirn::N,پیشانی,front
11,Haar::N,مو,cabēll
12,Schnurrbart::N,سبیل,bigoti
13,Bart::N,ریش,barba
14,Kinn::N,چانه,mentó
15,Kinn::N,چانه,barbeta
16,Kiefer[Anatomie]::N,فک,queix
17,Kiefer[Anatomie]::N,فک,mandíbula
18,Kiefer[Anatomie]::N,آرواره,queix
19,Kiefer[Anatomie]::N,آرواره,mandíbula
20,Kehle::N,حلق,gola
21,Kehle::N,حلق,gorja
22,Hals::N,گردن,coll
23,Genick::N,پشت گردن,nuca
24,Kopf::N,سر,cap
25,Kopf::N,کله,cap
26,Rücken::N,پشت,esquena
27,Bauch::N,شکم,panxa
28,Nabel::N,ناف,llombrígol
29,Busen::N,پستان,pit
30,Busen::N,پستان,mama
31,Brust::N,سینه,pit
32,Schulter::N,دوش,espatlla
33,Schulter::N,شانه,espatlla
34,Arm::N,بازو,braç
35,Ellenbogen::N,آرنج,colze
36,Hand::N,دست,mà
37,Handfläche::N,کف دست,palma
38,Finger::N,انگشت,dit
39,Fingernagel::N,ناخن دست,ungla
40,Nagel[Anatomie]::N,ناخن,ungla
41,Zeh::N,انگشت پا,dit del peu
42,Fuß::N,پا,peu
43,Ferse::N,پاشنه,taló
44,Knie::N,زانو,genoll
45,Oberschenkel::N,ران,cuixa
46,Bein::N,پا,cama
47,Bein::N,لنگ,cama
48,Körper::N,تن,cos
49,Körper::N,بدن,cos
50,Haut::N,پوست,pell
51,Blut::N,خون,sang
52,Ader::N,رگ,vena
53,Sehne::N,زردپی,tendó
54,Knochen::N,استخوان,os
55,Gehirn::N,مخ,cervell
56,Gehirn::N,مغز,cervell
57,Herz::N,دل,cor
58,Herz::N,قلب,cor
59,Magen::N,معده,estómac
60,Leber::N,کبد,fetge
61,Atem::N,نفس,alè
62,Atem::N,نفس,hàlit
63,Hunger::N,گرسنگی,fam
64,Hunger::N,گرسنگی,gana
65,Träne::N,اشک,llàgrima
66,Geschmack::N,مزه,gust
67,Geschmack::N,مزه,sabor
68,Geruch::N,بو,olor
69,Schlaf::N,خواب,son
70,Traum::N,رؤیا,somni
71,Himmel::N,فلک,celm
72,Himmel::N,آسمان,celm
73,Sonne::N,آفتاب,sol
74,Sonne::N,خورشید,sol
75,Mond::N,ماه,lluna
76,Stern::N,ستاره,estel
77,Stern::N,ستاره,estrella
78,Luft::N,هوا,aire
79,Wind::N,باد,vent
80,Welle::N,موج,ona
81,Wasser::N,آب,āigua
82,Stein::N,سنگ,pedra
83,Boden::N,زمین,sòl
84,Erde::N,خاک,terra
85,Erde::N,زمین,terra
86,Staub::N,گرد,pols
87,Staub::N,غبار,pols
88,Rauch::N,دود,fum
89,Funke::N,جرقه,guspira
90,Funke::N,جرقه,centella
91,Feuer::N,آتش,foc
92,Licht::N,نور,llum
93,Licht::N,روشنی,llum
94,Schatten::N,سایه,ombra
95,Wetter::N,هوا,temps
96,Nebel::N,مه,boira
97,Wolke::N,ابر,núvol
98,Regen::N,باران,pluja
99,Schnee::N,برف,neu
100,Eis::N,یخ,gel
101,Eis::N,یخ,glaç
102,Frost::N,یخبندان,glaçada
103,Kälte::N,سرما,fred
104,Hitze::N,گرما,calor
105,Hitze::N,حرارت,calor
106,Raureif::N,برف ریزه,gebre
107,Regenbogen::N,رنگین‌کمان,arc iris
108,Donner::N,رعد,tro
109,Strömung::N,جریان,corrent
110,Tropfen::N,قطره,gota
111,Schaum::N,کف,escuma
112,Schmutz::N,گل,brutícia
113,Schmutz::N,کثافت,brutícia
114,See::N,دریاچه,llac
115,Sumpf::N,مرداب,pantà
116,Sumpf::N,باتلاق,pantà
117,Moor::N,باتلاق,pantà
118,Wiese::N,چمن,prat
119,Wiese::N,چمن,prada
120,Wald::N,جنگل,bosc
121,Hügel::N,تل,puig
122,Hügel::N,تل,pujol
123,Hügel::N,تپه,puig
124,Hügel::N,تپه,pujol
125,Anhöhe::N,بلندی,turó
126,Berg::N,کوه,muntanya
127,Gipfel::N,قله,cim
128,Höhle::N,غار,cova
129,Abhang::N,سرازیری,coster
130,Quelle::N,چشمه,font
131,Bach::N,نهر,riera
132,Fluss::N,رود,riu
133,Ufer::N,ساحل,riba
134,Ufer::N,کرانه,riba
135,Küste::N,ساحل,costa
136,Festland::N,خشکی,terra ferma
137,Meer::N,دریا,mar
138,Bucht::N,خلیج,cala
139,Bucht::N,خلیج,badia
140,Insel::N,جزیره,illa
141,Blume::N,گل,flor
142,Gras::N,علف,herba
143,Wurzel::N,ریشه,rel
144,Wurzel::N,ریشه,arrel
145,Baum::N,درخت,arbre
146,Stamm::N,تنه,tronc
147,Rinde::N,توژ,escorça
148,Rinde::N,پوست,escorça
149,Ast::N,شاخه,branca
150,Zweig::N,شاخه,ram
151,Blatt::N,برگ,fulla
152,Birke::N,غان,bedoll
153,Kiefer[Baum]::N,کاج,pi
154,Weide[Baum]::N,بید,salze
155,Tanne::N,صنوبر,avet
156,Horn::N,شاخ,corn
157,Horn::N,شاخ,banya
158,Feder::N,پر,ploma
159,Fell::N,خز,pell
160,Flügel::N,پر,ala
161,Flügel::N,بال,ala
162,Klaue::N,چنگ,urpa
163,Klaue::N,پنجه,urpa
164,Kralle::N,پنجه,grapa
165,Schwanz::N,دم,cua
166,Ei::N,تخم,ou
167,Nest::N,لانه,niu
168,Bau::N,بنا,cau
169,Bau::N,ساختمان,cau
170,Tier::N,هیوان,animāl
171,Herde::N,رمه,ramat
172,Kuh::N,گاو,vaca
173,Bulle::N,گاو نر,toro
174,Pferd::N,اسب,cavāll
175,Schaf::N,گوسفند,be
176,Schaf::N,گوسفند,ovella
177,Schwein::N,خوک,bacó
178,Hund::N,سگ,ca
179,Hund::N,سگ,gos
180,Katze::N,گربه,gat
181,Bär::N,خرس,ós
182,Eichhörnchen::N,سنجاب,esquirol
183,Elch::N,گوزن شمالی,ant
184,Fuchs::N,روباه,guilla
185,Hase::N,خرگوش,llebre
186,Maus::N,موش,ratolí
187,Wolf::N,گرگ,llop
188,Vogel::N,پرنده,au
189,Vogel::N,پرنده,ocēll
190,Schwarm::N,دسته,bandada
191,Huhn::N,مرغ,gallina
192,Hahn::N,خروس,gall
193,Gans::N,غاز,oca
194,Adler::N,عقاب,àguila
195,Ente::N,اردک,ànec
196,Ente::N,مرغابی,ànec
197,Eule::N,جغد,òliba
198,Eule::N,جغد,mussol
199,Kranich::N,درنا,grua
200,Krähe::N,زاغ,cornella
201,Krähe::N,کلاغ,cornella
202,Kuckuck::N,فاخته,cucut
203,Schwan::N,قو,cigne
204,Fisch::N,ماهی,peix
205,Barsch::N,ماهی خاردار,perca
206,Hecht::N,اردک ماهی,lluç
207,Schlange[Tier]::N,مار,serp
208,Wurm::N,کرم,cuc
209,Spinne::N,عنکبوت,aranya
210,Ameise::N,مورچه,formiga
211,Laus::N,شپش,poll
212,Mücke::N,پشه,mosquit
213,Fliege::N,مگس,mosca
214,Schmetterling::N,پروانه,papallona
215,Beere::N,گیله,baia
216,Apfel::N,سیب,poma
217,Pilz::N,قارچ,bolet
218,Zwiebel::N,پیاز,ceba
219,Saat::N,بذر,sembra
220,Korn::N,تخم,gra
221,Korn::N,دانه,gra
222,Heu::N,علف خشک,fenc
223,Schale::N,پوست,closca
224,Grube::N,گودال,sot
225,Grube::N,گودال,clot
226,Falle::N,دام,trampa
227,Schlinge::N,حلقه,baga
228,Spur::N,رد,traça
229,Asche::N,خاکستر,cendra
230,Dreck::N,کثافت,llot
231,Eisen::N,آهن,ferro
232,Gold::N,زر,or
233,Gold::N,طلا,or
234,Silber::N,نقره,plata
235,Kohle::N,زغال,carbó
236,Glas::N,شیشه,vidre
237,Lehm::N,گل,fang
238,Lehm::N,گل,argila
239,Sand::N,شن,arena
240,Sand::N,ماسه,arena
241,Mensch::N,آدم,humà
242,Mensch::N,آدم,persona
243,Mensch::N,انسان,humà
244,Mensch::N,انسان,persona
245,Mann::N,مرد,home
246,Frau::N,زن,dona
247,Kind::N,بچه,nen
248,Kind::N,کودک,nen
249,Junge::N,پسر,noi
250,Mädchen::N,دختر,noia
251,Familie::N,فامیل,família
252,Familie::N,خانواده,família
253,Großvater::N,پدربزرگ,avi
254,Großmutter::N,مادر‌بزرگ,àvia
255,Eltern::N,والدین,pares
256,Eltern::N,پدر‌و‌مادر,pares
257,Vater::N,پدر,pare
258,Mutter::N,مادر,mare
259,Sohn::N,پسر,fill
260,Tochter::N,دختر,filla
261,Bruder::N,برادر,germà
262,Schwester::N,خواهر,germana
263,Onkel::N,عمو,oncle
264,Onkel::N,دایی,oncle
265,Tante::N,عمه,tia
266,Tante::N,خاله,tia
267,Ehemann::N,همسر,espòs
268,Ehefrau::N,همسر,muller
269,Freude::N,شادی,goig
270,Freude::N,شادی,alegria
271,Gelächter::N,خنده,riallada
272,Gelächter::N,قاه‌قاه,riallada
273,Glück::N,اقبال,felicitat
274,Kummer::N,غم,pena
275,Kummer::N,غصه,pena
276,Wunsch::N,آرزو,desig
277,Lust::N,هوس,ganes
278,Geist::N,روح,ment
279,Geist::N,روح,esperit
280,Gedanke::N,فکر,pensament
281,Gedächtnis::N,حافظه,memòria
282,Verstand::N,هوش,raó
283,Verstand::N,هوش,seny
284,Sinn::N,معنا,solta
285,Sinn::N,معنا,sentit
286,Sinn::N,مفهوم,solta
287,Sinn::N,مفهوم,sentit
288,Grund::N,سبب,raó
289,Grund::N,سبب,causa
290,Grund::N,دلیل,raó
291,Grund::N,دلیل,causa
292,Wahrheit::N,حقیقت,veritāt
293,Gespräch::N,صحبت,conversa
294,Gespräch::N,گفتگو,conversa
295,Märchen::N,قصه,conte
296,Märchen::N,افسانه,conte
297,Erzählung::N,داستان,narració
298,Nachricht::N,خبر,missatge
299,Neuigkeit::N,خبر تازه,novetat
300,Name::N,اسم,nom
301,Rätsel::N,معما,endevinalla
302,Rede::N,سخن,discurs
303,Sprache::N,زبان,llēngua
304,Stimme::N,صدا,veu
305,Wort::N,کلمه,mot
306,Wort::N,کلمه,paraula
307,Zeichen::N,نشان,signe
308,Zeichen::N,نشان,senyal
309,Zeichen::N,علامت,signe
310,Zeichen::N,علامت,senyal
311,Ruf::N,صدا,crida
312,Lärm::N,هیاهو,sorōll
313,Laut::N,صدا,so
314,Ton::N,آهنگ,to
315,Lied::N,آواز,cançó
316,Lied::N,ترانه,cançó
317,Ruhe::N,آرامش,calma
318,Ruhe::N,آرامش,silenci
319,Leute::N,مردم,gent
320,Volk::N,خلق,poble
321,Arbeit::N,کار,labor
322,Arbeit::N,کار,treball
323,Gast::N,مهمان,hoste
324,Geschenk::N,هدیه,regal
325,Geschenk::N,هدیه,obsequi
