,Concept_ID,se,xal
0,Auge::N,tjelmie,нүдн
1,Auge::N,tjalmme,нүдн
2,Auge::N,čalbmi,нүдн
3,Auge::N,čalme,нүдн
4,Auge::N,čâ´lmm,нүдн
5,Auge::N,ча̄лльм,нүдн
6,Ohr::N,bieljie,чикн
7,Ohr::N,biellje,чикн
8,Ohr::N,beallji,чикн
9,Ohr::N,pelji,чикн
10,Ohr::N,pe´llj,чикн
11,Ohr::N,пе̄лльй,чикн
12,Nase::N,njuenie,хамр
13,Nase::N,njunnje,хамр
14,Nase::N,njunni,хамр
15,Nase::N,njuṇe,хамр
16,Nase::N,njuu´nn,хамр
17,Nase::N,нюннҍ,хамр
18,Mund::N,njaelmie,амн
19,Mund::N,njálmme,амн
20,Mund::N,njálbmi,амн
21,Mund::N,njälmi,амн
22,Mund::N,njä´lmm,амн
23,Mund::N,ня̄лльм,амн
24,Zahn::N,baenie,шүдн
25,Zahn::N,bádne,шүдн
26,Zahn::N,bátni,шүдн
27,Zahn::N,pääṇi,шүдн
28,Zahn::N,pää´nn,шүдн
29,Zahn::N,па̄ннҍ,шүдн
30,Zunge::N,njoektjeme,келн
31,Zunge::N,njuovtjav,келн
32,Zunge::N,njuovčča,келн
33,Zunge::N,njuovčâ,келн
34,Zunge::N,njuhččâm,келн
35,Zunge::N,нюхчем,келн
36,Lippe::N,bangseme,урл
37,Lippe::N,njálmmerabdda,урл
38,Lippe::N,bavssa,урл
39,Lippe::N,poovsâ,урл
40,Lippe::N,põõus,урл
41,Lippe::N,пэ̄кс,урл
42,Wange::N,skiehrie,халх
43,Wange::N,nierra,халх
44,Wange::N,muohtu,халх
45,Wange::N,nieṛâ,халх
46,Wange::N,njiõrr,халх
47,Wange::N,нӣрр,халх
48,Gesicht::N,ååredæjja,нүр
49,Gesicht::N,muohto,нүр
50,Gesicht::N,muođut,нүр
51,Gesicht::N,ámadadju,нүр
52,Gesicht::N,muáđuh,нүр
53,Gesicht::N,muâđ,нүр
54,Gesicht::N,ка̄ссв,нүр
55,Stirn::N,gaalloe,маңна
56,Stirn::N,gállo,маңна
57,Stirn::N,gállu,маңна
58,Stirn::N,kállu,маңна
59,Stirn::N,käll,маңна
60,Stirn::N,вуэххьц,маңна
61,Haar::N,voepte,үсн
62,Haar::N,vuoppta,үсн
63,Haar::N,vuokta,үсн
64,Haar::N,vuop'tâ,үсн
65,Haar::N,vuõpt,үсн
66,Haar::N,вӯппт,үсн
67,Schnurrbart::N,bijjie-skaavtjoe,сахл
68,Schnurrbart::N,njunjevuolskávttjá,сахл
69,Schnurrbart::N,seamu,сахл
70,Schnurrbart::N,siämu,сахл
71,Schnurrbart::N,ää´bben,сахл
72,Schnurrbart::N,о̄а̄бпан,сахл
73,Bart::N,skaavtja,сахл
74,Bart::N,skaavtja,өргнә сахл
75,Bart::N,skaavtjoe,сахл
76,Bart::N,skaavtjoe,өргнә сахл
77,Bart::N,skávttjá,сахл
78,Bart::N,skávttjá,өргнә сахл
79,Bart::N,seamu,сахл
80,Bart::N,seamu,өргнә сахл
81,Bart::N,siämu,сахл
82,Bart::N,siämu,өргнә сахл
83,Bart::N,seäm,сахл
84,Bart::N,seäm,өргнә сахл
85,Bart::N,ся̄м,сахл
86,Bart::N,ся̄м,өргнә сахл
87,Kinn::N,gaejpie,өргн
88,Kinn::N,gájbbe,өргн
89,Kinn::N,gáibi,өргн
90,Kinn::N,käibi,өргн
91,Kinn::N,käi´bb,өргн
92,Kinn::N,ка̄ййп,өргн
93,Kiefer[Anatomie]::N,gaejpie,өргн
94,Kiefer[Anatomie]::N,oalol,өргн
95,Kiefer[Anatomie]::N,oaloldákte,өргн
96,Kiefer[Anatomie]::N,gáibi,өргн
97,Kiefer[Anatomie]::N,uá'lultähti,өргн
98,Kiefer[Anatomie]::N,vuâl'lõš,өргн
99,Kiefer[Anatomie]::N,вуаллнешш,өргн
100,Kehle::N,gealoe,хол
101,Kehle::N,tjåttå,хол
102,Kehle::N,njiello,хол
103,Kehle::N,čotta,хол
104,Kehle::N,čuudâ,хол
105,Kehle::N,čoodd,хол
106,Kehle::N,чонт,хол
107,Kehle::N,кэ̄ҏс,хол
108,Hals::N,tjeapohke,күзүн
109,Hals::N,tjiebet,күзүн
110,Hals::N,čeabet,күзүн
111,Hals::N,čiäppát,күзүн
112,Hals::N,čeäppat,күзүн
113,Hals::N,ча̄пэх,күзүн
114,Genick::N,tjovrese,гиҗг
115,Genick::N,nisske,гиҗг
116,Genick::N,niehkki,гиҗг
117,Genick::N,niski,гиҗг
118,Genick::N,niek'ki,гиҗг
119,Genick::N,nji´šǩǩmaadd,гиҗг
120,Genick::N,нышшькмоант,гиҗг
121,Kopf::N,åejjie,толһа
122,Kopf::N,oajvve,толһа
123,Kopf::N,oaivi,толһа
124,Kopf::N,uái'vi,толһа
125,Kopf::N,vuei´vv,толһа
126,Kopf::N,вуэййв,толһа
127,Rücken::N,rudtje,нурһн
128,Rücken::N,hárddo,нурһн
129,Rücken::N,tjavelk,нурһн
130,Rücken::N,sealgi,нурһн
131,Rücken::N,selgi,нурһн
132,Rücken::N,čielgi,нурһн
133,Rücken::N,seä´lǧǧ,нурһн
134,Rücken::N,се̄лльк,нурһн
135,Bauch::N,tjåejjie,гесн
136,Bauch::N,tjoajvve,гесн
137,Bauch::N,čoavji,гесн
138,Bauch::N,čuáv'ji,гесн
139,Bauch::N,čåu´jj,гесн
140,Bauch::N,чо̄ввьй,гесн
141,Nabel::N,naepie,киисн
142,Nabel::N,náhpe,киисн
143,Nabel::N,náhpi,киисн
144,Nabel::N,nääpi,киисн
145,Nabel::N,nää´pp,киисн
146,Nabel::N,на̄бпь,киисн
147,Busen::N,boenge,көкн
148,Busen::N,bållå,көкн
149,Busen::N,čižži,көкн
150,Busen::N,njamma,көкн
151,Busen::N,njižže,көкн
152,Busen::N,nje´ǯǯ,көкн
153,Busen::N,раннҍт,көкн
154,Brust::N,mïelke,чееҗ
155,Brust::N,radde,чееҗ
156,Brust::N,mielgga,чееҗ
157,Brust::N,raddi,чееҗ
158,Brust::N,radde,чееҗ
159,Brust::N,râ´dd,чееҗ
160,Brust::N,раннҍт,чееҗ
161,Schulter::N,åelkie,ээм
162,Schulter::N,oalgge,ээм
163,Schulter::N,hárdu,ээм
164,Schulter::N,ärdee,ээм
165,Schulter::N,uál'gi,ээм
