,Concept_ID,pl,os
0,Auge::N,oko,цӕст
1,Ohr::N,ucho,хъус
2,Nase::N,nos,фындз
3,Mund::N,usta,дзых
4,Zahn::N,ząb,дӕндаг
5,Zunge::N,język,ӕвзаг
6,Lippe::N,warga,был
7,Wange::N,policzek,рус
8,Wange::N,policzek,уадул
9,Wange::N,policzek,ӕхсӕрфарс
10,Gesicht::N,twarz,цӕсгом
11,Stirn::N,czoło,ных
12,Haar::N,włos,хил
13,Haar::N,włosy,хил
14,Schnurrbart::N,wąsy,рихи
15,Bart::N,broda,зачъе
16,Kinn::N,podbródek,роцъо
17,Kiefer[Anatomie]::N,czeluść,ӕфсӕр
18,Kehle::N,gardło,хъуыр
19,Hals::N,szyja,къубал
20,Genick::N,kark,къӕбут
21,Kopf::N,głowa,сӕр
22,Rücken::N,plecy,фӕсонтӕ
23,Rücken::N,grzbiet,фӕсонтӕ
24,Bauch::N,brzuch,гуыбын
25,Nabel::N,pępek,бикъ
26,Busen::N,biust,дзидзи
27,Brust::N,pierś,риу
28,Schulter::N,bark,уӕхск
29,Schulter::N,ramię,уӕхск
30,Arm::N,ręka,цонг
31,Arm::N,ramię,цонг
32,Ellenbogen::N,łokieć,рæмбын
33,Hand::N,dłoń,къух
34,Handfläche::N,dłoń,армытъӕпӕн
35,Finger::N,palec,ӕнруылдз
36,Fingernagel::N,paznokieć,ных
37,Nagel[Anatomie]::N,paznokieć,ных
38,Zeh::N,palec,къух
39,Fuß::N,stopa,фад
40,Ferse::N,pięta,зӕвӕт
41,Knie::N,kolano,уӕраг
42,Oberschenkel::N,udo,агъд
43,Bein::N,noga,зӕнг
44,Körper::N,ciało,буар
45,Haut::N,skóra,царм
46,Blut::N,krew,туг
47,Ader::N,żyła,дадзин
48,Ader::N,żyła,тугдадзин
49,Sehne::N,ścięgno,хъиутæ
50,Sehne::N,ścięgno,нуар
51,Knochen::N,kość,стӕг
52,Gehirn::N,mózg,магъз
53,Herz::N,serce,зӕрдӕ
54,Magen::N,żołądek,ахсӕн
55,Leber::N,wątroba,игæр
56,Atem::N,dech,улӕфт
57,Atem::N,oddech,улӕфт
58,Hunger::N,głód,стонг
59,Träne::N,łza,цæссыг
60,Geschmack::N,smak,ад
61,Geruch::N,woń,смаг
62,Geruch::N,zapach,смаг
63,Schlaf::N,sen,хуыссӕг
64,Traum::N,sen,фын
65,Himmel::N,niebo,арв
66,Himmel::N,niebo,уӕларв
67,Sonne::N,słońce,хур
68,Mond::N,księżyc,мӕй
69,Stern::N,gwiazda,стъалы
70,Luft::N,powietrze,уӕлдӕф
71,Wind::N,wiatr,дымгӕ
72,Welle::N,fala,уылӕн
73,Wasser::N,woda,дон
74,Stein::N,kamień,дур
75,Boden::N,grunt,зӕхх
76,Erde::N,ziemia,сыджыт
77,Staub::N,pył,рыг
78,Staub::N,kurz,рыг
79,Rauch::N,dym,фӕздӕг
80,Funke::N,iskra,цӕхӕр
81,Feuer::N,ogień,зынг
82,Licht::N,światło,рухс
83,Schatten::N,cień,аууон
84,Wetter::N,pogoda,боныхъӕд
85,Nebel::N,mgła,мигъ
86,Wolke::N,obłok,ӕврагъ
87,Wolke::N,chmura,ӕврагъ
88,Regen::N,deszcz,уарын
89,Schnee::N,śnieg,мит
90,Eis::N,lód,их
91,Frost::N,mróz,ихæн
92,Kälte::N,chłód,уазал
93,Hitze::N,gorąco,ӕнтӕф
94,Raureif::N,szron,халас
95,Regenbogen::N,tęcza,арвырон
96,Regenbogen::N,tęcza,арвырдын
97,Donner::N,grzmot,æрвнæрын
98,Strömung::N,nurt,цыд
99,Tropfen::N,kropla,æртах
100,Schaum::N,piana,фынк
101,Schmutz::N,brud,цъыф
102,See::N,jezioro,цад
103,Sumpf::N,bagno,цъыфдзаст
104,Moor::N,bagno,цъыфдзаст
105,Wiese::N,łąka,уыгӕрдӕн
106,Wald::N,las,хъӕд
107,Hügel::N,pagórek,обау
108,Hügel::N,pagórek,къуыбыр
109,Anhöhe::N,wzgórze,уæлвæз
110,Anhöhe::N,wzgórze,уæлхох
111,Berg::N,góra,хох
112,Gipfel::N,szczyt,цъупп
113,Gipfel::N,wierzchołek,цъупп
114,Höhle::N,pieczara,лӕгӕт
115,Abhang::N,stok,къул
116,Abhang::N,zbocze,къул
117,Quelle::N,zdrój,суадон
118,Quelle::N,źródło,суадон
119,Bach::N,potok,мӕсчъыдон
120,Bach::N,strumień,мӕсчъыдон
121,Fluss::N,rzeka,дон
122,Fluss::N,rzeka,цӕугӕдон
123,Ufer::N,brzeg,был
124,Küste::N,wybrzeże,донбыл
125,Festland::N,ląd,сурзæхх
126,Meer::N,morze,денджыз
127,Bucht::N,zatoka,донбакæлæн
128,Insel::N,wyspa,сакъадах
129,Blume::N,kwiat,дидинӕг
130,Gras::N,trawa,кӕрдӕг
131,Wurzel::N,korzeń,уидаг
132,Baum::N,drzewo,бӕлас
133,Stamm::N,pień,хӕтӕл
134,Rinde::N,kora,цъар
135,Ast::N,gałąź,арх
136,Zweig::N,gałąź,къалиу
137,Blatt::N,liść,сыф
138,Birke::N,brzoza,бæрз
139,Kiefer[Baum]::N,sosna,нӕзы
140,Weide[Baum]::N,wierzba,хӕрис
141,Tanne::N,jodła,наз
142,Horn::N,róg,сыкъа
143,Feder::N,pióro,сис
144,Fell::N,futro,царм
145,Flügel::N,skrzydło,базыр
146,Klaue::N,szpon,ных
147,Kralle::N,pazur,дзӕмбы
148,Schwanz::N,ogon,къӕдзил
149,Ei::N,jajko,айк
150,Nest::N,gniazdo,ахстон
151,Bau::N,nora,хуынкъ
152,Tier::N,zwierzę,сырд
153,Tier::N,zwierzę,цӕрӕгой
154,Herde::N,stado,дзуг
155,Herde::N,stado,рӕгъау
156,Herde::N,trzoda,дзуг
157,Herde::N,trzoda,рӕгъау
158,Kuh::N,krowa,хъуг
159,Bulle::N,byk,гал
160,Pferd::N,koń,бӕх
161,Schaf::N,owca,фыс
162,Schwein::N,świnia,хуы
163,Hund::N,pies,куыдз
