,Concept_ID,mrj,lv
0,Auge::N,сӹнзӓ,син
1,Auge::N,сӹнзӓ,acs
2,Ohr::N,пӹлӹш,пель
3,Ohr::N,пӹлӹш,auss
4,Nase::N,нер,ныр
5,Nase::N,нер,deguns
6,Mund::N,ышма,вом
7,Mund::N,ышма,mute
8,Zahn::N,пӱ,пинь
9,Zahn::N,пӱ,zobs
10,Zunge::N,йӹлмӹ,кыв
11,Zunge::N,йӹлмӹ,mēle
12,Lippe::N,тӹрвӹ,вом дор
13,Lippe::N,тӹрвӹ,lūpa
14,Wange::N,шӹргӹ,бан
15,Wange::N,шӹргӹ,vaigs
16,Gesicht::N,лицӓ,чужӧм
17,Gesicht::N,лицӓ,seja
18,Gesicht::N,лицӓ,ģīmis
19,Stirn::N,лепкӓ,плеш
20,Stirn::N,лепкӓ,кымӧс
21,Stirn::N,лепкӓ,piere
22,Haar::N,ӱп,си
23,Haar::N,ӱп,юрси
24,Haar::N,ӱп,mats
25,Schnurrbart::N,öрш,ус
26,Schnurrbart::N,öрш,пыртсим
27,Schnurrbart::N,öрш,ūsas
28,Bart::N,пандаш,тош
29,Bart::N,пандаш,bārda
30,Kinn::N,онгылаш,тшӧка
31,Kinn::N,онгылаш,zods
32,Kinn::N,онгылаш,smakrs
33,Kiefer[Anatomie]::N,пӱ арата,черлы
34,Kiefer[Anatomie]::N,пӱ арата,алака лы
35,Kiefer[Anatomie]::N,пӱ арата,вомкӧтш лы
36,Kiefer[Anatomie]::N,пӱ арата,žoklis
37,Kehle::N,логер,голя
38,Kehle::N,логер,rīkle
39,Hals::N,шӱ,сьылі
40,Hals::N,шӱ,kakls
41,Genick::N,ланга,юрбӧр
42,Genick::N,ланга,балябӧж
43,Genick::N,ланга,sprands
44,Kopf::N,вуй,юр
45,Kopf::N,вуй,galva
46,Rücken::N,туп,мыш
47,Rücken::N,туп,mugura
48,Bauch::N,мӹшкӹр,рушку
49,Bauch::N,мӹшкӹр,vēders
50,Nabel::N,кӹлӹмдӹ,гӧг
51,Nabel::N,кӹлӹмдӹ,naba
52,Busen::N,цӹзӹ,морӧс
53,Busen::N,цӹзӹ,krūts
54,Brust::N,мел,морӧс
55,Brust::N,мел,krūts
56,Schulter::N,ӹнгӹжӓ,пельпом
57,Schulter::N,ӹнгӹжӓ,plecs
58,Arm::N,кид,ки
59,Arm::N,кид,roka
60,Arm::N,кид,delms
61,Ellenbogen::N,кӹнервуй,гырддза
62,Ellenbogen::N,кӹнервуй,elkonis
63,Hand::N,лапа,ки
64,Hand::N,лапа,roka
65,Hand::N,лапа,plauksta
66,Handfläche::N,кид лапа,ки пыдӧс
67,Handfläche::N,кид лапа,delna
68,Handfläche::N,кид лапа,plauksta
69,Finger::N,парня,чунь
70,Finger::N,парня,pirksts
71,Fingernagel::N,кӹч,гыж
72,Fingernagel::N,кӹч,nags
73,Nagel[Anatomie]::N,кӹч,гыж
74,Nagel[Anatomie]::N,кӹч,nags
75,Zeh::N,парня,кок чунь
76,Zeh::N,парня,pirksts
77,Fuß::N,ял лапа,кок
78,Fuß::N,ял лапа,kāja
79,Ferse::N,ялгавал,кокбӧр
80,Ferse::N,ялгавал,papēdis
81,Ferse::N,ял кавал,кокбӧр
82,Ferse::N,ял кавал,papēdis
83,Knie::N,пылвуй,пидзӧс
84,Knie::N,пылвуй,celis
85,Oberschenkel::N,ӓрдӹ,лядьвей
86,Oberschenkel::N,ӓрдӹ,бек
87,Oberschenkel::N,ӓрдӹ,ciska
88,Oberschenkel::N,ӓрдӹ,augšstilbs
89,Bein::N,ял,кок
90,Bein::N,ял,kāja
91,Körper::N,монгыр,туша
92,Körper::N,монгыр,вывтыр
93,Körper::N,монгыр,miesa
94,Körper::N,монгыр,ķermenis
95,Haut::N,кавашты,ку
96,Haut::N,кавашты,āda
97,Blut::N,вӹр,вир
98,Blut::N,вӹр,asins
99,Ader::N,вӹршӓр,сӧн
100,Ader::N,вӹршӓр,asinsvads
101,Sehne::N,кукшышӱн,вез
102,Sehne::N,кукшышӱн,dzīsla
103,Knochen::N,лу,лы
104,Knochen::N,лу,kauls
105,Gehirn::N,вим,вем
106,Gehirn::N,вим,smadzenes
107,Herz::N,шӱм,сьӧлӧм
108,Herz::N,шӱм,sirds
109,Magen::N,шӱм,кынӧм
110,Magen::N,шӱм,kuņģis
111,Leber::N,мокш,мус
112,Leber::N,мокш,aknas
113,Atem::N,шӱлӹш,лов
114,Atem::N,шӱлӹш,elpa
115,Hunger::N,шужымаш,тшыг
116,Hunger::N,шужымаш,bads
117,Hunger::N,шужымаш,izsalkums
118,Träne::N,сӹнзӓвӹд,синва
119,Träne::N,сӹнзӓвӹд,asara
120,Geschmack::N,тот,кӧр
121,Geschmack::N,тот,чӧсмӧс
122,Geschmack::N,тот,garša
123,Geruch::N,пыш,зын
124,Geruch::N,пыш,дук
125,Geruch::N,пыш,smaka
126,Schlaf::N,ом,узьӧм
127,Schlaf::N,ом,miegs
128,Traum::N,ом,вӧт
129,Traum::N,ом,вӧтасьӧм
130,Traum::N,ом,sapnis
131,Himmel::N,пӹлгом,енэж
132,Himmel::N,пӹлгом,debess
133,Sonne::N,кечӹ,шонді
134,Sonne::N,кечӹ,saule
135,Mond::N,тӹлзӹ,тӧлысь
136,Mond::N,тӹлзӹ,mēness
137,Stern::N,шӹдӹр,кодзув
138,Stern::N,шӹдӹр,zvaigzne
139,Luft::N,юж,сынӧд
140,Luft::N,юж,gaiss
141,Luft::N,воздух,сынӧд
142,Luft::N,воздух,gaiss
143,Wind::N,мардеж,тӧв
144,Wind::N,мардеж,vējš
145,Welle::N,ко,гы
146,Welle::N,ко,vilnis
147,Welle::N,коэ,гы
148,Welle::N,коэ,vilnis
149,Wasser::N,вӹд,ва
150,Wasser::N,вӹд,ūdens
151,Stein::N,кӱ,из
152,Stein::N,кӱ,akmens
153,Boden::N,рок,му
154,Boden::N,рок,augsne
155,Erde::N,свет,му
156,Erde::N,свет,му-ва
157,Erde::N,свет,zeme
158,Staub::N,пырак,бус
159,Staub::N,пырак,putekļi
160,Rauch::N,шӹкш,тшын
161,Rauch::N,шӹкш,dūmi
162,Funke::N,ип,кинь
163,Funke::N,ип,би кинь
164,Funke::N,ип,dzirkstele
165,Funke::N,тылип,кинь
166,Funke::N,тылип,би кинь
167,Funke::N,тылип,dzirkstele
168,Feuer::N,тыл,би
169,Feuer::N,тыл,uguns
170,Licht::N,соты,югӧр
171,Licht::N,соты,gaisma
172,Licht::N,валгыды,югӧр
173,Licht::N,валгыды,gaisma
174,Schatten::N,ӹмӹл,вуджӧр
175,Schatten::N,ӹмӹл,ēna
176,Wetter::N,игечӹ,поводдя
177,Wetter::N,игечӹ,laiks
178,Nebel::N,тӹтӹрӓ,ру
179,Nebel::N,тӹтӹрӓ,онь
180,Nebel::N,тӹтӹрӓ,migla
181,Wolke::N,пӹл,кымӧр
182,Wolke::N,пӹл,mākonis
183,Regen::N,юр,зэр
184,Regen::N,юр,lietus
185,Schnee::N,лым,лым
186,Schnee::N,лым,sniegs
187,Eis::N,и,йи
188,Eis::N,и,ledus
189,Frost::N,ӱштӹ,кӧдзыд
190,Frost::N,ӱштӹ,sals
191,Kälte::N,ӱштӹ,кӧдзыд
192,Kälte::N,ӱштӹ,saltums
193,Kälte::N,ӱштӹ,aukstums
194,Hitze::N,шокшы,пӧсь
195,Hitze::N,шокшы,гожӧд
196,Hitze::N,шокшы,karstums
197,Raureif::N,пöрш,пуж
198,Raureif::N,пöрш,гыӧр
199,Raureif::N,пöрш,sarma
200,Regenbogen::N,шанавӹл,ӧшкамӧшка
201,Regenbogen::N,шанавӹл,varavīksne
202,Donner::N,хӹдӹртӹш,гым
203,Donner::N,хӹдӹртӹш,pērkons
204,Strömung::N,йогы,ва ныр
205,Strömung::N,йогы,визувтӧм
206,Strömung::N,йогы,straume
207,Strömung::N,йогы,strāvojums
208,Tropfen::N,капльы,войт
209,Tropfen::N,капльы,lāse
210,Tropfen::N,капльык,войт
211,Tropfen::N,капльык,lāse
212,Schaum::N,шонг,быг
213,Schaum::N,шонг,быгзьӧм
214,Schaum::N,шонг,putas
215,Schmutz::N,лявӹрӓ,няйт
216,Schmutz::N,лявӹрӓ,dubļi
217,See::N,йӓр,ты
218,See::N,йӓр,ezers
219,Sumpf::N,лӱкӹ,гыбад
220,Sumpf::N,лӱкӹ,кад
221,Sumpf::N,лӱкӹ,dumbrājs
222,Sumpf::N,лӱкӹ,staignājs
223,Moor::N,куп,нюр
224,Moor::N,куп,purvs
225,Moor::N,куп,muklājs
226,Wiese::N,алык,видз
227,Wiese::N,алык,pļava
228,Wald::N,шӹргӹ,вӧр
229,Wald::N,шӹргӹ,mežs
230,Hügel::N,пӱгӹрикӓ,дзиб
231,Hügel::N,пӱгӹрикӓ,мыльк
232,Hügel::N,пӱгӹрикӓ,нӧрыс
233,Hügel::N,пӱгӹрикӓ,paugurs
234,Anhöhe::N,кӱкшикӓ,мыльк
235,Anhöhe::N,кӱкшикӓ,нӧрыс
236,Anhöhe::N,кӱкшикӓ,paugurs
237,Berg::N,кырык,чой
238,Berg::N,кырык,керӧс
239,Berg::N,кырык,kalns
240,Gipfel::N,неркӓ,чук
241,Gipfel::N,неркӓ,virsotne
242,Höhle::N,ы́раж,рудӧг
243,Höhle::N,ы́раж,ala
244,Abhang::N,полом,ньывк
245,Abhang::N,полом,бокша
246,Abhang::N,полом,nogāze
