,Concept_ID,fr,la
0,Auge::N,œil,oculus
1,Ohr::N,oreille,auris
2,Nase::N,nez,nasus
3,Mund::N,bouche,os
4,Zahn::N,dent,dens
5,Zunge::N,langue,lingua
6,Lippe::N,lèvre,labrum
7,Wange::N,joue,gena
8,Gesicht::N,face,vultus
9,Gesicht::N,visage,vultus
10,Stirn::N,front,frons
11,Haar::N,cheveu,capillus
12,Schnurrbart::N,moustache,barba labri superioris
13,Bart::N,barbe,barba
14,Kinn::N,menton,mentum
15,Kiefer[Anatomie]::N,mâchoire,mala
16,Kehle::N,gorge,iugulums
17,Hals::N,cou,collum
18,Genick::N,nuque,cervices
19,Kopf::N,tête,caput
20,Rücken::N,dos,tergum
21,Bauch::N,ventre,venter
22,Nabel::N,nombril,umbilicus
23,Busen::N,sein,sinus
24,Brust::N,poitrine,pectus
25,Schulter::N,épaule,umerus
26,Arm::N,bras,bracchium
27,Ellenbogen::N,coude,cubitum
28,Hand::N,main,manus
29,Handfläche::N,paume,palma
30,Finger::N,doigt,digitus
31,Fingernagel::N,ongle,unguiculus
32,Nagel[Anatomie]::N,ongle,unguis
33,Zeh::N,orteil,digitus
34,Zeh::N,doigt de pied,digitus
35,Fuß::N,pied,pes
36,Ferse::N,talon,calx
37,Knie::N,genou,genu
38,Oberschenkel::N,cuisse,femur
39,Bein::N,jambe,crus
40,Körper::N,corps,corpus
41,Haut::N,peau,cutis
42,Haut::N,peau,pellis
43,Blut::N,sang,sanguis
44,Ader::N,veine,vena
45,Sehne::N,tendon,nervus
46,Knochen::N,os,os
47,Gehirn::N,cerveau,cerebrum
48,Herz::N,cœur,cor
49,Herz::N,cœur,animus
50,Magen::N,estomac,stomachus
51,Leber::N,foie,iecur
52,Atem::N,haleine,spiritus
53,Hunger::N,faim,fames
54,Träne::N,larme,lacrima
55,Geschmack::N,goût,sapor
56,Geschmack::N,goût,gustus
57,Geschmack::N,saveur,sapor
58,Geschmack::N,saveur,gustus
59,Geruch::N,odeur,odor
60,Schlaf::N,sommeil,somnus
61,Traum::N,songe,somnium
62,Himmel::N,ciel,caelum
63,Sonne::N,soleil,sol
64,Mond::N,lune,luna
65,Stern::N,étoile,sidus
66,Stern::N,étoile,stella
67,Luft::N,air,aer
68,Wind::N,vent,ventus
69,Welle::N,vague,unda
70,Wasser::N,eau,aqua
71,Stein::N,pierre,lapis
72,Boden::N,sol,solum
73,Boden::N,terrain,solum
74,Erde::N,terre,terra
75,Staub::N,poussière,pulvis
76,Rauch::N,fumée,fumus
77,Funke::N,étincelle,scintilla
78,Feuer::N,feu,ignis
79,Licht::N,lumière,lux
80,Licht::N,lumière,lumen
81,Schatten::N,ombre,umbra
82,Wetter::N,temps,caelum
83,Wetter::N,temps,tempestas
84,Nebel::N,brume,nebula
85,Nebel::N,brouillard,nebula
86,Wolke::N,nuage,nubes
87,Regen::N,pluie,imber
88,Regen::N,pluie,pluvia
89,Schnee::N,neige,nix
90,Eis::N,glace,glacies
91,Frost::N,gel,gelu
92,Frost::N,gelée,gelu
93,Kälte::N,froid,frigus
94,Hitze::N,chaleur,calor
95,Hitze::N,chaleur,aestus
96,Raureif::N,givre,pruina
97,Regenbogen::N,arc-en-ciel,arcus
98,Donner::N,tonnerre,tonitrus
99,Strömung::N,courant,fluctus
100,Tropfen::N,goutte,gutta
101,Schaum::N,écume,spuma
102,Schaum::N,mousse,spuma
103,Schmutz::N,boue,sordes
104,Schmutz::N,boue,squalor
105,Schmutz::N,saleté,sordes
106,Schmutz::N,saleté,squalor
107,See::N,lac,lacus
108,Sumpf::N,marais,palus
109,Sumpf::N,marécage,palus
110,Moor::N,tourbière,palus
111,Wiese::N,pré,pratum
112,Wald::N,bois,silva
113,Wald::N,forêt,silva
114,Hügel::N,coteau,collis
115,Hügel::N,colline,collis
116,Anhöhe::N,éminence,specula
117,Anhöhe::N,élévation,specula
118,Berg::N,mont,mons
119,Berg::N,montagne,mons
120,Gipfel::N,cime,vertex
121,Gipfel::N,sommet,vertex
122,Höhle::N,caverne,caverna
123,Höhle::N,caverne,spelunca
124,Abhang::N,pente,declivum
125,Abhang::N,versant,declivum
126,Quelle::N,source,fons
127,Quelle::N,fontaine,fons
128,Bach::N,ruisseau,rivus
129,Fluss::N,fleuve,flumen
130,Fluss::N,rivière,flumen
131,Ufer::N,bord,ripa
132,Ufer::N,rivage,ripa
133,Küste::N,côte,litus
134,Festland::N,terre ferme,continens
135,Meer::N,mer,mare
136,Bucht::N,baie,sinus
137,Insel::N,île,insula
138,Blume::N,fleur,flos
139,Gras::N,herbe,herba
140,Gras::N,herbe,gramen
141,Wurzel::N,racine,radix
142,Baum::N,arbre,arbor
143,Stamm::N,tronc,truncus
