,Concept_ID,xal,ca
0,Auge::N,нүдн,ull
1,Ohr::N,чикн,orella
2,Nase::N,хамр,nas
3,Mund::N,амн,boca
4,Zahn::N,шүдн,dent
5,Zunge::N,келн,llēngua
6,Lippe::N,урл,llavi
7,Wange::N,халх,galta
8,Gesicht::N,нүр,cara
9,Stirn::N,маңна,front
10,Haar::N,үсн,cabēll
11,Schnurrbart::N,сахл,bigoti
12,Bart::N,сахл,barba
13,Bart::N,өргнә сахл,barba
14,Kinn::N,өргн,mentó
15,Kinn::N,өргн,barbeta
16,Kiefer[Anatomie]::N,өргн,queix
17,Kiefer[Anatomie]::N,өргн,mandíbula
18,Kehle::N,хол,gola
19,Kehle::N,хол,gorja
20,Hals::N,күзүн,coll
21,Genick::N,гиҗг,nuca
22,Kopf::N,толһа,cap
23,Rücken::N,нурһн,esquena
24,Bauch::N,гесн,panxa
25,Nabel::N,киисн,llombrígol
26,Busen::N,көкн,pit
27,Busen::N,көкн,mama
28,Brust::N,чееҗ,pit
29,Schulter::N,ээм,espatlla
30,Arm::N,һар,braç
31,Ellenbogen::N,тоха,colze
32,Hand::N,баһлцг,mà
33,Handfläche::N,альхн,palma
34,Finger::N,хурһн,dit
35,Finger::N,һарин хурһн,dit
36,Fingernagel::N,хумсн,ungla
37,Nagel[Anatomie]::N,хумсн,ungla
38,Zeh::N,хурһн,dit del peu
39,Zeh::N,көлин хурһн,dit del peu
40,Fuß::N,тавг,peu
41,Ferse::N,өскә,taló
42,Knie::N,өвдг,genoll
43,Oberschenkel::N,һуй,cuixa
44,Bein::N,көл,cama
45,Körper::N,махмуд,cos
46,Haut::N,арсн,pell
47,Blut::N,цусн,sang
48,Ader::N,судцн,vena
49,Sehne::N,шүрүсн,tendó
50,Knochen::N,ясн,os
51,Gehirn::N,экн,cervell
52,Herz::N,зүркн,cor
53,Magen::N,гесн,estómac
54,Leber::N,элкн,fetge
55,Atem::N,әмсхл,alè
56,Atem::N,әмсхл,hàlit
57,Hunger::N,харһнлһн,fam
58,Hunger::N,харһнлһн,gana
59,Träne::N,нульмсн,llàgrima
60,Geschmack::N,амтн,gust
61,Geschmack::N,амтн,sabor
62,Geruch::N,үнр,olor
63,Schlaf::N,нөр,son
64,Traum::N,зүүдн,somni
65,Himmel::N,теңгр,celm
66,Sonne::N,нарн,sol
67,Mond::N,сар,lluna
68,Stern::N,одн,estel
69,Stern::N,одн,estrella
70,Luft::N,аһар,aire
71,Wind::N,салькн,vent
72,Welle::N,дольган,ona
73,Wasser::N,усн,āigua
74,Stein::N,чолун,pedra
75,Boden::N,Һазр,sòl
76,Erde::N,Һазр,terra
77,Staub::N,тоосн,pols
78,Rauch::N,утан,fum
79,Funke::N,очн,guspira
80,Funke::N,очн,centella
81,Feuer::N,һал,foc
82,Licht::N,герл,llum
83,Schatten::N,сүүдр,ombra
84,Wetter::N,теңгр,temps
85,Nebel::N,будн,boira
86,Wolke::N,үүлн,núvol
87,Regen::N,хур,pluja
88,Schnee::N,цасн,neu
89,Eis::N,мөсн,gel
90,Eis::N,мөсн,glaç
91,Frost::N,киитн,glaçada
92,Kälte::N,киитн,fred
93,Hitze::N,халун,calor
94,Raureif::N,цаң,gebre
95,Raureif::N,кирү,gebre
96,Regenbogen::N,солңһ,arc iris
97,Donner::N,оһтрһун дун,tro
98,Strömung::N,урсхл,corrent
99,Tropfen::N,дусал,gota
100,Schaum::N,көөсн,escuma
101,Schmutz::N,кир,brutícia
102,See::N,нур,llac
103,Sumpf::N,унул,pantà
104,Moor::N,улм,pantà
105,Wiese::N,хадлһн,prat
106,Wiese::N,хадлһн,prada
107,Wald::N,ө-модн,bosc
108,Hügel::N,толһа,puig
109,Hügel::N,толһа,pujol
110,Anhöhe::N,хамр,turó
111,Berg::N,уул,muntanya
112,Gipfel::N,ора,cim
113,Höhle::N,хадин көндә,cova
114,Abhang::N,ташу,coster
115,Quelle::N,булг,font
116,Bach::N,һооҗур,riera
117,Fluss::N,һол,riu
118,Ufer::N,көвә,riba
119,Küste::N,көвә,costa
120,Küste::N,теңгсин көвә,costa
121,Festland::N,хүүрә һазр,terra ferma
122,Meer::N,теңгс,mar
123,Bucht::N,цекә,cala
124,Bucht::N,цекә,badia
125,Bucht::N,теңгсин цекә,cala
126,Bucht::N,теңгсин цекә,badia
127,Insel::N,арл,illa
128,Blume::N,цецг,flor
129,Gras::N,ноһан,herba
130,Wurzel::N,уңг,rel
131,Wurzel::N,уңг,arrel
132,Baum::N,модн,arbre
133,Stamm::N,шилв,tronc
134,Stamm::N,һол модн,tronc
135,Rinde::N,көрсн,escorça
136,Ast::N,ац,branca
137,Zweig::N,ац,ram
138,Blatt::N,хамтхасн,fulla
139,Birke::N,хусм модн,bedoll
140,Kiefer[Baum]::N,шар харһа,pi
141,Weide[Baum]::N,удн,salze
142,Tanne::N,җөөлн цаһан модн,avet
143,Horn::N,өвр,corn
144,Horn::N,өвр,banya
145,Feder::N,өрвлг,ploma
146,Fell::N,арсн,pell
147,Flügel::N,җивр,ala
148,Klaue::N,хумсн,urpa
149,Kralle::N,тавг,grapa
150,Schwanz::N,сүл,cua
151,Ei::N,өндгн,ou
152,Nest::N,үр,niu
153,Bau::N,нүкн,cau
154,Tier::N,мал,animāl
155,Herde::N,сүрг мал,ramat
156,Kuh::N,үкр,vaca
157,Bulle::N,бух,toro
158,Pferd::N,мөрн,cavāll
159,Schaf::N,хөн,be
160,Schaf::N,хөн,ovella
161,Schwein::N,һаха,bacó
162,Hund::N,ноха,ca
163,Hund::N,ноха,gos
164,Katze::N,мис,gat
165,Bär::N,аю,ós
166,Eichhörnchen::N,кермн,esquirol
167,Elch::N,хандһа,ant
168,Fuchs::N,арат,guilla
169,Hase::N,туула,llebre
170,Maus::N,хулһн,ratolí
171,Wolf::N,чон,llop
172,Vogel::N,шовун,au
173,Vogel::N,шовун,ocēll
174,Schwarm::N,зел,bandada
175,Huhn::N,така,gallina
176,Hahn::N,эр така,gall
177,Gans::N,һалун,oca
178,Adler::N,һәрд,àguila
179,Ente::N,нуһсн,ànec
180,Eule::N,һурвлһ,òliba
181,Eule::N,һурвлһ,mussol
182,Kranich::N,тоһрун,grua
183,Krähe::N,шаазһа,cornella
184,Kuckuck::N,эргин хуцдг,cucut
185,Schwan::N,хун,cigne
186,Fisch::N,заһсн,peix
187,Barsch::N,шүрг,perca
188,Hecht::N,цурх,lluç
189,Schlange[Tier]::N,моһа,serp
190,Wurm::N,өтн,cuc
191,Spinne::N,аралҗн,aranya
192,Ameise::N,шорһлҗн,formiga
193,Laus::N,бөөсн,poll
194,Mücke::N,бөкүн,mosquit
195,Fliege::N,батхн,mosca
196,Schmetterling::N,эрвәкә,papallona
197,Beere::N,бөөлҗрһн,baia
198,Apfel::N,альмн,poma
199,Pilz::N,теңгрин ки,bolet
200,Zwiebel::N,мәңгрснә толһа,ceba
201,Saat::N,буудян экн,sembra
202,Korn::N,экн,gra
203,Heu::N,өвсн,fenc
204,Schale::N,хальсн,closca
205,Grube::N,нүкн,sot
206,Grube::N,нүкн,clot
207,Falle::N,урх,trampa
208,Falle::N,хавх,trampa
209,Schlinge::N,бүтү,baga
210,Spur::N,мөр,traça
211,Asche::N,үмсн,cendra
212,Dreck::N,бальчг,llot
213,Eisen::N,төмр,ferro
214,Gold::N,алтн,or
215,Silber::N,мөңгн,plata
216,Silber::N,цаһан мөңгн,plata
217,Kohle::N,нүүрсн,carbó
218,Glas::N,шил,vidre
219,Lehm::N,шавр,fang
