,Concept_ID,os,da
0,Auge::N,цӕст,øje
1,Ohr::N,хъус,øre
2,Nase::N,фындз,næse
3,Mund::N,дзых,mund
4,Zahn::N,дӕндаг,tand
5,Zunge::N,ӕвзаг,tunge
6,Lippe::N,был,læbe
7,Wange::N,рус,kind
8,Wange::N,уадул,kind
9,Wange::N,ӕхсӕрфарс,kind
10,Gesicht::N,цӕсгом,ansigt
11,Stirn::N,ных,pande
12,Haar::N,хил,hår
13,Schnurrbart::N,рихи,overskæg
14,Bart::N,зачъе,skæg
15,Kinn::N,роцъо,hage
16,Kiefer[Anatomie]::N,ӕфсӕр,kæbe
17,Kehle::N,хъуыр,strube
18,Hals::N,къубал,hals
19,Genick::N,къӕбут,nakke
20,Kopf::N,сӕр,hoved
21,Rücken::N,фӕсонтӕ,ryg
22,Bauch::N,гуыбын,mave
23,Nabel::N,бикъ,navle
24,Busen::N,дзидзи,barm
25,Brust::N,риу,bryst
26,Schulter::N,уӕхск,skulder
27,Arm::N,цонг,arm
28,Ellenbogen::N,рæмбын,albue
29,Hand::N,къух,hånd
30,Handfläche::N,армытъӕпӕн,håndflade
31,Finger::N,ӕнруылдз,finger
32,Fingernagel::N,ных,fingernegl
33,Nagel[Anatomie]::N,ных,negl
34,Zeh::N,къух,tå
35,Fuß::N,фад,fod
36,Ferse::N,зӕвӕт,hæl
37,Knie::N,уӕраг,knæ
38,Oberschenkel::N,агъд,lår
39,Bein::N,зӕнг,ben
40,Körper::N,буар,krop
41,Körper::N,буар,legeme
42,Haut::N,царм,hud
43,Blut::N,туг,blod
44,Ader::N,дадзин,åre
45,Ader::N,тугдадзин,åre
46,Sehne::N,хъиутæ,sene
47,Sehne::N,нуар,sene
48,Knochen::N,стӕг,ben
49,Gehirn::N,магъз,hjerne
50,Herz::N,зӕрдӕ,hjerte
51,Magen::N,ахсӕн,mave
52,Leber::N,игæр,lever
53,Atem::N,улӕфт,ånde
54,Hunger::N,стонг,sult
55,Träne::N,цæссыг,tåre
56,Geschmack::N,ад,smag
57,Geruch::N,смаг,lugt
58,Schlaf::N,хуыссӕг,søvn
59,Traum::N,фын,drøm
60,Himmel::N,арв,himmel
61,Himmel::N,уӕларв,himmel
62,Sonne::N,хур,sol
63,Mond::N,мӕй,måne
64,Stern::N,стъалы,stjerne
65,Luft::N,уӕлдӕф,luft
66,Wind::N,дымгӕ,vind
67,Welle::N,уылӕн,bølge
68,Wasser::N,дон,vand
69,Stein::N,дур,sten
70,Boden::N,зӕхх,jord
71,Erde::N,сыджыт,jord
72,Staub::N,рыг,støv
73,Rauch::N,фӕздӕг,røg
74,Funke::N,цӕхӕр,gnist
75,Feuer::N,зынг,ild
76,Licht::N,рухс,lys
77,Schatten::N,аууон,skygge
78,Wetter::N,боныхъӕд,vejr
79,Nebel::N,мигъ,tåge
80,Wolke::N,ӕврагъ,sky
81,Regen::N,уарын,regn
82,Schnee::N,мит,sne
83,Eis::N,их,is
84,Frost::N,ихæн,frost
85,Kälte::N,уазал,kulde
86,Hitze::N,ӕнтӕф,hede
87,Raureif::N,халас,rimfrost
88,Regenbogen::N,арвырон,regnbue
89,Regenbogen::N,арвырдын,regnbue
90,Donner::N,æрвнæрын,torden
91,Strömung::N,цыд,strømning
92,Tropfen::N,æртах,dråbe
93,Schaum::N,фынк,skum
94,Schmutz::N,цъыф,snavs
95,See::N,цад,sø
96,Sumpf::N,цъыфдзаст,sump
97,Moor::N,цъыфдзаст,mose
98,Wiese::N,уыгӕрдӕн,eng
99,Wald::N,хъӕд,skov
100,Hügel::N,обау,høj
101,Hügel::N,обау,bakke
102,Hügel::N,къуыбыр,høj
103,Hügel::N,къуыбыр,bakke
104,Anhöhe::N,уæлвæз,høj
105,Anhöhe::N,уæлвæз,bakke
106,Anhöhe::N,уæлхох,høj
107,Anhöhe::N,уæлхох,bakke
108,Berg::N,хох,bjerg
109,Gipfel::N,цъупп,top
110,Höhle::N,лӕгӕт,hule
111,Abhang::N,къул,skrænt
112,Abhang::N,къул,skråning
113,Quelle::N,суадон,kilde
114,Bach::N,мӕсчъыдон,bæk
115,Fluss::N,дон,flod
116,Fluss::N,цӕугӕдон,flod
117,Ufer::N,был,bred
118,Küste::N,донбыл,kyst
119,Festland::N,сурзæхх,fastland
120,Meer::N,денджыз,hav
121,Bucht::N,донбакæлæн,bugt
122,Insel::N,сакъадах,ø
123,Blume::N,дидинӕг,blomst
124,Gras::N,кӕрдӕг,græs
125,Wurzel::N,уидаг,rod
126,Baum::N,бӕлас,træ
127,Stamm::N,хӕтӕл,stamme
128,Rinde::N,цъар,bark
129,Ast::N,арх,gren
130,Zweig::N,къалиу,kvist
131,Blatt::N,сыф,blad
132,Birke::N,бæрз,birk
133,Kiefer[Baum]::N,нӕзы,fyrretræ
134,Weide[Baum]::N,хӕрис,piletræ
135,Tanne::N,наз,gran
136,Horn::N,сыкъа,horn
137,Feder::N,сис,fjer
138,Fell::N,царм,skind
139,Flügel::N,базыр,vinge
140,Klaue::N,ных,klov
141,Kralle::N,дзӕмбы,klo
142,Schwanz::N,къӕдзил,hale
143,Ei::N,айк,æg
144,Nest::N,ахстон,rede
145,Bau::N,хуынкъ,bo
146,Tier::N,сырд,dyr
147,Tier::N,цӕрӕгой,dyr
148,Herde::N,дзуг,flok
149,Herde::N,рӕгъау,flok
150,Kuh::N,хъуг,ko
151,Bulle::N,гал,tyr
152,Pferd::N,бӕх,hest
153,Schaf::N,фыс,får
154,Schwein::N,хуы,gris
155,Hund::N,куыдз,hund
156,Katze::N,гӕды,kat
157,Bär::N,арс,bjørn
158,Eichhörnchen::N,æхсæрæг,egern
159,Elch::N,цæгатаг саг,elg
160,Fuchs::N,рувас,ræv
161,Hase::N,тæрхъус,hare
162,Maus::N,мыст,mus
163,Wolf::N,бирӕгъ,ulv
164,Vogel::N,цъиу,fugl
165,Vogel::N,маргъ,fugl
166,Schwarm::N,бал,sværm
167,Huhn::N,карк,høne
168,Hahn::N,уасӕг,hane
169,Gans::N,хъаз,gås
170,Adler::N,цӕргӕс,ørn
171,Ente::N,ацц,and
172,Eule::N, уыг,ugle
173,Eule::N,сидахъ,ugle
174,Kranich::N,зырнæг,trane
175,Kranich::N,хърихъупп,trane
176,Krähe::N,халон,krage
177,Kuckuck::N,гаккук,gøg
178,Schwan::N,доныхъаз,svane
179,Fisch::N,кӕсаг,fisk
180,Barsch::N,окунь,aborre
181,Hecht::N,хихор кӕсаг,gedde
182,Schlange[Tier]::N,калм,slange
183,Wurm::N,зулкъ,orm
184,Wurm::N,къуыдыргалм,orm
185,Spinne::N,хӕлуарӕг,edderkop
186,Ameise::N,мæлдзыг,myre
187,Laus::N,сыст,lus
188,Mücke::N,къогъо,myg
189,Fliege::N,бындз,flue
190,Schmetterling::N,гæлæбу,sommerfugl
191,Beere::N,гагадыргъ,bær
192,Apfel::N,фӕткъуы,æble
193,Pilz::N,зокъо,svamp
194,Pilz::N,къозо,svamp
195,Zwiebel::N,хъӕдындз,løg
196,Saat::N,тауинаг,sæd
197,Saat::N,мыггаг,sæd
198,Korn::N,мыггаг,korn
199,Korn::N,тауинаг,korn
200,Heu::N,хос,hø
201,Schale::N,цъар,skræl
202,Grube::N,урм,grav
203,Grube::N,къахт,grav
204,Grube::N,дзыхъхъ,grav
205,Falle::N,цъысым,fælde
206,Falle::N,къӕппӕг,fælde
207,Schlinge::N,цасм,snare
208,Spur::N,фæд,spor
209,Asche::N,фӕнык,aske
210,Asche::N,ӕртхутӕг,aske
211,Dreck::N,цъыф,snavs
212,Eisen::N,ӕфсӕйнаг,jern
213,Gold::N,сыгъзӕрин,guld
214,Silber::N,ӕвзист,sølv
215,Kohle::N,ӕвзалы,kul
216,Glas::N,авг,glas
217,Lehm::N,ӕлыг,ler
218,Sand::N,змис,sand
219,Mensch::N,лӕг,mennesge
220,Mensch::N,адӕймаг,mennesge
221,Mensch::N,удгоймаг,mennesge
222,Mann::N,лӕг,mand
223,Mann::N,нӕлгоймаг,mand
224,Frau::N,сылгоймаг,kvinde
225,Kind::N,сывӕллон,barn
226,Junge::N,лӕппу,dreng
227,Mädchen::N,чызг,pige
228,Familie::N,бинонтæ,familie
229,Großvater::N,фыдыфыд,bedstefar
230,Großvater::N,мадыфыд,bedstefar
231,Großmutter::N,фыды мад,bedstemor
232,Großmutter::N,мады мад,bedstemor
233,Eltern::N,ныййарджытæ,forældre
234,Vater::N,фыд,far
235,Mutter::N,мад,mor
236,Sohn::N,фырт,søn
237,Tochter::N,чызг,datter
238,Bruder::N,ӕфсымӕр,bror
239,Schwester::N,хо,søster
240,Onkel::N,фыдыфсымӕр,onkel
241,Tante::N,мадыхо,tante
242,Ehemann::N,мой,ægtemand
243,Ehefrau::N,ус,hustru
244,Freude::N,цин,glæde
245,Freude::N,циндзинад,glæde
246,Gelächter::N,худын,latter
247,Gelächter::N,худт,latter
248,Gelächter::N,худæг,latter
249,Glück::N,амонд,lykke
250,Kummer::N,хъыг,sorg
251,Wunsch::N,бӕллиц,ønske
252,Lust::N,монц,lyst
253,Geist::N,уд,ånd
254,Gedanke::N,хъуыды,tanke
255,Gedächtnis::N,мысæн,hukommelse
256,Gedächtnis::N,мысын,hukommelse
257,Gedächtnis::N,зæрдылдарын,hukommelse
258,Verstand::N,зонд,forstand
259,Sinn::N,нысаниуæг,mening
260,Sinn::N,нысаниуæг,betydning
261,Grund::N,ӕфсон,grund
262,Wahrheit::N,æцæг,sandhed
263,Gespräch::N,ныхас,samtale
264,Märchen::N,аргъау,eventyr
265,Erzählung::N,радзырд,fortælling
266,Nachricht::N,уац,efterretning
267,Neuigkeit::N,хабар,nyhed
268,Name::N,ном,navn
269,Rätsel::N,уыци-уыци,gåde
270,Rätsel::N,базон-базон,gåde
271,Rede::N,раныхас,tale
272,Sprache::N,ӕвзаг,sprog
273,Stimme::N,хъӕлӕс,stemme
274,Wort::N,дзырд,ord
275,Zeichen::N,нысан,tegn
276,Ruf::N,сидт,råb
277,Lärm::N,уынæр,larm
278,Laut::N,зӕл,lyd
279,Laut::N,мыр,lyd
280,Ton::N,мыр,tone
281,Lied::N,зарӕг,sang
282,Ruhe::N,æнцой,ro
283,Ruhe::N,æнцой,hvile
284,Leute::N,адӕм,folk
285,Leute::N,адӕм,mennesker
286,Volk::N,адӕм,folk
287,Arbeit::N,фӕллой,arbejde
288,Gast::N,уазӕг,gæst
289,Geschenk::N,хуын,gave
290,Spiel::N,хъазт,leg
291,Gesellschaft::N,дзыллæ,selskab
292,Gesellschaft::N,æхсæнад,selskab
293,Hilfe::N,æххуыс,hjælp
294,Hilfe::N,ахъаз,hjælp
295,Freund::N,лымӕн,ven
296,Kamerad::N,ӕмбал,kammerat
297,Angelegenheit::N,хъуыддаг,sag
298,Angelegenheit::N,хъуыддаг,anliggende
299,Anzahl::N,бӕрц,antal
300,Art::N,хуыз,art
301,Art::N,хуызад,art
302,Stück::N,кæрдих,stykke
303,Stück::N,комдзаг,stykke
304,Teil::N,хай,del
305,Hälfte::N,æрдæг,halvdel
306,Hälfte::N,æмбис,halvdel
307,Kreis::N,зиллакк,cirkel
308,Kreuz::N,дзуар,kors
309,Kreuz::N,дзуар,kryds
310,Linie::N,хахх,linie
311,Strich::N,хахх,streg
312,Abstand::N,æхсæнуат,afstand
313,Entfernung::N,дæрддзæг,afstand
314,Entfernung::N,дардцæг,afstand
315,Gegend::N,ран,egn
316,Platz::N,бууат,plads
317,Ort::N,ран,sted
318,Ort::N,бынат,sted
319,Seite::N,фахс,side
320,Mitte::N,астӕу,midte
321,Gegenstand::N,дзаума,genstand
322,Sache::N,дзаума,sag
323,Rand::N,кӕрон,rand
324,Kante::N,фӕрск,kant
325,Ecke::N,тигъ,hjørne
326,Ecke::N,фисын,hjørne
327,Spitze::N,бырынкъ,spids
328,Ende::N,кӕрон,ende
329,Loch::N,хуынкъ,hul
330,Winkel::N,къуым,vinkel
331,Muster::N,нывæфтыд,mønster
332,Muster::N,кæдзист,mønster
333,Größe::N,ас,størrelse
334,Länge::N,дӕргъ,længde
335,Höhe::N,бæрзонд,højde
336,Höhe::N,бæрзæнд,højde
337,Höhe::N,бæрзонддзинад,højde
338,Gewicht::N,уӕз,vægt
339,Menge::N,бӕрц,mængde
340,Haufen::N,кӕри,bunke
341,Reihe::N,рӕнхъ,række
342,Boot::N,чема,båd
343,Ruder::N,къохар,åre
344,Schlitten::N,дзоныгъ,kælk
345,Schlitten::N,дзоныгъ,slæde
346,Ski::N,къахдзоныгътæ,ski
347,Ski::N,лыжæтæ,ski
348,Lagerfeuer::N,арт,lejrbål
349,Last::N,уаргъ,last
350,Last::N,уаргъ,byrde
351,Gang::N,цыд,gang
352,Schritt::N,санчъех,skridt
353,Schritt::N,къахдзӕф,skridt
354,Norden::N,цæгат,nord
355,Süden::N,хуссар,syd
356,Westen::N,ныгуылæн,vest
357,Osten::N,скæсæн,øst
358,Holz::N,хъӕдӕрмӕг,træ
359,Brett::N,фæйнæг,bræt
360,Platte::N,къӕй,plade
361,Stütze::N,быцæу,støtte
362,Stange::N,хъил,stang
363,Stock::N,лӕдзӕг,stok
364,Stab::N,хъил,stav
365,Rohr::N,хӕтӕл,rør
366,Haus::N,хӕдзар,hus
367,Heim::N,къона,hjem
368,Ofen::N,пец,ovn
369,Fußboden::N,астӕрд,gulv
370,Tisch::N,стъол,bord
371,Stuhl::N,бандон,stol
372,Wiege::N,авдæн,vugge
373,Bett::N,сынтӕг,seng
374,Regal::N,тӕрхӕг,reol
375,Regal::N,уӕлвӕйнӕг,reol
376,Kiste::N,асыкк,kasse
377,Fenster::N,рудзынг,vindue
378,Fenster::N,фæрссаг,vindue
379,Tür::N,дуар,dør
380,Tor::N,кулдуар,port
381,Zaun::N,æмбонд,stakit
382,Zaun::N,быру,stakit
383,Zaun::N,гæрæн,stakit
384,Dach::N,уӕлхӕдзар,tag
385,Leiter::N,асин,stige
386,Besen::N,уисой,kost
387,Spaten::N,бел,spade
388,Schaufel::N,æвгæнæн,skovl
389,Schaufel::N,кæфой,skovl
390,Gabel::N,вилкæ,gaffel
391,Löffel::N,уидыг,ske
392,Messer::N,кард,kniv
393,Nagel::N,зӕгӕл,søm
394,Netz::N,хыз,net
395,Haken::N,хæдз,krog
396,Haken::N,хæбырæгъ,krog
397,Griff::N,фистон,tag
398,Griff::N,фистон,håndtag
399,Schloss::N,гуыдыр,lås
400,Bild::N,ныв,billede
401,Figur::N,кæрдгæныв,figur
402,Puppe::N,чындз,dukke
403,Beutel::N,дзӕкъул,pose
