,Concept_ID,av,fa
0,Ohr::N,гӏин,گوش
1,Nase::N,мегӏер,بینی
2,Mund::N,кӏал,دهان
3,Zahn::N,гӏус,دندان
4,Zunge::N,мацӏ,زبان
5,Lippe::N,кӏветӏ,لب
6,Wange::N,гӏоно,لپ
7,Gesicht::N,гьумер,رو
8,Gesicht::N,гьумер,چهره
9,Stirn::N,нодо,پیشانی
10,Haar::N,рас,مو
11,Schnurrbart::N,михъ,سبیل
12,Bart::N,мегеж,ریش
13,Kinn::N,нилъу,چانه
14,Kiefer[Anatomie]::N,чанагъ,فک
15,Kiefer[Anatomie]::N,чанагъ,آرواره
16,Kehle::N,щекъер,حلق
17,Hals::N,габур,گردن
18,Genick::N,гъванща,پشت گردن
19,Kopf::N,бетӏер,سر
20,Kopf::N,бетӏер,کله
21,Rücken::N,мугъ,پشت
22,Bauch::N,чехь,شکم
23,Nabel::N,цӏину,ناف
24,Busen::N,керен,پستان
25,Brust::N,керен,سینه
26,Schulter::N,гъажазубетӏер,دوش
27,Schulter::N,гъажазубетӏер,شانه
28,Arm::N,гъеж,بازو
29,Ellenbogen::N,гӏункӏрукь,آرنج
30,Hand::N,квер,دست
31,Handfläche::N,огъохъат,کف دست
32,Handfläche::N,жанисахъат,کف دست
33,Finger::N,килищ,انگشت
34,Fingernagel::N,малъ,ناخن دست
35,Nagel[Anatomie]::N,малъ,ناخن
36,Zeh::N,килищ,انگشت پا
37,Fuß::N,хӏетӏ,پا
38,Fuß::N,хӏетӏе,پا
39,Ferse::N,эгъе,پاشنه
40,Knie::N,наку,زانو
41,Oberschenkel::N,мачӏ,ران
42,Bein::N,бох,پا
43,Bein::N,бох,لنگ
44,Körper::N,къаркъала,تن
45,Körper::N,къаркъала,بدن
46,Haut::N,тӏом,پوست
47,Blut::N,би,خون
48,Ader::N,бидурихь,رگ
49,Knochen::N,ракьа,استخوان
50,Gehirn::N,гӏадалнах,مخ
51,Gehirn::N,гӏадалнах,مغز
52,Herz::N,ракӏ,دل
53,Herz::N,ракӏ,قلب
54,Magen::N,кванирукъ,معده
55,Leber::N,тӏул,کبد
56,Atem::N,хӏухь,نفس
57,Hunger::N,ракъи,گرسنگی
58,Träne::N,магӏу,اشک
59,Geschmack::N,тату,مزه
