,Concept_ID,uk,uk
0,Auge::N,око,око
1,Ohr::N,вухо,вухо
2,Nase::N,ніс,ніс
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язик,язик
6,Lippe::N,губа,губа
7,Wange::N,щока,щока
8,Gesicht::N,обличчя,обличчя
9,Stirn::N,лоб,лоб
10,Haar::N,волосся,волосся
11,Schnurrbart::N,вуса,вуса
12,Bart::N,борода,борода
13,Kinn::N,підборіддя,підборіддя
14,Kiefer[Anatomie]::N,щелепа,щелепа
15,Kehle::N,горло,горло
16,Hals::N,шия,шия
17,Genick::N,потилиця,потилиця
18,Kopf::N,голова,голова
19,Rücken::N,спина,спина
20,Bauch::N,живіт,живіт
21,Nabel::N,пупок,пупок
22,Busen::N,груди,груди
23,Brust::N,груди,груди
24,Schulter::N,плече,плече
25,Arm::N,рука,рука
26,Ellenbogen::N,лікоть,лікоть
27,Hand::N,рука,рука
28,Handfläche::N,долоня,долоня
29,Finger::N,палець,палець
30,Fingernagel::N,ніготь,ніготь
31,Nagel[Anatomie]::N,ніготь,ніготь
32,Zeh::N,палець на нозі,палець на нозі
33,Fuß::N,нога,нога
34,Ferse::N,п’ятка,п’ятка
35,Knie::N,коліно,коліно
36,Oberschenkel::N,стегно,стегно
37,Bein::N,нога,нога
38,Körper::N,тіло,тіло
39,Haut::N,шкіра,шкіра
40,Blut::N,кров,кров
41,Ader::N,вена,вена
42,Sehne::N,сухожилля,сухожилля
43,Knochen::N,кістка,кістка
44,Gehirn::N,мозок,мозок
45,Herz::N,серце,серце
46,Magen::N,шлунок,шлунок
47,Leber::N,печінка,печінка
48,Atem::N,дихання,дихання
49,Hunger::N,голод,голод
50,Träne::N,сльоза,сльоза
51,Geschmack::N,смак,смак
52,Geruch::N,запах,запах
53,Schlaf::N,сон,сон
54,Schlaf::N,сон,сплячка
55,Schlaf::N,сплячка,сон
56,Schlaf::N,сплячка,сплячка
57,Traum::N,сон,сон
58,Himmel::N,небо,небо
59,Sonne::N,сонце,сонце
60,Mond::N,місяць,місяць
61,Stern::N,зірка,зірка
62,Luft::N,повітря,повітря
63,Wind::N,вітер,вітер
64,Welle::N,хвиля,хвиля
65,Wasser::N,вода,вода
66,Stein::N,камінь,камінь
67,Boden::N,ґрунт,ґрунт
68,Erde::N,земля,земля
69,Staub::N,пил,пил
70,Rauch::N,дим,дим
71,Funke::N,іскра,іскра
72,Feuer::N,вогонь,вогонь
73,Licht::N,світло,світло
74,Schatten::N,тінь,тінь
75,Wetter::N,погода,погода
76,Nebel::N,туман,туман
77,Wolke::N,хмара,хмара
78,Regen::N,дощ,дощ
79,Schnee::N,сніг,сніг
80,Eis::N,лід,лід
81,Frost::N,мороз,мороз
82,Kälte::N,холод,холод
83,Hitze::N,жар,жар
84,Raureif::N,іній,іній
85,Regenbogen::N,райдуга,райдуга
86,Donner::N,грім,грім
87,Strömung::N,струмина,струмина
88,Tropfen::N,крапля,крапля
89,Schaum::N,піна,піна
90,Schmutz::N,бруд,бруд
91,See::N,озеро,озеро
92,Sumpf::N,драговина,драговина
93,Moor::N,болото,болото
94,Wiese::N,луг,луг
95,Wiese::N,луг,лука
96,Wiese::N,лука,луг
97,Wiese::N,лука,лука
98,Wald::N,ліс,ліс
99,Hügel::N,горб,горб
100,Anhöhe::N,височина,височина
101,Berg::N,гора,гора
102,Gipfel::N,вершина,вершина
103,Höhle::N,печера,печера
104,Abhang::N,схил,схил
105,Quelle::N,джерело,джерело
106,Bach::N,струмок,струмок
107,Fluss::N,річка,річка
108,Ufer::N,берег,берег
109,Küste::N,узбережжя,узбережжя
110,Festland::N,суша,суша
111,Meer::N,море,море
112,Bucht::N,бухта,бухта
113,Bucht::N,бухта,затока
114,Bucht::N,затока,бухта
115,Bucht::N,затока,затока
116,Insel::N,острів,острів
117,Blume::N,квітка,квітка
118,Gras::N,трава,трава
119,Wurzel::N,корінь,корінь
120,Baum::N,дерево,дерево
121,Stamm::N,стовбур,стовбур
122,Rinde::N,кора,кора
123,Ast::N,гілка,гілка
124,Zweig::N,галузь,галузь
125,Blatt::N,лист,лист
126,Birke::N,береза,береза
127,Kiefer[Baum]::N,сосна,сосна
128,Weide[Baum]::N,верба,верба
129,Tanne::N,ялиця,ялиця
