,Concept_ID,ta,vep
0,Auge::N,கண்,sil'm
1,Ohr::N,காது,korv
2,Nase::N,மூக்கு,nena
3,Mund::N,வாய்,su
4,Zahn::N,பல்,pi
5,Zahn::N,பல்,hambaz
6,Zunge::N,நாக்கு,kel'
7,Lippe::N,உதடு,hul'
8,Wange::N,கன்னம்,modpolišk
9,Gesicht::N,முகம்,mod
10,Stirn::N,முன்னெற்றி,oc
11,Haar::N,முடி,tuk
12,Haar::N,முடி,hibuz
13,Schnurrbart::N,மீசை,habinod
14,Bart::N,தாடி,bard
15,Kinn::N,கீழதாடை,löug
16,Kiefer[Anatomie]::N,தாடை,hambazlu
17,Kehle::N,தொண்டை,kurk
18,Hals::N,கழுத்து,kagl
19,Genick::N,கழுத்து,tagarai
20,Kopf::N,தலை,pä
21,Rücken::N,முதுகு,sel'g
22,Bauch::N,வயிறு,vac
23,Bauch::N,வயிறு,koht
24,Nabel::N,தொப்புள்,naba
25,Busen::N,மார்பகம்,niža
26,Brust::N, மார்பு,rind
27,Schulter::N,தோள்பட்டை,oug
28,Arm::N,கரம்,käzi
29,Ellenbogen::N,முழங்கை,künambruz
30,Hand::N,கை,käzi
31,Hand::N,கை,käzitera
32,Handfläche::N,உள்ளங்கை,kämen
33,Finger::N,விரல்,sor'm
34,Fingernagel::N,விரல் நகம்,künz'
35,Nagel[Anatomie]::N,நகம்,künz'
36,Zeh::N,கால்விரல்,barbaz
37,Fuß::N,கால்,jaug
38,Ferse::N,குதிகால்,kand
39,Knie::N,முழங்கால்,komb
40,Knie::N,முழங்கால்,pol'v
41,Oberschenkel::N,தொடை,riiže
42,Bein::N,கால்,jaug
43,Körper::N,உடல்,hibj
44,Haut::N,சருமம்,nahk
45,Blut::N,இரத்தம்,čak
46,Blut::N,இரத்தம்,veri
47,Ader::N,நாளம்,son'
48,Sehne::N,தசைநார்,jände
49,Knochen::N,எலுமபு,lu
50,Gehirn::N,மூனை,aivod
51,Herz::N,இதயம,südäin
52,Magen::N,வயிறு,südäikoht
53,Leber::N,கல்லீரல்,maks
54,Atem::N,மூச்சு,hengaiduz
55,Hunger::N,பசி,näl'g
56,Träne::N,கண்ணீர்,kündal'
57,Geschmack::N,நறுமணம்,magu
58,Geruch::N,துர்நாற்றம்,haju
59,Schlaf::N,தூக்கம்,uni
60,Traum::N,கனவு,unikuva
61,Himmel::N,வானம்,taivaz
62,Sonne::N,சூரியன்,päiväine
63,Mond::N,சந்திரன்,kudmaine
64,Stern::N,நட்சத்திரம்,tähtaz
65,Luft::N,காறறு,il'm
66,Wind::N,காற்று,döl
67,Wind::N,காற்று,tullei
68,Welle::N,அலை,ald
69,Welle::N,அலை,laineh
70,Wasser::N,நீர்,vezi
71,Stein::N,கல்,kivi
72,Boden::N,தரை,ma
73,Boden::N,தரை,pohj
74,Erde::N,மண்,ma
75,Staub::N,தூசி,pölü
76,Rauch::N,புகை,savu
