,Concept_ID,es,hi
0,Auge::N,ojo,आँख
1,Auge::N,ojo,चक्षु
2,Ohr::N,oreja,कान
3,Ohr::N,oreja,कर्ण
4,Nase::N,nariz,नाक
5,Nase::N,nariz,नासा
6,Mund::N,boca,मुख
7,Mund::N,boca,मुँह
8,Zahn::N,diente,दंत
9,Zahn::N,diente,दाँत
10,Zunge::N,lengua,जीभ
11,Zunge::N,lengua,ज़बान
12,Zunge::N,lengua,जिह्वा
13,Lippe::N,labio,ओंठ
14,Lippe::N,labio,होंठ
15,Wange::N,mejilla,गाल
16,Wange::N,mejilla,कपोल
17,Gesicht::N,cara,मुँह
18,Gesicht::N,cara,चेहरा
19,Stirn::N,frente,माथा
20,Stirn::N,frente,मस्तक
21,Haar::N,cabello,बाल
22,Schnurrbart::N,bigote,मूँछें
23,Bart::N,barba,दाढ़ी
24,Kinn::N,barbilla,चिबुक
25,Kiefer[Anatomie]::N,mandíbula,जबड़ा
26,Kehle::N,garganta,गला
27,Hals::N,cuello,गला
28,Hals::N,cuello,गरदन
29,Genick::N,nuca,गरदन
30,Genick::N,nuca,ग्रीवा
31,Genick::N,cerviz,गरदन
32,Genick::N,cerviz,ग्रीवा
33,Kopf::N,cabeza,सिर
34,Kopf::N,cabeza,शीर्ष
35,Rücken::N,espalda,पीठ
36,Bauch::N,vientre,उदर
37,Nabel::N,ombligo,नाभि
38,Nabel::N,ombligo,ढोंढी
39,Busen::N,pecho,कुच
40,Busen::N,pecho,स्तन
41,Brust::N,pecho,वक्ष
42,Schulter::N,hombro,कंधा
43,Schulter::N,hombro,स्कंध
44,Arm::N,brazo,बाँह
45,Arm::N,brazo,बाज़ू
46,Ellenbogen::N,codo,कुहनी
47,Hand::N,mano,हाथ
48,Hand::N,mano,हस्त
49,Handfläche::N,palma,हथेली
50,Finger::N,dedo,उँगली
51,Finger::N,dedo,अँगुली
52,Fingernagel::N,uña,नख
53,Fingernagel::N,uña,नाख़ून
54,Nagel[Anatomie]::N,uña,नख
55,Nagel[Anatomie]::N,uña,नाख़ून
56,Zeh::N,dedo del pie,उँगली
57,Zeh::N,dedo del pie,पाँव की उँगली
58,Fuß::N,pie,चरण
59,Fuß::N,pie,पाँव
60,Ferse::N,talón,एड़ी
61,Knie::N,rodilla,जानु
62,Knie::N,rodilla,घुटना
63,Oberschenkel::N,muslo,उरु
64,Bein::N,pierna,टाँग
65,Körper::N,cuerpo,तन
66,Körper::N,cuerpo,देह
67,Körper::N,cuerpo,शरीर
68,Haut::N,piel,चर्म
69,Haut::N,piel,त्वचा
70,Blut::N,sangre,लहू
71,Blut::N,sangre,ख़ून
72,Ader::N,vena,रग
73,Ader::N,vena,शिरा
74,Sehne::N,tendón,कंडरा
75,Sehne::N,tendón,स्नायु
76,Knochen::N,hueso,अस्थि
77,Gehirn::N,cerebro,दिमाग़
78,Gehirn::N,cerebro,मस्तिष्क
79,Gehirn::N,encéfalo,दिमाग़
80,Gehirn::N,encéfalo,मस्तिष्क
81,Herz::N,corazón,दिल
82,Herz::N,corazón,हृदय
83,Magen::N,estómago,मेदा
84,Magen::N,estómago,अमाशय
85,Leber::N,hígado,जिगर
86,Leber::N,hígado,यकृत्
87,Atem::N,aliento,दम
88,Atem::N,aliento,साँस
89,Atem::N,aliento,श्वास
90,Hunger::N,hambre,भूख
91,Hunger::N,hambre,क्षुधा
92,Träne::N,lágrima,आँसू
93,Träne::N,lágrima,अश्रु
94,Geschmack::N,gusto,स्वाद
95,Geschmack::N,gusto,ज़ायक़ा
96,Geruch::N,olor,बू
97,Geruch::N,olor,गंध
98,Schlaf::N,sueño,नींद
99,Schlaf::N,sueño,निद्रा
100,Traum::N,sueño,सपना
101,Traum::N,sueño,स्वप्न
102,Traum::N,ensueño,सपना
103,Traum::N,ensueño,स्वप्न
104,Himmel::N,cielo,आकाश
105,Himmel::N,cielo,आसमान
106,Sonne::N,sol,रवि
107,Sonne::N,sol,सूरज
108,Sonne::N,sol,सूर्य
109,Mond::N,luna,चाँद
110,Mond::N,luna,चंद्र
111,Stern::N,estrella,तारा
112,Stern::N,estrella,सितारा
113,Luft::N,aire,हवा
114,Luft::N,aire,वायु
115,Wind::N,viento,पाद
116,Welle::N,ola,लहर
117,Welle::N,ola,तरंग
118,Welle::N,onda,लहर
119,Welle::N,onda,तरंग
120,Wasser::N,agua,जल
121,Wasser::N,agua,पानी
122,Stein::N,piedra,पत्थर
123,Boden::N,suelo,मिट्टी
124,Erde::N,tierra,भूमि
125,Erde::N,tierra,ज़मीन
126,Staub::N,polvo,धूल
127,Rauch::N,humo,धूआँ
128,Rauch::N,humo,धुम्र
129,Funke::N,chispa,चिनगारी
130,Funke::N,chispa,स्फुलिंग
131,Feuer::N,fuego,आग
132,Feuer::N,fuego,आतिश
133,Feuer::N,fuego,अग्नि
134,Licht::N,luz,रोशनी
135,Licht::N,luz,प्रकाश
136,Schatten::N,sombra,छाया
137,Schatten::N,sombra,परछाई
138,Wetter::N,tiempo,ऋतु
139,Wetter::N,tiempo,मौसम
140,Nebel::N,niebla,धुँध
141,Nebel::N,niebla,कुहरा
142,Wolke::N,nube,मेघ
143,Wolke::N,nube,अभ्र
144,Regen::N,lluvia,मेंह
145,Regen::N,lluvia,बारिश
146,Schnee::N,nieve,हिम
147,Schnee::N,nieve,बर्फ़
148,Eis::N,hielo,हिम
149,Eis::N,hielo,बर्फ़
150,Frost::N,helada,ठंड
151,Kälte::N,frío,सर्दी
152,Kälte::N,frío,शीतलता
153,Hitze::N,calor,ताप
154,Hitze::N,calor,गरमी
155,Raureif::N,escarcha,पाला
156,Regenbogen::N,arco iris,इंद्र-धनुष
157,Donner::N,trueno,गरज
158,Donner::N,trueno,मेघ-गर्जन
159,Strömung::N,corriente,बहाव
160,Strömung::N,corriente,प्रवाह
161,Tropfen::N,gota,बूँद
162,Schaum::N,espuma,झाग
163,Schmutz::N,suciedad,गंद
164,Schmutz::N,suciedad,कीचड़
165,See::N,lago,झील
166,See::N,lago,सरोवर
167,Sumpf::N,pantano,दलदल
168,Sumpf::N,pantano,धँसान
169,Moor::N,turbera,झाबर
170,Moor::N,turbera,धँसान
171,Wiese::N,prado,घास-स्थल
172,Wiese::N,pradera,घास-स्थल
173,Wald::N,bosque,जंगल
174,Hügel::N,colina,टीला
175,Hügel::N,colina,पहाड़
176,Anhöhe::N,cerro,टीला
177,Anhöhe::N,cerro,पहाड़ी
178,Berg::N,monte,पहाड़
179,Berg::N,montaña,पहाड़
180,Gipfel::N,cima,शिखर
181,Gipfel::N,cumbre,शिखर
182,Höhle::N,cueva,गुहा
183,Höhle::N,cueva,गुफ़ा
184,Höhle::N,caverna,गुहा
185,Höhle::N,caverna,गुफ़ा
186,Abhang::N,cuesta,ढाल
187,Abhang::N,cuesta,ढलान
188,Abhang::N,declive,ढाल
189,Abhang::N,declive,ढलान
190,Quelle::N,fuente,चश्मा
191,Quelle::N,manantial,चश्मा
192,Bach::N,arroyo,सोता
193,Bach::N,arroyo,नदिका
194,Fluss::N,río,नदी
195,Fluss::N,río,सरिता
196,Ufer::N,orilla,तट
197,Ufer::N,orilla,किनारा
198,Küste::N,costa,समुद्र-तट
199,Festland::N,tierra firme,महाद्वीप
200,Meer::N,mar,सागर
201,Meer::N,mar,समुद्र
202,Bucht::N,cala,खाड़ी
203,Bucht::N,bahía,खाड़ी
204,Insel::N,isla,टापू
205,Insel::N,isla,द्वीप
206,Blume::N,flor,फूल
207,Blume::N,flor,पुष्प
208,Gras::N,hierba,घास
209,Wurzel::N,raíz,मूल
210,Baum::N,árbol,पेड़
211,Baum::N,árbol,वृक्ष
212,Stamm::N,tronco,धड़
213,Rinde::N,corteza,छाल
214,Rinde::N,corteza,वल्कल
215,Ast::N,rama,डाल
216,Ast::N,rama,शाखा
217,Zweig::N,ramo,टहनी
218,Blatt::N,hoja,पत्र
219,Blatt::N,hoja,पत्ता
220,Birke::N,abedul,भूर्ज
221,Kiefer[Baum]::N,pino,पाइन-वृक्ष
222,Weide[Baum]::N,sauce,बेंत
223,Tanne::N,abeto,फ़र
224,Horn::N,asta,सींग
225,Horn::N,asta,विषाण
226,Horn::N,cuerno,सींग
227,Horn::N,cuerno,विषाण
228,Feder::N,pluma,पर
229,Feder::N,pluma,पंख
230,Fell::N,piel,खाल
231,Fell::N,piel,पशु-चर्म
232,Flügel::N,ala,पंख
233,Flügel::N,ala,डैना
234,Klaue::N,garra,पंजा
235,Kralle::N,uña,पंजा
236,Kralle::N,uña,नाख़ून
237,Kralle::N,garra,पंजा
238,Kralle::N,garra,नाख़ून
239,Schwanz::N,cola,पूँछ
240,Ei::N,huevo,अंडा
241,Nest::N,nido,नीड़
242,Nest::N,nido,घोंसला
243,Bau::N,madriguera,बिल
244,Bau::N,madriguera,माँद
245,Tier::N,animal,पशु
246,Tier::N,animal,जानवर
247,Herde::N,rebaño,गल्ला
248,Kuh::N,vaca,गौ
249,Kuh::N,vaca,गाय
250,Bulle::N,toro,साँड़
251,Pferd::N,caballo,अश्व
252,Pferd::N,caballo,घोड़ा
253,Schaf::N,oveja,भेड़
254,Schwein::N,cerdo,शूकर
255,Hund::N,perro,श्वान
256,Hund::N,perro,कुत्ता
257,Katze::N,gato,बिल्ली
258,Bär::N,oso,रीछ
259,Bär::N,oso,भालू
260,Eichhörnchen::N,ardilla,गिलहरी
261,Elch::N,alce,एल्क
262,Fuchs::N,zorro,लोमड़ी
263,Hase::N,liebre,खरहा
264,Hase::N,liebre,ख़रगोश
265,Maus::N,ratón,मूष
266,Maus::N,ratón,चूहा
267,Wolf::N,lobo,वृक
268,Wolf::N,lobo,भेड़िया
269,Vogel::N,ave,पक्षी
270,Vogel::N,ave,चिड़िया
271,Vogel::N,pájaro,पक्षी
272,Vogel::N,pájaro,चिड़िया
273,Schwarm::N,bandada,झुंड
274,Huhn::N,gallina,मुर्ग़ी
275,Hahn::N,gallo,मुर्ग़ा
276,Gans::N,oca,हंस
277,Gans::N,oca,हंसिनी
278,Gans::N,ganso,हंस
279,Gans::N,ganso,हंसिनी
280,Adler::N,águila,उक़ाब
281,Ente::N,pato,बतख़
282,Ente::N,pato,बत्तक
283,Eule::N,lechuza,उल्लू
284,Kranich::N,grulla,सारस
285,Kranich::N,grulla,क्रौंंच
286,Krähe::N,corneja,काक
287,Kuckuck::N,cuco,कोयल
288,Kuckuck::N,cuco,कोकिल
289,Schwan::N,cisne,हंस
290,Schwan::N,cisne,मराल
291,Fisch::N,pez,मछली
292,Fisch::N,pez,मत्स्य
293,Barsch::N,perca,पर्च
294,Hecht::N,lucio,पाइक
295,Schlange[Tier]::N,serpiente,सर्प
296,Wurm::N,gusano,कृमि
297,Wurm::N,gusano,कीड़ा
298,Spinne::N,araña,लूता
299,Spinne::N,araña,मकड़ी
300,Ameise::N,hormiga,चींटी
301,Laus::N,piojo,जूँ
302,Mücke::N,mosquito,डाँस
303,Fliege::N,mosca,मक्खी
304,Fliege::N,mosca,मक्षिका
305,Schmetterling::N,mariposa,तितली
306,Beere::N,baya,बेरी
307,Apfel::N,manzana,सेब
308,Pilz::N,seta,खुंबी
309,Pilz::N,hongo,खुंबी
310,Zwiebel::N,cebolla,प्याज़
311,Saat::N,siembra,बीज
312,Korn::N,grano,दाना
313,Heu::N,heno,मूखी घास
314,Schale::N,cáscara,बकला
315,Schale::N,cáscara,छिलका
316,Grube::N,foso,गड्ढा
317,Falle::N,trampa,जाल
318,Falle::N,trampa,फँदा
319,Schlinge::N,lazo,फँदा
320,Spur::N,huella,सुराग़
321,Spur::N,huella,पद-चिह्न
322,Asche::N,ceniza,राख
323,Dreck::N,suciedad,मैल
324,Dreck::N,suciedad,गंदगी
325,Eisen::N,hierro,लोहा
326,Gold::N,oro,सोना
327,Gold::N,oro,स्वर्ण
328,Silber::N,plata,रजत
329,Silber::N,plata,चाँदी
330,Kohle::N,carbón,कोयला
331,Glas::N,vidrio,काँच
332,Glas::N,cristal,काँच
333,Lehm::N,barro,चिकनी मिट्टी
