,Concept_ID,fi,zh
0,Auge::N,silmä,眼睛
1,Ohr::N,korva,耳朵
2,Nase::N,nenä,鼻子
3,Mund::N,suu,嘴
4,Zahn::N,hammas,牙齿
5,Zunge::N,kieli,舌头
6,Lippe::N,huuli,嘴唇
7,Wange::N,poski,面颊
8,Gesicht::N,naama,脸
9,Gesicht::N,kasvot,脸
10,Stirn::N,otsa,额
11,Haar::N,hius,头发
12,Haar::N,tukka,头发
13,Schnurrbart::N,viikset,髭须
14,Bart::N,parta,胡子
15,Kinn::N,leuka,下巴
16,Kiefer[Anatomie]::N,leukaluu,颌
17,Kehle::N,kurkku,嗓子
18,Hals::N,kaula,颈
19,Genick::N,niska,后颈
20,Kopf::N,pää,头
21,Rücken::N,selkä,背
22,Bauch::N,maha,肚子
23,Bauch::N,vatsa,肚子
24,Nabel::N,napa,肚脐
25,Busen::N,rinta,胸脯
26,Brust::N,rinta,胸
27,Schulter::N,olka,肩膀
28,Schulter::N,hartia,肩膀
29,Schulter::N,olkapää,肩膀
30,Arm::N,käsivarsi,臂膀
31,Ellenbogen::N,kyynärpää,肘
32,Hand::N,käsi,手
33,Handfläche::N,kämmen,手掌
34,Finger::N,sormi,手指
35,Fingernagel::N,kynsi,指甲
36,Nagel[Anatomie]::N,kynsi,指甲
37,Zeh::N,varvas,脚趾
38,Fuß::N,jalka,脚
39,Ferse::N,kantapää,后跟
40,Knie::N,polvi,膝
41,Oberschenkel::N,reisi,大腿
42,Bein::N,jalka,腿
43,Körper::N,keho,身体
44,Körper::N,ruumis,身体
45,Haut::N,iho,皮肤
46,Blut::N,veri,血
47,Ader::N,suoni,血管
48,Sehne::N,jänne,腱
49,Knochen::N,luu,骨
50,Gehirn::N,aivot,脑
51,Herz::N,sydän,心
52,Magen::N,maha,胃
53,Magen::N,vatsa,胃
54,Leber::N,maksa,肝
55,Atem::N,henki,呼吸
56,Atem::N,hengitys,呼吸
57,Hunger::N,nälkä,饿
58,Träne::N,kyynel,眼泪
59,Geschmack::N,maku,味道
60,Geruch::N,haju,气味
61,Schlaf::N,uni,睡眠
62,Traum::N,uni,梦
63,Himmel::N,taivas,天空
64,Sonne::N,aurinko,太阳
65,Mond::N,kuu,月亮
66,Stern::N,tähti,星
67,Luft::N,ilma,空气
68,Wind::N,tuuli,风
69,Welle::N,aalto,波
70,Wasser::N,vesi,水
71,Stein::N,kivi,石头
72,Boden::N,maa,地面
73,Boden::N,maaperä,地面
74,Erde::N,maa,地
75,Staub::N,pöly,灰尘
76,Rauch::N,savu,烟
77,Funke::N,kipinä,火花
78,Feuer::N,tuli,火
79,Licht::N,valo,光
80,Schatten::N,varjo,影子
81,Wetter::N,sää,天气
82,Nebel::N,sumu,雾
83,Wolke::N,pilvi,云
84,Regen::N,sade,雨
85,Schnee::N,lumi,雪
86,Eis::N,jää,冰
87,Frost::N,halla,霜冻
88,Frost::N,pakkanen,霜冻
89,Kälte::N,vilu,寒冷
90,Kälte::N,kylmyys,寒冷
91,Hitze::N,helle,炎热
92,Hitze::N,kuumuus,炎热
93,Raureif::N,huurre,霜
94,Regenbogen::N,sateenkaari,虹
95,Donner::N,jyrinä,雷
96,Strömung::N,virtaus,水流
97,Tropfen::N,tippa,滴
98,Tropfen::N,pisara,滴
99,Schaum::N,vaahto,泡沫
100,Schmutz::N,loka,赃物
101,See::N,järvi,湖
102,Sumpf::N,suo,沼泽
103,Moor::N,räme,沼泽
104,Wiese::N,niitty,草地
105,Wald::N,metsä,森林
106,Hügel::N,mäki,丘陵
107,Hügel::N,kumpu,丘陵
108,Hügel::N,kukkula,丘陵
109,Anhöhe::N,mäki,山丘
110,Anhöhe::N,kumpare,山丘
111,Berg::N,mäki,山
112,Berg::N,vuori,山
113,Gipfel::N,laki,峰
114,Gipfel::N,huippu,峰
115,Höhle::N,luola,洞穴
116,Abhang::N,rinne,斜坡
117,Quelle::N,lähde,泉
118,Bach::N,puro,溪
119,Fluss::N,joki,河流
120,Ufer::N,ranta,岸
121,Küste::N,rannikko,海岸
122,Festland::N,manner,大陆
123,Meer::N,meri,海
124,Bucht::N,lahti,海湾
125,Insel::N,saari,岛
126,Blume::N,kukka,花
127,Gras::N,ruoho,草
128,Wurzel::N,juuri,根
129,Baum::N,puu,树
130,Stamm::N,runko,树干
131,Rinde::N,kuori,树皮
132,Rinde::N,parkki,树皮
133,Ast::N,oksa,树枝
134,Zweig::N,haara,树枝
135,Blatt::N,lehti,叶子
136,Birke::N,koivu,桦木
137,Kiefer[Baum]::N,mänty,松树
138,Kiefer[Baum]::N,petäjä,松树
139,Weide[Baum]::N,paju,柳树
140,Tanne::N,kuusi,冷杉
141,Horn::N,sarvi,角
142,Feder::N,sulka,羽毛
143,Feder::N,höyhen,羽毛
144,Fell::N,talja,皮毛
145,Flügel::N,siipi,翅膀
146,Klaue::N,kynsi,爪子
147,Kralle::N,kynsi,爪子
148,Schwanz::N,häntä,尾巴
149,Schwanz::N,pyrstö,尾巴
150,Ei::N,muna,蛋
151,Nest::N,pesä,巢
152,Bau::N,pesä,穴
153,Tier::N,eläin,动物
154,Herde::N,lauma,群
155,Kuh::N,lehmä,母牛
156,Bulle::N,sonni,公牛
157,Pferd::N,hevonen,马
158,Schaf::N,lammas,羊
159,Schwein::N,sika,猪
160,Hund::N,koira,狗
161,Katze::N,kissa,猫
162,Bär::N,karhu,熊
163,Eichhörnchen::N,orava,松鼠
164,Elch::N,hirvi,麋鹿
165,Fuchs::N,kettu,狐狸
166,Hase::N,jänis,兔子
167,Maus::N,hiiri,老鼠
168,Wolf::N,susi,狼
169,Vogel::N,lintu,鸟
170,Schwarm::N,parvi,群
171,Huhn::N,kana,鸡
172,Hahn::N,kukko,公鸡
173,Gans::N,hanhi,鹅
174,Adler::N,kotka,鹰
175,Ente::N,ankka,鸭
176,Eule::N,pöllö,猫头鹰
177,Kranich::N,kurki,鹤
178,Krähe::N,varis,乌鸦
179,Kuckuck::N,käki,布谷鸟
180,Schwan::N,joutsen,天鹅
181,Fisch::N,kala,鱼
182,Barsch::N,ahven,鲈鱼
183,Hecht::N,hauki,狗鱼
184,Schlange[Tier]::N,käärme,蛇
185,Wurm::N,mato,蠕虫
186,Spinne::N,hämähäkki,蜘蛛
187,Ameise::N,muurahainen,蚂蚁
188,Laus::N,täi,虱子
189,Mücke::N,sääski,蚊子
190,Mücke::N,hyttynen,蚊子
191,Fliege::N,kärpänen,苍蝇
192,Schmetterling::N,perhonen,蝴蝶
193,Beere::N,marja,将果
194,Apfel::N,omena,苹果
195,Pilz::N,sieni,蘑菇
196,Zwiebel::N,sipuli,洋葱
197,Saat::N,siemenet,种子
198,Korn::N,jyvä,谷粒
199,Korn::N,vilja,谷粒
200,Heu::N,heinä,干草
201,Schale::N,kuori,壳
202,Grube::N,kuoppa,坑
203,Falle::N,loukku,圈套
204,Schlinge::N,ansa,活扣
205,Spur::N,jälki,踪迹
206,Asche::N,tuhka,灰烬
207,Dreck::N,lika,污垢
208,Eisen::N,rauta,铁
209,Gold::N,kulta,金子
210,Silber::N,hopea,银
211,Kohle::N,hiili,煤
212,Glas::N,lasi,玻璃
213,Lehm::N,savi,粘土
214,Sand::N,hiekka,沙
215,Mensch::N,ihminen,人
216,Mann::N,mies,男子
217,Frau::N,nainen,妇女
218,Kind::N,lapsi,小孩
219,Junge::N,poika,男孩
220,Mädchen::N,tyttö,女孩
221,Familie::N,perhe,家庭
222,Großvater::N,isoisä,祖父
223,Großmutter::N,isoäiti,祖母
224,Eltern::N,vanhemmat,父母
225,Vater::N,isä,父亲
226,Mutter::N,äiti,母亲
227,Sohn::N,poika,儿子
228,Tochter::N,tytär,女儿
229,Bruder::N,veli,兄弟
230,Schwester::N,sisko,姐妹
231,Onkel::N,eno,伯父
232,Onkel::N,setä,伯父
233,Tante::N,täti,阿姨
234,Ehemann::N,mies,丈夫
235,Ehemann::N,aviomies,丈夫
236,Ehefrau::N,vaimo,妻子
237,Ehefrau::N,aviovaimo,妻子
238,Freude::N,ilo,愉快
239,Freude::N,riemu,愉快
240,Gelächter::N,nauru,大笑
241,Glück::N,onni,运气
242,Kummer::N,suru,苦恼
243,Kummer::N,murhe,苦恼
244,Wunsch::N,toive,愿望
245,Wunsch::N,toivomus,愿望
246,Lust::N,himo,乐趣
247,Geist::N,henki,精神
248,Gedanke::N,aate,思想
249,Gedanke::N,ajatus,思想
250,Gedächtnis::N,muisti,记性
251,Verstand::N,äly,理智
252,Verstand::N,järki,理智
253,Verstand::N,ymmärrys,理智
254,Sinn::N,merkitys,感觉
255,Grund::N,syy,理由
256,Grund::N,peruste,理由
257,Wahrheit::N,tosi,真理
258,Wahrheit::N,totuus,真理
259,Gespräch::N,puhelu,谈话
260,Gespräch::N,keskustelu,谈话
261,Märchen::N,satu,童话
262,Erzählung::N,tarina,故事
263,Erzählung::N,kertomus,故事
264,Nachricht::N,tieto,消息
265,Nachricht::N,ilmoitus,消息
266,Neuigkeit::N,uutinen,新闻
267,Name::N,nimi,名字
268,Rätsel::N,arvoitus,谜语
269,Rede::N,puhe,讲话
270,Sprache::N,kieli,语言
271,Stimme::N,ääni,声音
272,Wort::N,sana,词
273,Zeichen::N,merkki,标记
274,Ruf::N,kutsu,呼喊
275,Lärm::N,melu,噪音
276,Lärm::N,hälinä,噪音
277,Laut::N,ääni,响声
278,Ton::N,sävel,声音
279,Lied::N,laulu,歌曲
280,Ruhe::N,lepo,安静
281,Ruhe::N,rauha,安静
282,Leute::N,väki,人们
283,Leute::N,ihmiset,人们
284,Volk::N,kansa,人民
285,Arbeit::N,työ,劳动
286,Gast::N,vieras,客人
287,Geschenk::N,lahja,礼物
288,Spiel::N,peli,游戏
289,Spiel::N,leikki,游戏
290,Gesellschaft::N,seura,陪同
291,Hilfe::N,apu,帮助
292,Freund::N,ystävä,朋友
293,Kamerad::N,toveri,同志
294,Angelegenheit::N,asia,事情
295,Anzahl::N,lukumäärä,数目
296,Art::N,laji,种类
297,Stück::N,pala,块
298,Stück::N,kappale,块
299,Teil::N,osa,部分
300,Hälfte::N,puoli,一半
301,Kreis::N,ympyrä,圆
302,Kreuz::N,risti,十字架
303,Linie::N,viiva,线条
304,Strich::N,piirto,划
305,Abstand::N,väli,距离
306,Abstand::N,väljyys,距离
307,Entfernung::N,etäisyys,距离
308,Gegend::N,seutu,地区
309,Platz::N,tila,场所
310,Ort::N,kohta,地点
311,Ort::N,paikka,地点
312,Seite::N,sivu,面
313,Seite::N,kylki,面
314,Mitte::N,keskus,中间
315,Mitte::N,puoliväli,中间
316,Gegenstand::N,kalu,物品
317,Gegenstand::N,esine,物品
318,Sache::N,asia,物
319,Rand::N,ääri,边
320,Rand::N,syrjä,边
321,Kante::N,särmä,棱
322,Ecke::N,nurkka,角
323,Spitze::N,terä,尖
324,Spitze::N,kärki,尖
325,Ende::N,pää,结尾
326,Ende::N,perä,结尾
327,Loch::N,kolo,洞
328,Loch::N,reikä,洞
329,Winkel::N,kulma,角度
330,Muster::N,kuvio,模型
331,Größe::N,koko,大小
332,Größe::N,suuruus,大小
333,Länge::N,pituus,长度
334,Höhe::N,korkeus,高度
335,Gewicht::N,paino,重量
336,Menge::N,määrä,数量
337,Haufen::N,kasa,堆
338,Reihe::N,rivi,行
339,Boot::N,vene,小船
340,Ruder::N,airo,奖
341,Schlitten::N,reki,雪橇
342,Schlitten::N,kelkka,雪橇
343,Ski::N,suksi,雪板
344,Lagerfeuer::N,nuotio,营火
345,Last::N,kuorma,负担
346,Gang::N,kulku,行走
347,Gang::N,käynti,行走
348,Schritt::N,askel,步伐
349,Norden::N,pohjoinen,北
350,Süden::N,etelä,南
351,Westen::N,länsi,西
352,Osten::N,itä,东
353,Holz::N,puu,木材
354,Brett::N,lauta,木板
355,Platte::N,levy,平板
356,Stütze::N,noja,支架
357,Stange::N,tanko,杆
358,Stock::N,keppi,棒
359,Stab::N,sauva,棍
360,Stab::N,seiväs,棍
361,Rohr::N,putki,管子
362,Haus::N,talo,房屋
363,Heim::N,koti,家
364,Ofen::N,uuni,炉子
365,Fußboden::N,lattia,地板
366,Tisch::N,pöytä,桌子
367,Stuhl::N,tuoli,椅子
368,Wiege::N,kehto,摇蓝
369,Bett::N,sänky,床
370,Regal::N,hylly,架子
371,Kiste::N,arkku,箱子
372,Kiste::N,kirstu,箱子
373,Kiste::N,laatikko,箱子
374,Fenster::N,ikkuna,窗户
375,Tür::N,ovi,门
376,Tor::N,portti,大门
377,Zaun::N,aita,篱笆
378,Dach::N,katto,屋顶
