,Concept_ID,hu,ro
0,Auge::N,szem,ochi
1,Ohr::N,fül,ureche
2,Nase::N,orr,nas
3,Mund::N,száj,gură
4,Zahn::N,fog,dinte
5,Zunge::N,nyelv,limbă
6,Lippe::N,ajak,buză
7,Wange::N,orca,bucă
8,Wange::N,orca,obraz
9,Gesicht::N,arc,față
10,Gesicht::N,arc,figură
11,Stirn::N,homlok,frunte
12,Haar::N,haj,păr
13,Schnurrbart::N,bajusz,mustață
14,Bart::N,szakáll,barbă
15,Kinn::N,áll,bărbie
16,Kiefer[Anatomie]::N,állkapocs,falcă
17,Kehle::N,gége,beregată
18,Kehle::N,torok,beregată
19,Hals::N,nyak,gât
20,Genick::N,tarkó,ceafă
21,Kopf::N,fő,cap
22,Kopf::N,fej,cap
23,Rücken::N,hát,dos
24,Rücken::N,hát,spate
25,Rücken::N,hát,spinare
26,Bauch::N,has,burtă
27,Bauch::N,has,pântece
28,Nabel::N,köldök,buric
29,Busen::N,mell,sân
30,Busen::N,kebel,sân
31,Brust::N,mell,piept
32,Schulter::N,váll,umăr
33,Schulter::N,váll,spate
34,Arm::N,kar,braț
35,Ellenbogen::N,könyök,cot
36,Hand::N,kéz,mână
37,Handfläche::N,tenyér,palmă
38,Finger::N,ujj,deget
39,Fingernagel::N,köröm,unghie
40,Nagel[Anatomie]::N,köröm,unghie
41,Zeh::N,lábujj,deget de la picior
42,Fuß::N,láb,picior
43,Ferse::N,sarok,călcâi
44,Knie::N,térd,genunchi
45,Oberschenkel::N,comb,coapsă
46,Bein::N,láb,picior
47,Bein::N,lábszár,picior
48,Körper::N,test,corp
49,Haut::N,bőr,piele
50,Blut::N,vér,sânge
51,Ader::N,ér,vână
52,Ader::N,ér,arteră
53,Sehne::N,ín,tendon
54,Knochen::N,csont,os
55,Gehirn::N,agy,creier
56,Gehirn::N,agyvelő,creier
57,Herz::N,szív,inimă
58,Magen::N,gyomor,stomac
59,Leber::N,máj,ficat
60,Atem::N,lehelet,răsuflare
61,Atem::N,lehelet,respirație
62,Atem::N,lélegzet,răsuflare
63,Atem::N,lélegzet,respirație
64,Hunger::N,éhség,foame
65,Träne::N,könny,lacrimă
66,Geschmack::N,íz,gust
67,Geruch::N,szag,miros
68,Schlaf::N,álom,somn
69,Schlaf::N,alvás,somn
70,Traum::N,álom,vis
71,Himmel::N,ég,cer
72,Himmel::N,menny,cer
73,Sonne::N,nap,soare
74,Mond::N,hold,lună
75,Stern::N,csillag,stea
76,Luft::N,levegő,aer
77,Wind::N,szél,vânt
78,Welle::N,hullám,val
79,Welle::N,hullám,undă
80,Wasser::N,víz,apă
81,Stein::N,kő,piatră
82,Boden::N,föld,sol
83,Boden::N,föld,pământ
84,Boden::N,talaj,sol
85,Boden::N,talaj,pământ
86,Erde::N,föld,pământ
87,Staub::N,por,praf
88,Rauch::N,füst,fum
89,Funke::N,szikra,scânteie
90,Feuer::N,tűz,foc
91,Licht::N,fény,lumină
92,Schatten::N,árnyék,umbră
93,Wetter::N,idő,timp
94,Wetter::N,idő,vreme
95,Wetter::N,időjárás,timp
96,Wetter::N,időjárás,vreme
97,Nebel::N,köd,ceață
98,Nebel::N,köd,negură
99,Wolke::N,felhő,nor
100,Regen::N,eső,ploaie
101,Schnee::N,hó,zăpadă
102,Eis::N,jég,gheață
103,Frost::N,fagy,ger
104,Kälte::N,hideg,frig
105,Hitze::N,hő,arșiță
