,Concept_ID,lbe,sl
169,Vogel::N,лелуххи,ptìč
170,Vogel::N,лелуххи,ptíca
171,Schwarm::N,гьухъала,játa
172,Huhn::N,аьнакӏи,kokóš
173,Hahn::N,ажари,petêlin
174,Gans::N,къаз,gós
175,Adler::N,барзу,ôrel
176,Ente::N,урдак,ráca
177,Eule::N,ису,sôva
178,Eule::N,ччиккумяв,sôva
179,Kranich::N,кьурукь,žerjàv
180,Krähe::N,хъатӏу,vrána
181,Kuckuck::N,ччикку,kúkavica
182,Schwan::N,урттил къаз,labód
183,Fisch::N,чавахъ,ríba
184,Schlange[Tier]::N,шатта,káča
185,Wurm::N,кьюнукьай шатта,čr̀v
186,Wurm::N,кьюнукьай шатта,glísta
187,Spinne::N,ххялцу,pájek
188,Ameise::N,митӏикьукьу,mrávlja
189,Mücke::N,мичӏак,komár
190,Fliege::N,зимиз,múha
191,Schmetterling::N,чӏимучӏали,metúlj
192,Beere::N,хӏаллил ахъулсса,jágoda
193,Apfel::N,гьивч,jábolko
194,Pilz::N,ттуккул иис,góba
195,Zwiebel::N,лаччул чсмусул бакӏ,čebúla
196,Saat::N,гьанна,séme
197,Korn::N,къама,zŕno
198,Heu::N,ххулув,senó
199,Schale::N,ккиртту,lupína
200,Grube::N,кӏаланг,jáma
201,Falle::N,къатӏа,pást
202,Schlinge::N,хӏатӏ,zánka
203,Schlinge::N,хӏатӏ,pêtlja
204,Spur::N,ша,sléd
205,Asche::N,лах,pepél
206,Dreck::N,кьяркьи,bláto
207,Dreck::N,венп,bláto
208,Eisen::N,мах,želézo
209,Gold::N,муси,zlató
210,Silber::N,арцу,srebró
211,Kohle::N,кӏалаш,ógel
212,Kohle::N,хъуручӏ,ógel
213,Glas::N,пюрун,stêklo
214,Lehm::N,сина аьрщи,ílo
215,Sand::N,къун,pések
216,Mensch::N,инсан,člôvek
217,Mann::N,чув,móž
218,Mann::N,чув,môški
219,Mann::N,адимина,móž
220,Mann::N,адимина,môški
221,Frau::N,щарсса,gospá
222,Frau::N,щарсса,žénska
223,Frau::N,хъамитайпа,gospá
224,Frau::N,хъамитайпа,žénska
225,Kind::N,чӏиви оьрчӏ,déte
226,Kind::N,чӏиви оьрчӏ,otròk
227,Junge::N,оьрчӏ,fànt
228,Junge::N,оьрчӏ,déček
229,Junge::N,бурхьин оьрчӏ,fànt
230,Junge::N,бурхьин оьрчӏ,déček
231,Mädchen::N,душ,deklè
232,Mädchen::N,душ,déklica
233,Familie::N,кулпат,družína
234,Großvater::N,ттатта,dèd
235,Großvater::N,ттатта,dédek
236,Großvater::N,ниттил ппу,dèd
237,Großvater::N,ниттил ппу,dédek
238,Großmutter::N,буттал нину,bábica
239,Eltern::N,нину-ппу,stárši
240,Vater::N,ппу,ôče
241,Mutter::N,нину,máma
242,Sohn::N,арс,sín
243,Tochter::N,душ,hčí
244,Tochter::N,душ,hčérka
245,Bruder::N,уссу,bràt
246,Schwester::N,ссу,sêstra
247,Onkel::N,буттауссу,újec
248,Onkel::N,буттауссу,stríc
249,Tante::N,буттал ссу,têta
250,Tante::N,буттал ссу,strína
251,Ehemann::N,лас,móž
252,Ehemann::N,лас,sopróg
253,Ehefrau::N,щар,žêna
254,Ehefrau::N,щар,sopróga
255,Ehefrau::N,щарсса,žêna
256,Ehefrau::N,щарсса,sopróga
257,Freude::N,шадшиву,rádost
258,Freude::N,шадшиву,vesêlje
259,Freude::N,ххаришиву,rádost
260,Freude::N,ххаришиву,vesêlje
261,Gelächter::N,хъяхъаву,sméh
262,Gelächter::N,хъяхъаву,grohòt
263,Glück::N,талихӏ,sréča
264,Kummer::N,дард,gorjé
265,Wunsch::N,мурад,žêlja
266,Lust::N,гьавас,poželênje
267,Lust::N,ччаву,poželênje
268,Geist::N,рухӏ,dúša
269,Gedanke::N,пикри,mísel
270,Gedächtnis::N,дакӏний личӏаву,pámet
271,Verstand::N,аькьлу,
272,Sinn::N,мяъна,pomèn
273,Sinn::N,мяъна,smísel
274,Grund::N,багьана,vzròk
275,Wahrheit::N,тӏайламур,resníca
276,Wahrheit::N,хӏакьмур,resníca
277,Gespräch::N,ихтилат,pogóvor
278,Märchen::N,магьа,právljica
279,Erzählung::N,хавар,povést
280,Nachricht::N,хавар,sporočílo
281,Neuigkeit::N,хавар,novóst
282,Name::N,цӏа,imé
283,Rätsel::N,ссигьа,ugánka
284,Rede::N,гъалгъа,góvor
285,Sprache::N,маз,jêzik
286,Stimme::N,чӏу,glás
287,Stimme::N,чӏукӏа,glás
288,Wort::N,махъ,beséda
289,Zeichen::N,лишан,znák
290,Lärm::N,чӏу,hrúp
291,Lärm::N,чӏу,trúšč
292,Laut::N,чӏу,glás
293,Ton::N,чӏу,tón
294,Lied::N,балай,pésem
295,Ruhe::N,дигьалагру,pokòj
296,Leute::N,инсантал,ljudjé
297,Volk::N,ил,národ
298,Volk::N,халкь,národ
299,Arbeit::N,заву,délo
300,Gast::N,хъамаличу,gòst
301,Geschenk::N,бухчакарши,darílo
302,Geschenk::N,лажинккакку,darílo
303,Spiel::N,тӏуркӏу,ígra
304,Gesellschaft::N,жямат,drúžba
305,Gesellschaft::N,ккуран,drúžba
306,Hilfe::N,кумаг,pomóč
307,Freund::N,дус,prijátelj
308,Kamerad::N,хӏаласу,továriš
309,Angelegenheit::N,иш,zadéva
310,Anzahl::N,аьдад,števílo
311,Art::N,жинс,vŕsta
312,Stück::N,касак,kós
313,Teil::N,бутӏа,dél
314,Hälfte::N,дачӏи,polovíca
315,Kreis::N,кюрщан,króg
316,Kreis::N,кюрщан,kolobár
317,Kreuz::N,ххач,kríž
318,Linie::N,щва,próga
319,Strich::N,щва,čŕta
320,Abstand::N,манзил,preslédek
321,Entfernung::N,манзил,oddáljenost
322,Gegend::N,кӏану,kràj
323,Gegend::N,кӏану,dežêla
324,Ort::N,кӏану,mésto
325,Seite::N,чул,bòk
326,Seite::N,чул,strán
327,Seite::N,чулухалу,bòk
328,Seite::N,чулухалу,strán
329,Mitte::N,дя,sredína
330,Gegenstand::N,зат,prédmet
331,Sache::N,зат,réč
332,Sache::N,зат,stvár
333,Rand::N,зума,kràj
334,Ecke::N,мурцӏу,vogál
335,Spitze::N,мицӏ,óst
336,Ende::N,зума,kônec
337,Loch::N,ккутӏ,lúknja
338,Winkel::N,мурцӏу,kót
339,Muster::N,накьич,vzórec
340,Länge::N,лахъишиву,dolžína
341,Höhe::N,лахъшиву,vršína
342,Gewicht::N,дуццин,téža
343,Gewicht::N,кӏушиву,téža
344,Haufen::N,бакӏу,kùp
345,Haufen::N,бакӏу,kopíca
346,Reihe::N,кьюкьа,níz
347,Reihe::N,кьюкьа,vŕsta
348,Boot::N,луткка,čóln
349,Ruder::N,весло,vêslo
350,Ruder::N,чӏатӏа,vêslo
351,Schlitten::N,чана,saní
352,Schlitten::N,санкка,saní
353,Ski::N,лижарду,smučí
354,Lagerfeuer::N,къавтӏн,táborni ôgenj
355,Last::N,гьиву,tôvor
356,Gang::N,нанаву,hòd
357,Schritt::N,ша,korák
358,Norden::N,ухссав,séver
359,Norden::N,ухссавнил чулухалу,séver
360,Süden::N,кьилва,júg
361,Westen::N,баргълагавал,zapàd
362,Westen::N,баргълагавал чул,zapàd
363,Osten::N,баргъбуккай чулухалу,vzhòd
364,Holz::N,тӏама,lés
365,Brett::N,тахта,deskà
366,Platte::N,гъуни,plôča
367,Stütze::N,гьалакӏу,opóra
368,Stütze::N,гьалакӏу,zaslómba
369,Stange::N,къазихъ,gréd
370,Stock::N,ттархь,pálica
371,Stab::N,ччантӏакъу,pálica
372,Rohr::N,бургъу,cév
373,Haus::N,къатта,híša
374,Heim::N,къатта,dóm
375,Ofen::N,пач,péč
376,Fußboden::N,чӏанкъатта,pòd
377,Tisch::N,усттул,míza
378,Stuhl::N,кӏану,stòl
379,Wiege::N,оьрчӏал кӏану,zíbel
380,Bett::N,тах,póstelja
381,Regal::N,чӏаму,políca
382,Kiste::N,яшикӏ,zabòj
383,Kiste::N,къурши,zabòj
384,Fenster::N,чӏавахьулу,ôkno
385,Tür::N,нуз,vráta
386,Tür::N,нузкьун,vráta
387,Tor::N,къапу,velíka vráta
388,Tor::N,дарваза,velíka vráta
389,Zaun::N,дайгьузанну,ográja
390,Dach::N,магъи,stréha
391,Dach::N,цӏиялу,stréha
392,Leiter::N,чуртту,léstev
393,Besen::N,чӏатлу,mêtla
394,Spaten::N,бил,lopáta
395,Schaufel::N,чӏатӏа,lopáta
396,Gabel::N,гьиссилу,vílice
397,Löffel::N,къуса,žlíca
398,Messer::N,чӏила,nòž
399,Nagel::N,мяр,žebèlj
400,Netz::N,къери,mréža
401,Haken::N,къича,kljúka
402,Griff::N,куяму,ročáj
403,Griff::N,куяму,oprijèm
404,Schloss::N,кьункьула,ključávnica
405,Bild::N,сурат,slíka
406,Puppe::N,ссихьу,lútka
407,Beutel::N,чантай,môšnja
408,Bündel::N,гьи,cúla
409,Bündel::N,гьи,svéženj
410,Bündel::N,къар,cúla
411,Bündel::N,къар,svéženj
412,Eimer::N,бадра,vêdro
413,Deckel::N,къапаза,pokròv
414,Deckel::N,къапаза,poklópec
415,Geschirr::N,пюрунчӏул,posóda
416,Geschirr::N,тӏахӏникӏичӏу,posóda
417,Sack::N,къап,vréča
418,Sack::N,дарваг,vréča
419,Tasse::N,пижан,skodélica
420,Tasse::N,пинжан,skodélica
421,Tasse::N,инкираччатӏи,skodélica
422,Tasse::N,цинцилттал бушкъап,skodélica
423,Topf::N,кӏункӏур,lônec
424,Kessel::N,чаг,kôtel
425,Kessel::N,кӏункӏур,kôtel
426,Essen::N,дукия,hrána
427,Essen::N,дукин,hrána
428,Nahrung::N,дукра,živílo
429,Speise::N,дукра,jéd
430,Fleisch::N,дикӏ,mesó
431,Getreide::N,къама,žíto
432,Brei::N,ккурч,káša
433,Brot::N,ччатӏ,krùh
434,Scheibe::N,парча,réženj
