,Concept_ID,et,ps
0,Auge::N,silm,سترګه
1,Ohr::N,kõrv,غوږ
2,Nase::N,nina,پوزه
3,Mund::N,suu,خوله
4,Zahn::N,hammas,غاښ
5,Zunge::N,keel,جبه
6,Lippe::N,huul,شونډه
7,Wange::N,põsk,باړخو
8,Gesicht::N,nägu,مخ
9,Stirn::N,otsmik,تندی
10,Stirn::N,otsmik,وچولی
11,Haar::N,juus,وېښته
12,Schnurrbart::N,vurrud,برېت
13,Schnurrbart::N,vuntsid,برېت
14,Bart::N,habe,ږیره
15,Kinn::N,lõug,زنه
16,Kiefer[Anatomie]::N,lõualuu,جامه
17,Kehle::N,kõri,غاړه
18,Hals::N,kael,غاړه
19,Genick::N,kukal,ورمېږ
20,Kopf::N,pea,سر
21,Rücken::N,selg,شا
22,Bauch::N,kõht,نس
23,Bauch::N,kõht,ګېډه
24,Nabel::N,naba,نوم
25,Busen::N,rind,تی
26,Brust::N,rind,سینه
27,Schulter::N,õlg,اوږه
28,Arm::N,käsivars,لاس
29,Ellenbogen::N,küünarnukk,څنګل
30,Hand::N,käsi,لاس
31,Handfläche::N,pihk,ورغوی
32,Finger::N,sõrm,ګوته
33,Fingernagel::N,küüs,نوک
34,Nagel[Anatomie]::N,küüs,نوک
35,Zeh::N,varvas,ګوته
36,Fuß::N,jalg,پښه
37,Ferse::N,kand,پونده
38,Knie::N,põlv,زنګون
39,Oberschenkel::N,reis,پتون
40,Bein::N,jalg,پښه
41,Körper::N,ihu,ځان
42,Körper::N,keha,ځان
43,Haut::N,nahk,پوټکی
44,Blut::N,veri,وینه
45,Ader::N,veen,رګ
46,Sehne::N,kõõlus,پله
47,Knochen::N,luu,هډوکی
48,Gehirn::N,aju,ماغزه
49,Herz::N,süda,زړه
50,Magen::N,magu,معده
51,Leber::N,maks,ينه
52,Leber::N,maks,ځیګر
53,Atem::N,hingeõhk,نفس
54,Atem::N,hingamine,نفس
55,Hunger::N,nälg,ولږه
56,Träne::N,pisar,اوښکه
57,Geschmack::N,maitse,مزه
58,Geschmack::N,maitse,خوند
59,Geruch::N,lõhn,بوی
60,Schlaf::N,uni,خوب
61,Traum::N,unenägu,خوب
62,Himmel::N,taevas,اسمان
63,Sonne::N,päike,لمر
64,Mond::N,kuu,سپوږمۍ
65,Stern::N,täht,ستوری
66,Luft::N,õhk,هوا
67,Wind::N,tuul,ورښ
68,Welle::N,laine,موج
69,Wasser::N,vesi,اوبه
70,Stein::N,kivi,ډبره
71,Boden::N,maa,مځکه
72,Boden::N,pinnas,مځکه
73,Erde::N,maa,خاوره
74,Staub::N,põrm,ګرد
75,Staub::N,põrm,خاوره
76,Rauch::N,suits,دود
77,Rauch::N,suits,لوګی
78,Funke::N,säde,سپرغۍ
79,Feuer::N,tuli,اور
80,Licht::N,valgus,رڼا
81,Schatten::N,vari,سیوری
82,Wetter::N,ilm,هوا
83,Nebel::N,udu,لړه
84,Wolke::N,pilv,ورېځ
85,Regen::N,sadu,وریا
86,Regen::N,sadu,باران
87,Schnee::N,lumi,واوره
88,Eis::N,jää,یخ
89,Eis::N,jää,کنګل
90,Frost::N,pakane,یخ
91,Kälte::N,külm,ساړه
92,Kälte::N,külmus,ساړه
93,Hitze::N,kuumus,تودوخي
94,Hitze::N,palavus,تودوخي
95,Raureif::N,härmatis,سپینه پرخه
96,Regenbogen::N,vikerkaar,بوډۍ ټال
97,Regenbogen::N,vikerkaar,سره زرغونه
98,Donner::N,kõu,تالنده
99,Donner::N,müristamine,تالنده
100,Strömung::N,voolus,بهېدنه
101,Strömung::N,jõevool,بهېدنه
102,Tropfen::N,tilk,قطره
103,Tropfen::N,tilk,څاڅکی
104,Schaum::N,vaht,ځګ
105,Schmutz::N,pori,ناپاکي
106,Schmutz::N,mustus,ناپاکي
107,See::N,järv,جهیل
108,Sumpf::N,soo,جبه
109,Moor::N,raba,جبه
110,Wiese::N,aas,چمن
111,Wiese::N,aas,شنېلی
112,Wiese::N,nurm,چمن
113,Wiese::N,nurm,شنېلی
114,Wald::N,mets,ځنګل
115,Hügel::N,küngas,تپه
116,Anhöhe::N,küngas,غونډۍ
117,Berg::N,mägi,غ‍‍‍‍‍ر
118,Gipfel::N,mäetipp,څوکه
119,Höhle::N,koobas,کاز
120,Abhang::N,nõlvak,لمن
121,Quelle::N,allikas,چینه
122,Bach::N,oja,واله
123,Fluss::N,jõgi,سیند
124,Ufer::N,kallas,غاړه
125,Küste::N,rannik,ساحل
126,Festland::N,mander,وچه
127,Festland::N,maismaa,وچه
128,Meer::N,meri,بحر
129,Meer::N,meri,سمندر
130,Bucht::N,laht,کارۍ
131,Insel::N,saar,ټاپو
132,Insel::N,saar,جزيره
133,Blume::N,lill,ګل
134,Gras::N,rohi,واښه
135,Wurzel::N,juur,ریښه
136,Baum::N,puu,ونه
137,Stamm::N,tüvi,ډډ
138,Rinde::N,koor,پوستکی
139,Ast::N,oks,ښاخ
140,Zweig::N,oks,څانګه
141,Blatt::N,leht,پاڼه
142,Birke::N,kask,توس
143,Kiefer[Baum]::N,mänd,نښتر
144,Weide[Baum]::N,paju,وله
145,Tanne::N,nulg,ناجو
146,Horn::N,sarv,ښکر
147,Feder::N,sulg,بڼکه
148,Fell::N,karvkate,پوستکی
149,Fell::N,karusnahk,پوستکی
150,Flügel::N,tiib,وزر
151,Flügel::N,tiivik,وزر
152,Klaue::N,küüs,پنجه
153,Klaue::N,küüs,منګول
154,Kralle::N,küünis,پنجه
155,Kralle::N,küünis,منګول
156,Schwanz::N,saba,لکۍ
157,Ei::N,muna,وۍ
158,Ei::N,muna,هګۍ
159,Nest::N,pesa,جاله
160,Bau::N,urg,کاز
161,Tier::N,loom,ژوی
162,Tier::N,loom,حیوان
163,Herde::N,kari,رمه
164,Herde::N,kari,غېله
165,Kuh::N,lehm,غوا
166,Bulle::N,pull,غوئی
167,Pferd::N,hobune,آس
168,Schaf::N,lammas,پسه
169,Schwein::N,siga,سرکوزی
170,Hund::N,koer,سپی
171,Katze::N,kass,پشه
172,Bär::N,karu,خرس
173,Eichhörnchen::N,orav,خړ لمی
174,Elch::N,põder,ګوزن
175,Fuchs::N,rebane,سپلم
176,Hase::N,jänes,سوی
177,Maus::N,hiir,مږک
178,Wolf::N,hunt,لېوه
179,Vogel::N,lind,مرغه
180,Schwarm::N,parv,سېل
181,Huhn::N,kana,چرګه
182,Hahn::N,kukk,چرګ
183,Gans::N,hani,بته
184,Adler::N,kotkas,عقاب
185,Ente::N,part,ایلۍ
186,Eule::N,kakk,ګونګی
187,Eule::N,öökull,ګونګی
188,Kranich::N,kurg,کلنګ
189,Krähe::N,vares,کارغه
190,Kuckuck::N,kägu,فاخته
191,Schwan::N,luik,قو
192,Fisch::N,kala,کب
193,Fisch::N,kala,ماهی
194,Barsch::N,ahven,
195,Hecht::N,haug,
196,Schlange[Tier]::N,uss,مار
197,Wurm::N,uss,چینجی
198,Wurm::N,vagel,چینجی
199,Spinne::N,ämblik,غڼه
200,Spinne::N,ämblik,تارکښ
201,Ameise::N,sipelgas,مېږی
202,Laus::N,täi,سپږه
203,Mücke::N,sääsk,ماشی
204,Fliege::N,kärbes,مچ
205,Schmetterling::N,liblikas,پتنګ
206,Beere::N,mari,مېوۍ
207,Apfel::N,õun,مڼه
208,Pilz::N,seen,خرېړی
209,Zwiebel::N,sibul,پیاز
210,Saat::N,seeme,تخم
211,Korn::N,iva,تخم
212,Korn::N,iva,دانه
213,Korn::N,tera,تخم
214,Korn::N,tera,دانه
215,Heu::N,hein,بوس
216,Heu::N,hein,پروړه
217,Schale::N,koor,پوستکی
218,Grube::N,kaevand,کنده
219,Falle::N,lõks,دام
220,Falle::N,lõks,لومه
221,Falle::N,püünis,دام
222,Falle::N,püünis,لومه
223,Schlinge::N,aas,کړۍ
224,Spur::N,jälg,نښه
225,Asche::N,tuhk,آس
226,Asche::N,tuhk,ایره
227,Dreck::N,saast,ناپاکي
228,Dreck::N,mustus,ناپاکي
229,Eisen::N,raud,اوسپنه
230,Gold::N,kuld,سره زر
231,Silber::N,hõbe,نقره
232,Silber::N,hõbe,سپین زر
233,Kohle::N,süsi,سکور
234,Kohle::N,süsi,سکاره
235,Glas::N,klaas,ښيښه
236,Lehm::N,savi,خټه
237,Sand::N,liiv,شګه
238,Mensch::N,inimene,انسان
239,Mann::N,mees,سړی
240,Mann::N,mees,نارینه
241,Frau::N,naine,ښځه
242,Kind::N,laps,بچی
243,Kind::N,laps,ماشوم
244,Junge::N,poiss,هلک
245,Mädchen::N,tüdruk,نجلۍ
246,Familie::N,perekond,کورنۍ
247,Großvater::N,vanaisa,بابا
248,Großmutter::N,vanaema,انا
249,Eltern::N,vanemad,مور او پلار
250,Vater::N,isa,پلار
251,Mutter::N,ema,مور
252,Sohn::N,poeg,زوی
253,Tochter::N,tütar,لور
254,Bruder::N,vend,ورور
255,Schwester::N,õde,خور
256,Onkel::N,onu,تره
257,Onkel::N,onu,ماما
258,Tante::N,tädi,خاله
259,Ehemann::N,mees,مېړه
260,Ehemann::N,abikaasa,مېړه
261,Ehefrau::N,naine,مېرمن
262,Ehefrau::N,abikaasa,مېرمن
263,Freude::N,rõõm,خوشحالي
264,Gelächter::N,naer,خندا
265,Glück::N,õnn,بخت
266,Kummer::N,mure,غم
267,Kummer::N,kurbus,غم
268,Wunsch::N,soov,هيله
269,Wunsch::N,soov,غوښتنه
270,Lust::N,himu,شوق
271,Lust::N,himu,مینه
272,Geist::N,vaim,روح
273,Gedanke::N,mõte,فکر
274,Gedächtnis::N,mälu,یاد
275,Gedächtnis::N,mälu,حافظه
276,Verstand::N,aru,عقل
277,Verstand::N,aru,شعور
278,Verstand::N,mõistus,عقل
279,Verstand::N,mõistus,شعور
280,Sinn::N,tähendus,معنی
281,Grund::N,põhjus,علت
282,Grund::N,põhjus,اساس
283,Wahrheit::N,tõde,حقیقت
284,Gespräch::N,kõne,مرکه
285,Gespräch::N,kõne,خبرې اترې
286,Gespräch::N,vestlus,مرکه
287,Gespräch::N,vestlus,خبرې اترې
288,Märchen::N,muinasjutt,افسانه
289,Erzählung::N,jutustus,قصه
290,Erzählung::N,jutustus,کیسه
291,Nachricht::N,teade,خبر
292,Neuigkeit::N,uudis,نوی خبر
293,Name::N,nimi,نوم
294,Rätsel::N,mõistatus,کیسۍ
295,Rätsel::N,mõistatus,چیستان
296,Rede::N,kõne,وینا
297,Sprache::N,keel,ژبه
298,Stimme::N,hääl,غږ
299,Stimme::N,hääl,اواز
300,Wort::N,sõna,لغت
301,Wort::N,sõna,کلمه
302,Zeichen::N,märk,نښه
303,Zeichen::N,märk,اشاره
