,Concept_ID,tr,be
0,Auge::N,göz,вока
1,Ohr::N,kulak,вуха
2,Nase::N,burun,нос
3,Mund::N,ağız,рот
4,Zahn::N,diş,зуб
5,Zunge::N,dil,язык
6,Lippe::N,dudak,губа
7,Wange::N,yanak,шчака
8,Gesicht::N,yüz,твар
9,Stirn::N,alın,лоб
10,Haar::N,saç,волас
11,Haar::N,saç,валасы
12,Schnurrbart::N,bıyık,вус
13,Schnurrbart::N,bıyık,вусы
14,Bart::N,sakal,барада
15,Kinn::N,çene,падбародак
16,Kiefer[Anatomie]::N,çene,сківіца
17,Kehle::N,boğaz,горла
18,Hals::N,boyun,шыя
19,Hals::N,gerdan,шыя
20,Genick::N,ense,патыліца
21,Kopf::N,baş,галава
22,Kopf::N,kafa,галава
23,Rücken::N,arka,спіна
24,Bauch::N,karın,жывот
25,Nabel::N,göbek,пупок
26,Busen::N,koyun,грудзі
27,Brust::N,göğüs,грудзі
28,Schulter::N,omuz,плячо
29,Arm::N,kol,рука
30,Ellenbogen::N,dirsek,локаць
31,Hand::N,el,кісць
32,Handfläche::N,avuç,далонь
33,Handfläche::N,el ayası,далонь
34,Finger::N,parmak,палец
35,Fingernagel::N,el tırnağı,ногаць
36,Nagel[Anatomie]::N,tırnak,ногаць
37,Zeh::N,ayak parmağı,палец
38,Fuß::N,ayak,нага
39,Ferse::N,topuk,пята
40,Ferse::N,topuk,пятка
41,Knie::N,diz,калена
42,Oberschenkel::N,uyluk,бядро
43,Oberschenkel::N,uyluk,сцягно
44,Bein::N,bacak,нага
45,Körper::N,vücut,цела
46,Haut::N,cilt,скура
47,Blut::N,kan,кроў
48,Ader::N,damar,вена
49,Ader::N,damar,сасуд
50,Sehne::N,kiriş,жыла
51,Sehne::N,kiriş,цеціва
52,Sehne::N,kiriş,сухажылле
53,Knochen::N,kemik,косць
54,Gehirn::N,beyin,мозг
55,Herz::N,kalp,сэрца
56,Herz::N,yürek,сэрца
57,Magen::N,mide,страўнік
58,Leber::N,karaciğer,печань
59,Atem::N,nefes,дыханне
60,Hunger::N,açlık,голад
61,Träne::N,gözyaşı,сляза
62,Geschmack::N,tat,смак
63,Geschmack::N,lezzet,смак
64,Geruch::N,koku,пах
65,Schlaf::N,uyku,сон
66,Traum::N,düş,сон
67,Traum::N,rüya,сон
68,Himmel::N,gök,неба
69,Sonne::N,güneş,сонца
70,Mond::N,ay,месяц
71,Stern::N,yıldız,зорка
72,Luft::N,hava,паветра
73,Wind::N,yel,вецер
74,Wind::N,rüzgâr,вецер
75,Welle::N,dalga,хваля
76,Wasser::N,su,вада
77,Stein::N,taş,камень
78,Boden::N,yer,глеба
79,Boden::N,zemin,глеба
80,Erde::N,toprak,зямля
81,Staub::N,toz,пыл
82,Rauch::N,duman,дым
83,Funke::N,kıvılcım,іскра
84,Feuer::N,ateş,агонь
85,Licht::N,ışık,святло
86,Schatten::N,gölge,цень
87,Wetter::N,hava,пагода
88,Wetter::N,hava,надворʼе
89,Nebel::N,pus,туман
90,Wolke::N,bulut,воблака
91,Regen::N,yağmur,дождж
92,Schnee::N,kar,снег
93,Eis::N,buz,лёд
94,Frost::N,don,мароз
95,Kälte::N,soğukluk,холад
96,Hitze::N,sıcaklık,спёка
97,Raureif::N,kırç,іней
98,Regenbogen::N,gökkuşağı,вясёлка
99,Donner::N,gök gürlemesi,гром
100,Strömung::N,akıntı,цячэнне
101,Strömung::N,cereyan,цячэнне
102,Tropfen::N,damla,кропля
103,Schaum::N,köpük,пена
104,Schmutz::N,çamur,гразь
105,Schmutz::N,pislik,гразь
106,See::N,göl,возера
107,Sumpf::N,batak,багна
108,Moor::N,cılgıt,балота
109,Wiese::N,çimen,луг
