,Concept_ID,et,sah
0,Auge::N,silm,харах
1,Ohr::N,kõrv,кулгаах
2,Nase::N,nina,мурун
3,Mund::N,suu,айах
4,Zahn::N,hammas,тиис
5,Zunge::N,keel,тыл
6,Lippe::N,huul,уос
7,Wange::N,põsk,иэдэс
8,Gesicht::N,nägu,сирэй
9,Stirn::N,otsmik,сүүс
10,Haar::N,juus,баттах
11,Schnurrbart::N,vurrud,уос бытыга
12,Schnurrbart::N,vuntsid,уос бытыга
13,Bart::N,habe,сэҥийэ бытыга
14,Kinn::N,lõug,сэҥийэ
15,Kiefer[Anatomie]::N,lõualuu,сыҥаах
16,Kehle::N,kõri,тамах
17,Kehle::N,kõri,күөмэй
18,Hals::N,kael,моой
19,Genick::N,kukal,кэтэх
20,Kopf::N,pea,бас
21,Rücken::N,selg,көҕүс
22,Bauch::N,kõht,ис
23,Nabel::N,naba,киин
24,Busen::N,rind,эмиий
25,Brust::N,rind,түөс
26,Schulter::N,õlg,сарын
27,Arm::N,käsivars,илии
28,Ellenbogen::N,küünarnukk,тоҕонох
29,Hand::N,käsi,илии
30,Handfläche::N,pihk,ытыс
31,Finger::N,sõrm,тарбах
32,Fingernagel::N,küüs,тыҥырах
33,Nagel[Anatomie]::N,küüs,тыҥырах
34,Zeh::N,varvas,тарбах
35,Fuß::N,jalg,уллуҥах
36,Ferse::N,kand,тилэх
37,Knie::N,põlv,тобук
38,Knie::N,põlv,дьилбэк
39,Oberschenkel::N,reis,уллук
40,Oberschenkel::N,reis,өттүк
41,Bein::N,jalg,атах
42,Körper::N,ihu,бэйэ
43,Körper::N,keha,бэйэ
44,Haut::N,nahk,тирии
45,Blut::N,veri,хаан
46,Ader::N,veen,вена
47,Ader::N,veen,күөх_тымыр
48,Sehne::N,kõõlus,иҥиир
49,Knochen::N,luu,уҥуох
50,Knochen::N,luu,уҥгуох
51,Gehirn::N,aju,мэйии
52,Herz::N,süda,сүрэх
53,Magen::N,magu,куртах
54,Leber::N,maks,быар
55,Atem::N,hingeõhk,тыын
56,Atem::N,hingamine,тыын
57,Hunger::N,nälg,аас
58,Träne::N,pisar,харах уута
59,Geschmack::N,maitse,амтан
60,Geruch::N,lõhn,сыт
61,Schlaf::N,uni,утуйуу
62,Traum::N,unenägu,түүл
63,Himmel::N,taevas,халлаан
64,Sonne::N,päike,күн
65,Mond::N,kuu,ый
66,Stern::N,täht,сулус
67,Luft::N,õhk,салгын
68,Wind::N,tuul,тыал
69,Welle::N,laine,долгун
70,Welle::N,laine,балхаан
71,Wasser::N,vesi,уу
72,Stein::N,kivi,таас
73,Boden::N,maa,сир
74,Boden::N,pinnas,сир
75,Erde::N,maa,буор
76,Staub::N,põrm,быыл
77,Rauch::N,suits,буруо
