,Concept_ID,el,xal
0,Auge::N,μάτι,нүдн
1,Auge::N,οφθαλμός,нүдн
2,Ohr::N,αυτί,чикн
3,Nase::N,μύτη,хамр
4,Mund::N,στόμα,амн
5,Zahn::N,δόντι,шүдн
6,Zunge::N,γλώσσα,келн
7,Lippe::N,χείλος,урл
8,Wange::N,παρειά,халх
9,Wange::N,μάγουλο,халх
10,Gesicht::N,πρόσωπο,нүр
11,Stirn::N,μέτωπο,маңна
12,Haar::N,μαλλιά,үсн
13,Schnurrbart::N,μουστάκι,сахл
14,Bart::N,γένια,сахл
15,Bart::N,γένια,өргнә сахл
16,Kinn::N,πιγούνι,өргн
17,Kiefer[Anatomie]::N,σαγόνι,өргн
18,Kehle::N,λαρύγγι,хол
19,Hals::N,λαιμός,күзүн
20,Genick::N,σβέρκος,гиҗг
21,Kopf::N,κεφάλι,толһа
22,Rücken::N,ράχη,нурһн
23,Bauch::N,κοιλιά,гесн
24,Nabel::N,αφαλός,киисн
25,Busen::N,στήθος,көкн
26,Brust::N,στήθος,чееҗ
27,Schulter::N,ώμος,ээм
28,Arm::N,χέρι,һар
29,Arm::N,μπράτςο,һар
30,Ellenbogen::N,αγκώνας,тоха
31,Hand::N,χέρι,баһлцг
32,Handfläche::N,παλάμη,альхн
33,Finger::N,δάχτυλο,хурһн
34,Finger::N,δάχτυλο,һарин хурһн
35,Fingernagel::N,νύχι,хумсн
36,Nagel[Anatomie]::N,νύχι,хумсн
37,Zeh::N,δάχτυλο του ποδιού,хурһн
38,Zeh::N,δάχτυλο του ποδιού,көлин хурһн
39,Fuß::N,πόδι,тавг
40,Ferse::N,φτέρνα,өскә
41,Knie::N,γόνατο,өвдг
42,Oberschenkel::N,μηρός,һуй
43,Bein::N,πόδι,көл
44,Körper::N,σώμα,махмуд
45,Körper::N,κορμί,махмуд
46,Haut::N,πετσί,арсн
47,Blut::N,αίμα,цусн
48,Ader::N,φλέβα,судцн
49,Sehne::N,νεύρο,шүрүсн
50,Sehne::N,τένοντας,шүрүсн
51,Knochen::N,οστό,ясн
52,Knochen::N,κόκκαλο,ясн
53,Gehirn::N,μυαλό,экн
54,Gehirn::N,εγκέφαλος,экн
55,Herz::N,καρδιά,зүркн
56,Magen::N,στομάχι,гесн
57,Leber::N,ήπαρ,элкн
58,Leber::N,συκωτί,элкн
59,Atem::N,αναπνοή,әмсхл
60,Hunger::N,πείνα,харһнлһн
61,Träne::N,δάκρυ,нульмсн
62,Geschmack::N,γεύση,амтн
63,Geruch::N,οσμή,үнр
64,Geruch::N,μυρωδία,үнр
65,Schlaf::N,ύπνος,нөр
