,Concept_ID,kv,az
0,Auge::N,син,göz
1,Ohr::N,пель,qulaq
2,Nase::N,ныр,burun
3,Mund::N,ӧм,ağız
4,Zahn::N,пинь,diş
5,Zunge::N,кыв,dil
6,Lippe::N,тырп,dodaq
7,Wange::N,рожабан,yanaq
8,Gesicht::N,бан,üz
9,Stirn::N,кымӧс,alın
10,Haar::N,юрси,saç
11,Schnurrbart::N,уссэз,bığ
12,Bart::N,тош,saqqal
13,Kinn::N,тшӧка,çənə
14,Kiefer[Anatomie]::N,ан,çənə
15,Kehle::N,юан,boğaz
16,Hals::N,юан,boyun
17,Genick::N,юр бӧр,ənsə
18,Kopf::N,юр,baş
19,Rücken::N,мышк,bel
20,Bauch::N,кынӧм,qarın
21,Nabel::N,гӧг,göbək
22,Busen::N,морос,məmə
23,Brust::N,морос,döş
24,Schulter::N,пельпон,çiyin
25,Arm::N,ки,qol
26,Ellenbogen::N,гырдзза,dirsək
27,Hand::N,кикар,əl
28,Handfläche::N,ки пыдӧс,ovuc
29,Finger::N,чунь,barmaq
30,Fingernagel::N,гыж,barmaq dırnağı
31,Nagel[Anatomie]::N,гыж,dırnak
32,Zeh::N,чунь,ayaq barmağı
33,Fuß::N,кокпыдӧс,ayaq
34,Ferse::N,кокдзир,daban
35,Knie::N,пидзӧс,diz
36,Oberschenkel::N,лядьбей,bud
37,Bein::N,кок,qıç
38,Körper::N,вывтыр,əndam
39,Haut::N,кучик,dəri
40,Blut::N,вир,qan
41,Ader::N,сӧн,damar
42,Sehne::N,жила,vətər
43,Knochen::N,коска,sümük
44,Gehirn::N,вем,beyin
45,Herz::N,сьӧлӧм,ürək
46,Magen::N,жӧвдӧк,mədə
47,Leber::N,мус,qara ciyər
48,Atem::N,лолалӧм,nəfəs
49,Hunger::N,тшыг,aclıq
50,Träne::N,синва,göz yaşı
51,Geschmack::N,кӧр,tam
52,Geschmack::N,кӧр,ləzzət
53,Geruch::N,дук,qoxu
54,Schlaf::N,он,yuxu
55,Traum::N,вӧт,röya
56,Himmel::N,небо,göy
57,Himmel::N,небо,səma
58,Sonne::N,шондi,günəş
59,Mond::N,тӧлiсь,ay
60,Stern::N,кӧдзыв,ulduz
61,Luft::N,ру,hava
62,Wind::N,тӧв,yel
63,Wind::N,тӧв,külək
64,Welle::N,гы,dalğa
65,Wasser::N,ва,su
66,Stein::N,из,daş
67,Boden::N,му,yer
68,Boden::N,му,zəmin
69,Erde::N,му,yer torpaq
70,Staub::N,бус,toz
71,Rauch::N,тшын,tüstü
72,Funke::N,бичир,qığılcım
73,Feuer::N,би,od
74,Licht::N,би,işıq
75,Schatten::N,вуджӧр,kölgə
76,Wetter::N,погоддя,hava
77,Nebel::N,туман,duman
78,Wolke::N,кымӧр,bulud
79,Regen::N,зэр,yağış
80,Regen::N,зэр,yağmur
81,Schnee::N,лым,qar
82,Eis::N,йы,buz
