,Concept_ID,no,mrj
0,Auge::N,øye,сӹнзӓ
1,Ohr::N,øre,пӹлӹш
2,Nase::N,nese,нер
3,Mund::N,munn,ышма
4,Zahn::N,tann,пӱ
5,Zunge::N,tunge,йӹлмӹ
6,Lippe::N,leppe,тӹрвӹ
7,Wange::N,kinn,шӹргӹ
8,Gesicht::N,fjes,лицӓ
9,Gesicht::N,ansikt,лицӓ
10,Stirn::N,panne,лепкӓ
11,Haar::N,hår,ӱп
12,Schnurrbart::N,bart,öрш
13,Bart::N,skjegg,пандаш
14,Kinn::N,hake,онгылаш
15,Kiefer[Anatomie]::N,kjeve,пӱ арата
16,Kehle::N,strupe,логер
17,Hals::N,hals,шӱ
18,Genick::N,nakke,ланга
19,Kopf::N,hode,вуй
20,Rücken::N,rygg,туп
21,Bauch::N,buk,мӹшкӹр
22,Bauch::N,mage,мӹшкӹр
23,Nabel::N,navle,кӹлӹмдӹ
24,Busen::N,barm,цӹзӹ
25,Brust::N,bryst,мел
26,Schulter::N,skulder,ӹнгӹжӓ
27,Arm::N,arm,кид
28,Ellenbogen::N,albue,кӹнервуй
29,Hand::N,hånd,лапа
30,Handfläche::N,håndflate,кид лапа
31,Finger::N,finger,парня
32,Fingernagel::N,fingernegl,кӹч
33,Nagel[Anatomie]::N,negl,кӹч
34,Zeh::N,tå,парня
35,Fuß::N,fot,ял лапа
36,Ferse::N,hæl,ялгавал
37,Ferse::N,hæl,ял кавал
38,Knie::N,kne,пылвуй
39,Oberschenkel::N,lår,ӓрдӹ
40,Bein::N,bein,ял
41,Körper::N,kropp,монгыр
42,Körper::N,legeme,монгыр
43,Haut::N,hud,кавашты
44,Haut::N,skinn,кавашты
45,Blut::N,blod,вӹр
46,Ader::N,åre,вӹршӓр
47,Sehne::N,sene,кукшышӱн
48,Knochen::N,bein,лу
49,Knochen::N,knokkel,лу
50,Gehirn::N,hjerne,вим
51,Herz::N,hjerte,шӱм
52,Magen::N,mage,шӱм
53,Leber::N,lever,мокш
54,Atem::N,pust,шӱлӹш
55,Hunger::N,sult,шужымаш
56,Träne::N,tåre,сӹнзӓвӹд
57,Geschmack::N,smak,тот
58,Geruch::N,lukt,пыш
59,Schlaf::N,søvn,ом
60,Traum::N,drøm,ом
61,Himmel::N,himmel,пӹлгом
62,Sonne::N,sol,кечӹ
63,Mond::N,måne,тӹлзӹ
64,Stern::N,stjerne,шӹдӹр
65,Luft::N,luft,юж
