,Concept_ID,fr,ab
0,Auge::N,œil,ала
1,Ohr::N,oreille,алымҳа
2,Nase::N,nez,аҧынҵа
3,Mund::N,bouche,аҧышə
4,Zahn::N,dent,ахаҧыц
5,Zunge::N,langue,абз
6,Lippe::N,lèvre,ақьышə
7,Wange::N,joue,аӡамҩа
8,Gesicht::N,face,аҿы
9,Gesicht::N,visage,аҿы
10,Stirn::N,front,алахь
11,Haar::N,cheveu,ахəыц
12,Schnurrbart::N,moustache,аҧаҵа
13,Bart::N,barbe,ажакьа
14,Kinn::N,menton,ацламкəыгə
15,Kiefer[Anatomie]::N,mâchoire,ацламҳəа
16,Kehle::N,gorge,ахəда
17,Hals::N,cou,ахəда
18,Genick::N,nuque,ахəдаџьал
19,Kopf::N,tête,ахы
20,Rücken::N,dos,азқəа
21,Bauch::N,ventre,амгəа
22,Nabel::N,nombril,аҷапан
23,Busen::N,sein,агəыҧҳəы
24,Brust::N,poitrine,агəышҧы
25,Schulter::N,épaule,ажəҩахыр
26,Arm::N,bras,амахəар
27,Ellenbogen::N,coude,амашьхəылҵ
28,Hand::N,main,анапы
29,Handfläche::N,paume,анапсаргəыҵа
30,Finger::N,doigt,анацəа
31,Fingernagel::N,ongle,анапхыц
32,Nagel[Anatomie]::N,ongle,ашьапхыц
33,Zeh::N,orteil,ашьацəа
34,Zeh::N,doigt de pied,ашьацəа
35,Fuß::N,pied,ашьапсыргəыҵа
36,Ferse::N,talon,ашьхəа
37,Knie::N,genou,ашьамхы
38,Oberschenkel::N,cuisse,ауаҭəа
39,Bein::N,jambe,ашьапы
40,Körper::N,corps,ацəеижь
41,Haut::N,peau,ацəа
42,Blut::N,sang,ашьа
43,Ader::N,veine,ада
44,Sehne::N,tendon,адаш
45,Knochen::N,os,абаҩ
46,Gehirn::N,cerveau,ахшлыбаҩ
47,Gehirn::N,cerveau,ахшыбаҩ
48,Herz::N,cœur,агəы
49,Magen::N,estomac,аца
50,Magen::N,estomac,ацар
51,Leber::N,foie,агəаҵəа
52,Atem::N,haleine,аҧсыҧлагаҩгара
53,Hunger::N,faim,амла
54,Träne::N,larme,алабжыш
55,Geschmack::N,goût,агьама
56,Geschmack::N,saveur,агьама
57,Geruch::N,odeur,афҩы
58,Schlaf::N,sommeil,ацəа
59,Traum::N,songe,аҧхыӡ
60,Himmel::N,ciel,ажəҩан
61,Sonne::N,soleil,амра
62,Mond::N,lune,амза
63,Stern::N,étoile,аеҵəа
64,Luft::N,air,аҳаир
65,Wind::N,vent,аҧша
66,Welle::N,vague,ацəқəырҧа
67,Wasser::N,eau,аӡы
68,Stein::N,pierre,ахаҳə
69,Boden::N,sol,адгьыл
70,Boden::N,terrain,адгьыл
71,Erde::N,terre,адгьыл
72,Staub::N,poussière,асаба
73,Rauch::N,fumée,алҩа
74,Funke::N,étincelle,акəиц
75,Funke::N,étincelle,ацҧхь
76,Feuer::N,feu,амца
77,Licht::N,lumière,алашара
78,Schatten::N,ombre,ашəшьыра
79,Wetter::N,temps,амш
80,Nebel::N,brume,анаҟəа
81,Nebel::N,brouillard,анаҟəа
82,Wolke::N,nuage,аҧсҭҳəа
83,Regen::N,pluie,ақəа
84,Schnee::N,neige,асы
85,Eis::N,glace,аҵаа
86,Frost::N,gel,аҵаа
87,Frost::N,gelée,аҵаа
88,Kälte::N,froid,ахьҭа
89,Hitze::N,chaleur,ашоура
90,Raureif::N,givre,аҵааҧшқа
91,Regenbogen::N,arc-en-ciel,ацəаҟəа
92,Donner::N,tonnerre,адыд
93,Strömung::N,courant,аиасра
94,Strömung::N,courant,амҩасра
95,Tropfen::N,goutte,ацəыкəбар
96,Schaum::N,écume,ашəах
97,Schaum::N,mousse,ашəах
98,Schmutz::N,boue,алымт
99,Schmutz::N,saleté,алымт
100,See::N,lac,аӡиа
101,Sumpf::N,marais,аӡмах
102,Sumpf::N,marécage,аӡмах
103,Moor::N,tourbière,
104,Wiese::N,pré,адəы
105,Wald::N,bois,абна
106,Wald::N,forêt,абна
107,Hügel::N,coteau,ахəы
108,Hügel::N,colline,ахəы
109,Anhöhe::N,éminence,аҳаракыра
110,Anhöhe::N,élévation,аҳаракыра
111,Berg::N,mont,ашьха
112,Berg::N,montagne,ашьха
113,Gipfel::N,cime,ацəқəа
114,Gipfel::N,sommet,ацəқəа
115,Höhle::N,caverne,аҳаҧы
116,Abhang::N,pente,анаара
117,Abhang::N,versant,анаара
118,Quelle::N,source,аҵҵырҭа
119,Quelle::N,fontaine,аҵҵырҭа
120,Bach::N,ruisseau,акəараҷҷа
121,Fluss::N,fleuve,аӡиас
122,Fluss::N,rivière,аӡиас
123,Ufer::N,bord,ахықə
124,Ufer::N,rivage,ахықə
125,Küste::N,côte,ахықə
126,Festland::N,terre ferme,абарра
127,Meer::N,mer,амшын
128,Bucht::N,baie,аӡбжьахала
129,Insel::N,île,адгьылбжьаха
130,Blume::N,fleur,ашəҭ
131,Gras::N,herbe,аҳасакьын
132,Wurzel::N,racine,адац
133,Baum::N,arbre,аҵла
134,Stamm::N,tronc,ашьапы
135,Rinde::N,écorce,ацəа
136,Ast::N,branche,амахə
137,Ast::N,branche,амахəҭа
138,Zweig::N,rameau,амахə
139,Zweig::N,rameau,амахəҭа
140,Blatt::N,feuille,абҕьы
141,Birke::N,bouleau,аҵааҵла
142,Kiefer[Baum]::N,pin,амза
143,Weide[Baum]::N,saule,аҧслыш
144,Tanne::N,sapin,аҧсаӡ
145,Horn::N,corne,атəыҩа
146,Feder::N,plume,ахӡы
147,Fell::N,peau,ацəа
148,Flügel::N,aile,амҵəыжəа
149,Klaue::N,serre,ашьапхыц
150,Kralle::N,ongle,
151,Kralle::N,griffe,
152,Schwanz::N,queue,аҵыхəа
153,Ei::N,œuf,акəтаӷь
154,Nest::N,nid,аҭра
155,Nest::N,nid,аҵысҭра
156,Bau::N,terrier,аҭыҩра
157,Tier::N,animal,аҧстəы
158,Tier::N,animal,агыгшəыг
159,Herde::N,troupeau,агəарҭа
160,Kuh::N,vache,ажə
161,Bulle::N,taureau,ацə
162,Pferd::N,cheval,аҽы
163,Schaf::N,mouton,ауаса
164,Schwein::N,porc,аҳəа
165,Schwein::N,cochon,аҳəа
166,Hund::N,chien,ала
167,Katze::N,chat,ацгəы
168,Bär::N,ours,амшə
169,Eichhörnchen::N,écureuil,аеш
170,Elch::N,élan,аҽаҩа
171,Fuchs::N,renard,абгахəыҷы
172,Hase::N,lièvre,ажьа
173,Maus::N,souris,аҳəынаҧ
174,Wolf::N,loup,абгаду
175,Vogel::N,oiseau,аҧсаатə
176,Schwarm::N,nuée,
177,Schwarm::N,volée,
178,Huhn::N,poule,акəты
179,Hahn::N,coq,арбаҕь
180,Gans::N,oie,аҟыз
181,Adler::N,aigle,ауарба
182,Ente::N,canard,акəата
183,Eule::N,hibou,аты
184,Kranich::N,grue,апҟа
185,Krähe::N,corneille,аҟəараан
186,Kuckuck::N,coucou,акəыкəу
187,Schwan::N,cygne,агьад
188,Fisch::N,poisson,аҧсыӡ
189,Barsch::N,perche,ацəыбла
190,Hecht::N,brochet,ахиаала
191,Schlange[Tier]::N,serpent,амаҭ
192,Wurm::N,ver,ахəа
193,Wurm::N,ver,ахəац
194,Spinne::N,araignée,абызкаҭаҳа
195,Ameise::N,fourmi,ашышкамс
196,Laus::N,pou,аҵа
197,Mücke::N,moucheron,акəыбры
198,Fliege::N,mouche,амҵ
199,Schmetterling::N,papillon,аҧарҧалыкь
200,Beere::N,baie,аргуц
201,Apfel::N,pomme,аҵəа
202,Pilz::N,champignon,акəкəбаа
203,Zwiebel::N,oignon,аџьымшьы
204,Zwiebel::N,oignon,аџьымшьхы
205,Saat::N,semence,ажəла
206,Korn::N,grain,арыц
207,Heu::N,foin,аҭəа
208,Schale::N,pelure,ацəа
209,Grube::N,fosse,ажра
210,Grube::N,fosse,атыша
211,Falle::N,piège,арыҧҟьа
212,Schlinge::N,lacs,аҟəараҟəантə
213,Spur::N,trace,ашьҭа
214,Asche::N,cendre,ахəа
215,Dreck::N,crotte,аҳəынҵəа
216,Dreck::N,crotte,аҟьамсар
217,Eisen::N,fer,аиха
218,Gold::N,or,ахьы
219,Silber::N,argent,аразны
220,Kohle::N,charbon,арацəа
221,Glas::N,verre,асаркьа
222,Lehm::N,glaise,анышəаҧшь
223,Sand::N,sable,аҧслымӡ
224,Mensch::N,homme,ауаҩы
225,Mann::N,homme,ахаҵа
226,Frau::N,femme,аҧҳəыс
227,Kind::N,enfant,ахəыҷы
228,Junge::N,garçon,аҷкəын
229,Junge::N,garçon,ахаҵарҧыс
230,Mädchen::N,fille,аӡӷаб
231,Mädchen::N,jeune fille,аӡӷаб
232,Familie::N,famille,аҭаацəа
233,Großvater::N,grand-père,абду
234,Großmutter::N,grand-mère,анду
235,Eltern::N,parents,ани аби
236,Vater::N,père,аб
237,Mutter::N,mère,ан
238,Sohn::N,fils,аҧа
239,Tochter::N,fille,аҧҳа
240,Bruder::N,frère,аиашьа
241,Schwester::N,sœur,Аҳəшьа
242,Onkel::N,oncle,абиашьа
243,Onkel::N,oncle,аншьа
244,Tante::N,tante,абиаҳəшьа
245,Ehemann::N,mari,ахаҵа
246,Ehemann::N,mari,аҧшəма
247,Ehemann::N,époux,ахаҵа
248,Ehemann::N,époux,аҧшəма
249,Ehefrau::N,femme,аҧҳəыс
250,Ehefrau::N,épouse,аҧҳəыс
251,Freude::N,joie,агəырӷьара
252,Freude::N,plaisir,агəырӷьара
253,Gelächter::N,rires,ачча
254,Gelächter::N,rires,аччара
255,Glück::N,bonheur,аразҟы
256,Kummer::N,peine,агəырҩа
257,Kummer::N,chagrin,агəырҩа
258,Wunsch::N,désir,агəхəтəы
259,Wunsch::N,désir,аҭахра
260,Lust::N,envie,агəазыҳəара
261,Geist::N,esprit,аҧсы
262,Gedanke::N,idée,ахəыцырҭа
263,Gedanke::N,pensée,ахəыцырҭа
264,Gedächtnis::N,mémoire,агəынкылара
265,Verstand::N,raison,ахшыҩ
266,Sinn::N,sens,аҵакы
267,Grund::N,cause,амзыз
268,Grund::N,raison,амзыз
269,Wahrheit::N,vérité,аиаша
270,Gespräch::N,conversation,аиҿцәажәара
271,Märchen::N,conte,алакə
272,Märchen::N,conte de fées,алакə
273,Erzählung::N,conte,ажәабжь
274,Erzählung::N,narration,ажәабжь
275,Nachricht::N,message,адырраҭара
276,Neuigkeit::N,nouvelle,ажәабжь ҿыц
277,Name::N,nom,ахьӡ
278,Rätsel::N,énigme,ацуфара
279,Rätsel::N,devinette,ацуфара
280,Rede::N,parole,ажәа
281,Rede::N,discours,ажәа
282,Sprache::N,langue,абызшəа
283,Sprache::N,langage,абызшəа
284,Stimme::N,voix,абжьы
285,Wort::N,mot,ажәа
286,Zeichen::N,signe,адырга
287,Ruf::N,cri,аҿҭы
288,Ruf::N,appel,аҿҭы
289,Lärm::N,bruit,ашьҭыбжь
290,Laut::N,son,ашьҭыбжь
291,Ton::N,ton,атон
292,Lied::N,chant,ашəа
293,Lied::N,chanson,ашəа
294,Ruhe::N,calme,аҭынчра
295,Ruhe::N,tranquillité,аҭынчра
296,Leute::N,gens,ауаа
297,Volk::N,peuple,ажəлар
298,Arbeit::N,travail,аусура
299,Gast::N,hôte,асас
300,Gast::N,invité,асас
301,Geschenk::N,cadeau,аҳамҭа
302,Geschenk::N,cadeau,аҿанҵа
303,Geschenk::N,présent,аҳамҭа
304,Geschenk::N,présent,аҿанҵа
305,Spiel::N,jeu,ахəмарра
306,Gesellschaft::N,compagnie,агəыҧ
307,Hilfe::N,aide,ацхыраара
308,Hilfe::N,secours,ацхыраара
309,Freund::N,ami,аҩыза
310,Kamerad::N,copain,Аҧхнагьла
311,Kamerad::N,camarade,Аҧхнагьла
312,Angelegenheit::N,affaire,аус
313,Anzahl::N,nombre,ахыҧхьаӡара
314,Art::N,sorte,ахкы
315,Art::N,espèce,ахкы
316,Stück::N,morceau,аҽыҭ
317,Teil::N,part,ахəҭа
318,Teil::N,partie,ахəҭа
319,Hälfte::N,moitié,абжа
320,Kreis::N,cercle,агьагьа
321,Kreuz::N,croix,аџьар
322,Linie::N,ligne,аицтәар
323,Strich::N,trait,ацəаҳəа
324,Abstand::N,écart,абжьара
325,Entfernung::N,distance,абжьара
326,Gegend::N,région,аҭыҧ
327,Gegend::N,contrée,аҭыҧ
328,Platz::N,place,аҭыҧ
329,Ort::N,lieu,аҭыҧ
330,Ort::N,endroit,аҭыҧ
331,Seite::N,côté,аган
332,Mitte::N,milieu,агəҭа
333,Gegenstand::N,objet,амаҭəар
334,Sache::N,chose,
335,Rand::N,bord,аҵкар
336,Kante::N,arête,авардым
337,Ecke::N,coin,акəакь
338,Ecke::N,tournant,акəакь
339,Spitze::N,cime,аҧынҵа
340,Spitze::N,pointe,аҧынҵа
341,Ende::N,bout,анаӡара
342,Loch::N,trou,акылҵəара
343,Winkel::N,coin,агҿаҩра
344,Winkel::N,coin,акəындхə
345,Winkel::N,coin,акəакь
346,Winkel::N,réduit,агҿаҩра
347,Winkel::N,réduit,акəындхə
348,Winkel::N,réduit,акəакь
349,Muster::N,dessin,аҟҟа
350,Größe::N,grandeur,изаҟароу
351,Länge::N,longueur,аура
352,Höhe::N,hauteur,агылара
353,Höhe::N,altitude,агылара
354,Gewicht::N,poids,акапан
355,Menge::N,quantité,
356,Haufen::N,tas,ачаҟəа
357,Reihe::N,file,ацəаҳəа
358,Reihe::N,rangée,ацəаҳəа
359,Boot::N,canot,анышь
360,Boot::N,bateau,анышь
361,Ruder::N,rame,ажəҩа
362,Ruder::N,aviron,ажəҩа
363,Schlitten::N,traîneau,ашəаҩауардын
364,Ski::N,ski,ашəаҩа
365,Ski::N,ski,ашьахаха
366,Lagerfeuer::N,feu de camp,еиқуу амца
367,Last::N,charge,ахьанҭара
368,Last::N,fardeau,ахьанҭара
369,Gang::N,tour,аныҟəара
370,Gang::N,marche,аныҟəара
371,Schritt::N,pas,ашьаҿа
372,Norden::N,nord,аҩада
373,Süden::N,sud,алада
374,Westen::N,ouest,амраҭашəара
375,Westen::N,occident,амраҭашəара
376,Osten::N,est,амрагылара
377,Osten::N,orient,амрагылара
378,Holz::N,bois,амҿымаҭəахə
379,Brett::N,planche,аӷəы
380,Platte::N,plaque,ахаҳәцәы
381,Stütze::N,appui,аҵаргəа
382,Stütze::N,appui,агəышьаҟа
383,Stütze::N,soutien,аҵаргəа
384,Stütze::N,soutien,агəышьаҟа
385,Stange::N,barre,акьат
386,Stange::N,perche,акьат
387,Stock::N,canne,алаба
388,Stab::N,bâton,акьат
389,Rohr::N,tube,абыкь
390,Rohr::N,tuyau,абыкь
391,Haus::N,maison,аҩны
392,Heim::N,maison,аҭаацəа
393,Ofen::N,poêle,аҳақə
394,Ofen::N,poêle,ауаџьаҟ
395,Ofen::N,poêle,афрына
396,Fußboden::N,plancher,адашьма
397,Tisch::N,table,аишәа
398,Stuhl::N,chaise,аҟəардə
399,Wiege::N,berceau,агара
400,Bett::N,lit,акаруаҭ
401,Regal::N,étagère,акыӷəра
402,Kiste::N,caisse,аидчаҧала
403,Fenster::N,fenêtre,аҧенџьыр
404,Tür::N,porte,ашə
405,Tor::N,porte,агəашə
406,Tor::N,portail,агəашə
407,Zaun::N,clôture,аанда
408,Dach::N,toit,ахыб
409,Leiter::N,échelle,амардуан
410,Besen::N,balai,аҧссага
411,Spaten::N,bêche,ажыга
412,Schaufel::N,pelle,аҭəарӷəы
413,Gabel::N,fourchette,ачқьыҧ
414,Löffel::N,cuiller,амҳаҵə
415,Messer::N,couteau,аҳəызба
416,Nagel::N,clou,аҵəымӷ
417,Netz::N,filet,акаҭа
418,Haken::N,croc,аҵəаҳə
419,Haken::N,crochet,аҵəаҳə
420,Griff::N,prise,амаа
421,Griff::N,manche,амаа
422,Schloss::N,serrure,асаҧаҭ
423,Bild::N,image,асахьа
424,Bild::N,tableau,асахьа
425,Figur::N,figure,афигура
426,Puppe::N,poupée,акьанџьа
427,Beutel::N,sac,асакь
428,Beutel::N,petit sac,асакь
429,Bündel::N,paquet,аҿаҳəара
430,Bündel::N,faisceau,аҿаҳəара
431,Tasche::N,sac,арҭмаҟ
432,Eimer::N,seau,аведра
433,Deckel::N,couvercle,ахҩа
434,Geschirr::N,vaisselle,ачысмаҭəа
435,Sack::N,sac,асакь
436,Tasse::N,tasse,аҵəца
437,Topf::N,pot,акаструлиа
438,Topf::N,marmite,акаструлиа
439,Kessel::N,chaudron,ачуан
440,Essen::N,repas,
441,Essen::N,manger,
442,Nahrung::N,nourriture,афатə
443,Speise::N,plat,афатə
444,Fleisch::N,viande,акəац
445,Getreide::N,blé,ачакуа
446,Getreide::N,céréales,ачакуа
447,Brei::N,purée,ақашь
448,Brei::N,bouillie,ақашь
449,Brot::N,pain,ача
450,Scheibe::N,tranche,аҽыҭ
451,Scheibe::N,tranche,аҿаҵа
452,Fett::N,graisse,ашша
453,Butter::N,beurre,ахəша
454,Öl::N,huile,азеҭ
455,Salz::N,sel,аџьыка
456,Suppe::N,soupe,асуҧ
457,Suppe::N,potage,асуҧ
458,Honig::N,miel,ацха
459,Milch::N,lait,ахш
460,Tee::N,thé,ачаи
461,Leder::N,cuir,ацəа
462,Wolle::N,laine,аласа
463,Stoff::N,tissu,Аба
464,Stoff::N,étoffe,Аба
465,Nadel::N,aiguille,агəыр
466,Faden::N,fil,арахəыц
467,Knopf::N,bouton,аҳəынҵəра
468,Knoten::N,nœud,аиқəҳəала
469,Farbe::N,peinture,ашəыга
470,Kleidung::N,vêtements,амаҭəа
471,Kleidung::N,habillement,амаҭəа
472,Hemd::N,chemise,акьаҿ
473,Kragen::N,col,ахəда
474,Ärmel::N,manche,амаӷра
475,Hose::N,pantalon,аиқəа
476,Gürtel::N,ceinture,амаҟа
477,Mütze::N,bonnet,ахылҧа
478,Mütze::N,casquette,ахылҧа
479,Schuh::N,soulier,аимаа
480,Schuh::N,chaussure,аимаа
481,Stiefel::N,botte,амагə
482,Ring::N,bague,амацəаз
483,Band::N,ruban,алента
484,Kamm::N,peigne,ахҳəа
485,Spiegel::N,glace,асаркьа
486,Spiegel::N,miroir,асаркьа
487,Riemen::N,lanière,аа
488,Riemen::N,courroie,аа
489,Schnur::N,corde,ашаха
490,Schnur::N,ficelle,ашаха
491,Leine::N,laisse,аҕура
492,Decke::N,couverture,ахыза
493,Kissen::N,oreiller,ахчы
494,Tuch::N,drap,акасы
495,Tuch::N,fichu,акасы
496,Handtuch::N,serviette,ампахьшьы
497,Handtuch::N,essuie-mains,ампахьшьы
498,Kraft::N,force,амч
499,Stärke::N,vigueur,амч
500,Gesundheit::N,santé,агəабзиара
501,Krankheit::N,maladie,ачымазара
502,Schmerz::N,douleur,ахьаа
503,Wunde::N,plaie,ахəра
504,Wunde::N,blessure,ахəра
505,Fieber::N,fièvre,ашоура
506,Arznei::N,remède,ахəшə
507,Arznei::N,médecine,ахəшə
508,Brücke::N,pont,ацҳа
509,Brunnen::N,puits,аҵыџь
510,Weide::N,pâturage,аҳəырҭа
511,Pfad::N,sentier,амхəасҭа
512,Weg::N,voie,амҩа
513,Weg::N,chemin,амҩа
514,Straße::N,route,амҩа
515,Dorf::N,village,ақыҭа
516,Stadt::N,cité,ақалақь
517,Stadt::N,ville,ақалақь
518,Brief::N,lettre,ашəҟəы
519,Buch::N,livre,ашəҟəы
520,Buchstabe::N,lettre,анбан
521,Buchstabe::N,caractère,анбан
522,Zeitung::N,journal,агазеҭ
523,Leben::N,vie,аҧсҭазаара
524,Tod::N,mort,аҧсра
525,Grab::N,tombe,анышəынҭра
526,Kirche::N,église,ауахəама
527,Sünde::N,péché,агəнаҳа
528,Gott::N,dieu,анцəа
529,Arbeiter::N,ouvrier,аусуҩ
530,Arbeiter::N,travailleur,аусуҩ
531,Chef::N,chef,Аиҳабы
532,Chef::N,patron,Аиҳабы
533,Meister::N,maître,аҟаза
534,Arzt::N,médecin,аҳақьым
535,Lehrer::N,professeur,арҵаҩы
536,Lehrer::N,instituteur,арҵаҩы
537,Geld::N,argent,аҧара
538,Geschäft::N,affaire,
539,Geschäft::N,commerce,
540,Laden::N,magasin,амагазин
541,Laden::N,boutique,амагазин
542,Preis::N,prix,ахə
543,Ware::N,marchandise,атауар
544,Nutzen::N,profit,ақьар
545,Reichtum::N,richesse,абеиара
546,Welt::N,monde,адунеи
547,Land::N,pays,атəыла
548,Staat::N,État,аҳəынҭқарра
549,König::N,roi,акрал
550,Macht::N,pouvoir,амчра
551,Macht::N,puissance,амчра
552,Grenze::N,frontière,аҳəаа
553,Krieg::N,guerre,аибашьра
554,Feind::N,ennemi,Аҕа
555,Gewalt::N,violence,ақəымчра
556,Kampf::N,lutte,ақəҧара
557,Kampf::N,combat,ақəҧара
558,Bogen[Waffe]::N,arc,ахыц
559,Pfeil::N,flèche,ахəымпал
560,Gewehr::N,fusil,ашəақь
561,Fehler::N,faute,агха
562,Fehler::N,erreur,агха
563,Lüge::N,mensonge,амц
564,Schaden::N,dégât,аҧырхага
565,Schaden::N,dommage,аҧырхага
566,Unglück::N,malheur,арыцҳара
567,Schuld::N,faute,ахара
568,Schuld::N,culpabilité,ахара
569,Alter::N,âge,ақəра
570,Schluss::N,fin,анҵəамҭа
571,Zeit::N,temps,аамта
572,Tag::N,jour,амш
573,Tag::N,journée,амш
574,Morgen::N,matin,ашара
575,Morgen::N,matin,ашьыбжь
576,Morgen::N,matinée,ашара
577,Morgen::N,matinée,ашьыбжь
578,Mittag::N,midi,шьыбжьон
579,Abend::N,soir,ахəылҧаз
580,Abend::N,soir,ахəлбыҽха
581,Abend::N,soirée,ахəылҧаз
582,Abend::N,soirée,ахəлбыҽха
583,Nacht::N,nuit,аҵх
584,Woche::N,semaine,амчыбжь
585,Monat::N,mois,
