,Concept_ID,ba,ko
0,Auge::N,күҙ,눈
1,Ohr::N,ҡолаҡ,귀
2,Nase::N,танау,코
3,Mund::N,ауыҙ,입
4,Zahn::N,теш,이
5,Zunge::N,тел,혀
6,Lippe::N,ирен,입술
7,Wange::N,яцаҡтар,뺨
8,Gesicht::N,бит,얼굴
9,Stirn::N,маңлай,이마
10,Haar::N,сәс,털
11,Schnurrbart::N,мылтыҡ,윗수몀
12,Schnurrbart::N,мылтыҡ,코밑수염
13,Bart::N,һаҡал,수엄
14,Kinn::N,эйэк,아래턱
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,턱
16,Kehle::N,тамаҡ,인후
17,Hals::N,муйын,목
18,Genick::N,соңҡа,먹덜이
19,Kopf::N,баш,머리
20,Rücken::N,арҡа,든
21,Bauch::N,ҡорһаҡ,배
22,Nabel::N,кендек,배꼽
23,Busen::N,күкрәк,가슴속
24,Brust::N,түш,가슴
25,Schulter::N,яурын,어깨
26,Arm::N,ҡул,팔
27,Ellenbogen::N,терһәк,팔쿰치
28,Hand::N,ҡул,손
29,Hand::N,ҡул суғы,손
30,Handfläche::N,ус төбө,손바닥
31,Finger::N,бармаҡ,속가락
32,Fingernagel::N,тырнаҡ,손톱
33,Nagel[Anatomie]::N,тырнаҡ,손톱
34,Zeh::N,бармаҡ,발가락
35,Fuß::N,табан,발
36,Ferse::N,үксә,발꿈치
37,Knie::N,тубыҡ,무릎
38,Oberschenkel::N,сандыр,허벅다리
39,Bein::N,аяҡ,다리
40,Körper::N,тән,구간
41,Haut::N,тире,살갗
42,Blut::N,ҡан,피
43,Ader::N,тамыр,정맥
44,Sehne::N,һеңер,현
45,Sehne::N,тарамыш,현
46,Knochen::N,һойәк,뼈
47,Gehirn::N,мейе,뇌
48,Gehirn::N,мейе,뇌수
49,Herz::N,йорәк,염통
50,Magen::N,ашҡаҙан,위
51,Leber::N,бауыр,간
52,Atem::N,һулыш,기식
53,Hunger::N,аслыҡ,공복
54,Träne::N,күҙ иәше,눈물
55,Geschmack::N,тәм,기호
56,Geruch::N,еҫ,냄새
57,Schlaf::N,йоҡлау,수면
58,Traum::N,төш,쿰
59,Himmel::N,күк,하늘
60,Sonne::N,ҡояш,해
61,Mond::N,ай,달
62,Stern::N,йондоҙ,별
63,Luft::N,һауа,동준
64,Luft::N,һауа,가스채
65,Wind::N,ел,바람
66,Welle::N,тулҡын,물결
67,Wasser::N,һыу,물
68,Stein::N,таш,돌
69,Boden::N,тупраҡ,바닥
70,Erde::N,балсҡ,흙
71,Staub::N,туҙан,먼지
72,Rauch::N,төтөн,연기
73,Funke::N,осҡон,불티
74,Feuer::N,ут,불
75,Licht::N,яҡтылыҡ,불
76,Schatten::N,күләгә,어스레함
77,Wetter::N,һауа торошо,기상
78,Nebel::N,төман,안개
79,Wolke::N,болот,구름
80,Regen::N,ямғыр,비
81,Schnee::N,ҡар,눈
82,Eis::N,боҙ,얼음
83,Frost::N,һалҡын,혹한
84,Kälte::N,һыуыҡ,추위
85,Kälte::N,һыуыҡ,차가움
86,Hitze::N,томра,고온
87,Hitze::N,томра,더위
88,Hitze::N,эҫелек,고온
89,Hitze::N,эҫелек,더위
90,Raureif::N,ҡырау,
91,Regenbogen::N,йәйғор,무지개
92,Donner::N,күк күкрәү,뇌명
93,Strömung::N,ағым,유동
94,Tropfen::N,тамсы,물방울
95,Schaum::N,күбек,포말
96,Schmutz::N,батҡаҡ,때
97,See::N,күл,호수
98,Sumpf::N,һаҙлык,습지
99,Moor::N,һаҙ,저습지
100,Wiese::N,болон,목초지
101,Wald::N,урман,숲
102,Hügel::N,түбә,언덕
103,Anhöhe::N,түбә,언덕
104,Anhöhe::N,ҡалҡыулыҡ,언덕
105,Berg::N,тау,산
106,Gipfel::N,түбә,졀졍
107,Höhle::N,мәмерйә,공동
108,Abhang::N,ипкен,몰매
109,Quelle::N,шишмә,근원
110,Bach::N,шишмә,내
111,Fluss::N,йылға,강
112,Ufer::N,яр,강변
113,Ufer::N,яр,바닷가
114,Küste::N,яр буйы,해변
115,Küste::N,яр буйы,해변가
116,Festland::N,ҡоро ер,본토
117,Meer::N,диңгез,바다
118,Bucht::N,бухта,협만
119,Insel::N,үтрау,섬
120,Blume::N,сәскә,꽃
121,Gras::N,үлән,풀
122,Wurzel::N,тамыр,뿌리
123,Baum::N,ағас,나무
124,Stamm::N,олон,대
125,Stamm::N,көбәк,대
126,Rinde::N,ҡабыҡ,나무껍질
127,Ast::N,ботаҡ,가지
128,Zweig::N,ботаҡ,가지
129,Zweig::N,тармаҡ,가지
130,Blatt::N,япраҡ,잎
131,Birke::N,ҡайын,자작나무
132,Kiefer[Baum]::N,ҡарғай,소나무
133,Weide[Baum]::N,тал,쉬양버들
