,Concept_ID,it,sq
0,Auge::N,occhio,sy
1,Ohr::N,orecchio,vesh
2,Nase::N,naso,hundë
3,Mund::N,bocca,gojë
4,Zahn::N,dente,dhëmb
5,Zunge::N,lingua,gjuhë
6,Lippe::N,labbro,buzë
7,Wange::N,guancia,faqe
8,Wange::N,guancia,mollëz
9,Gesicht::N,viso,fytyrë
10,Gesicht::N,faccia,fytyrë
11,Stirn::N,fronte,ballë
12,Haar::N,capello,flokë
13,Schnurrbart::N,baffi,mustaqe
14,Schnurrbart::N,mustacchi,mustaqe
15,Bart::N,barba,mjekër
16,Kinn::N,mento,mjekër
17,Kiefer[Anatomie]::N,mascella,nofull
18,Kehle::N,gola,fyt
19,Kehle::N,gola,grykë
20,Hals::N,collo,qafë
21,Genick::N,nuca,arrëz
22,Kopf::N,capo,kokë
23,Kopf::N,testa,kokë
24,Rücken::N,dorso,kurriz
25,Rücken::N,schiena,kurriz
26,Bauch::N,ventre,bark
27,Nabel::N,ombelico,kërthizë
28,Busen::N,seno,gji
29,Brust::N,petto,gjoks
30,Brust::N,petto,kraharor
31,Schulter::N,spalla,sup
32,Schulter::N,spalla,krah
33,Arm::N,braccio,krah
34,Ellenbogen::N,gomito,bërryl
35,Hand::N,mano,dorë
36,Handfläche::N,palma,pëllëmbë
37,Finger::N,dito,gisht
38,Fingernagel::N,unghia,thua
39,Nagel[Anatomie]::N,unghia,thua
40,Zeh::N,dito del piede,gisht i këmbës
41,Fuß::N,piede,këmbë
42,Ferse::N,tallone,thembër
43,Ferse::N,calcagno,thembër
44,Knie::N,ginocchio,gju
45,Oberschenkel::N,fèmore,kofshë
46,Bein::N,gamba,këmbë
47,Körper::N,corpo,trup
48,Haut::N,pelle,lëkurë
49,Blut::N,sangue,gjak
50,Ader::N,vena,venë
51,Sehne::N,tèndine,dell
52,Knochen::N,osso,asht
53,Knochen::N,osso,kockë
54,Gehirn::N,cervello,tru
55,Herz::N,cuore,zemër
56,Magen::N,stòmaco,stomak
57,Leber::N,fegato,mëlçi
58,Atem::N,fiato,frymë
59,Atem::N,respiro,frymë
60,Hunger::N,fame,uri
61,Träne::N,làcrima,lot
62,Geschmack::N,gusto,shije
63,Geschmack::N,sapore,shije
64,Geruch::N,odore,erë
65,Schlaf::N,sonno,gjumë
66,Traum::N,sogno,ëndërr
67,Himmel::N,cielo,qiell
68,Sonne::N,sole,diell
69,Mond::N,luna,hënë
70,Stern::N,stella,yll
71,Luft::N,aria,ajër
72,Wind::N,vento,erë
73,Welle::N,onda,valë
74,Welle::N,onda,dallgë
75,Wasser::N,acqua,ujë
76,Stein::N,sasso,gur
77,Stein::N,pietra,gur
78,Boden::N,suolo,tokë
79,Boden::N,suolo,truall
80,Boden::N,terreno,tokë
81,Boden::N,terreno,truall
82,Erde::N,terra,dhe
83,Erde::N,terra,baltë
84,Staub::N,polvere,pluhur
85,Rauch::N,fumo,tym
86,Funke::N,scintilla,xixë
87,Funke::N,scintilla,shkëndijë
88,Feuer::N,fuoco,zjarr
89,Licht::N,luce,dritë
90,Schatten::N,ombra,hije
91,Wetter::N,tempo,mot
92,Nebel::N,nebbia,mjegull
93,Wolke::N,nube,re
94,Wolke::N,nùvola,re
95,Regen::N,pioggia,shi
96,Schnee::N,neve,borë
97,Eis::N,ghiaccio,akull
98,Frost::N,gelo,ngricë
99,Kälte::N,freddo,të ftohtë
100,Hitze::N,caldo,vapë
101,Hitze::N,caldo,nxehtësi
102,Hitze::N,calura,vapë
103,Hitze::N,calura,nxehtësi
104,Raureif::N,brina,cikmë
105,Regenbogen::N,arcobaleno,ylber
106,Donner::N,tuono,gjëmim
107,Donner::N,tuono,bubullimë
108,Strömung::N,corrente,rrymë
109,Tropfen::N,goccia,pikë
110,Schaum::N,spuma,shkumë
111,Schaum::N,schiuma,shkumë
112,Schmutz::N,sudiciume,baltë
113,See::N,lago,liqen
114,Sumpf::N,palude,batak
115,Moor::N,torbiera,kënetë
116,Wiese::N,prato,livadh
117,Wald::N,bosco,pyll
118,Wald::N,foresta,pyll
119,Hügel::N,colle,kodër
120,Hügel::N,collina,kodër
121,Anhöhe::N,altura,bregore
122,Berg::N,monte,mal
123,Berg::N,montagna,mal
124,Gipfel::N,cima,kulm
125,Höhle::N,grotta,shpellë
126,Höhle::N,grotta,zgafelle
127,Höhle::N,caverna,shpellë
128,Höhle::N,caverna,zgafelle
129,Abhang::N,pendìo,shpat
130,Abhang::N,pendìo,tatëpjetë
131,Quelle::N,sorgente,krua
132,Quelle::N,sorgente,burim
133,Bach::N,ruscello,virua
134,Fluss::N,fiume,lumë
135,Ufer::N,riva,breg
136,Küste::N,costa,anëdet
137,Küste::N,costa,bregdet
138,Festland::N,terraferma,kontinent
139,Meer::N,mare,det
140,Bucht::N,cala,gji deti
141,Insel::N,ìsola,ishull
142,Insel::N,ìsola,ujdhesë
143,Blume::N,fiore,lule
144,Gras::N,erba,bar
145,Wurzel::N,radice,rrënjë
146,Baum::N,àlbero,pemë
147,Stamm::N,tronco,trung
148,Rinde::N,corteccia,lëvore
149,Ast::N,ramo,degë
150,Zweig::N,ramo,bisk
151,Blatt::N,foglia,fletë
152,Blatt::N,foglia,gjethe
153,Birke::N,betulla,mështekën
154,Kiefer[Baum]::N,pino,pishë
155,Weide[Baum]::N,sàlice,shelg
156,Tanne::N,abete,bredh
157,Horn::N,corno,bri
158,Feder::N,penna,pupël
159,Fell::N,manto,lëkurë
160,Fell::N,pelame,lëkurë
161,Flügel::N,ala,krah
162,Flügel::N,ala,fletë
163,Klaue::N,grinfia,kthetër
164,Kralle::N,unghia,thua
165,Kralle::N,unghia,kthetër
166,Kralle::N,artiglio,thua
167,Kralle::N,artiglio,kthetër
168,Schwanz::N,coda,bisht
169,Ei::N,uovo,vezë
170,Nest::N,nido,fole
171,Bau::N,covo,strofkë
172,Tier::N,bestia,kafshë
173,Tier::N,animale,kafshë
174,Herde::N,gregge,kope
175,Herde::N,gregge,grigjë
176,Kuh::N,vacca,lopë
177,Bulle::N,toro,dem
178,Pferd::N,cavallo,kalë
179,Schaf::N,pècora,dele
180,Schwein::N,porco,derr
181,Schwein::N,maiale,derr
182,Hund::N,cane,qen
183,Katze::N,gatta,mace
184,Bär::N,orso,ari
185,Eichhörnchen::N,scoiàttolo,ketër
186,Elch::N,alce,dre brilopatë
187,Fuchs::N,volpe,dhelpër
188,Hase::N,lepre,lepur
189,Maus::N,topo,mi
190,Maus::N,sorcio,mi
191,Wolf::N,lupo,ujk
192,Vogel::N,uccello,zog
193,Vogel::N,uccello,shpend
194,Schwarm::N,stormo,luzmë
