,Concept_ID,az,se
0,Auge::N,göz,tjelmie
1,Auge::N,göz,tjalmme
2,Auge::N,göz,čalbmi
3,Auge::N,göz,čalme
4,Auge::N,göz,čâ´lmm
5,Auge::N,göz,ча̄лльм
6,Ohr::N,qulaq,bieljie
7,Ohr::N,qulaq,biellje
8,Ohr::N,qulaq,beallji
9,Ohr::N,qulaq,pelji
10,Ohr::N,qulaq,pe´llj
11,Ohr::N,qulaq,пе̄лльй
12,Nase::N,burun,njuenie
13,Nase::N,burun,njunnje
14,Nase::N,burun,njunni
15,Nase::N,burun,njuṇe
16,Nase::N,burun,njuu´nn
17,Nase::N,burun,нюннҍ
18,Mund::N,ağız,njaelmie
19,Mund::N,ağız,njálmme
20,Mund::N,ağız,njálbmi
21,Mund::N,ağız,njälmi
22,Mund::N,ağız,njä´lmm
23,Mund::N,ağız,ня̄лльм
24,Zahn::N,diş,baenie
25,Zahn::N,diş,bádne
26,Zahn::N,diş,bátni
27,Zahn::N,diş,pääṇi
28,Zahn::N,diş,pää´nn
29,Zahn::N,diş,па̄ннҍ
30,Zunge::N,dil,njoektjeme
31,Zunge::N,dil,njuovtjav
32,Zunge::N,dil,njuovčča
33,Zunge::N,dil,njuovčâ
34,Zunge::N,dil,njuhččâm
35,Zunge::N,dil,нюхчем
36,Lippe::N,dodaq,bangseme
37,Lippe::N,dodaq,njálmmerabdda
38,Lippe::N,dodaq,bavssa
39,Lippe::N,dodaq,poovsâ
40,Lippe::N,dodaq,põõus
41,Lippe::N,dodaq,пэ̄кс
42,Wange::N,yanaq,skiehrie
43,Wange::N,yanaq,nierra
44,Wange::N,yanaq,muohtu
45,Wange::N,yanaq,nieṛâ
46,Wange::N,yanaq,njiõrr
47,Wange::N,yanaq,нӣрр
48,Gesicht::N,üz,ååredæjja
49,Gesicht::N,üz,muohto
50,Gesicht::N,üz,muođut
51,Gesicht::N,üz,ámadadju
52,Gesicht::N,üz,muáđuh
53,Gesicht::N,üz,muâđ
54,Gesicht::N,üz,ка̄ссв
55,Stirn::N,alın,gaalloe
56,Stirn::N,alın,gállo
57,Stirn::N,alın,gállu
58,Stirn::N,alın,kállu
59,Stirn::N,alın,käll
60,Stirn::N,alın,вуэххьц
61,Haar::N,saç,voepte
62,Haar::N,saç,vuoppta
63,Haar::N,saç,vuokta
64,Haar::N,saç,vuop'tâ
65,Haar::N,saç,vuõpt
66,Haar::N,saç,вӯппт
67,Schnurrbart::N,bığ,bijjie-skaavtjoe
68,Schnurrbart::N,bığ,njunjevuolskávttjá
69,Schnurrbart::N,bığ,seamu
70,Schnurrbart::N,bığ,siämu
71,Schnurrbart::N,bığ,ää´bben
72,Schnurrbart::N,bığ,о̄а̄бпан
73,Bart::N,saqqal,skaavtja
74,Bart::N,saqqal,skaavtjoe
75,Bart::N,saqqal,skávttjá
76,Bart::N,saqqal,seamu
77,Bart::N,saqqal,siämu
78,Bart::N,saqqal,seäm
79,Bart::N,saqqal,ся̄м
80,Kinn::N,çənə,gaejpie
81,Kinn::N,çənə,gájbbe
82,Kinn::N,çənə,gáibi
83,Kinn::N,çənə,käibi
84,Kinn::N,çənə,käi´bb
85,Kinn::N,çənə,ка̄ййп
86,Kiefer[Anatomie]::N,çənə,gaejpie
87,Kiefer[Anatomie]::N,çənə,oalol
88,Kiefer[Anatomie]::N,çənə,oaloldákte
89,Kiefer[Anatomie]::N,çənə,gáibi
90,Kiefer[Anatomie]::N,çənə,uá'lultähti
91,Kiefer[Anatomie]::N,çənə,vuâl'lõš
92,Kiefer[Anatomie]::N,çənə,вуаллнешш
93,Kehle::N,boğaz,gealoe
94,Kehle::N,boğaz,tjåttå
95,Kehle::N,boğaz,njiello
96,Kehle::N,boğaz,čotta
97,Kehle::N,boğaz,čuudâ
98,Kehle::N,boğaz,čoodd
99,Kehle::N,boğaz,чонт
100,Kehle::N,boğaz,кэ̄ҏс
101,Hals::N,boyun,tjeapohke
102,Hals::N,boyun,tjiebet
103,Hals::N,boyun,čeabet
104,Hals::N,boyun,čiäppát
105,Hals::N,boyun,čeäppat
106,Hals::N,boyun,ча̄пэх
107,Genick::N,ənsə,tjovrese
108,Genick::N,ənsə,nisske
109,Genick::N,ənsə,niehkki
110,Genick::N,ənsə,niski
111,Genick::N,ənsə,niek'ki
112,Genick::N,ənsə,nji´šǩǩmaadd
113,Genick::N,ənsə,нышшькмоант
114,Kopf::N,baş,åejjie
115,Kopf::N,baş,oajvve
116,Kopf::N,baş,oaivi
117,Kopf::N,baş,uái'vi
118,Kopf::N,baş,vuei´vv
119,Kopf::N,baş,вуэййв
120,Rücken::N,bel,rudtje
121,Rücken::N,bel,hárddo
122,Rücken::N,bel,tjavelk
123,Rücken::N,bel,sealgi
124,Rücken::N,bel,selgi
125,Rücken::N,bel,čielgi
126,Rücken::N,bel,seä´lǧǧ
127,Rücken::N,bel,се̄лльк
128,Bauch::N,qarın,tjåejjie
129,Bauch::N,qarın,tjoajvve
130,Bauch::N,qarın,čoavji
131,Bauch::N,qarın,čuáv'ji
132,Bauch::N,qarın,čåu´jj
133,Bauch::N,qarın,чо̄ввьй
134,Nabel::N,göbək,naepie
135,Nabel::N,göbək,náhpe
136,Nabel::N,göbək,náhpi
137,Nabel::N,göbək,nääpi
138,Nabel::N,göbək,nää´pp
139,Nabel::N,göbək,на̄бпь
140,Busen::N,məmə,boenge
141,Busen::N,məmə,bållå
142,Busen::N,məmə,čižži
143,Busen::N,məmə,njamma
144,Busen::N,məmə,njižže
145,Busen::N,məmə,nje´ǯǯ
146,Busen::N,məmə,раннҍт
147,Brust::N,döş,mïelke
148,Brust::N,döş,radde
149,Brust::N,döş,mielgga
150,Brust::N,döş,raddi
151,Brust::N,döş,radde
152,Brust::N,döş,râ´dd
153,Brust::N,döş,раннҍт
154,Schulter::N,çiyin,åelkie
155,Schulter::N,çiyin,oalgge
156,Schulter::N,çiyin,hárdu
157,Schulter::N,çiyin,ärdee
158,Schulter::N,çiyin,uál'gi
159,Schulter::N,çiyin,a´rddi
160,Schulter::N,çiyin,vuä´lǧǧ
161,Schulter::N,çiyin,вуэллык
162,Arm::N,qol,gïete
163,Arm::N,qol,giehta
164,Arm::N,qol,giehta
165,Arm::N,qol,kietâ
166,Arm::N,qol,kie'tâkaaṿâ
167,Arm::N,qol,ǩiõtt
168,Arm::N,qol,кӣдт
169,Ellenbogen::N,dirsək,gernjere
170,Ellenbogen::N,dirsək,garŋŋel
171,Ellenbogen::N,dirsək,gargŋil
172,Ellenbogen::N,dirsək,käŋŋir
173,Ellenbogen::N,dirsək,kõõnjâr
174,Ellenbogen::N,dirsək,карьнэль
175,Hand::N,əl,gïete
176,Hand::N,əl,giehta
177,Hand::N,əl,giehta
178,Hand::N,əl,kietâ
179,Hand::N,əl,ǩiõtt
180,Hand::N,əl,кӣдт
181,Handfläche::N,ovuc,gïeten-låapoe
182,Handfläche::N,ovuc,giehtavuodo
183,Handfläche::N,ovuc,tjårmmåvuodo
184,Handfläche::N,ovuc,giehtaloahpu
185,Handfläche::N,ovuc,kiämád
186,Handfläche::N,ovuc,kuámmir
187,Handfläche::N,ovuc,kuä´m'mer
188,Handfläche::N,ovuc,ǩiõttǩeä´m'men
189,Handfläche::N,ovuc,ко̄а̄ллдэгк
190,Handfläche::N,ovuc,кӣдткоалдэгк
191,Finger::N,barmaq,soerme
192,Finger::N,barmaq,tjuvdde
193,Finger::N,barmaq,suorbma
194,Finger::N,barmaq,čuvde
195,Finger::N,barmaq,suor'mâ
196,Finger::N,barmaq,suõrmm
197,Finger::N,barmaq,це̄ххп
198,Fingernagel::N,barmaq dırnağı,gadtse
199,Fingernagel::N,barmaq dırnağı,guehpere
200,Fingernagel::N,barmaq dırnağı,gadtsa
