,Concept_ID,mdf,cy
69,Welle::N,тавла,ton
70,Wasser::N,ведь,dŵr
71,Stein::N,кев,carreg
72,Boden::N,мода,llawr
73,Boden::N,потмакс,llawr
74,Erde::N,мода,pridd
75,Erde::N,мастор,pridd
76,Staub::N,пуль,llwch
77,Rauch::N,качам,mwg
78,Funke::N,ця́тка,gwreichioni
79,Feuer::N,тол,tân
80,Licht::N,ва́лда,golau
81,Schatten::N,цильф,cysgod
82,Wetter::N,уша,tywydd
83,Nebel::N,тума́н,niwl
84,Wolke::N,ковол,cwmwl
85,Regen::N,пизем,glaw
86,Schnee::N,лов,ôd
87,Schnee::N,лов,eira
88,Eis::N,эй,iâ
89,Frost::N,ке́льме,rhew
90,Kälte::N,якшама,oerni
91,Kälte::N,якшама,annwyd
92,Hitze::N,пси,gwres
93,Raureif::N,леш,barrug
94,Regenbogen::N,а́тямъёнга,enfys
95,Donner::N,атям,tyrfau
96,Strömung::N,шудема́,cerrynt
97,Tropfen::N,путькс,dafn
98,Tropfen::N,путькс,diferyn
99,Tropfen::N,пътняфкс,dafn
100,Tropfen::N,пътняфкс,diferyn
101,Schaum::N,шов,ewyn
102,Schmutz::N,ърда́з,baw
103,Schmutz::N,ърда́з,budreddi
104,See::N,эрьхке,llyn
105,Sumpf::N,шяй,cors
106,Moor::N,шяй,rhos
107,Wiese::N,луга,dôl
108,Wald::N,вирь,coedwig
109,Hügel::N,губо́р,bryn
110,Hügel::N,пандоня,bryn
111,Anhöhe::N,губо́р,bryn
112,Berg::N,панда,mynydd
113,Gipfel::N,пря,copa
114,Höhle::N,у́нда,ogof
115,Abhang::N,па́нда ша́ма,llethr
116,Quelle::N,эшиня,tarddiad
117,Quelle::N,эшиня,ffynhonnell
118,Bach::N,шудерькс,nant
119,Bach::N,шудерькс,afonig
120,Bach::N,шудерькс,cornant
121,Fluss::N,ляй,afon
122,Ufer::N,търва́,glan
123,Küste::N,ляйтърва́,traeth
124,Küste::N,ляйтърва́,arfordir
125,Festland::N,мода,tir
126,Meer::N,моря,môr
127,Bucht::N,ведьуське,bae
128,Insel::N,цёнга,ynys
129,Blume::N,панчф,blodyn
130,Gras::N,тише,glaswellt
131,Wurzel::N,юр,gwreiddyn
132,Wurzel::N,ункс,gwreiddyn
133,Baum::N,шуфта,coeden
134,Stamm::N,ро́нга,colfen
135,Stamm::N,ро́нга,boncyff
136,Rinde::N,кер,rhisgl
137,Ast::N,морга,cangen
138,Zweig::N,тарад,cainc
139,Zweig::N,тарад,cangen
140,Blatt::N,лопа,deilen
141,Birke::N,ке́лу,bedwen
142,Kiefer[Baum]::N,пиче,pinwydden
143,Weide[Baum]::N,каль,helygen
144,Tanne::N,куз,ffynidwydden
145,Horn::N,сюра,corn
146,Feder::N,толга,plufyn
147,Fell::N,кедь,ffwr
148,Flügel::N,паця,adain
149,Klaue::N,кенже,crafanc
150,Kralle::N,кенже,ewin
151,Schwanz::N,пула,cwt
152,Schwanz::N,пула,cynffon
153,Ei::N,ал,wy
154,Nest::N,пиза,nyth
155,Bau::N,пиза,ffau
156,Tier::N,жува́та,anifail
157,Herde::N,нал,praidd
158,Herde::N,нал,diadell
159,Herde::N,стада,praidd
160,Herde::N,стада,diadell
161,Kuh::N,скал,buwch
162,Kuh::N,тракс,buwch
163,Bulle::N,бука,tarw
164,Pferd::N,лишме,ceffyl
165,Schaf::N,уча́,dafad
166,Schwein::N,тува,mochyn
167,Hund::N,пине,ci
168,Katze::N,катоня,cath
169,Katze::N,аваката,cath
170,Bär::N,офта,arth
171,Eichhörnchen::N,ур,gwiwer
172,Elch::N,ся́рда,elc
173,Fuchs::N,келазь,cadno
174,Hase::N,ну́мол,ysgyfarnog
175,Maus::N,шеер,llygoden
176,Wolf::N,върьгаз,blaidd
177,Vogel::N,нармонь,aderyn
178,Schwarm::N,ко́вол,haid
179,Schwarm::N,ме́швеле,haid
180,Huhn::N,сараз,cyw
181,Hahn::N,а́тякш,ceiliog
182,Gans::N,маци,gŵydd
183,Adler::N,куцькан,eryr
184,Ente::N,яксярга,hwyad
185,Eule::N,ко́рож,tylluan
186,Kranich::N,ка́рга,garan
187,Kranich::N,ка́рга,crychydd
188,Krähe::N,ва́рси,brân
189,Kuckuck::N,ку́ку,cog
190,Kuckuck::N,ку́ку,cwcw
191,Schwan::N,ло́ксти,alarch
192,Fisch::N,кал,pysgod
193,Barsch::N,о́кунь,draenog
194,Hecht::N,щу́ка,penhwyad
195,Schlange[Tier]::N,куй,neidr
196,Wurm::N,сукс,abwydyn
197,Wurm::N,сукс,pryf genwair
198,Spinne::N,унжа́,cor
199,Spinne::N,унжа́,pryf copyn
200,Ameise::N,панжам,morgrugyn
201,Laus::N,си,lleuen
202,Mücke::N,ся́ське,gwybedyn
203,Fliege::N,кару,cleren
204,Schmetterling::N,ме́лав,glöyn byw
205,Schmetterling::N,ме́лав,iâr fach yr haf
206,Beere::N,и́мож,aeronen
207,Apfel::N,марь,afal
208,Pilz::N,панга,madarch
209,Zwiebel::N,шурьхкя́,nionyn
210,Zwiebel::N,шурьхкя́,winwnsyn
211,Saat::N,видьмот,had
212,Korn::N,сёра,grawn
213,Heu::N,тише,gwair
214,Schale::N,кедь,croen
215,Schale::N,кедь,plisgyn
216,Grube::N,лотка,pwll
217,Grube::N,лотка,pydew
218,Falle::N,туфкс,magl
219,Falle::N,кунда́ма,magl
220,Schlinge::N,килькш,cwlwm rhedeg
221,Spur::N,пильгоки́,ôl
222,Asche::N,кулу,lludw
223,Dreck::N,ърда́з,baw
224,Dreck::N,ърда́з,budreddi
225,Eisen::N,кшни,haearn
226,Gold::N,ока,aur
227,Gold::N,золота,aur
228,Silber::N,сия́,arian
229,Kohle::N,седь,glo
230,Kohle::N,седьвальмя,glo
231,Glas::N,кля́нцек,gwydr
232,Lehm::N,сёвонь,clai
233,Sand::N,шува́р,tywod
234,Mensch::N,ломань,dyn
235,Mann::N,аля,dyn
236,Mann::N,цёраломань,dyn
237,Frau::N,ава,merch
238,Frau::N,ава,gwraig
239,Kind::N,идь,plentyn
240,Kind::N,шаба,plentyn
241,Junge::N,цёраня,hogyn
242,Junge::N,цёраня,bachgen
243,Mädchen::N,стирня́,merch
244,Mädchen::N,стирня́,geneth
245,Familie::N,тнал,teulu
246,Familie::N,тнал,tylwyth
247,Familie::N,семья,teulu
248,Familie::N,семья,tylwyth
249,Großvater::N,атя,taid
250,Großvater::N,атя,tad-cu
251,Großvater::N,щя́тя,taid
252,Großvater::N,щя́тя,tad-cu
253,Großmutter::N,баба,nain
254,Großmutter::N,баба,mam-gu
255,Eltern::N,тя́дят-а́лят,rhieni
256,Vater::N,аля,tad
257,Mutter::N,ава,mam
258,Mutter::N,тядя,mam
259,Sohn::N,цёра,mab
260,Tochter::N,стирь,merch
261,Bruder::N,дуган,brawd
262,Bruder::N,пяльне,brawd
263,Schwester::N,ака,chwaer
264,Schwester::N,сазор,chwaer
265,Onkel::N,оця,ewythr
266,Onkel::N,патя,ewythr
267,Onkel::N,щеня́,ewythr
268,Tante::N,ака,modryb
269,Tante::N,щака,modryb
270,Ehemann::N,мирде,gŵr
271,Ehefrau::N,ърьвя́,gwraig
272,Freude::N,ке́нярдема,gorfoledd
273,Gelächter::N,рахсема,chwerthin
274,Glück::N,паваз,hapusrwydd
275,Kummer::N,ризф,galar
276,Kummer::N,пичефкс,galar
277,Wunsch::N,мяль,dymuniad
278,Wunsch::N,таколдома,dymuniad
279,Lust::N,таколдома,chwant
280,Geist::N,вайме,ysbryd
281,Gedanke::N,мяль,meddwl
282,Gedächtnis::N,прявий,cof
283,Verstand::N,прявий,meddwl
284,Sinn::N,ён,ystyr
285,Grund::N,туфта́л,achos
286,Grund::N,туфта́л,rheswm
287,Wahrheit::N,ви́де,gwir
288,Wahrheit::N,ви́де,gwirionedd
289,Wahrheit::N,видеши́,gwir
290,Wahrheit::N,видеши́,gwirionedd
291,Gespräch::N,корхтама,sgwrs
292,Märchen::N,ёфкс,chwedl werin
293,Erzählung::N,азкс,stori
294,Nachricht::N,куля́,neges
295,Neuigkeit::N,куля́,newydd
296,Name::N,лем,enw
297,Rätsel::N,со́дама ёфкс,pos
298,Rede::N,вал,araith
299,Rede::N,корхтама,araith
300,Sprache::N,кяль,iaith
301,Stimme::N,вайгяль,llais
302,Wort::N,вал,gair
303,Zeichen::N,тя́ште,arwydd
304,Zeichen::N,тя́штькс,arwydd
305,Ruf::N,тердема,galwad
306,Lärm::N,гайф,trwst
307,Lärm::N,жалакодома,trwst
308,Laut::N,вайгяль,sain
309,Ton::N,вайгяль,tôn
310,Lied::N,мора,cân
311,Ruhe::N,сетьме,tawelwch
312,Leute::N,ломатть,pobl
313,Volk::N,наро́д,pobl
314,Arbeit::N,тев,gwaith
315,Gast::N,и́нжи,gwestai
316,Gast::N,ко́нак,gwestai
317,Geschenk::N,казне,rhodd
318,Geschenk::N,казне,anrheg
319,Spiel::N,налхкома,chwarae
320,Spiel::N,налхксема,chwarae
321,Gesellschaft::N,кружок,cwmni
322,Hilfe::N,лездома,cymorth
323,Freund::N,я́лга,cyfaill
324,Kamerad::N,я́лга,cydymaith
325,Angelegenheit::N,тев,pwnc
326,Anzahl::N,лувкс,cyfrif
327,Art::N,вид,bath
328,Stück::N,пакш,darn
329,Teil::N,часть,rhan
330,Teil::N,пялькс,rhan
331,Hälfte::N,пяле,hanner
332,Kreis::N,шаркс,cylch
333,Kreuz::N,крёз,croes
334,Linie::N,межа,llinell
335,Linie::N,китькс,llinell
336,Strich::N,межа,strôc
337,Strich::N,межа,trawiad
338,Abstand::N,ётка,bwlch
339,Abstand::N,ётка,pellter
340,Entfernung::N,ётка,pellter
341,Gegend::N,ва́ста,cylch
342,Gegend::N,перьфпя́ль,cylch
343,Platz::N,ва́ста,lle
344,Ort::N,ва́ста,lle
345,Seite::N,пяле,ochr
346,Mitte::N,кучка́,canol
347,Gegenstand::N,веща,eitem
348,Sache::N,тев,peth
349,Sache::N,веща,peth
350,Rand::N,пе,cwr
351,Rand::N,пе,ymyl
352,Kante::N,и́рдез,min
353,Kante::N,и́рдез,ymyl
354,Ecke::N,ужа,cornel
355,Spitze::N,пря,blaen
356,Ende::N,пе,pen
357,Loch::N,варя,twll
358,Winkel::N,ужа,congl
359,Muster::N,сёрма,patrwm
360,Größe::N,серь,maint
361,Größe::N,серь,maintioli
362,Länge::N,кува́лма,hyd
363,Höhe::N,серь,uchder
364,Gewicht::N,сталма,pwysau
365,Menge::N,лувкс,swm
366,Menge::N,лувкс,maint
367,Haufen::N,мар,pentwr
368,Reihe::N,ряд,rhes
369,Boot::N,венеж,cwch
370,Ruder::N,миле,rhwyf
371,Schlitten::N,ну́рда,sled
372,Schlitten::N,ну́рда,car llusg
373,Ski::N,сокс,sgi
374,Lagerfeuer::N,то́лмар,coelcerth
